state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_dem_bid,pre_20_rep_tru,uss_18_rep_new,uss_18_dem_klo,uss_20_dem_smi,uss_20_rep_lew,gov_18_rep_joh,gov_18_dem_wal,atg_18_rep_war,atg_18_dem_ell,sos_18_rep_how,sos_18_dem_sim,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
27,001,0115,80,77,0,0,1,0,0,0,2,71,69,0,0,1,0,0,0,1,16.2,3.9,3.9,22.8,14.9,3.9,4.8,21,14.9,6.1,16.2,4.8,17.1,3.2,3.9,4.4,4.3,16.2,15.6,22
27,001,0120,391,371,1,2,16,0,0,0,1,301,286,1,2,11,0,0,0,1,74.2,61.9,53.2,79.8,51.9,73,59.3,64.8,63.8,61.9,68.4,56.9,68.4,56.9,61.9,62,56,74.2,63.1,72.3
27,001,0125,105,104,0,0,0,0,0,0,1,85,84,0,0,0,0,0,0,1,36,9.9,14.1,42.8,34,8.8,13.1,37.9,34,10.9,34,12,36.9,10.9,9.9,10.8,13.4,36,34.6,40.199999999999996
27,001,0130,206,194,0,0,4,0,0,2,6,159,151,0,0,4,0,0,2,2,56.9,37.2,31.8,61.2,32.9,44,31.400000000000002,53.1,35.2,40.3,40.3,30.2,35.2,34,37.2,37.4,31.8,56.9,35.7,57.199999999999996
27,001,0132,72,58,0,3,10,1,0,0,0,57,49,0,3,4,1,0,0,0,11.9,12.9,17.099999999999998,17.099999999999998,11.9,12.9,16,17.099999999999998,11.9,11.9,13.9,9,12.9,11.9,12.9,11.4,16.6,11.9,12.6,17.099999999999998
27,001,0135,337,331,0,2,1,1,1,0,1,293,287,0,2,1,1,1,0,1,127,77.2,82.7,166,86.1,97.1,71.9,152,103.2,81.1,103.2,68,101.7,72.6,77.2,79.8,77.3,127,98.5,159
27,001,0140,200,194,0,5,1,0,0,0,0,156,150,0,5,1,0,0,0,0,62.1,25,31.2,62.7,43.9,25.8,31.2,53,47.8,25,49.9,21.1,46.4,22.6,25,23.6,31.2,62.1,47,58.3
27,001,0145,972,944,2,7,5,1,1,0,12,809,794,0,5,4,1,1,0,4,405.6,230.2,254.9,459.8,300.9,320.5,254.9,428.1,359.8,246.4,365.4,215.2,352.8,239.5,230.2,255,254.9,405.6,344.3,444
27,001,0150,167,154,1,1,11,0,0,0,0,134,124,1,1,8,0,0,0,0,40.4,31.3,31.8,56.6,32,35.300000000000004,26.1,52.7,36.2,31.8,35.4,27.4,36.9,27.599999999999998,31.3,30.6,28.7,40.4,35.300000000000004,54.2
27,001,0155,109,107,1,1,0,0,0,0,0,87,85,1,1,0,0,0,0,0,37.1,8.7,8.7,41,29.7,13.9,9.8,41.9,31.900000000000002,12,33.2,7.1,33.2,11,8.7,11,9.1,37.1,32.2,41.3
27,001,0160,136,136,0,0,0,0,0,0,0,111,111,0,0,0,0,0,0,0,52,20.1,25.3,51,35.9,35.9,23.7,47,43,28.8,44.8,25.3,42,28.1,20.1,29.5,24.3,52,41.5,49.3
27,001,0165,102,101,0,1,0,0,0,0,0,84,84,0,0,0,0,0,0,0,26.9,24.3,22.2,34.8,25.099999999999998,30.3,24.3,26.9,27.9,26.9,27.9,25.8,27.9,26.9,24.3,27.2,23.4,26.9,27.4,30.5
27,001,0170,61,57,0,3,0,0,0,0,1,53,49,0,3,0,0,0,0,1,31.1,4.1000000000000005,12,33.8,22.9,12.9,12,31.8,25,12,25,9.1,25,10.2,4.1000000000000005,11,12,31.1,24.599999999999998,32.8
27,001,0175,1272,1192,1,13,56,2,0,0,8,1126,1078,1,5,35,2,0,0,5,400.3,289.8,337.8,491.1,292.4,355.1,311.9,458.4,346.8,286.2,361.5,244.9,354.4,258.7,289.8,285.7,324.2,400.3,338.2,474.6
27,001,0180,329,163,0,12,134,0,0,0,20,216,123,0,7,78,0,0,0,8,51.9,43.2,64.5,43.2,33.8,47.8,49.9,41.1,40.1,40.1,41.1,36.1,42.2,38.9,43.2,40.9,57.199999999999996,51.9,39.2,42.300000000000004
27,001,0185,518,491,0,5,4,5,0,2,11,432,416,0,3,2,3,0,1,7,200.4,105.8,91.3,235.7,135.9,138,106.5,212.2,155.7,118.10000000000001,164.9,98.7,155.7,113.8,105.8,117.2,98.6,200.4,153.2,223.9
27,001,0190,94,92,0,0,1,0,0,0,1,68,66,0,0,1,0,0,0,1,13.1,16,6.8,18,6.1000000000000005,14.8,7.9,18,9,10.9,9,10.9,6.8,12.2,16,12.1,7.3,13.1,7.5,18
27,001,0195,208,190,1,0,16,1,0,0,0,171,161,1,0,9,0,0,0,0,60.300000000000004,39,41.8,68.1,41.8,50.1,43.2,68.1,51.2,41.8,53.9,33.1,52,40,39,41.2,42.8,60.300000000000004,49.6,68.1
27,001,0200,45,45,0,0,0,0,0,0,0,42,42,0,0,0,0,0,0,0,18.2,8.8,8.8,19.1,16.1,10.1,6,19.1,16.8,8.8,16.8,6.7,16.8,8.8,8.8,8.4,7.1,18.2,16.8,19.1
27,001,0205,332,324,0,1,1,1,0,0,5,285,282,0,1,0,1,0,0,1,119.89999999999999,55.4,73.6,134.9,82.4,83.2,66.10000000000001,132.1,102.8,57.8,109.10000000000001,50.2,98.1,54.2,55.4,61.4,69.5,119.89999999999999,98.3,133.5
27,001,0210,316,297,12,5,1,0,0,0,1,254,238,11,3,1,0,0,0,1,126.2,65.2,67.1,133.9,78.8,84.8,61.8,127,90,75.1,95,63,90.9,65.2,65.2,72.2,63.9,126.2,88.89999999999999,130.20000000000002
27,001,0215,268,252,0,2,5,0,0,0,9,235,228,0,2,3,0,0,0,2,120.8,82,78,130,84,101.9,75.2,120.8,105,78,107,67.2,106,72.9,82,79.8,76.6,120.8,100.5,125.5
27,001,0220,34,32,0,0,0,0,0,0,2,31,30,0,0,0,0,0,0,1,10.899999999999999,4.9,7,23,10,9.1,7,19.1,14,6,13.1,6,10.899999999999999,6,4.9,6.7,7,10.899999999999999,12.200000000000001,21.2
27,001,0225,144,136,2,0,0,0,0,0,6,126,118,2,0,0,0,0,0,6,43.699999999999996,19.3,25.2,58.9,41.9,21.1,25.9,55,44.9,16.2,46.8,12.3,44.9,15.1,19.3,16,25.5,43.699999999999996,44.7,57
27,001,0230,207,198,0,1,6,0,0,0,2,168,162,0,1,5,0,0,0,0,76.2,37,37,104.6,60.9,43,38.3,97.2,70.8,30.1,74,24.8,69.7,30.1,37,32.199999999999996,37.3,76.2,68.9,100.89999999999999
