state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_hei,uss_18_rep_ric,uss_20_dem_luj,uss_20_rep_ron,gov_18_dem_luj,gov_18_rep_pea,atg_18_dem_bal,atg_18_rep_hen,sos_16_dem_oli,sos_16_rep_esp,sos_18_dem_tou,sos_18_rep_cla,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
35,001,11,1415,604,2,765,16,3,0,5,20,1123,524,2,569,9,2,0,4,13,494.90000000000003,200.8,638.2,233.1,513.1,126.9,601,263,529.1,200,562.8,138,555.1,201.9,532,176.2,525.3,534.4,619.8,201.3,160.1,248
35,001,12,1183,523,5,622,13,2,1,0,17,927,447,3,452,11,1,1,0,12,394.4,184.1,508.9,224.1,387.2,112,474.8,257,409.3,175,426.7,125.9,450.1,177,414,146.8,422.3,409.3,492,180.6,140.2,240.6
35,001,13,913,625,6,255,8,5,0,1,13,762,529,6,204,7,5,0,1,10,348.2,165.8,435,210.5,340.7,118.8,402.1,246.8,397.1,178.9,387.8,139,379.3,198.9,387.8,151.5,363.5,378.5,418.7,182.4,147.4,228.6
35,001,14,1764,598,24,1042,66,11,1,3,19,1304,513,15,708,46,9,1,1,11,317.2,186,448.9,219,304.3,106.9,428.9,236.8,334.2,161.6,356.2,109.7,359.4,198.2,332.1,139,338.3,331.8,439.2,192.1,129.6,227.9
35,001,15,1723,755,22,843,78,9,0,2,14,1378,683,20,611,45,7,0,2,10,339.9,246,443.9,317.9,321,172.9,418.9,339.9,345.6,246,394.2,172.9,411.2,238.29999999999998,358.9,205.6,375.59999999999997,355.3,431.1,242.3,199.5,329
35,001,16,1049,406,1,613,12,4,0,1,12,828,361,1,443,12,4,0,0,7,222.1,133.5,267.4,173,211.4,74.9,249,199,229.5,132.6,259.3,81.4,263.2,135.4,235.70000000000002,101.10000000000001,242.8,233.8,258.4,134.3,97.2,185.9
35,001,17,1553,686,5,808,23,14,2,3,12,1258,594,3,617,18,12,2,2,10,420.2,245.1,538.1,309.7,425.2,145.1,495.9,346.7,445.2,230.2,499,141.6,535.7,219.79999999999998,462.3,175,477.8,457.8,517.1,232.3,173,328.3
35,001,18,1361,417,8,908,10,2,1,2,13,1030,350,7,649,9,2,1,0,12,414.9,216.9,419.9,239.9,391.6,136.2,407.2,256.7,410.1,203.1,449.40000000000003,132.3,450.90000000000003,212,426.1,166.3,433,419.5,413.4,214.4,159.4,248.3
35,001,19,2828,1527,83,985,98,41,2,10,82,2118,1273,59,643,59,31,2,8,43,564.8000000000001,603.9,816.1,636.3,564,367.1,720,719.1,587,555.1,670.1,403.1,674.8,609.1,617.1,469,619.8,609.5,767.8,606.2,448.7,677.7
35,001,20,1941,810,49,974,40,23,2,3,40,1450,670,36,674,31,15,1,3,20,486,381,663,449,486,241,600.9,501.2,516.2,365,591,252.9,554,390.9,538,295.7,520,532.7,631.9,385.8,289.2,474.90000000000003
35,001,21,2671,1177,75,1247,93,30,0,2,47,2074,1003,67,871,71,25,0,2,35,653.2,506.1,866,555.8,667.2,329.9,779.2,629,717.9,462.8,794.1,322,772,501.2,744.8,373.8,712.5,731,822.3,503.4,372.09999999999997,592.2
35,001,22,1391,607,41,685,31,5,0,5,17,1080,507,30,497,24,5,0,3,14,317.1,277.9,421.9,379.1,302.9,172,384.8,412.1,328.9,263.2,388,168.8,384.1,292.8,328.9,216,350.6,337,403,285.4,205.2,395.6
35,001,23,1975,709,59,1079,61,28,0,0,39,1518,613,50,763,49,22,0,0,21,453.4,353.2,694.9,448,476,189,639,508,500.2,293.7,561.1,196.1,564,332.09999999999997,522,231.20000000000002,509.2,515.1,667.2,342.8,227.5,477.9
35,001,24,2668,1171,39,1313,81,27,1,5,31,2002,972,29,905,57,17,1,4,17,652.9,498.1,906.8,623,657.2,328,831,692.2,730.3,459.1,804.8,328,774.7,513.8,735,404.8,713.9,731.8,868.4,505.9,380,657.9
35,001,25,2333,842,43,1316,49,39,3,9,32,1698,689,35,884,34,29,3,4,20,573.9,471,832.2,554.1,567.1,333.1,755.8,617.2,599.8,458,657,361.1,660.9,487,606,398.9,617.4,607.3000000000001,794.2,478.8,387.59999999999997,585.5
35,001,26,2249,631,52,1394,98,24,0,6,44,1649,526,40,957,74,22,0,4,26,550.9,327.2,759.8000000000001,383.1,531,190,702,427,587.1999999999999,291,627,214.9,625,340.90000000000003,578.8,240.8,588,581,731,334.1,233.9,404.9
35,001,27,2135,566,66,1247,187,26,3,5,35,1708,511,56,952,136,24,2,3,24,360.8,157,473,195.9,336,72.9,433.2,218.8,352,121.2,361.90000000000003,84,400,180,354.70000000000005,99.10000000000001,380.2,351.29999999999995,453,168.6,94.4,207.5
35,001,28,1805,396,39,1172,133,26,0,7,32,1303,350,32,785,97,21,0,2,16,258.1,129.1,374,163.9,240.1,64,339,183,265.1,102.1,271.9,69.9,305,132.8,261.8,75.7,281.7,260,356.6,130.9,77.9,173.5
35,001,29,2060,477,63,1343,115,29,0,2,31,1444,396,51,888,70,22,0,2,15,356.1,207,508,264.1,341.9,116.2,477.8,275.9,368.8,173.9,394.09999999999997,127.1,398,219.9,364.1,151.4,376.8,367.2,492.9,213.7,142.4,270.1
35,001,30,2634,1146,63,1204,74,101,3,14,29,2079,997,50,863,58,79,3,9,20,870.1,623.7,1257.2,749.9,929.8,417.3,1159,838.6999999999999,954.7,627.8,1067.1,452.1,989,646.7,1004,521,929.7,988.6,1207.7,635.2,504.8,794.3000000000001
35,001,31,1555,17,8,58,1452,1,0,0,19,1024,16,8,32,955,1,0,0,12,346.4,63.7,361,151.9,292.5,38.1,335.3,165.1,297.5,104.7,310.7,56.800000000000004,339.5,93.4,310.7,55.8,342.7,303.4,348.1,78.7,63.2,158.2
35,001,32,2605,307,81,2106,70,7,2,6,26,1732,244,56,1360,46,5,2,4,15,381.1,145,463,213,314.2,96,448.2,215.9,340.1,128.9,349.9,92.3,412.90000000000003,172.6,334.8,103.8,396.9,334.8,455.6,158.9,105.2,214.8
35,001,33,2619,207,43,2315,29,0,4,9,12,1866,173,36,1613,25,0,2,9,8,503,143.1,556,216.8,410.9,80.1,541.3,219.6,441,129.1,460.9,91.1,547.1,155.1,455.1,91.9,524.9,441.8,548.8,149.2,97.9,218.2
35,001,34,1997,186,22,1690,69,1,0,8,21,1287,160,21,1042,45,1,0,4,14,219.1,88,244.9,105.9,179,45,236.3,107,184.2,65.1,186.9,49.2,230,99.1,184.9,51.1,224.4,183.5,240.7,93.7,52.6,106.5
35,001,35,1222,171,27,978,26,7,0,3,10,904,148,15,705,19,6,0,2,9,226.4,107.5,269.4,117.4,186.6,63.9,249.5,127.7,213.9,96.5,239.2,59.800000000000004,247.6,121,212.8,77.8,236.7,213,259.5,114.3,74.5,122.4
