state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_war,uss_18_rep_die,uss_20_dem_mar,uss_20_rep_oco,gov_18_rep_bak,gov_18_dem_gon,atg_18_dem_hea,atg_18_rep_mcm,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
25,001,2174,3505,3195,39,62,17,66,2,24,100,2889,2686,35,37,14,48,2,16,51,1003.3,1009.7,1358.9,1098.7,840.7,923.5,1367.6,1090.8,1424.3,370.4,955.3,880.2,1003.3,721.8,1363.7,1009.7,1076.3,1095.4
25,001,2175,3257,3048,57,28,19,32,0,16,57,2705,2554,41,21,15,26,0,15,33,928.6,904.8,1237.8,898.2,818.7,836.4,1248,924.7,1279.2,399.5,936.1,774,928.6,717.5,1242.9,904.8,963.3000000000001,911.6
25,001,2176,2815,2512,101,112,9,15,0,24,42,2315,2087,93,77,8,11,0,19,20,651.3,510.4,835.6,520.8,572.7,536.5,753.3,572.8,844.6999999999999,261.1,634.5,505.6,651.3,489.5,794.4,510.4,628.6,545.4
25,001,2177,3239,3119,12,51,9,22,0,3,23,2669,2603,7,33,5,13,0,0,8,1307.5,814.8,1673.4,796.4,1197.7,756,1646.4,852.8,1376.3,624.9,1358.2,675.7,1307.5,1060.6,1659.2,814.8,936.3,824.7
25,001,2178,3238,3071,33,40,0,42,0,4,48,2807,2702,22,26,0,23,0,4,30,1319.3,749.2,1684.2,735.1,1151.4,741.9,1648.5,786.4,1404.1,541.5,1324.1,642.6,1319.3,1006.6,1666.7,749.2,929.1,761.8
25,001,2179,3343,3180,22,75,4,22,0,22,18,2743,2657,9,38,3,17,0,10,9,1185.6,805.3,1583.3,807.1,1070.8,783.1,1546.7,858,1385.7,516.2,1222.6,701.9,1185.6,936,1564.8,805.3,957,832.3
25,001,2180,2950,2790,49,50,8,14,0,10,29,2629,2516,39,33,8,10,0,7,16,1172.3,878.1,1519.6,896.8,1031.2,909.8,1471.3,983.8,1489,457,1194.6,791.5,1172.3,894.5,1494.7,878.1,1062.5,939.1
25,001,2181,3175,3021,32,58,7,22,0,6,29,2747,2641,26,38,1,16,0,5,20,1224.5,917.4,1587.1,937.2,1077.4,950.5,1538,1028.2,1556.1,478.2,1248.9,826.5,1224.5,935.3,1561.9,917.4,1109.6,980
25,001,2182,2728,2621,18,39,8,8,6,12,16,2381,2311,8,23,6,6,5,10,12,970.1,875,1267.5,859,877,884.3,1222.6,896.8,1416.6,360.5,1058.1,752.9,970.1,764.7,1245.5,875,1017,877.5
25,001,2183,2529,2425,15,42,5,8,0,4,30,2241,2176,13,25,3,6,0,4,14,1013.4,727.6,1222.2,800.8,883.5,775.4,1149.3,887.4,1326,320.7,1038.3,666.2,1013.4,747.6,1185.7,727.6,922.7,843.9
25,001,2184,2826,2460,121,71,17,14,0,56,87,2406,2174,81,45,15,14,0,39,38,801.5,633.8,1053.6,640.5,733.4,562.5,1039.2,652.5,952.8,375.1,865.7,471.2,801.5,657.4,1046.5,633.8,662.4,647.3
25,001,2185,3094,2838,65,72,18,36,1,29,35,2708,2540,44,44,14,27,1,17,21,1046,806.1,1322.9,824.8,894.2,785.1,1271.7,874.7,1296.3,395.9,1032.8,692.3,1046,773.2,1296.7,806.1,924.6,848.5
25,001,2186,3030,2773,60,82,8,15,2,30,60,2494,2345,37,42,8,13,2,22,25,1056,709.3,1317.1,811.7,905.3,739.9,1316.5,819.4,1288.9,380.5,1091.2,595.7,1056,792,1316.5,709.3,874.3,815.6
25,001,2187,4956,4750,34,75,12,28,0,7,50,4329,4187,24,51,10,18,0,7,32,2202.1,1199.5,2863.3,1152.5,2059.3,1147.9,2819.6,1222.8,2233.3,990.6,2279.3,991.1,2202.1,1776.1,2842.2,1199.5,1458.9,1189.4
25,001,2188,3155,2940,35,52,3,66,1,9,49,2799,2636,28,39,3,55,1,9,28,1625,465.3,1899.3,472.09999999999997,1447.3,485.6,1847.5,542.6,1177,800.4,1543.3999999999999,435.8,1625,1263.6,1874.2,465.3,700.8,506.7
25,001,2189,3237,2918,76,47,20,63,0,55,58,2881,2631,58,40,19,47,0,50,36,1328.1,640.9,1577.6,620.9,1119.6,602.6,1527.5,670.3,1167.7,589.2,1233.4,540.7,1328.1,980.5,1553.6000000000001,640.9,770.6,644.4
25,001,2190,3466,3132,54,60,25,45,0,60,90,2940,2707,42,40,19,27,0,52,53,1150,810.5,1460.7,823.9,944.4,791.4,1432,844.7,1336.9,432.5,1143.8,660.2,1150,841.4,1447.1,810.5,929.3,834.5
