state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_sco,uss_16_dem_dix,uss_20_rep_gra,uss_20_dem_har,gov_18_dem_smi,gov_18_rep_mcm,atg_18_dem_ana,atg_18_rep_wil,sos_18_dem_whi,sos_18_rep_ham,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
45,051,291,2629,2456,55,62,12,14,8,1,21,2284,2172,38,39,10,11,5,1,8,1455,553.2,1975.1,915.5,1503.8,436.4,1978.9,907.6,631,1367.4,605.8,1373.2,601.1,1398.4,494.6,612.3,912,1479.4,1379.7,1977.1
45,053,101,736,174,554,5,0,0,0,2,1,569,153,413,2,0,0,0,0,1,94.8,265.4,107.6,300.1,103.7,217.4,107.6,301,204.20000000000002,75.8,203.3,74.9,205.29999999999998,75.8,241.3,204.20000000000002,300.5,99.3,75.7,107.6
45,053,102,826,367,428,27,2,0,0,0,2,640,280,338,19,1,0,0,0,2,207,252.6,212.5,273.3,191.7,236.70000000000002,210.5,274.3,202.3,142.9,188.6,151.4,196,149.1,244.9,196,273.7,199.3,147.9,211.79999999999998
45,053,103,1677,949,605,86,5,17,0,0,15,1295,758,453,55,5,14,0,0,10,436.3,286.3,548.1,385.8,423.3,263.8,528.4,399.4,245.9,388.5,227.8,391.2,233.3,397.5,275.4,235.4,393.3,429.4,391.8,537.7
45,053,104,4589,1267,2614,644,8,22,3,6,25,3610,1090,2079,393,7,20,2,3,16,381.40000000000003,852.8000000000001,536.6,1025.2,365.1,694.5,504.1,1056.3,714.7,331.7,695.3,329.4,711.5,335,773.2,708,1040.9,373,332.1,521
45,053,105,885,626,232,18,0,0,0,0,9,674,483,170,14,0,0,0,0,7,406.6,159.6,441.09999999999997,138.5,356.90000000000003,178.3,426.9,147.7,133.7,321.3,124.9,319.5,127.1,329.3,168.8,128.5,142.7,381.3,323.4,433.3
45,053,106,2767,752,905,1016,9,46,0,5,34,1968,609,623,678,3,34,0,2,19,424.7,479.8,908.7,695.3000000000001,427.7,434.8,893.6,698.2,429.1,378.4,403.1,391.6,400,400.4,456.4,410.2,696.8,425.8,390.8,901.1
45,053,107,1907,404,847,620,7,11,0,0,18,1346,331,602,393,4,7,0,0,9,182.6,428.8,197.4,364.2,177.9,394.1,191,371.1,282.1,136.9,272.2,136.9,283.3,135,411.3,279.3,367.5,180.2,136.5,194.3
45,053,108,2878,1007,1352,453,9,30,0,4,23,2123,797,1004,284,8,20,0,1,9,429.6,826.1,443.7,814.5,447.7,717.8,435.9,823.3000000000001,672.7,298.8,668.8,291.7,673.8,298,771.6999999999999,671.8,819,438.7,296.4,439.6
45,053,109,1457,741,531,142,1,18,0,3,21,1180,654,397,102,0,16,0,1,10,1347.1000000000001,982.1,2248.9,1579.2,1446.2,794.9,2286.2,1566.8,946.4,1341.8,898.6,1363.8,911.6,1370.6000000000001,888,918.4,1572.6000000000001,1396.7,1358.6000000000001,2267.6
45,053,110,1134,158,939,24,0,1,1,0,11,845,126,699,14,0,1,1,0,4,45.1,425.79999999999995,67.5,476.1,62,364.2,64.2,480.8,357.5,37.1,348.9,38.8,354.9,38,394.40000000000003,353.9,478.7,53.3,38,65.6
45,053,111,1732,1007,431,268,0,11,1,1,13,1307,808,322,163,0,8,1,0,5,432.3,194.3,467.8,205.1,400,191.1,447.9,218,170.5,301.5,155,314.3,155,314.3,192,159.6,210.8,415.4,310.5,457.9
45,053,112,1811,673,823,287,7,6,0,0,15,1280,541,518,205,4,4,0,0,8,310.5,345.7,322.7,388.4,299.7,305.1,302.1,407.9,265.6,209.1,257.2,212.4,256.4,217.7,324.2,259.2,398.4,304.2,213.1,312
45,053,113,1029,397,599,17,1,7,0,0,8,798,319,465,10,0,3,0,0,1,173.3,278.4,208.7,332,165.6,243.7,195.1,334.7,238.4,136,236.2,132.9,236.2,136.7,261,236.6,333.1,169.4,135.4,201.7
45,053,114,1349,741,443,145,0,0,0,0,20,1001,572,337,82,0,0,0,0,10,313.8,174.5,364.9,209,283.3,164.7,346.1,221.70000000000002,139.2,247.1,127.6,251.1,130.3,251.9,169.5,132,215.4,298.7,250.3,355.2
45,055,101,1985,1322,516,123,3,1,5,2,13,1511,1061,359,77,3,1,3,0,7,425.8,186.8,544.8,325,433.2,171.8,524.9,344.1,206.2,389,181,387.4,171.8,412,179,186.3,334.6,429.5,396.1,534.9
45,055,102,1286,871,372,28,6,1,0,0,8,957,665,267,14,5,1,0,0,5,417.2,179.1,409.9,234.1,399.7,182.9,399.7,237.9,170.1,287.7,156.1,287.1,158.9,294.1,181.1,161.6,236.1,408.8,289.6,404.7
45,055,103,1868,1196,626,15,10,3,0,0,18,1448,953,469,11,7,3,0,0,5,528,405.7,540.5,348,514.9,376.4,525.4,353.4,328.5,417.8,304.2,415.2,311.3,427.6,391.8,312.8,350.6,520.4,419.2,533.9
45,055,107,1995,721,1144,77,3,22,0,3,25,1481,546,858,45,3,18,0,0,11,362.9,492.1,467.9,642.8,381.9,474.7,460.90000000000003,647,469.2,329.9,434.2,348.9,427.2,366,483.1,443.9,645,372.3,348.59999999999997,464.5
45,055,108,487,280,178,20,1,3,0,0,5,407,253,135,14,1,3,0,0,1,104.10000000000001,82.8,136.8,147.1,107.2,80.2,139.79999999999998,143.9,96,80.2,94,76.1,89.10000000000001,87,81.4,93.10000000000001,145.4,105.8,81.3,138.5
45,055,109,954,697,207,40,1,8,0,0,1,719,539,150,23,1,5,0,0,1,219.4,172.6,306.1,245.1,277.5,121.3,322.2,245.5,149,158,124.5,169.7,111.6,186.6,146.6,128.4,245.3,248.70000000000002,171.2,314.3
45,055,110,1305,926,340,26,0,1,0,0,12,1004,719,264,15,0,1,0,0,5,306.4,240.8,427.3,341.9,387.5,169.8,449.6,342.8,208.1,220.6,173.6,237,155.2,260.7,205,178.79999999999998,342.4,347.2,239,438.8
45,055,111,1041,872,132,15,0,3,0,0,19,817,695,104,7,0,3,0,0,8,325.2,195.2,442.1,298,387.3,141.1,442.2,296,224.1,283.7,179.4,302.8,167.3,327.8,168,190.1,296.9,356.2,305,442.1
45,055,112,764,281,450,20,5,5,0,0,3,599,240,342,10,4,3,0,0,0,115.3,244.9,148.7,272.9,122.89999999999999,228.9,146,272.9,219.6,113.9,206.8,119.8,213,122.89999999999999,237.3,213.1,272.9,119.2,119.6,148.1
45,055,113,550,463,60,20,0,2,0,0,5,469,402,48,15,0,2,0,0,2,146.9,107.2,159.2,135.8,158,84.2,166.3,125.7,140.3,111,129.8,107.3,114.4,128,95.3,128.5,131,152,115.1,163.1
45,055,115,2542,1871,554,68,7,16,0,0,26,1890,1420,403,38,6,11,0,0,12,657.1,311.3,754.3,300.7,617.9,317.2,729.3,312.3,255.7,458,237.9,454.2,240.9,463.7,314.7,244,305.9,637.3,458.2,741.9
45,055,117,2051,1183,779,68,1,4,0,0,16,1603,964,588,42,0,3,0,0,6,538.8,463.9,633.6,593.9,558.3,424.8,620.4,604.7,395.40000000000003,406.5,357.1,417.2,362.3,439.2,445.3,371.5,599.5,548.7,420.8,627
45,055,119,3029,2240,487,192,19,22,3,0,66,2240,1689,366,123,14,18,3,0,27,826.1,456.8,873.1,434.2,805.9,439.9,831.9,446.3,350.2,610.6,329.8,609.6,315.9,641.3000000000001,448.2,331.7,440.4,816.1,620.2,851.7
45,055,121,877,615,154,89,1,2,0,2,14,681,508,102,58,1,0,0,2,10,200.7,117.9,230.1,137.4,189.4,132.7,220.7,142.7,111,148.7,105.4,148.7,97.5,160.7,125.2,104.9,139.8,195.1,152.7,225.29999999999998
45,055,122,2399,2007,250,94,5,10,0,3,30,1765,1502,177,59,3,8,0,0,16,1033.9,472,1095.6,710.7,1101.6,401.3,1079,725.1,515.6,818.8,479.7,830,467,861.1,437.09999999999997,487.3,717.6,1067.6,836.3,1087.8
45,055,123,2140,1597,422,74,7,11,0,5,24,1562,1171,323,42,6,8,0,2,10,674.9,382,816.1,515.4,691.4,355.3,787.1,520.5,458.3,530.7,395.1,554,399.5,581.7,368.5,417.6,517.7,682.9,555.5,801.6
45,055,124,3744,2569,809,219,15,46,11,6,69,2690,1929,566,111,12,34,7,0,31,952.8000000000001,727,1088.6,883.9,1018.9,650.1,1057.1,912.1,672.4,686.2,618.2,711,620,733,688.6,636.7,897.9,985.8000000000001,710,1072.6
45,055,125,3081,2253,564,151,20,10,1,1,81,2241,1670,412,109,14,10,1,0,25,839.1,504,889,563.6,886.4,451.8,861.9,587.8000000000001,455.9,583.9,398.6,606.8,396.4,632.2,477.90000000000003,416.9,575.7,862.9,607.3,875.2
45,055,126,2067,1610,284,128,3,14,0,7,21,1516,1217,198,78,3,11,0,1,8,645.3,336.8,690.1,340.4,668.2,302.5,680.9,354.8,286.1,464.1,273,460.6,258.7,490.8,319.4,272.9,347.3,656.9,471.2,685.2
45,055,130,529,471,50,3,0,1,0,0,4,404,366,34,3,0,1,0,0,0,200.4,34.3,241.3,27.9,190.1,46.7,235.2,28.900000000000002,41.7,167,35,169.5,34.3,174.7,40.4,36.6,28.5,195.2,169.9,238.1
45,055,131,503,373,119,2,2,1,0,0,6,437,327,101,2,2,1,0,0,4,266,97.4,327.5,113.2,267.9,97.4,331.7,107.2,95.4,256.2,91.7,253.7,81.4,271.8,97.4,89.2,110.6,266.9,260.8,329.7
45,055,132,1898,1357,452,51,5,5,1,0,27,1409,1062,291,38,5,3,1,0,9,458.4,269.8,596.9,365.9,454.1,256.2,582.2,375.2,229.2,359.1,209.5,371.09999999999997,206.9,371.09999999999997,263.4,214.7,370.4,456.3,367.3,589.3
45,055,133,2641,1985,513,88,5,13,1,6,30,1925,1445,390,64,5,8,1,2,10,800.9,306.9,932.6999999999999,469.2,803.6,282.4,907.2,484.8,347,583.7,306.5,588.7,282.4,638.1,294.8,312.1,476.7,802.4,603.6,919.4
45,055,134,2073,1755,243,32,5,10,1,3,24,1531,1320,166,20,4,6,1,0,14,730,270,883,364,769.9,254.8,877,372.9,275.1,660.9,247,669.9,239,693.1,262.1,253.7,368.3,749.4,674.8000000000001,880.1999999999999
45,055,135,1548,1351,133,35,2,14,1,3,9,1164,1013,107,23,2,9,1,2,7,698.1,197.9,808.2,312,718.2,175.3,787,326.3,240.9,551,194.1,582.4,185.9,599.9,186.5,206.9,319.5,708.2,577.8,797.8
45,055,140,2232,1204,795,181,6,12,1,1,32,1667,948,581,112,6,10,1,0,9,466.9,448.6,571.1,488.3,457.4,406.9,563.1,489.9,349.5,432.2,338.6,429.5,327.3,453.2,427.4,338.4,489.3,461.7,438.7,566.7
45,055,143,2521,2004,422,55,9,7,0,0,24,1971,1585,333,31,8,7,0,0,7,971.1,286.9,1210.8,416.1,972.2,259.3,1204.1,409.5,288.4,872.4,255.6,889.3,243.6,911,273.3,262.5,412.3,971.6,890.6,1208.2
45,055,146,1611,340,1225,15,6,3,0,0,22,1171,285,863,11,6,1,0,0,5,75.3,501,90.3,447,93.9,467.09999999999997,85,454.3,360.7,62.2,355.8,65.3,361.7,62.2,483.7,359.5,451.2,84.4,62.9,87.7
45,055,147,1950,1494,330,73,8,10,1,0,34,1470,1122,264,49,7,9,1,0,18,692.8,275.1,692.8,285.5,678.2,252.9,681.9,286.2,240.9,544.8,229.1,537.2,216.6,559.2,263.6,229.1,285.8,685.6,546.5,687.4
45,055,149,1125,670,423,17,4,3,0,2,6,933,570,340,13,4,1,0,2,3,323.9,213.2,427.9,306.9,324.4,188.5,424.59999999999997,310.5,227.2,279.9,211.8,280.3,205.8,293.5,200,214.6,308.9,324.3,284,426.6
45,055,150,1961,1160,704,54,2,15,0,0,26,1595,974,567,35,2,9,0,0,8,490.6,470,706.8,742.8,550.2,405,713.8,733.8,455.6,478.5,428.90000000000003,485.2,411.3,515.8,438.1,431.3,738.6,519.4,493.1,710.3
45,055,152,2719,2174,449,51,9,3,0,5,28,2113,1721,345,27,7,3,0,1,9,752.3,321.3,888.2,304.6,704.4,333.9,866.6999999999999,306.3,268.7,564.3,249.6,569.9,235.5,590.1,327.4,251,305.5,728.2,574.3,876.9
45,055,154,2553,1713,660,127,7,13,0,5,28,1870,1313,448,80,6,10,0,1,12,709.4,404.9,803,455.9,713.2,379.8,781.9,468.9,330.7,527.1,303.1,531.1,303.1,552.2,391.6,311.9,463.1,710.9,536.5,793.1
45,055,705,1668,1384,211,47,5,2,0,1,18,1298,1090,163,31,4,2,0,1,7,570.6,148.5,619.6,122.9,526.1,166.3,601.1,129.9,120.3,429,107.4,426.8,106.2,439.1,156.8,110.6,125.9,548.6,430.8,609.8
45,057,001,1284,1047,201,14,2,5,0,1,14,972,796,157,6,2,2,0,1,8,477.2,111.9,507,151.2,434.9,138,488.9,162.8,131.9,350,91.9,376.1,97.8,384,124.7,107.2,157,456.1,370.1,498
45,057,002,3765,3482,166,65,14,32,0,0,6,3614,3361,148,60,8,31,0,0,6,2965.3,1640.4,4588.8,2993.3,3108.8,1388.7,4590.6,3002.9,1979.1,3345.9,1878,3388.5,1909.6,3418.7,1514.8,1922.1,2997.7,3036.7,3384.3,4589.5
45,057,003,1247,1145,78,15,3,0,0,0,6,948,873,61,7,3,0,0,0,4,514.2,104.1,534.9,96.5,480.1,96.5,516.9,112.9,104.1,367.3,75,379.2,74.3,389.7,99.8,84.39999999999999,104.7,496.8,378.9,525.9
