state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_you,uss_16_dem_bay,uss_18_rep_bra,uss_18_dem_don,gov_16_rep_hol,gov_16_dem_gre,gov_20_rep_hol,gov_20_dem_mye,atg_16_rep_hil,atg_16_dem_arr,atg_20_rep_rok,atg_20_dem_wei,sos_18_rep_law,sos_18_dem_har,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
18,093,00040,1119,1096,2,3,7,4,0,0,7,831,816,2,1,6,2,0,0,4,345.3,79.7,389,92.60000000000001,293.4,102.6,286.1,91.6,279.4,128,332.3,66.8,324.9,81.5,383,88.5,301.9,77.8,97.60000000000001,85,83,310.4,293.6,368.2,89.7,326.4
18,093,00050,1048,1010,9,14,6,0,3,0,6,835,811,4,10,5,0,1,0,4,227.4,87.7,261,95.7,182.9,122.7,150.3,67.9,186.7,128.2,216,67,222.9,98.4,251.2,96.4,162,72,108.9,69.8,86,205.2,156.1,243.4,92.4,206.5
18,093,00060,1100,1077,4,8,0,3,0,0,8,826,809,4,7,0,1,0,0,5,330.3,132,348,128.8,290.9,170.9,244.6,125.7,278,192.9,302.8,94.4,323.8,129.9,335.8,127.3,259.1,117,156.5,121.1,116.8,306,252.4,330,134.9,301.8
18,093,00070,1266,1228,3,19,2,3,0,0,11,902,876,2,13,2,3,0,0,6,227.7,90.2,254.1,89.6,194.9,111.7,133.1,79,189.8,119.2,201.2,77.2,214.9,90.2,241.9,94.8,143,74.8,102.6,77.1,87.8,206.7,137.9,232.4,91.3,200.29999999999998
18,093,00080,936,903,0,19,2,5,0,0,7,706,690,0,8,1,3,0,0,4,184.5,72,205.2,62.6,156.6,83.9,119.5,67.4,144.5,98.1,165,49.6,186,65.1,184.5,74.6,127.10000000000001,60.9,79.8,63.7,62.6,167.6,123.3,184.5,70.6,164.3
18,093,00090,1267,1235,3,6,2,6,0,0,15,1000,979,3,3,2,5,0,0,8,429,148.9,495,172.8,368,195,334,166,360.9,221,443,118.9,418,149.9,496,166,359.09999999999997,144.1,178.6,154.7,152.7,394,346.6,478,164.6,411.5
18,093,00100,1681,1643,2,10,15,0,1,0,10,1273,1255,2,4,6,0,1,0,5,514,122.1,602.9,167,474.1,163,396.9,149.9,435.1,211.9,544.9,112.1,516.8,127.3,596.2,158.7,430.1,128.9,155.9,139.3,145.9,485.2,413.7,581.5,149.1,501.4
18,093,00110,344,339,0,0,0,2,0,0,3,278,276,0,0,0,1,0,0,1,114,54.2,120.8,43.1,101.6,59.9,78.2,43.1,101.6,63.2,110,32.8,120.2,45,123,43.1,94,30.8,55.6,37,39.8,109.5,86,118.10000000000001,46,107.1
18,093,00120,1807,1747,5,28,2,5,0,1,19,1372,1334,5,17,2,2,0,1,11,581.9,147.7,650.3,175.9,499.1,212.6,427.4,160.8,438.1,267.2,540.2,152,548.8,169.1,620.5,192,456.2,141.29999999999998,198.8,150.8,173.6,516.9,441,603.6,179.6,529.1
18,093,00130,1923,1865,3,24,6,8,0,0,17,1454,1422,3,10,4,6,0,0,9,656.2,172.7,765.1,236.9,588.7,210.1,465.8,192.9,541.1,255.3,672.9,184,608.6,174,734,245.8,494.4,168.2,202.8,180.3,222.3,598.7,479.3,724.1999999999999,204.7,613.8
18,093,00140,1195,1174,1,5,2,4,0,2,7,897,881,1,4,1,4,0,2,4,416.90000000000003,107.9,459.9,128.7,369.9,137.2,298.3,124.9,327.7,172.2,393,89.3,393.7,113.1,448.3,124.9,319.3,106,133.4,115,114.5,377.2,308.8,434.2,122.7,380.3
18,093,00150,1542,1462,4,27,3,19,0,2,25,1200,1143,3,15,2,16,0,2,19,560,170,581.1,203.1,502,216.9,395.1,178.6,456.9,272.1,524.9,147.9,539.7,174.9,573.8,192.9,415.9,155.1,208.5,166.8,181.5,514.9,405.6,560.1,190.1,505.7
18,093,00160,2259,2196,7,20,5,12,0,0,19,1663,1621,5,12,5,9,0,0,11,788.2,141.4,930.8,181.9,718.4,178.4,647.3,172.1,703.1,216.8,756.8,143.5,776.6,147.4,903.9,197.5,675.6,143.5,170.5,157.9,174.1,746.9,661.2,863,168.7,766.7
18,093,00170,1883,1820,3,13,15,5,0,0,27,1437,1396,0,9,10,1,0,0,21,605.8,143.6,692.3,164.5,513.6,211.9,424.4,146.2,500.5,232.4,549.2,115.6,563.3,146.2,671.6,152.7,431.3,128.3,182.8,136.5,143.9,546.1,427.8,637.8,159.3,550
18,093,00180,580,570,3,4,0,0,0,0,3,442,433,3,4,0,0,0,0,2,142.9,51.1,166.29999999999998,80.9,136.1,70.1,89.8,65.6,132.5,79.9,144.2,65.6,150.9,57.9,156,84.9,109.8,53.1,64.7,59.4,77.2,140.5,99.5,155.6,67.5,136.4
18,093,00190,742,696,2,18,2,17,1,0,6,542,510,2,13,2,11,1,0,3,212,73.9,247.1,98,190.6,90.3,154.3,79.6,176.9,108.1,212,62.5,209.1,75.9,236.8,98,170.8,66.9,86.9,73.2,86.1,197,162.6,231.8,83.7,200.7
18,093,00200,1045,977,9,24,6,14,1,0,14,803,768,6,11,4,7,0,0,7,244.70000000000002,71.2,286.9,89,218,92.6,181.6,83.7,209,103.2,262.5,58,248.2,71.2,275.9,93.8,195.8,71.2,84.1,77.8,80.3,230.3,188,275.2,81.10000000000001,236.2
18,093,00210,1048,992,11,26,1,3,1,1,13,768,739,7,9,1,3,0,1,8,236.3,85.8,271.9,109,206.3,113.8,177.7,87.9,204.1,110.8,224,88.7,230,83.9,258,113.8,180.8,71.9,98,80,103.7,218.9,178.5,251.6,96.2,220.7
18,093,00220,966,922,3,24,3,6,0,0,8,752,726,3,13,3,2,0,0,5,298.3,123.7,318.8,118.4,252.3,158.4,192.29999999999998,103.2,247.2,177.1,260.1,89.8,283.1,128.8,300.4,119.1,211.9,89,147.6,95.7,109.4,270.3,202.2,292.7,122.8,262.3
18,093,00230,935,893,8,24,0,6,0,0,4,749,720,8,14,0,4,0,0,3,258.8,121.3,249.5,122.2,244.9,146.2,171.1,105.1,217.1,174.4,213.9,89.1,261,130.7,242.5,128,185.1,94.1,144,99.2,113.2,245.2,178.4,235.2,123.3,226.6
18,093,00240,810,787,0,6,1,8,0,1,7,651,633,0,4,1,7,0,1,5,281,91.2,309.8,100.8,248.9,119.9,218.9,78,240,141,278.1,74,277,87.8,294.9,103,223.9,70,110.1,74.1,92.7,261.7,221.6,294.40000000000003,95.9,263.5
18,093,00250,718,682,16,3,2,1,0,0,14,545,516,13,2,1,1,0,0,12,168,88,218.2,117.6,156.1,109,150.8,83.8,154.4,114,206.1,77,189.8,77.6,225,99.3,168,75.2,96.9,79.8,98.2,167.5,159.6,216.8,93.39999999999999,182.2
18,093,00260,876,833,4,16,3,6,0,2,12,625,600,2,5,3,5,0,2,8,186.4,50.9,214.9,79.1,172.3,67.3,131,62.6,160.1,81,173.1,48.9,183.5,56.9,207.8,77.7,140,52.8,63.5,57.8,68.6,175.5,136.1,199,63.8,174.4
18,093,00270,1029,964,6,17,3,30,0,0,9,866,822,5,11,3,24,0,0,1,314.3,125.5,328.1,175.9,273.9,159.1,232,137,284,160.9,287.9,133.2,317.9,122,317.9,181.9,252.3,125.5,142,131.2,163.7,297.3,242.1,311.3,146.7,289.8
18,093,00280,822,783,9,9,3,6,0,0,12,638,612,9,6,3,3,0,0,5,264,133.3,274.9,165.9,231.2,161.7,177.9,151,221.9,170.8,257.3,117.4,256.2,123,274,158.1,206.3,124.1,146.7,137.5,147.3,243.4,192.3,268.4,145.4,241.1
18,093,00290,874,829,1,18,1,1,0,3,21,674,650,1,6,1,1,0,0,15,207.9,81,196.1,89,173.9,103.1,121.8,76.1,171.9,115.8,183.9,69.5,198.1,87.9,195.4,91.7,130.1,72,97.1,74,83.9,188.1,125.9,192.4,87.8,175
18,093,00300,950,891,8,21,6,14,0,0,10,745,707,7,12,3,13,0,0,3,241.3,89.1,287.2,100.2,208.1,115.1,180.7,85,199.5,128.1,255.79999999999998,71.3,240.6,92.3,287.2,107.9,192.1,84.2,105.9,84.6,92.9,223.2,186.1,276.9,97.2,232.3
18,093,00310,373,349,9,9,1,0,0,1,4,293,274,7,6,1,0,0,1,4,187.9,51,175.1,74.2,176.8,69.9,151.9,72.8,165.1,84.1,175.9,40.9,185.9,53.9,187.9,64.8,167.1,49.1,64.7,60.699999999999996,59.7,178.9,159.5,179.7,62.3,175.1
18,093,00320,1195,1170,3,12,0,3,0,0,7,933,922,0,5,0,3,0,0,3,412,121,422.6,144.4,364.1,155.3,278.2,123.7,341.1,182.4,375.5,91.7,397.2,128.3,430.09999999999997,132.3,301.8,101.7,146.5,113.3,123.1,378.8,290.1,409.7,131,370.1
