state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_bro,uss_20_dem_str,uss_20_rep_wei,atg_18_dem_rac,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
11,001,02-015,5487,4188,182,469,8,481,3,16,140,5341,4098,174,450,8,468,3,16,124,2861.1,154.1,2924,170,1732.9,2246.9,245.2,2106.2,2861.1,1919.8,2585.5,154.1,NA,207.5,2374.2,189.7
11,001,02-016,5206,3460,860,390,3,330,3,16,144,4883,3367,715,347,3,316,3,13,119,2899.5,132,2877.3,185.6,1699.4,2248.8,273.4,2002.1,2899.5,1850.9,2563.3,132,NA,229.5,2345.4,197.1
11,001,02-017,10041,5016,1680,2250,25,804,6,29,231,9380,4950,1561,1851,25,761,6,22,204,4289.8,233.8,4149.1,316.1,2606.1,3250.8,462.9,2979.1,4289.8,2792.9,3699.8,233.8,NA,389.5,3454.7,337.6
11,001,02-018,5864,1771,2713,696,17,499,1,12,155,5017,1720,2184,553,17,416,1,5,121,3854.6,125.60000000000001,4092,215.1,2485.9,3350.1,313.5,2802.3,3854.6,2644.4,3721.2,125.60000000000001,NA,264.4,3316.8,218.1
11,001,02-019,5219,1385,3169,347,10,151,0,7,150,4438,1324,2555,275,10,142,0,7,125,3107.6,61.1,3488.9,104.9,1951.1,2844,171.2,2297,3107.6,2123.9,3166.6,61.1,NA,138.3,2737.6,112.4
11,001,02-020,2640,191,2202,118,5,23,2,10,89,2445,179,2047,100,5,20,2,8,84,1277.1,19.099999999999998,744.2,28.1,686.1,592,43.1,744.2,1277.1,715,668.1999999999999,19.099999999999998,NA,35.5,808.7,30.1
11,001,02-021,2556,935,1255,224,9,61,1,27,44,2114,878,941,176,9,57,1,15,37,1301.8,44,1294.2,55.8,828.6999999999999,1040,87.5,947,1301.8,887.8,1166.9,44,NA,71.8,1082.2,62.2
11,001,02-022,5310,3133,1154,563,25,301,2,12,120,4969,3050,1010,488,22,289,2,8,100,3325.9,103,3799.9,207.1,2069.7,3040.1,336.9,2477.9,3325.9,2273.7,3419.9,103,NA,272,2942.6,215.7
11,001,02-023,4579,1660,1440,1178,10,191,4,12,84,3902,1620,1137,876,7,171,3,12,76,2523,66.1,2586.9,113,1524.8,2092,151,1813,2523,1669,2339.6,66.1,NA,131.7,2107.8,110.1
11,001,02-024,4291,2652,549,664,5,275,1,16,129,3969,2540,497,556,5,255,1,12,103,2494.2,89.1,2624.1,129.9,1546.1000000000001,2039.1,199,1890,2494.2,1718.3,2331.5,89.1,NA,164.3,2118.5,139.3
11,001,02-025,6542,5087,342,595,7,341,4,6,160,6140,4823,325,516,7,325,4,5,135,3797,154.9,4033.3,195,2226.1,3089.9,312.1,2884.9,3797,2555.3,3561.7,154.9,NA,253.5,3206.3,220.4
11,001,02-026,4890,3882,133,393,5,349,0,14,114,4404,3543,121,328,4,315,0,9,84,2869.8,163.8,3098,226.2,1808,2403,322,2286.2999999999997,2869.8,2046.9,2750.5,163.8,NA,273.5,2492.9,237.3
11,001,02-027,3950,3249,107,289,4,176,1,13,111,3303,2754,91,237,4,151,1,4,61,2282,125.1,2403,141.7,1361.9,1745,222.4,1812.2,2282,1586.4,2074.2,125.1,NA,182.2,1920.6,163.3
11,001,02-028,4857,3769,239,419,8,296,4,27,95,4463,3507,220,365,7,270,3,17,74,2355.9,263.9,2511.8,303,1451,1940.1,332.1,1822,2355.9,1636.5,2226.1,263.9,NA,317.5,2016.1,299.7
11,001,02-029,2670,1995,219,207,4,164,1,7,73,2416,1825,203,176,4,154,1,6,47,1295,101.9,1404.1,98.7,750.9,1076,131,965,1295,858.1999999999999,1240.1,101.9,NA,114.8,1098.2,110.5
11,001,02-030,3067,2402,118,229,6,208,2,3,99,2461,1949,100,167,6,187,2,3,47,1226.3999999999999,130.1,1314.8,121.9,801.2,1002.2,162.4,991.8,1226.3999999999999,897,1158.5,130.1,NA,142.1,1067.2,138.5
11,001,02-031,4475,3601,177,291,5,229,0,19,153,3547,2904,148,227,5,183,0,10,70,2235.8,209.3,2401.1,207.8,1450.2,1801.7,288.1,1763.5,2235.8,1607.3,2101.4,209.3,NA,248.3,1930.4,234.5
11,001,02-032,4612,3639,278,295,3,263,3,25,106,3847,3054,250,235,3,234,3,13,55,2497,182.9,2725.9,197.7,1567.9,2065.5,262.7,1974,2497,1770.7,2394.9,182.9,NA,229.9,2166.3,214.5
11,001,02-033,5175,3939,275,410,10,390,3,14,134,4471,3401,240,357,8,356,3,8,98,2704.2,176.2,2873.3,178.9,1647.4,2217.8,243.9,2125.1,2704.2,1886.4,2545.7,176.2,NA,210.9,2313.5,199.8
