state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_16_dem_wyd,uss_16_rep_cal,uss_20_dem_mer,uss_20_rep_per,gov_16_dem_bro,gov_16_rep_pie,gov_18_dem_bro,gov_18_rep_bue,atg_16_dem_ros,atg_16_rep_cro,atg_20_dem_ros,atg_20_rep_cro,sos_16_dem_ava,sos_16_rep_ric,sos_20_dem_fag,sos_20_rep_tha,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
41,033,NA,82713,73289,295,5251,966,667,117,77,2051,65830,59750,183,3146,753,536,92,62,1308,13428.6,26849.2,18413.5,31657.3,18418.1,20716.5,18655.2,29598.9,15106.4,24013.9,12191.6,24440.5,15008.5,24565.1,17678.8,29926.5,11685.2,26272.9,15617.9,30930.2,14732.1,12191.6,17596.5,24489.5,24440.5,30520.7
41,035,NA,66380,53822,394,6915,2407,615,68,63,2096,51577,43619,277,4113,1741,493,55,44,1235,7200.4,20445.7,10386.1,25302.5,12338.1,14812.8,11240.1,23578.4,8420.8,19210.7,6295.5,19144.7,8542.6,18885.3,10243,24147.3,6344.2,19891.7,8904.3,24801.2,8566.1,6295.5,10189.8,18654.9,19144.7,24455.1
41,037,NA,7895,6875,37,545,149,44,5,7,233,6370,5725,33,308,113,34,5,7,145,638.6,3021.6,792.4,3472.5,1363.1,2224,908.7,3258.9,762.1,2792.6,476.5,2770.7,810.4,2672.9,766.7,3329.6,584.5,2823.3,686.6,3400.7,830.7,476.5,787.7,2706.3,2770.7,3366.7
41,039,NA,351715,297808,3102,26167,3418,8169,732,514,11805,282026,245734,2335,16322,2621,6844,577,353,7240,102751.3,67139.2,134365.7,80344.1,110835.8,56720.7,133034.4,75553.7,103225.3,72210,96835.7,67748.4,104163.5,65674,126957.8,77602.4,88453.6,75420.8,114751.2,82697.1,101893.2,96835.7,127283.2,67441.1,67748.4,79048.4
41,041,NA,46034,38863,159,3655,1433,482,52,36,1354,38081,33349,113,2248,988,419,45,31,888,12500.1,10037.9,17384.9,12459.2,14508.6,7727,17486.9,11623.3,13208,10085.9,12611.5,9881.1,13702.8,9330.7,16852.9,12002.8,11291.5,10287,15298.9,12508.8,13043.1,12611.5,16757,9491.1,9881.1,12152.6
41,043,NA,116672,101579,456,9127,1268,1078,150,126,2888,88499,79412,297,5176,955,834,116,89,1620,17993.1,33468.2,26510.7,43463.9,23901.2,26974.9,27041.8,40779.8,19150.4,34517.6,16456.5,33032.6,21081.1,30744.5,25656.3,40864.4,15994.4,33804.8,22575.2,42829.3,19626,16456.5,25446.7,31905.9,33032.6,41981.7
41,045,NA,31313,19906,331,9867,235,511,12,21,430,23309,16193,311,5872,187,467,8,12,259,2242.4,7192.7,3253.1,8186,3079.4,6044.4,3351.9,7880.9,2438.8,6961.8,2158.8,6001,2604.2,6839.2,3179.2,7894.2,2122.5,6946.6,2819.6,8144.6,2499.4,2158.8,3146.8,6801.9,6001,8025.6
41,047,NA,315335,216758,2906,76594,3290,5790,2254,411,7332,231954,173166,2187,43961,2444,4494,1398,269,4035,57797.7,63404,80882.3,79030.4,66282.9,55375.4,80005.2,75929.1,55752.4,72778.3,55241.5,63341.9,61496.8,61436.4,76912.6,76098.6,47718.8,70819.2,69128.1,81239.9,57800.8,55241.5,76730.7,64761,63341.9,78067.7
41,049,NA,11173,7218,36,3497,112,100,13,16,181,7983,5638,19,2035,86,80,7,8,110,1017.6,2720.6,1372,3581.9,1719.3,1979.7,1558.6,3322.9,1151.3,2680.5,844.7,2533.7,1297.2,2440.1,1416.9,3359.9,971.9,2596.3,1239.3,3487.4,1235.7,844.7,1397.3,2481.4,2533.7,3439.5
41,051,1,186190,155274,3993,9083,1124,9628,361,420,6307,159956,135444,3316,7075,1005,8274,293,319,4230,99483,13012.8,122790,14400.1,94035,12667,118645.2,14780,92013,21166.7,93124.4,22108.6,91961.5,17301.9,115474.2,16529.2,74043.6,29394.3,106618.9,18884.9,90312.5,93124.4,115881.2,18704.7,22108.6,16148.4
41,051,2,173315,117591,19813,18088,1409,7660,1079,446,7229,139217,100660,14733,11413,1109,6064,767,324,4147,87157,9161.6,106085.6,10715.8,82098.8,7690.2,103165.9,10182.1,83904.3,12941.9,85444.1,13021.4,83167.1,10714.7,101085.2,11342.2,69672.5,18421.6,94565.7,12177.4,81204.5,85444.1,101225.6,11789.7,13021.4,11100.6
