state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_18_rep_wic,uss_18_dem_bar,uss_r18_rep_hyd,uss_r18_dem_esp,uss_20_rep_hyd,uss_20_dem_esp,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
28,003,504,2871,2088,583,160,1,5,1,5,28,2260,1712,409,113,1,5,1,3,16,885.4,317.5,917.3,370.8,672.1,247.1,574.4,281.4,840.7,438.9,317.5,247.1,405.3,885.4,672.1,878.8,330.8,777.1
28,005,101,633,417,201,11,0,0,1,0,3,493,347,132,10,0,0,1,0,3,195.1,73.4,177.7,82.4,140.2,50.3,117.9,51.4,168.8,87.8,73.4,50.3,84.8,195.1,140.2,172.79999999999998,69.7,159.4
28,005,102,826,546,257,18,1,0,0,0,4,650,454,182,9,1,0,0,0,4,342.1,120.6,352.9,112.8,279.4,93.3,242.4,104.4,339.2,126.2,120.6,93.3,119.4,342.1,279.4,345.9,111.3,311.5
28,005,103,636,509,114,0,3,0,0,0,10,487,391,88,0,1,0,0,0,7,300.4,51.8,316.7,45,218,36.4,204.1,38.1,302.3,52.5,51.8,36.4,48.2,300.4,218,309.3,44.8,268.4
28,005,104,517,467,39,4,7,0,0,0,0,418,379,32,2,5,0,0,0,0,264.5,48.9,300.5,47.800000000000004,208,37.6,185.5,40.2,292.1,52.8,48.9,37.6,49.9,264.5,208,296.4,45.4,250.2
28,005,201,404,135,265,0,0,0,0,2,2,297,97,199,0,0,0,0,0,1,42.9,131,43.9,129,28.9,101.9,22.8,108.1,41.4,132.2,131,101.9,130.6,42.9,28.9,42.5,120.5,36
28,005,202,525,118,398,1,0,0,0,0,8,380,80,293,1,0,0,0,0,6,83.9,169.3,86.4,144.8,55.9,110.2,42.5,121.3,80.9,156,169.3,110.2,149.9,83.9,55.9,83.7,140.2,69.89999999999999
28,005,203,724,418,295,11,0,0,0,0,0,533,317,210,6,0,0,0,0,0,223.7,130.4,236.7,148.8,173.6,103,144.5,100.1,225.7,156.9,130.4,103,152.4,223.7,173.6,231.3,127.6,201
28,005,204,539,406,116,5,3,0,0,0,9,413,314,87,4,3,0,0,0,5,118.8,153.3,128.1,143.1,86.6,105.5,74.5,114.7,125.8,149.79999999999998,153.3,105.5,146.3,118.8,86.6,126.9,133.5,106.6
28,005,205,626,137,477,10,0,0,0,0,2,495,111,374,8,0,0,0,0,2,127.10000000000001,196.3,128.6,200,90.1,148.3,85.5,158.2,127.3,205.6,196.3,148.3,202.70000000000002,127.10000000000001,90.1,128.1,182,111.9
28,005,301,334,135,198,0,1,0,0,0,0,251,110,140,0,1,0,0,0,0,88.5,94.39999999999999,88.5,91.4,57.7,61.7,61.7,67.4,88.5,92.10000000000001,94.39999999999999,61.7,91.9,88.5,57.7,88.5,81.5,77.1
28,005,302,1323,301,1000,16,1,0,0,0,5,1005,246,743,11,1,0,0,0,4,151.9,570,158.8,537.5,104.7,407.3,101.9,416.6,150.3,534.8,570,407.3,536,151.9,104.7,154.5,493,133.6
28,005,303,174,140,29,0,0,2,0,0,3,145,116,26,0,0,2,0,0,1,73.7,25,64.8,25,56.3,18.8,51.8,20.9,61.6,25.7,25,18.8,25.6,73.7,56.3,63.4,23.2,61.9
28,005,304,314,306,7,0,1,0,0,0,0,264,257,6,0,1,0,0,0,0,192,6.5,212.9,8.4,160.3,5.6000000000000005,139.9,3.9,206.1,13.8,6.5,5.6000000000000005,10.9,192,160.3,209.7,8,182.3
28,005,401,882,540,327,5,2,3,0,0,5,704,438,259,2,2,1,0,0,2,397.40000000000003,136.8,433.5,131.7,302.8,101.8,287.5,109,423.1,139.7,136.8,101.8,135.8,397.40000000000003,302.8,428.6,123.5,369.2
28,005,402,396,254,141,0,0,0,0,0,1,332,216,116,0,0,0,0,0,0,135,50.5,133.6,50.1,102,42.1,94.2,45,127.3,53.9,50.5,42.1,52.1,135,102,130.6,48.5,118.4
28,005,403,801,550,243,3,1,2,0,0,2,621,444,173,1,1,0,0,0,2,281,141.5,284.4,136.3,206.7,109.7,187.3,125.60000000000001,274.1,143.1,141.5,109.7,139.5,281,206.7,279.9,131.4,247.2
