state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_16_dem_wie,uss_16_rep_mor,uss_20_dem_bol,uss_20_rep_mar,gov_18_dem_kel,gov_18_rep_kob,atg_18_rep_sch,atg_18_dem_swa,sos_18_rep_sch,sos_18_dem_mcc,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
20,003,00014A,349,328,0,6,1,7,1,0,6,264,251,0,3,1,2,1,0,6,27.6,132.3,34.7,155.3,30.8,133.7,44.5,134.29999999999998,51.4,80.6,97.3,40.6,95.8,38.2,28.5,43.3,39.6,132.9,91.7,144.1
20,003,000150,107,103,2,0,1,0,0,0,1,78,75,2,0,0,0,0,0,1,5.5,32.6,7.8,36.5,6.6000000000000005,32.4,7.9,35.6,10.3,20.2,24.6,7.7,24.6,6.8,6.5,7.8,7.8,32.6,23.4,36.199999999999996
20,003,000160,170,163,0,7,0,0,0,0,0,132,128,0,4,0,0,0,0,0,11.6,64.3,14.8,70.4,13.2,60,17.6,60.5,18.7,39.6,51.1,12.8,47.7,11.6,12.1,13.3,15.700000000000001,61.3,46.1,65.9
20,003,000170,305,291,9,0,1,0,0,0,4,223,217,2,0,1,0,0,0,3,40.4,98.9,48.7,126.1,42.6,95.6,48.7,115.60000000000001,57.1,68.6,79.3,47.6,76.1,42.6,41.8,48.800000000000004,48.7,97.4,74.8,120.3
20,003,000180,452,441,0,5,2,0,0,0,4,308,304,0,1,2,0,0,0,1,17.5,75.3,18.900000000000002,113.7,20.4,73.7,20.8,104.6,18.6,59.7,65.3,13.6,61.6,17.1,17.8,17.1,19.1,74.4,61.6,107
20,003,000190,166,161,1,0,0,0,0,0,4,133,131,1,0,0,0,0,0,1,8.8,55.6,13.3,61.699999999999996,11.2,55.4,13.8,60.4,18.1,34.7,42,12.8,42,12.1,10.700000000000001,13.6,13.4,55.6,39.9,61.3
20,003,000200,366,348,1,10,2,0,0,0,5,273,262,0,5,2,0,0,0,4,45.7,109.2,39.9,137.5,46,109.2,42.5,122.7,54.6,62.2,87.6,42.5,82.2,39.3,46,45.5,41,109.2,77.7,129.2
20,003,000210,272,260,0,2,5,2,0,0,3,206,199,0,2,3,0,0,0,2,28.8,95,26.4,117.8,23.3,97.1,28.8,111,29.6,73.4,89.7,16.9,81.8,20.6,25.6,22,27.4,96.2,81.8,113.8
20,003,000220,290,278,1,4,1,6,0,0,0,221,211,1,3,1,5,0,0,0,31.9,97.4,36.3,110.5,30,97.4,40.6,94.9,48.2,65.9,79.4,37.699999999999996,73.6,34.5,31.4,39.2,37.699999999999996,97.4,73.39999999999999,101.5
20,003,000230,163,144,3,4,3,0,0,0,9,103,95,1,1,2,0,0,0,4,10.3,41.3,10.700000000000001,48.4,10.700000000000001,41.3,9.4,45.4,16.4,27.8,36.6,9.9,29.599999999999998,11.6,10.6,12.3,10,41.3,30.9,47.1
20,003,000240,209,208,0,0,0,0,0,0,1,158,157,0,0,0,0,0,0,1,15.8,63.4,16.3,73.6,16.3,63.4,14.8,69.8,25,42,56.3,15.3,46,17.2,16.1,18.7,15.5,63.4,47.4,72.4
20,003,200010,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.1,0.5,0.1,0.6,0.1,0.5,0.1,0.5,0.1,0.4,0.4,0.1,0.4,0.1,0.1,0.1,0.1,0.5,0.4,0.6
20,003,200020,458,451,1,6,0,0,0,0,0,328,325,0,3,0,0,0,0,0,32.4,151.1,35.6,186,37.4,152.6,35.6,176.9,47.3,116.4,135.6,36.2,141.2,32.4,34.4,38.1,35.6,152.1,131.1,181
20,005,000010,831,735,41,36,6,0,0,0,13,601,545,20,24,6,0,0,0,6,74,156.8,95.10000000000001,194.1,88,156.8,94,179.5,78.2,83.2,98.7,81.2,98.3,65,80.9,74.8,94.7,156.8,93,186.7
20,005,000020,729,637,59,6,7,7,0,0,13,545,484,37,5,6,7,0,0,6,95,159.8,114.9,190.1,84.1,197.9,117.6,186.1,113.7,111.7,145.2,90.9,145.8,87.2,89.8,97.5,116.1,178.6,134.4,188
20,005,000030,1057,938,45,35,4,6,1,0,28,843,759,36,24,4,6,1,0,13,110.1,173.8,142.8,187.9,101.8,178.9,142.1,173.8,111,100.9,127.1,100.2,121.1,100.9,106.1,103.9,142.3,176.4,116.4,180.8
20,005,000040,2407,2104,147,66,18,21,5,3,43,2050,1828,109,56,11,15,5,3,23,203.6,275.1,221.9,341.8,171.9,329.9,223,314.7,212.9,210.9,273.9,183.2,258.09999999999997,182.1,188,192.4,222.5,302.9,247.79999999999998,327.8
20,005,00005A,2247,1715,332,66,7,11,0,2,114,1589,1260,245,34,6,6,0,1,37,339.90000000000003,493.7,414.7,646.8,303.8,555.5,415.5,592,383.1,326.9,436.5,330.9,407.4,328.4,322.2,347.2,415.1,524.3,390.4,619
20,005,00006A,1119,999,49,20,2,3,0,1,45,858,793,30,11,2,3,0,0,19,205.8,217.4,226.9,276.3,184.7,228.9,225.3,240.79999999999998,238.1,124.8,173.3,202.5,171.70000000000002,198.5,195,212.7,226,223.2,156.4,258.8
20,005,00006B,4,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0.2,0.4,0.2,0.5,0.2,0.4,0.2,0.4,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.4,0.3,0.4
20,005,00006C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,005,00007A,1607,1466,70,36,6,4,1,4,20,1174,1097,42,18,5,2,1,0,9,187.1,296,245.7,355,196.3,309.2,250.6,332,234.7,150.6,198.3,216.4,191.1,207.2,191.9,219.4,248.4,302.1,180,343.3
