state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_men,uss_18_rep_hug,uss_20_dem_boo,uss_20_rep_meh,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
34,001,105201,1361,912,227,155,1,14,0,0,52,994,755,121,86,1,9,0,0,22,294.4,239.1,366.2,304.4,208,210.9,357.2,295.5,294.4,208,361.8,239.1,210.9,299.9,306.5,262.4
34,001,105202,784,707,14,55,4,3,0,0,1,641,587,10,39,3,1,0,0,1,164,200.9,236.3,196.6,130.79999999999998,167.9,230.6,190.6,164,130.79999999999998,233.7,200.9,167.9,193.6,190.6,189.3
34,001,105203,1171,872,87,105,4,58,0,0,45,895,709,57,61,4,46,0,0,18,261,251,329.7,274.4,194.1,218,321.6,266,261,194.1,325.7,251,218,270.3,276.3,252.1
34,001,105204,1878,1412,153,171,3,82,0,1,56,1470,1169,103,107,3,65,0,0,23,460.1,389,541.7,450.7,327.2,334,527.8000000000001,437.2,460.1,327.2,534.7,389,334,444,464.1,402.40000000000003
34,001,10601,1575,353,119,579,1,484,0,1,38,1233,330,87,420,1,372,0,1,22,267.40000000000003,116.89999999999999,401.2,125,155.7,102.6,390.7,106.5,267.40000000000003,155.7,395.9,116.89999999999999,102.6,115.8,303.9,112.9
34,001,10602,1712,531,400,602,0,168,0,0,11,1217,465,245,389,0,111,0,0,7,428.8,225.3,396,123,286.4,180.6,385.7,105.1,428.8,286.4,391.1,225.3,180.6,114.4,374.4,158.3
34,001,10603,2989,781,84,1127,8,927,2,8,52,2364,712,74,802,5,725,0,8,38,639.4,322.2,769.3,239.7,405.2,292.9,749.6,204.1,639.4,405.2,759.6,322.2,292.9,222.1,641,264.5
34,001,10604,801,605,26,74,1,88,0,0,7,694,549,18,54,1,70,0,0,2,150.5,125.4,226,70.5,113.10000000000001,120.1,220,60,150.5,113.10000000000001,222.9,125.4,120.1,65.1,177.5,93.8
34,001,10605,4,3,0,0,1,0,0,0,0,4,3,0,0,1,0,0,0,0,1.8,0.2,1.3,0.4,1.3,0.2,1.3,0.3,1.8,1.3,1.3,0.2,0.2,0.3,1.4,0.3
34,001,110001,1789,699,98,600,8,341,5,0,38,1411,655,71,409,7,239,3,0,27,333.3,251.8,425.8,398.2,262.3,216.3,410.7,384.4,333.3,262.3,418.3,251.8,216.3,391,358,312.8
34,001,110002,961,670,33,187,2,61,0,0,8,808,594,26,129,1,52,0,0,6,191,144.2,243.8,228.1,150,123.8,235.2,220.1,191,150,239.5,144.2,123.8,224.20000000000002,204.7,179.1
34,001,110003,1199,727,65,256,0,122,0,0,29,944,651,39,157,0,88,0,0,9,240.9,180.1,284.9,266.6,152,162,274.7,257.3,240.9,152,279.5,180.1,162,261.9,238.1,216.4
34,001,110004,972,725,31,140,3,48,0,6,19,782,627,19,86,3,35,0,1,11,186.7,242.79999999999998,236.1,220.3,134.3,227.9,227.9,212.9,186.7,134.3,232,242.79999999999998,227.9,216.9,196.5,225.8
34,001,110005,1188,1052,7,59,2,53,0,0,15,1006,904,7,43,2,42,0,0,8,247.5,305.8,303.1,283.6,181.1,283.2,293,274,247.5,181.1,297.9,305.8,283.2,279.1,256.4,286.4
34,001,110006,1585,1061,55,292,1,159,0,1,16,1247,894,42,189,1,115,0,0,6,331.3,358.2,376.6,351.9,250.2,320.8,363.1,339.5,331.3,250.2,369.5,358.2,320.8,345.7,330.5,342.4
34,001,110007,1009,694,55,168,1,75,0,3,13,839,617,42,120,1,54,0,2,3,214,159.6,253.3,236.8,134.9,143.9,244,228.6,214,134.9,248.6,159.6,143.9,232.7,211.5,192.4
34,001,110008,885,710,28,115,0,23,0,2,7,760,650,16,77,0,14,0,1,2,208.7,199.29999999999998,229.4,214.6,167.3,187.2,221.29999999999998,207,208.7,167.3,225.2,199.29999999999998,187.2,210.8,206.4,201.9
34,001,110009,1062,886,12,105,5,40,0,1,13,880,760,9,64,5,30,0,1,11,242.4,230.8,265.4,248.1,193,217.4,256.2,239.7,242.4,193,260.90000000000003,230.8,217.4,244.1,239.1,233.8
34,001,115001,1352,1229,43,59,3,8,0,0,10,1044,951,35,46,1,6,0,0,5,213.8,377.9,310.3,483.3,185.1,316,311.4,458.1,213.8,185.1,310.8,377.9,316,470.5,255.2,408.9
34,001,115002,1363,1170,84,65,2,16,0,2,24,1204,1075,49,48,2,15,0,2,13,336,476.2,358.2,557.4,253.9,437.4,359.2,528,336,253.9,358.9,476.2,437.4,542.7,327.1,499.9
34,001,15101,2556,2405,14,76,2,28,0,2,29,2037,1940,10,50,1,25,0,0,11,513.8,904.6,587.5,1019.7,428.3,879.9,558.7,1026,513.8,428.3,572.9,904.6,879.9,1022.9,522.2,957.6
34,001,15201,2059,1807,29,137,2,51,1,0,32,1786,1614,21,84,2,44,1,0,20,380.3,550.2,444.2,654.6,276.8,526.4,412.7,651.6,380.3,276.8,427.9,550.2,526.4,653,378.9,594.7
34,001,15301,2249,1970,52,149,1,44,0,2,31,1945,1743,46,93,1,40,0,2,20,462.6,659.6,550.3,691.6,326.7,578,523,684.8,462.6,326.7,537,659.6,578,687.8,465.3,653.3
34,001,15401,2586,1757,149,288,1,319,1,7,64,2133,1540,110,195,1,242,1,3,41,528.8,545.9,601.8,653.3,358.9,512,603.8,610,528.8,358.9,603.5,545.9,512,631.4,523.1,580
34,001,20001,942,697,60,153,3,2,2,0,25,754,579,48,108,3,2,2,0,12,154.8,193.8,210.2,248.7,123.4,154.1,207.1,230.5,154.8,123.4,208.4,193.8,154.1,239.4,173.8,206.79999999999998
34,001,20002,1199,575,110,489,3,10,0,2,10,861,449,80,317,1,6,0,2,6,200.9,252.1,240.2,283.9,150.1,189.5,236.3,263.2,200.9,150.1,238.4,252.1,189.5,273.5,206.7,247.4
34,001,20003,1166,772,43,303,2,30,0,0,16,885,625,32,201,1,18,0,0,8,205.1,257.1,246.6,292,153.6,193.8,243,270.4,205.1,153.6,244.7,257.1,193.8,281.1,212,253.7
