state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_men,uss_18_rep_hug,uss_20_dem_boo,uss_20_rep_meh,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
34,001,65009,1797,1160,164,400,0,42,0,1,30,1287,890,103,256,0,26,0,0,12,300.8,388.5,335.8,517.2,224.5,312,324.5,487.5,300.8,224.5,329.9,388.5,312,502,296.3,426.4
34,001,70101,2271,2053,37,64,0,77,0,6,34,1777,1636,29,35,0,58,0,3,16,573.8,563.1999999999999,680.7,758.2,380.09999999999997,560,657.8,744.1,573.8,380.09999999999997,670,563.1999999999999,560,751.1,573.2,656.8
34,001,70102,1374,1288,5,34,5,28,0,5,9,988,938,3,18,4,19,0,2,4,293.2,445.3,378.4,421.7,230.7,392.4,366.1,414.1,293.2,230.7,373,445.3,392.4,417.6,316.9,418.7
34,001,70201,1321,1182,9,48,0,67,0,3,12,1031,935,5,35,0,49,0,0,7,330,421.09999999999997,450.40000000000003,477,270.8,409.9,426,486.7,330,270.8,438.4,421.09999999999997,409.9,482.2,369.3,448.6
34,001,70202,985,917,3,28,0,26,0,0,11,729,691,3,15,0,14,0,0,6,227.8,341,318.5,337.5,203.1,324.2,301,344.2,227.8,203.1,309.8,341,324.2,341.2,262.6,336.8
34,001,70203,1141,1009,9,36,0,71,0,2,14,804,728,3,17,0,50,0,2,4,250.5,298.9,351,371.9,211.1,294.6,332,379.7,250.5,211.1,342,298.9,294.6,376.3,286.1,336.1
34,001,75001,895,877,3,10,0,4,0,0,1,791,778,3,8,0,2,0,0,0,182.6,305.9,263.2,370.9,127.4,302.6,243.9,372.5,182.6,127.4,252.3,305.9,302.6,371.9,205,338.4
34,001,80001,397,388,2,4,0,1,0,0,2,360,352,2,3,0,1,0,0,2,123.8,107.7,123.1,128.2,95.2,109.10000000000001,121,125.6,123.8,95.2,122,107.7,109.10000000000001,126.9,115.7,117.7
34,001,80002,433,393,6,20,2,9,0,0,3,397,368,6,12,2,8,0,0,1,126.1,139.5,135.7,141.3,97.7,130.2,133.4,138.4,126.1,97.7,134.1,139.5,130.2,140.2,123.6,137.2
34,001,80003,531,519,2,6,0,3,0,0,1,452,442,2,4,0,3,0,0,1,144.2,146.2,154.5,161,114.69999999999999,133.4,151.9,157.5,144.2,114.69999999999999,152.8,146.2,133.4,159.5,141,149.6
34,001,80004,776,711,7,35,0,13,0,2,8,717,667,7,24,0,12,0,1,6,141.5,183.4,244.6,255.3,97,153.2,240.6,250.3,141.5,97,242.4,183.4,153.2,253,181.2,210.7
