state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_rin,uss_18_rep_bra,uss_20_dem_gid,uss_20_rep_col,gov_18_dem_mil,gov_18_rep_moo,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
23,001,150682,8278,7847,81,119,22,77,1,6,125,6540,6270,50,71,22,57,1,6,63,2126.5,1963,2503.3,1934,346.5,1384.5,2036.8,2249.9,1863.8,1558.8,2126.5,1105.2,2270.6,1963,1470.8,2092,1775.4,1818
23,001,150692,8292,7346,393,179,61,80,6,6,221,6322,5825,196,96,44,61,2,1,97,1860.9,1870.8,2370.9,1940.7,310.4,1341.1,1911.6,2240.7,1574.7,1474.9,1860.9,942.2,2141.4,1870.8,1408.1,2090.6,1605.7,1774.3
23,001,150702,6485,6199,82,51,9,57,3,4,80,5094,4929,41,26,6,39,3,4,46,1354.3,1501.5,1675.8,1546.9,213.3,1092.8,1327.1,1769.8,1169.6,1205.7,1354.3,689.9,1500.8,1501.5,1148.3,1658,1147.4,1424.3
23,001,151012,1765,1712,3,16,4,8,0,1,21,1414,1382,2,11,4,5,0,1,9,424.2,570.3,516.4,645.2,72,428.7,394.5,731.3,366.8,482.4,424.2,219.7,455.1,570.3,455.2,688.5,355,571.3
23,001,151032,3611,3504,16,16,12,16,0,3,44,2766,2705,8,6,10,9,0,2,26,829.8,1115.3,1010.5,1262.4,140.4,838.5,772.3000000000001,1430.6000000000001,717.7,944.9,829.8,429.3,890.7,1115.3,891.1,1347.1,693.9,1117.6
23,001,151051,4247,4113,12,35,5,31,1,6,44,3288,3202,11,24,5,21,1,3,21,1167.7,1388.2,1472.7,1461,187,1000.8,1119.7,1713,999.8000000000001,1232.4,1167.7,593.2,1295.9,1388.2,1116.7,1586.2,989.5,1358.7
23,001,160703,2253,2165,8,26,2,16,0,0,36,1811,1756,5,18,2,12,0,0,18,466.7,675.8,531.3,661.7,82,470.8,419.8,764.6,410.5,551.4,466.7,246.5,475,675.8,511.2,713,381.7,624.8
23,001,160713,8597,7672,571,125,22,59,1,3,144,6725,6283,249,69,19,45,1,2,57,1734.1,2181.8,2200.8,2088.5,295.9,1455.9,1774.1,2427.9,1492,1717.7,1734.1,894.2,1987.4,2181.8,1587.2,2258.2,1499.2,1974.1
23,001,160723,9262,6822,1730,270,36,60,8,30,306,6634,5513,754,143,30,44,7,11,132,1743.1,1365.7,2331.7,1378.1,486.8,745.8,2012.2,1579.7,1480.9,873.3,1743.1,984.7,2171.4,1365.7,809,1478.6,1610.9,1188.8
23,001,160733,8324,7383,346,170,54,110,3,12,246,6792,6185,214,119,42,97,3,7,125,2137,1304.5,2350.6,1384.2,594.5,767.3,2003.9,1605.4,1826.5,899.8,2137,1210.9,2176.8,1304.5,833.3000000000001,1495.3,1782.7,1192.4
23,001,160743,8156,7231,474,139,27,139,2,8,136,6537,6029,223,85,17,113,2,7,61,2212.3,1822.3,2304.5,1737,502,1202.7,1891.7,2025.3,1890.8,1459.2,2212.3,1196,2097.8,1822.3,1330.8,1880.9,1760.2,1649.4
23,001,170751,9226,8933,26,82,22,26,0,4,133,7198,7019,20,43,16,22,0,1,77,1689.2,3248.5,1968.7,3436.5,260.4,2098.9,1534.9,3723.3,1357.9,2448.7,1689.2,810.1,1752.1000000000001,3248.5,2272.8,3579.6,1362.4,2991.6
23,001,170801,1616,1546,5,20,6,10,0,0,29,1207,1167,2,11,4,5,0,0,18,221,579.2,278,616.9,25.2,407.8,195,683.9,194,457.2,221,109.3,236.5,579.2,432.4,650.1,182.7,549.1
23,001,170811,7608,7324,19,131,25,15,0,4,90,5831,5649,11,79,20,10,0,2,60,1446.9,2182.8,1633.5,2413,269.2,1382.9,1313.4,2620.6,1305,1613.4,1446.9,786.5,1472.4,2182.8,1496.9,2516.9,1195.2,2042.4
23,001,170961,5734,5453,24,156,18,17,2,2,62,4338,4174,16,95,13,10,2,2,26,1092.5,2014,1301.6,2057.1,138.6,1316.6,1014.6,2255.2,897,1528.4,1092.5,516.9,1158.8,2014,1422,2155.3,889,1834.1
23,001,170962,2607,2540,6,20,4,8,0,0,29,2002,1959,3,12,4,3,0,0,21,545.5,985.6,685.4,1044.8,58.3,708,522.3,1181.3,449.1,834.2,545.5,253.5,603.6,985.6,771.4,1112.5,451.8,950.3
23,001,171002,3031,2914,10,24,15,8,0,2,58,2298,2229,6,13,11,6,0,0,33,519.5,873.2,656.7,990.9,75.1,639.1,512.2,1059.2,453.5,670.9,519.5,263.7,583.6,873.2,655.8,1025,443.7,846.9
23,001,171041,8610,8227,52,90,39,36,2,10,154,6597,6384,35,41,26,25,2,4,80,1674.8,2662.6,2166.1,2763.5,306.5,1689.6,1725.6,3040.1,1514.4,1994.2,1674.8,910.6,1946.5,2662.6,1842,2901.5,1477.8,2430.6
23,003,340012,1302,1277,8,8,3,4,0,0,2,1045,1025,7,6,2,3,0,0,2,209.3,348.1,232.9,376.9,20.9,184.5,146.9,422,150,250.8,209.3,85,190.8,348.1,216.3,399.3,151.8,315.7
23,003,340042,8189,7826,34,67,111,56,4,2,89,6454,6216,27,33,83,42,3,1,49,1524.3,1998.2,1629.5,2148.8,170.7,1075.6,937.5,2681,1086.4,1512.1,1524.3,628.3,1285.1,1998.2,1293.4,2417.1,1070.1,1884.8
23,003,340052,8548,7987,42,118,207,82,4,0,108,6813,6460,31,63,138,67,4,0,50,1569,1841.1,1642.7,1985.9,199.4,1045.4,1167.5,2351.4,1100.4,1449.3,1569,651.4,1404.3,1841.1,1247.8,2166.5,1136.3,1734.3
23,003,340061,7612,7315,35,80,55,18,0,0,109,5921,5744,17,44,41,16,0,0,59,1258.9,2305.3,1326.5,2481.6,181.9,1307.7,893,2759.3,977.9,1828.2,1258.9,577.2,1107.7,2305.3,1564.7,2620.5,926.7,2137.7
23,003,340062,549,543,2,0,4,0,0,0,0,445,440,2,0,3,0,0,0,0,86.3,145.8,92.8,174.2,16.1,87.1,64.2,186.6,71.8,109.8,86.3,43.8,78.3,145.8,98.3,179.8,66.10000000000001,140.7
23,003,340071,2160,1989,5,20,104,3,0,0,39,1685,1599,4,7,57,3,0,0,15,243.3,758.9,287,816.9,47.9,398.1,197.5,836.1,199.7,522.4,243.3,123.7,241.7,758.9,460.3,826.5,194.6,666.9
23,003,340072,1861,1800,16,9,15,3,0,2,16,1547,1504,9,9,10,3,0,1,11,369.6,500.4,368.2,547.9,42.1,260.2,265.1,625.2,263.6,382.8,369.6,152,315.3,500.4,322.1,586.1,261.8,462.9
23,003,340081,8035,7358,43,82,372,48,1,1,130,6251,5847,23,48,230,33,1,1,68,1164.6,2306.9,1292.4,2420.4,155,1305.5,916.2,2633.9,920.6,1636.4,1164.6,535.4,1103.1,2306.9,1469.4,2526.4,890.2,2060.7
23,003,340091,6684,6458,22,49,92,9,0,0,54,5399,5250,14,32,57,8,0,0,38,886.6,2395.7,991.1,2714.5,122.5,1449,675.4,2888.8,773.3,1720.2,886.6,443.3,830.3,2395.7,1582.4,2800.2,691.6,2233.5
23,003,350011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4000000000000004,0,0,0,0,2.4000000000000004,0,0,2.4000000000000004,0,2.4000000000000004,0,0,0,0,0,0,0
23,003,350012,91,90,0,0,0,0,0,0,1,78,78,0,0,0,0,0,0,0,15,33,11.9,42.9,0.1,14.4,6.7,46.1,12.700000000000001,19.8,15,5.9,9.3,33,16.4,44.4,8.700000000000001,31.1
23,003,350013,6768,6457,36,43,66,30,1,1,134,5515,5283,29,29,54,22,1,1,96,1683.8,1715.1,1750,1942.4,266.8,800.3,1357.8,2209.9,1392.3,1231.7,1683.8,828.6,1553.5,1715.1,1016.7,2075,1290.2,1580.1
23,003,350023,7876,7701,8,38,47,10,0,1,71,6539,6417,7,20,37,8,0,0,50,2143.1,1994.5,2135.9,2257.2,327.6,1098.4,1616.4,2615.8,1760.2,1489.4,2143.1,1043.9,1876.5,1994.5,1292.1,2438.1,1596.7,1889.6
23,003,350033,7852,7323,174,117,83,29,1,6,119,6343,5963,143,83,60,16,1,5,72,1566.6,1722.6,1513.8,1826.2,196.4,986.7,1056.8,2221.1,1128.2,1290,1566.6,658.9,1283.8,1722.6,1138,2023.2,1093.1,1610.1
23,003,350072,4060,3943,5,32,36,14,0,1,29,3218,3140,4,19,22,10,0,1,22,734.5,1299.2,789,1377.2,89.3,724.7,546.5,1555.2,547.5,997.2,734.5,317.4,667.7,1299.2,860,1466.4,541.8,1191.3
23,003,350073,283,274,0,4,0,4,0,0,1,233,225,0,4,0,4,0,0,0,40.9,86.2,53.9,79.2,0,46.7,37.1,98.1,35.5,65,40.9,17.9,45.8,86.2,55.8,88.4,33.6,75.10000000000001
23,005,061252,404,365,1,14,0,15,0,4,5,333,306,1,8,0,11,0,2,5,121.7,83.1,176.89999999999998,86.7,24.5,53.5,143.79999999999998,105.6,101.4,68.8,121.7,62.9,160.20000000000002,83.1,61.00000000000001,96.2,113.6,79.6
23,005,061262,8578,7813,186,141,25,172,10,18,213,6795,6349,101,81,22,137,5,6,94,2633,1623,3611,1767.1,643.2,995.2,2934,2157.4,2387.5,1330.8,2633,1516.2,3272,1623,1163.2,1962.4,2441.5,1574.3
23,005,061272,4834,4582,21,60,10,97,0,2,62,3639,3488,17,33,8,63,0,1,29,1750.8,1240.9,2414.6,1316.6,277.3,913.1,1929.7,1716.8,1548.6,1239.3,1750.8,913,2172.3,1240.9,1076.3,1516.6,1583.4,1285.2
23,005,061282,10415,9680,63,130,22,370,1,7,142,7944,7470,42,85,17,269,1,4,56,3821.9,2709,5270.4,2874.3,605.3,1993.9,4213.7,3748.1,3380.7,2705.7,3821.9,1993.7,4742.7,2709,2350,3311.3,3458,2805.5
