state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_16_dem_lea,uss_16_rep_mil,uss_18_rep_zup,gov_16_dem_min,gov_16_rep_sco,gov_18_dem_hal,gov_18_rep_sco,gov_20_dem_zuc,gov_20_rep_sco,atg_16_dem_don,atg_16_rep_buc,atg_18_dem_don,atg_18_rep_wil,atg_20_dem_don,atg_20_rep_pai,sos_18_dem_con,sos_18_rep_pai,sos_20_dem_con,sos_20_rep_pai,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
50,001,VD1,1371,1317,1,34,0,6,0,0,13,1052,1012,1,28,0,2,0,0,9,323.7,336.8,445,378.6,354.8,390.6,265.9,196.1,577.5,153.9,465.2,145.2,679.9,434.1,307.40000000000003,370.1,245.2,500.1,316.4,323.7,281.8,423.7,357.1,326.9,282.5,378.6,403.9,314.9,432.8,333.4,383.6
50,001,VD10,1271,1239,6,5,5,2,0,1,13,956,942,0,2,2,1,0,1,8,494.3,188.4,723.3,210.9,531,210.3,162.8,429.5,330.1,396,340,350.2,573.2,558,168.1,570.5,152.3,701.8,166.7,560,172.1,644.7,201.9,503.09999999999997,508.8,605.2,223.9,206.7,288,541.8,239.8
50,001,VD11,8496,7509,106,258,13,365,0,13,232,7272,6399,98,230,11,341,0,12,181,2681.1,595.4,3479.7000000000003,730.6,2662.4,800.4,526.5,2212,1351.9,1943.4,1453.8,1624.6,2541.9,2688.9,658.8000000000001,2792.5,504.3,3248.9,656.9,2757.3,569.8,3114.7,686.1,2561.6,2498.1,2866.7,849.8,762.3000000000001,1153,2655.4,923.1
50,001,VD12,1980,1916,9,25,1,11,0,3,15,1508,1469,6,12,1,7,0,3,10,671.3,360.3,960,394.6,753.4,405,281,479.9,703.9,424.9,641.7,358,1009.7,794.2,336.7,779.8000000000001,268.3,962.3,329.09999999999997,750,300.5,879.1,361.3,674.8,651.4,789.8,451.9,373.1,523.7,710.8,449.4
50,001,VD13,1727,1677,5,22,1,4,1,2,15,1347,1312,1,17,1,2,1,1,12,593.5,335.5,731.4,395.5,617.6,408.5,282.4,398.1,663.3000000000001,331.8,596.6,231.1,899.4,702.7,311.8,657.6,260.8,743.1,334.3,600.4,295.5,657.6,369,577.5,530.1,591.3000000000001,430.5,358.5,498.9,568.6,429.4
50,001,VD14,1250,1217,3,6,6,8,0,2,8,964,943,2,5,4,6,0,0,4,270.1,284.6,367.3,350.59999999999997,306.3,317.8,263.7,172.3,464.9,149.9,410.9,110.7,592.7,345.8,267.2,333.2,250,400.9,289.2,308,274.1,350.59999999999997,296.6,273.7,264,306.5,333,299.6,382.9,283.4,338.7
50,001,VD15,677,645,1,17,3,4,0,0,7,536,511,1,15,2,4,0,0,3,170.9,126.1,271,137.1,178,150.4,95.39999999999999,114.10000000000001,226.7,109.8,185.3,96,306.7,216.1,117.6,186,85.8,273.8,114.10000000000001,187.1,101.1,240,125,169.7,160.8,220.1,155.2,117,170.8,185.7,147.7
50,001,VD16,588,564,0,7,1,4,0,0,12,467,446,0,6,1,4,0,0,10,228.3,57.699999999999996,280.2,76,251,62,39.3,201,124.1,183.1,104.5,165.1,188.7,251,48.8,248.1,38.1,271.3,57,247.2,39.3,251.8,62,233,226.2,242,73.1,55.3,95.8,234,74.8
50,001,VD17,1136,1107,0,10,4,7,0,1,7,893,872,0,8,3,6,0,1,3,296.09999999999997,189.1,393.3,257.8,320.8,206,147.3,197.9,341.1,142.5,315.9,158.3,501.7,348.1,168.1,320.8,132,426.3,198.7,293.2,160.7,370.8,221.9,291.3,252.4,337.1,225.5,188.8,295.1,297.5,236.6
50,001,VD18,1265,1211,8,31,3,4,0,0,8,998,963,3,23,3,2,0,0,4,356.1,211,445.3,263.1,390.2,235.9,172.8,262,372.7,191.9,353,184.9,526.9,400.5,184.2,379.6,163.1,452.8,204.4,351.4,180.3,399.4,218.5,352.4,307.9,370.9,251.6,217,302.7,346.8,257.3
