state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_dem_bid,pre_20_rep_tru,uss_16_rep_ayo,uss_16_dem_has,uss_20_dem_sha,uss_20_rep_mes,gov_16_rep_sun,gov_16_dem_van,gov_18_rep_sun,gov_18_dem_kel,gov_20_dem_fel,gov_20_rep_sun,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
33,015,PORT03,2444,2139,65,84,3,52,0,6,95,1920,1749,47,38,3,40,0,3,40,440.8,865.2,1078.4,469.5,508.1,819.7,1084.3,425.6,503,783.8,466,691.9,710.8,811,823,691.9,958,484.09999999999997,466,568.7,862.2,517.4
33,015,PORT04,5961,5065,104,242,20,402,2,4,122,4795,4147,89,158,13,314,2,4,68,1128.9,1996.1,2556.9,1198.9,1235.1,1959.2,2547.5,1094.6,1231.7,1858.4,1169.6,1590.5,1625.4,2032.6,1938.3,1590.5,2243.2,1198.1,1169.6,1442.3,2018.6,1299.3
33,015,PORT05,4605,4249,40,88,4,129,1,21,73,3964,3716,28,61,4,94,1,17,43,680.2,2121,2493.1,733.8,896,1991.9,2471.5,691.8,939.1,1890.2,789.6,1709.1,1771.7,1397.1,2001.9,1709.1,2245.3,839,789.6,940.8,2063.6,876
33,015,RAYM01,10138,9751,65,114,15,60,1,2,130,7941,7692,42,69,11,46,1,1,79,3153.8,1922.6,2380.9,3518.9,2932.9,2154.4,2662.1,3084.9,2951.9,2006.7,2516.9,1319.1,1328,4497.4,2027.9,1319.1,2122.3,3013,2516.9,3701.2999999999997,1968.3,3237.5
33,015,RYE01,5298,5131,15,58,1,47,2,5,39,4224,4110,10,38,1,32,2,4,27,1578.8,2210.8,2780.8,1619.8,1895.6,2086.4,2788.5,1562.8,1982.3,1922.9,1816.3,1713.4,1757.4,2637.4,2073.5,1713.4,2442.4,1818.9,1816.3,1940.2,2180.5,1870.5
33,015,SALE01,28776,25958,212,1270,36,925,8,56,311,22486,20576,146,834,30,703,7,38,152,9312.9,6068,7639.9,9970.2,8717,6426.4,8545.6,8717.7,9343.4,5517,7291.6,4035.9,4289.4,13200.7,6004.1,4035.9,6823.6,9124.7,7291.6,10627.7,6074.1,9506.7
33,015,SEAB01,8693,8296,45,126,9,91,0,18,108,7067,6807,30,87,6,67,0,16,54,2742.9,1595.8,1973,2594.6,2340.8,1874.6,2180.9,2554.9,2519.7,1586.8,1992.6,1114.5,1143.9,3664.7,1685.9,1114.5,1765.6,2534.1,1992.6,2938.4,1638,2629.9
33,015,SNDN01,5986,5785,12,94,7,17,1,14,56,4502,4371,11,57,6,12,1,9,35,2140.5,1203,1628.5,2267.2999999999997,1989.1,1331.2,1745.5,2077.5,2095.3,1164.5,1729,926.5,964.1,2912.5,1232.7,926.5,1445.3,2075.2,1729,2419.2,1281.2,2173.5
33,015,SOHA01,814,778,6,13,0,4,0,0,13,657,640,5,6,0,1,0,0,5,315.2,246,304.1,326,314.2,253.9,327.09999999999997,293.8,315.2,236.9,263.9,204.3,215.1,420.1,245.8,204.3,281.9,315.2,263.9,346.8,255.4,321.1
33,015,STRM01,7255,6917,10,95,6,138,4,2,83,5339,5138,4,62,5,86,4,2,38,2005.5,2593.2,3305.7,2115.4,2372.9,2432.7,3408.7,1963.8,2496.5,2219.9,2226.3,1986.2,2026.2,3377.7,2415.7,1986.2,2913.7,2291.4,2226.3,2485.3,2567.7,2365.7
