state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_ken,uss_16_rep_bou,uss_16_rep_fle,uss_16_rep_man,uss_16_rep_duk,uss_16_rep_cra,uss_16_rep_cao,uss_16_rep_mar,uss_16_rep_pat,uss_16_dem_cam,uss_16_dem_fay,uss_16_dem_edw,uss_16_dem_lan,uss_16_dem_pel,uss_16_dem_wil,uss_16_dem_men,uss_r16_rep_ken,uss_r16_dem_cam,uss_20_rep_cas,uss_20_rep_mur,uss_20_dem_per,uss_20_dem_edw,uss_20_dem_pie,uss_20_dem_kni,uss_20_dem_wen,sos_18_rep_ard,sos_18_rep_edm,sos_18_rep_sto,sos_18_rep_ken,sos_18_rep_cro,sos_18_rep_clo,sos_18_dem_col,sos_18_dem_fre,sos_r18_rep_ard,sos_r18_dem_col,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
22,001,1-1,1949,1800,69,49,4,0,1,0,26,1434,1340,45,35,3,0,1,0,10,920,98.9,1050,81.2,207,485.3,32,102.1,44.1,9,6.7,0.6000000000000001,2.7,48.9,29.9,3.8000000000000003,3.8000000000000003,0,0.6000000000000001,0,389.7,67.2,992.1,29,27.900000000000002,25.3,3.8000000000000003,4.8,0,321.7,83.9,57.9,81.2,34.2,55.4,22.8,50.800000000000004,204.3,10.9,23,36.7,24.1,180.6,105.3,690.3,27,243.6
22,001,1-2A,790,469,276,18,1,2,0,0,24,547,352,178,10,1,2,0,0,4,336.6,44.5,206.1,126.6,73,193.5,23.7,32.4,6.2,7.5,0,0,1.5,14.5,17.7,1.5,6.2,0,0,1.5,101.9,30.6,207.9,2.3000000000000003,39.2,24.5,4.1000000000000005,12.1,1.5,83.8,30.6,31.8,30.6,1.5,14.5,36.5,40.2,46.9,18.6,10.6,37.3,34.6,67.7,31.7,139.4,23.4,68.3
22,001,1-2B,750,665,59,19,0,2,0,0,5,560,510,39,8,0,2,0,0,1,197.1,124.9,307.8,47.2,33.9,134.9,12.9,17,6.2,6.2,3.8000000000000003,0,0,33.9,32,6.2,6.2,0,5.1000000000000005,0,164.2,18,292.9,8.8,10.1,19.9,1.7,5.1000000000000005,0,106.9,53.2,37.1,49.800000000000004,21.1,13.9,22.3,18.9,88,11.1,25.9,20.3,13.7,40.9,47.4,203.2,20.1,74.2
22,001,1-3A,977,901,52,11,0,5,0,0,8,773,724,36,6,0,4,0,0,3,481.8,47.3,408.9,60,117.2,269,21.1,39.3,11,9.1,3.9000000000000004,0,0,27.7,17.2,3.9000000000000004,2,3.9000000000000004,0,0,253,35.1,398.90000000000003,7.9,15.8,22.1,12,0,2,163,66,37,73.2,10.4,33.2,10.4,25.099999999999998,114.7,11,12.6,17.7,18.5,95.1,63.6,272.1,16.2,119.89999999999999
22,001,1-3B,894,616,257,5,0,1,0,2,13,672,490,173,5,0,1,0,0,3,275,127.3,300.1,116,57.7,197.7,6.800000000000001,17.1,5.1000000000000005,2.1,3.2,0,0,45,38.1,3.9000000000000004,3.9000000000000004,0,3.2,0,88.3,53.9,275.7,11.7,44.1,39.8,11.7,0,0,76.2,32,21.1,46,11.7,11.7,65.10000000000001,39.8,39.8,24.900000000000002,27.8,52.4,35.2,56.5,32.9,195.6,34.300000000000004,70.7
22,001,1-4A,932,822,88,15,1,0,0,0,6,720,651,60,7,1,0,0,0,1,325.8,42,320,40,73.5,206.3,10.9,17,14,0.7000000000000001,3.9,0.7000000000000001,0,14,16.1,3.9,0.7000000000000001,1.5,0,0,145.5,26.7,313.90000000000003,3,8.1,18.6,0,1.5,0,122,39.1,33.1,41.1,22.9,22,9.7,19.9,75,5.9,9.5,14.5,10.7,65.1,46.7,212.1,11.5,85.6
22,001,1-4B,958,740,188,18,2,2,0,0,8,651,538,98,8,2,2,0,0,3,344.1,91.8,345.1,96.1,75,244,12.9,27.9,11,5.9,4.8,0,0,22.9,12.9,1,3,3,4,2,180,27.9,332,11,21.099999999999998,45,8,4.8,0,116.1,57.1,15.9,61,7.1,20,27.9,45,77.2,4.8,17.599999999999998,36.5,29.1,72.6,46.2,229.3,23.4,92.8
22,001,1-5A,659,561,69,13,2,3,0,1,10,505,442,48,10,0,1,0,1,3,231.1,50.5,222.2,70.8,61.7,135.6,13.2,22.5,3.1,0,3.1,3.1,0,14.9,4.6000000000000005,4,5.8,1.7000000000000002,0,0.1,100.9,38.4,200.3,11.8,28.3,17.6,1.7000000000000002,3.1,0,71.9,26.6,13.2,33.5,10.200000000000001,16.2,19.2,23.8,46.8,7.7,10.200000000000001,20.8,20.3,47,28,145.29999999999998,16.1,57.800000000000004
22,001,1-5B,694,311,343,20,1,0,0,1,18,509,257,231,12,1,0,0,1,7,113.9,172.1,126.7,176.2,31,86.9,0.8,10,5.1000000000000005,0.8,0,0.8,0,61,36,10.9,6,3.1,2.1,0,45,75.7,116.9,2.1,92.9,36.9,8.2,3.1,2.1,41,13.2,6.8,24.8,0.8,14,73,56.3,8.2,36,36.5,64.2,53,24.8,16.9,81.9,47.4,31.1
22,001,1-6,819,39,739,5,15,1,0,2,18,569,30,525,1,7,1,0,2,3,25.3,345.1,30.900000000000002,382,12,95.7,0.30000000000000004,0,5.3,0.30000000000000004,0,0,0.30000000000000004,108.7,54,8.7,11.3,7.1000000000000005,1.7000000000000002,7.1000000000000005,8.3,92.1,34.2,0,171.4,100.1,18.9,15.1,0,21.8,15.1,10,12,1.7000000000000002,5.7,112.2,125.4,4,45,68.3,119.2,114.1,13.7,10.8,21.6,89.2,13.5
22,001,1-7,1005,253,734,12,1,0,0,2,3,743,199,534,8,1,0,0,0,1,63.7,317.7,76.9,307.6,14.9,93.9,6.5,8,5.9,4.1000000000000005,0.1,0,0.1,99.6,56,19,16.7,3.1,5,0.1,40.8,99.6,79.2,1.3,132.7,76.9,20.8,16.1,4.1000000000000005,39.7,16.7,10.9,19.6,3.1,11.8,147.9,105,23,51.4,64.2,126.1,93,19.5,16.7,52.7,82.1,24.5
