state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_whi,uss_18_rep_fla,uss_20_dem_ree,uss_20_rep_wat,gov_18_dem_rai,gov_18_rep_fun,atg_18_dem_ner,sos_18_dem_gor,sos_18_rep_cor,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
44,001,NA,49875,47052,363,989,71,704,3,51,642,39715,37922,260,630,49,490,3,31,330,14650.7,8970,18137.7,9751.9,13452.1,7756,19186.3,8218.4,12315.4,6774.8,15949,14456.4,6229.4,14650.7,14042.7,18662.2,8970,6921.7,8985.3
44,003,NA,166158,152141,2157,5309,355,3346,29,277,2544,131904,122790,1635,3193,277,2494,24,197,1294,37870.9,38342.3,49278.9,42008.4,36720.2,30749.9,54920.3,35264.4,29671.1,29923.3,46895.5,40845.1,25187,37870.9,38530.2,52094.6,38342.3,28623.4,38639.1
44,005,NA,82888,72836,2645,3512,260,1263,45,274,2053,66462,59821,2053,2219,197,994,35,195,948,22917.7,15082.7,29633.8,15733.6,21472.5,12227.7,30708.2,13538.4,20015.3,10346.7,24735.6,22366.5,10424.8,22917.7,22148.9,30172.3,15082.7,10997.2,14633.9
44,007,NA,626667,414326,45048,117819,2327,22621,205,8084,16237,489042,345426,32218,76685,1678,17625,160,5839,9411,143271.9,90913.9,165732,102607.7,126731.8,70500.5,176428.3,81627.7,106684,72249.6,146933,133966.2,58447.4,143271.9,128573,171081,90913.9,67073.6,92114.5
44,009,NA,126979,117330,1347,3026,1007,2054,23,189,2003,101488,94864,1059,1988,732,1654,18,139,1034,33813.6,27235.1,44709.1,29825.2,33095.8,23187.8,47333.8,26199,29432.5,20650.2,39835.6,35644.4,19007.8,33813.6,34505.5,46018.2,27235.1,20947.9,28008
