state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_car,uss_18_rep_arl,uss_20_dem_coo,uss_20_rep_wit,gov_16_dem_car,gov_16_rep_bon,gov_20_dem_car,gov_20_rep_mur,atg_18_dem_jen,atg_18_rep_pep,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
10,003,3-22,781,650,26,11,0,83,0,0,11,556,460,16,6,0,66,0,0,8,228.1,199.2,292.9,182.4,213.3,152.7,303.1,159.5,239.2,196,296.7,174.1,214.8,146.3,233.5,214.1,297.5,197.5,149.5,172.1,255.4,172.9
10,003,3-23,1483,1290,74,36,1,52,0,3,27,1193,1054,57,25,1,40,0,2,14,569.2,349.09999999999997,704.1999999999999,316.8,572.3,246.9,696.3,304.1,593,337.9,695.2,308,579.1,264.8,580.6,575.3,698.3,343.5,255.5,309.40000000000003,629.5,304
10,003,3-24,2277,785,622,707,0,97,1,10,55,1673,670,454,426,0,85,1,8,29,536.2,314.7,612,294.09999999999997,410.7,198.79999999999998,591.6999999999999,267.40000000000003,534,283.3,594.8,260.09999999999997,424.7,200.3,535.2,417.5,599.5,299,199.6,273.8,528.9,260
10,003,3-25,2567,1561,402,416,11,102,0,0,75,1967,1283,286,268,9,77,0,0,44,540.1,294.5,694.8,312.2,424.9,200.8,672.2,275.1,556.2,273.3,647.7,295.90000000000003,449,188.9,548.2,436.8,671.7,283.8,195,294.7,569.4,262.6
10,003,3-26,1675,891,470,111,1,122,0,3,77,1310,755,342,74,1,99,0,3,36,616.3,288.8,682.1,298,543.5,199,662.4,271.1,629.3,264.5,665,276.3,526.1,223.3,623.1,534.8,669.6,276.7,211.4,281.6,617.8,260.1
10,003,3-27,1763,1046,497,96,8,67,0,1,48,1325,809,378,59,8,51,0,0,20,594.7,271.1,730.3,245,530.8,159,720.9,229.10000000000002,595.8,243,712.9,231.9,517,177,595.3,523.9,721.1999999999999,257.09999999999997,168,235.4,629,222.4
10,003,3-3,523,217,159,110,0,16,0,3,18,422,199,130,65,0,14,0,1,13,166.9,51,174.4,47.9,145.2,29.5,169.4,38.9,172,38.5,175.2,37.5,143.7,34.6,169.5,144.4,173.1,44.8,32.2,41.5,163.8,39.6
10,003,3-4,1956,1854,31,25,5,18,0,6,17,1539,1477,25,16,3,10,0,4,4,824,379.9,1029,355.9,842.8,262,1103.3,286.1,904.8,349.1,1075.9,310.9,862,262.9,864.6,852.6999999999999,1069.7,364.09999999999997,262.5,317.6,948.7,315.2
10,003,3-5,1089,385,561,74,1,25,0,0,43,781,318,382,42,1,21,0,0,17,358.8,123.9,397.3,123.8,297.90000000000003,80.1,379,116.9,350.6,107.3,380.7,119,282.3,93,354.7,290.2,385.6,115.5,86.5,120,349.3,109.1
10,003,3-6,2118,889,1013,124,5,16,0,7,64,1433,741,572,74,5,16,0,4,21,649.5,175.8,753,179.2,550.3,112.6,710.7,157.2,641.9,160,724.1,157.5,539.3,122.7,645.8,545.1,729.2,168.1,117.6,164.4,652.8,152.3
