state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_gra,uss_16_dem_jud,uss_20_rep_ern,uss_20_dem_gre,gov_18_rep_rey,gov_18_dem_hub,atg_18_dem_mil,sos_18_rep_pat,sos_18_dem_dej,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
19,001,001011,88,87,0,0,0,0,0,0,1,68,67,0,0,0,0,0,0,1,31.1,9.7,34.7,12.9,31.5,7.5,34.1,12.9,27.900000000000002,9.7,26.5,29.7,7.5,7.9,14,12.9,31.5,29.6,34.4
19,001,001012,165,164,0,0,0,0,0,0,1,132,132,0,0,0,0,0,0,0,60.3,21.6,66.8,21.6,66,17.9,65.7,21.6,50.6,21,48.4,52,18.1,19.5,28.8,21.6,62.199999999999996,51.1,66
19,001,001013,182,173,0,1,0,1,0,0,7,143,140,0,1,0,1,0,0,1,65.5,23.7,73,23.7,71.6,18.8,70.7,23.7,54.7,23.1,52.9,55.7,19.5,20.8,31.8,23.7,68.3,54.9,71.7
19,001,001014,996,985,0,5,0,5,0,0,1,767,758,0,5,0,3,0,0,1,350.5,125.4,392.3,128.4,380.5,99.8,380.90000000000003,128.6,297.2,122,285.6,302.6,102.7,112.3,169.3,128.4,364.9,299.8,385.9
19,001,001015,214,211,0,1,0,0,1,0,1,171,169,0,1,0,0,1,0,0,63.1,34.1,81.8,34.5,71,26,77.9,35.5,59.6,34.8,64.7,60,30.2,29.5,43.6,35.2,67.5,59.8,80.1
19,001,001016,90,87,0,1,0,1,0,0,1,59,57,0,1,0,1,0,0,0,21.6,11.8,27.299999999999997,12.1,24.5,9,26.200000000000003,12.3,20.2,12,22.3,20.599999999999998,10.1,10.4,14.9,12.3,23,20.5,26.8
19,001,001017,1982,1920,3,44,1,7,0,0,7,1539,1506,2,20,1,7,0,0,3,611.5,352.5,703.3,373.1,696.8,276.7,680.3000000000001,375,539.6,384.4,664.1,571.7,314.2,314.5,455.1,374.7,654.7,554.9,690.8000000000001
19,001,001018,145,139,0,3,0,1,0,0,2,111,108,0,1,0,0,0,0,2,40.2,21.5,52.4,22.2,45.4,16.2,49.800000000000004,22.5,38.199999999999996,21.8,41.3,38.4,18.6,18.8,27.6,22.3,43.3,38.199999999999996,51
19,001,001019,177,175,0,0,0,1,0,0,1,130,129,0,0,0,0,0,0,1,46.5,25.1,60.4,25.900000000000002,52.5,18.6,57.800000000000004,26,44.5,25.1,47.4,44.8,20.7,21.3,31.9,26,50.2,44.6,59.3
19,001,001020,572,559,3,9,1,0,0,0,0,457,450,0,6,1,0,0,0,0,164.3,87.1,212.9,89.8,185.7,65,203.8,90.1,156.1,87.3,167.5,157.7,73.3,75.2,110.8,90.1,175.8,156.7,208.6
19,001,001021,174,174,0,0,0,0,0,0,0,137,137,0,0,0,0,0,0,0,62.7,22.5,69.5,22.5,68.5,18.4,68.3,22.5,52.5,21.9,50.6,53.8,18.6,20.5,29.900000000000002,22.5,64.6,52.9,68.5
19,001,001022,145,145,0,0,0,0,0,0,0,114,114,0,0,0,0,0,0,0,52.1,19.1,57.9,19.1,57,14.9,56.7,19.1,43.7,18.2,42.4,44.7,15.1,17.1,25,19.1,54.4,44.4,57
19,003,003001,79,74,0,5,0,0,0,0,0,66,63,0,3,0,0,0,0,0,31.9,12,33.1,12.1,33.3,9.4,33,12.9,26.2,12.1,25.8,26.4,10.4,10,15.9,12.9,32.5,26.3,33
19,003,003002,135,132,0,3,0,0,0,0,0,109,108,0,1,0,0,0,0,0,52.699999999999996,19.8,55,20,55.4,15.799999999999999,54.5,20.900000000000002,42.9,20,42.2,43.6,16.9,17.3,26.3,20.7,54.1,43.3,54.6
19,003,003003,149,148,0,0,1,0,0,0,0,124,123,0,0,1,0,0,0,0,59.9,22.5,62.6,22.7,62.8,18.1,62,24,48.800000000000004,22.7,48.3,49.6,19.1,19.3,29.8,23.7,61.2,49.3,62.1
19,003,003004,174,170,0,0,4,0,0,0,0,135,131,0,0,4,0,0,0,0,65.5,23.3,69.5,23.400000000000002,68.4,19.4,68.8,24.6,53.5,23.3,52.8,55.2,19.5,20.6,31.3,24.400000000000002,66.6,54.6,69.3
19,003,003005,144,139,0,0,0,0,0,0,5,104,103,0,0,0,0,0,0,1,52.1,14.1,58.699999999999996,14.5,53.800000000000004,13.4,56.2,14.5,43.4,14.1,39.8,44.6,12.2,13.4,21.7,14.5,52.8,44.4,57.6
19,003,003006,424,418,0,2,2,2,0,0,0,329,324,0,1,2,2,0,0,0,150.29999999999998,51.6,166.3,51.9,158.3,45.4,161.9,50.6,124.5,50,122.7,126.5,42.9,47.8,71.6,50.6,154.70000000000002,125.5,163.20000000000002
19,003,003007,230,222,0,7,0,1,0,0,0,178,174,0,3,0,1,0,0,0,75.2,35.1,85.7,39.4,82.3,26.7,83.8,38,65.4,34.4,74,62.1,31.6,30.599999999999998,46.7,38.6,78.4,64,85.2
19,003,003008,1635,1594,2,13,3,14,0,0,9,1289,1267,2,7,2,7,0,0,4,520.4,247.9,575.1,260.4,581.1,189,560.9,257.3,438.2,235.4,497.5,436.2,206.9,217.5,313.2,258.6,549.3,437,570
19,003,003009,124,121,0,2,0,0,0,0,1,102,99,0,2,0,0,0,0,1,47.9,19.1,51.2,20.1,50.5,15,50.8,20.5,39.9,19.1,41.1,39.6,17,16.4,25.6,20.5,49.1,39.800000000000004,51.1
19,003,003010,34,32,0,1,1,0,0,0,0,28,26,0,1,1,0,0,0,0,11.9,5.6000000000000005,14,6.3,13.1,4.5,13.8,6,10.8,5.6000000000000005,11.9,10.1,5.4,4.9,7.8,6,12.3,10.6,13.9
19,003,003011,235,231,0,1,0,0,0,0,3,180,176,0,1,0,0,0,0,3,85.89999999999999,32.5,89.89999999999999,33,91.2,25.5,89,34.7,70.7,32.5,69.6,71.4,27.9,28.2,43.1,34.300000000000004,88.1,71.1,89.5
19,003,003012,312,293,1,3,7,5,0,0,3,269,252,1,3,7,4,0,0,2,107.3,50.800000000000004,116.5,52,123.8,37.7,112.8,51.6,90,45.6,98.1,91.7,38.8,43.4,60.1,51.6,114.9,90.9,114.7
19,003,003013,153,150,2,0,0,1,0,0,0,113,112,0,0,0,1,0,0,0,56.5,15.6,63.7,16.3,58.1,15.1,61.5,16.3,46.800000000000004,15.6,43.6,49,12.9,15.1,23.3,16.3,56.9,48.8,62.4
19,003,003014,201,198,3,0,0,0,0,0,0,154,151,3,0,0,0,0,0,0,77.6,20.900000000000002,87,22,80,20,84.10000000000001,22,64.6,20.900000000000002,58.6,66.2,18.4,20,32.1,22,78.7,65.8,84.8
19,003,003015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,005,005001,266,266,0,0,0,0,0,0,0,217,217,0,0,0,0,0,0,0,95.60000000000001,60.1,106.30000000000001,52.199999999999996,102.7,48,96.9,53.5,66.7,51,81.9,72,48.4,53.800000000000004,60.5,53,99.6,68.8,101.5
19,005,005002,219,208,0,10,0,0,0,0,1,173,164,0,9,0,0,0,0,0,80.7,35.4,93.1,40,86.7,28.9,86.4,41.7,63.699999999999996,31.400000000000002,49.7,61.1,32.7,31.900000000000002,38.2,40.4,83.2,62.2,89.4
19,005,005003,744,728,2,2,8,2,0,0,2,562,554,1,2,3,2,0,0,0,262.2,115.2,301.8,128.2,281.9,93.7,280.6,135.2,207,101.1,160.6,198.2,105.9,104.3,122.1,131.2,272.2,202,291.1
19,005,005004,1424,1403,1,12,3,4,0,0,1,1157,1144,1,6,3,2,0,0,1,383,321.8,458.5,348.6,420.7,290.9,437.5,345.6,329.3,280.9,407.4,322.3,277.2,306.7,322.3,347.1,401.7,326.3,448.3
19,005,005005,225,225,0,0,0,0,0,0,0,167,167,0,0,0,0,0,0,0,77.7,33.7,90.7,37.2,85,28.8,87.10000000000001,38.4,61.8,33.4,56.8,64.7,28.099999999999998,31.2,39.7,37.6,81.1,62.9,89
19,005,005006,193,192,0,1,0,0,0,0,0,149,148,0,1,0,0,0,0,0,65.6,41.7,73,35.8,70.1,32.5,66.6,36.8,45.8,35.1,56.7,49.5,32.8,36.9,42,36.5,67.9,47.1,69.4
19,005,005007,504,502,0,1,0,0,0,0,1,370,370,0,0,0,0,0,0,0,171,74.9,197.6,82.5,186.5,64.9,189.6,85.1,135.4,74.4,125.89999999999999,141.6,63.3,70.5,88,83.5,178.6,138.3,193.6
19,005,005008,567,555,1,5,1,1,0,0,4,421,412,1,3,1,1,0,0,3,196.6,85.1,228.2,93.8,215,73.2,219.8,96,156.6,84.1,142.7,162.9,71.5,79.1,99.5,94.8,205.2,159.8,223.6
19,005,005009,329,322,1,0,3,0,0,1,2,252,247,1,0,2,0,0,1,1,83.8,70.4,100,75.8,91.2,63.6,95.6,75.4,72,61.199999999999996,88.9,70.5,60.5,67.4,70.6,75.6,87.6,71.4,97.7
19,005,005010,421,414,1,4,0,0,0,0,2,361,354,1,4,0,0,0,0,2,119.5,100.2,143.2,108.7,131.5,90.9,136.3,107.9,103,87.6,127.2,100.5,86.8,95.6,100.4,108.3,125,101.8,139.8
19,005,005011,662,659,1,1,1,0,0,0,0,573,571,0,1,1,0,0,0,0,206.5,144.7,245.9,152.8,216.2,127.60000000000001,222.2,163.7,150.7,127.60000000000001,198,170.5,115.2,135.1,146.7,159.6,211.7,161.6,234.8
19,005,005012,544,538,2,4,0,0,0,0,0,388,385,0,3,0,0,0,0,0,168.1,73.2,191.70000000000002,76.3,182.8,59.8,186.6,76.3,151.2,62,120,147.7,62,66.5,81.2,76.3,175.4,149.3,189.29999999999998
19,005,005013,606,594,0,6,2,1,1,0,2,417,409,0,4,2,1,1,0,0,193.1,84.7,224.5,93.2,211,72.8,215.20000000000002,95.5,153.8,83.3,141.7,160.1,70.8,78.5,99,93.9,202.1,157.3,219.9
19,005,005014,546,533,7,0,1,4,0,0,1,411,405,2,0,1,3,0,0,0,190.9,82.9,221.6,91.5,209.1,71.4,213,93.9,152.2,82.1,139.1,158.5,69.8,77.3,97.3,92.8,199.8,155.2,216.9
19,005,005015,3906,3807,17,54,2,2,0,0,24,3112,3060,7,33,2,2,0,0,8,1118.3,701.9,1241.7,729,1228.9,624,1167.9,748.7,915.5,646,1033.2,966.4,558.1,661.9,745.4,738.5,1174,940.6,1205.2
19,005,005016,274,252,0,16,0,3,1,0,2,225,214,0,7,0,3,1,0,0,106.1,34.4,122.5,40.3,112.5,28.8,119.5,38.3,89.5,29.2,69.1,92.7,24.3,31.5,41.4,39.1,108.7,90.60000000000001,121.1
19,005,005017,1947,1208,63,628,8,16,8,2,14,1327,900,55,342,8,14,6,0,2,257.8,220,329.7,233.9,302,179.7,309.4,216.7,209,174.9,267.6,216.7,156.6,199.4,199.5,225,280.2,212.4,319.9
19,005,005018,408,401,0,6,0,0,0,0,1,298,291,0,6,0,0,0,0,1,140.5,45.7,162.3,53.6,149,38.1,158.20000000000002,50.8,118.60000000000001,38.6,91.2,123,31.9,42,54.7,51.7,144.1,120.10000000000001,160.6
19,005,005019,305,296,0,4,2,0,0,0,3,232,228,0,1,2,0,0,0,1,100.4,43.7,114.7,45.6,109.7,35.6,111.39999999999999,45.6,90.60000000000001,37,71.5,88.1,37,39.9,48.3,45.6,104.7,89.3,112.89999999999999
19,005,005020,240,222,13,3,0,0,1,0,1,208,190,13,3,0,0,1,0,1,75,52.199999999999996,89.60000000000001,55.300000000000004,78.8,46.1,80.9,58.7,55.300000000000004,46.1,71.9,62.199999999999996,41.6,48.6,53,57.4,76.7,58.9,85.60000000000001
19,007,007001,248,247,0,1,0,0,0,0,0,219,219,0,0,0,0,0,0,0,100.8,44.1,118.2,48.7,100.2,39.7,109.5,51.1,87.6,48.4,79.9,89.5,43,42,57.5,49.6,100.39999999999999,88.2,113.7
19,007,007002,161,161,0,0,0,0,0,0,0,141,141,0,0,0,0,0,0,0,70.3,29.2,76.8,29.2,70.4,28.6,72.5,30.2,56.5,29.6,56.800000000000004,58.3,27.400000000000002,28.7,38,29.6,70.3,57.1,74.7
19,007,007003,207,205,1,1,0,0,0,0,0,168,166,1,1,0,0,0,0,0,83.6,35,91.8,35,84,34.3,86.5,36,67.2,35.2,67.9,69.5,32.6,34.4,45.1,35.7,83.8,68.2,89.4
19,007,007004,663,646,0,8,1,1,0,0,7,502,490,0,5,1,1,0,0,5,249.3,105,274.09999999999997,105,250.7,103.1,258.7,108,201.1,105.8,203.5,207.7,96.7,103.2,135.6,107.2,249.6,204,266.4
19,007,007005,157,156,0,0,0,1,0,0,0,122,121,0,0,0,1,0,0,0,72.89999999999999,24.2,83.5,30.2,76,23.6,79.7,30.1,57.3,29.599999999999998,52.1,57.699999999999996,26.3,23.900000000000002,36.1,30.1,74.6,57.5,81.5
19,007,007006,343,336,0,5,0,0,0,0,2,276,271,0,3,0,0,0,0,2,164.8,54.7,189.3,68.3,171.4,54,180.4,67.9,128.9,67.3,118.7,129.9,59.1,54.3,81.9,68.2,168.6,129.5,185.5
