state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_lan,uss_16_dem_wor,uss_20_rep_inh,uss_20_dem_bro,gov_18_rep_sti,gov_18_dem_edm,atg_18_rep_hun,atg_18_dem_myl,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
40,141,1,1304,1024,36,177,42,4,0,0,21,982,816,22,104,29,1,0,0,10,471.8,129.3,512.7,122.6,492.2,99.6,511.6,111.4,330.8,170.6,373.3,116.3,113.4,144.1,116.8,482.90000000000003,351.4,512.5
40,141,2,1300,703,102,420,32,7,0,4,32,942,564,71,266,21,4,0,2,14,231.8,93.7,239,92.6,224.7,86,241.9,76.1,136.2,84.1,156.7,68.2,91,75.3,82.3,228.9,144,239.4
40,141,3,789,430,133,182,29,1,0,0,14,650,354,127,130,28,1,0,0,10,93.7,57.3,107.2,46,91.7,51.9,104.7,43.1,69,51.9,76,41.7,54,47.5,43.9,92.3,71.60000000000001,105.4
40,141,4,1012,483,118,335,33,1,0,9,33,715,406,81,188,20,1,0,5,14,142.6,87.2,167.9,67.7,143.4,75.3,167.9,59.1,91.2,71.9,109.8,62,78.6,67.3,62.7,143,100.9,167.9
40,141,6,296,246,1,36,4,2,0,0,7,223,200,1,15,3,2,0,0,2,124.2,21.2,125.8,22.3,130.9,19.1,124.7,22.3,87.9,29.1,91.2,23.2,19.2,23.8,22.3,126.10000000000001,88.8,124.8
40,141,7,1257,801,89,268,53,2,1,0,43,935,644,63,163,35,2,1,0,27,318,93.5,308.4,89.5,287.3,85.7,301.8,77.3,201.5,85.8,215.6,79.8,89.7,81.1,81.5,299.2,208.20000000000002,304.2
40,141,9,484,335,2,126,11,2,1,0,7,384,286,2,83,7,1,1,0,4,141.3,44.7,150.5,35.3,137.1,41.5,153.2,32.4,103.8,41.5,103.2,41.5,42.1,41.5,32.9,138.9,103.3,151.7
40,141,10,1185,848,83,201,26,2,0,0,25,895,673,60,125,22,2,0,0,13,304.6,105.7,342.9,97.8,309.5,95.5,345.6,89.9,214.2,161.9,262.6,116.1,98.4,138.1,94.4,307.3,240.7,343.4
40,141,12,365,295,3,38,13,0,0,0,16,291,244,3,26,6,0,0,0,12,114.60000000000001,24.2,121.9,28.1,116.2,17,121.9,29.1,75.2,23.400000000000002,86.3,16.7,20.8,20.2,28.400000000000002,115.7,82.7,121.9
40,143,1,3459,249,2869,90,78,3,1,1,168,2300,185,1939,43,47,3,1,0,82,35.8,920,43.1,1066.3,73.6,808.6,58.4,1012,31.3,683.1,37.8,719,864.3,701.1,1038.8,53.9,34.1,49.7
40,143,2,3516,758,2109,244,150,13,30,7,205,2419,642,1414,128,104,6,13,1,111,106.9,816.2,113,1023,143.8,711.1,119.2,985.6,62.4,606.2,77.1,618.2,763.2,612.3,1004.2,125.5,69.7,116
40,143,3,1340,226,982,39,21,0,0,1,71,982,216,694,19,16,0,0,0,37,25.3,343.1,29,404.7,43,304.8,33.3,392,17.8,286.9,21.6,293.8,324,290,398,34.4,19.7,31.2
40,143,4,2285,209,1786,90,61,8,17,2,112,1440,132,1172,40,35,3,6,2,50,36.3,506,41.7,599.2,62.7,450.3,48.2,579.3,26,424.09999999999997,31.4,434.1,477.90000000000003,429.1,589.2,49.6,28.7,44.7
40,143,5,2411,489,1604,133,46,2,0,6,131,1680,371,1129,75,35,2,0,2,66,62.7,586.5,63.9,735.7,80.3,531.7,70.8,706.2,47,446.2,58.4,453.7,558.7,450.1,721.1,71.4,52.2,66.7
40,143,6,2674,137,2310,61,37,2,4,0,123,1917,100,1684,34,22,2,1,0,74,34.2,755.4,43.6,946.6,77,683,52.2,894.8000000000001,27.5,655.6,32.6,668.3,718.9,661.9,921.2,55.4,30.3,47.7
40,143,7,794,43,651,49,4,1,0,0,46,567,26,484,25,2,1,0,0,29,10.1,224,12.7,280.6,22.8,202.4,15.6,264.3,7.9,194,9.6,197.4,212.9,195.8,272.7,16.5,8.3,13.9
40,143,8,2390,473,1369,239,141,4,27,0,137,1495,365,856,124,86,3,11,0,50,89.3,501.5,111.3,538.8,100.8,469.7,108.7,537.1,51.300000000000004,421.2,61.2,430.2,485.1,425.7,538.1,94.7,56,110
40,143,9,1126,258,653,64,57,1,0,1,92,771,216,426,33,39,0,0,1,56,32.2,211.6,32.2,204.1,46.2,180.4,36.1,195,23.4,137.8,22.4,143.8,195.9,140.9,199.3,39.5,22.7,33.9
40,143,10,3428,437,1986,697,114,3,0,8,183,2197,355,1312,374,69,3,0,6,78,56.2,615.7,73.5,710.9,97.2,536.2,80.7,666.3,27,451.9,46.2,449.7,575.1,450.9,689.2,76.6,36.4,76.8
40,143,11,3939,1290,740,1365,299,8,6,6,225,2651,1077,482,737,221,6,4,2,122,220.1,387.9,219.6,477.5,219.6,339.5,207.1,469.8,113.3,293.2,134.7,296.7,364.3,295.2,472.5,219.9,123.2,212.6
40,143,12,2361,683,823,550,123,0,1,4,177,1531,547,507,312,77,0,1,0,87,151.3,334.9,157.1,442.2,181.1,298.2,158.1,415.8,102.2,244.7,108.1,251.20000000000002,317.1,247.9,428.7,166.7,105.3,157.8
40,143,13,3376,213,2859,88,64,5,0,3,144,2357,152,2025,53,44,4,0,3,76,38.3,1018,50.3,1167.2,99.8,897.1,53.5,1112.1,38.1,855.1,48.8,866.8,957.8,861.1,1139.8,68.9,42.3,51.6
40,143,14,2286,485,1522,55,51,5,0,6,162,1670,409,1090,34,43,3,0,6,85,72.8,686.6999999999999,109,941.3,116.5,588.3,113.5,907.2,67.6,632.5,88.2,633.8,637.4,633.2,924.5,94.4,77.5,111.6
40,143,15,2343,541,649,997,80,2,2,14,58,1626,439,490,582,57,2,2,4,50,75.9,421.1,108.6,473.1,87.6,378.3,115.1,442.8,60,319.7,63.800000000000004,325.2,400.3,323.1,457.1,81.4,61.6,111.3
40,143,16,1386,507,86,645,90,2,0,0,56,921,416,61,359,55,2,0,0,28,94.10000000000001,123.1,89.7,140.9,97.1,102.9,88.3,133.8,61.1,95.1,66.9,94.10000000000001,113,94.7,137.2,95,64.2,89
40,143,17,2517,960,448,738,225,6,3,2,135,1722,795,278,418,157,5,2,0,67,150,238.8,179.79999999999998,279.1,151,211.9,171.5,277.2,90.1,181.8,114.3,173.2,225.2,177.3,278,150.7,102.2,175.5
