state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_pau,uss_16_dem_gra,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
21,077,NA,8589,7952,109,372,9,15,3,5,124,6286,5900,92,213,6,12,3,2,58,2444.1,748.9,2360.1,939.1,842.7,NA,NA,2401.4,NA,NA
21,079,NA,16912,15965,339,403,22,37,1,13,132,12998,12377,274,239,19,26,1,5,57,6111.2,1527.5,5209.5,2625.9,2076.8,NA,NA,5660.4,NA,NA
21,081,NA,24662,23545,173,577,49,78,32,17,191,17739,17092,124,308,39,58,22,6,90,7267.7,1910.5,7124.5,2334.3,2119.7,NA,NA,7196.1,NA,NA
21,083,NA,37121,32608,1597,2099,70,124,11,27,585,28069,25322,1172,1219,55,87,9,11,194,12670.1,3307.3,10994,5394.3,4351.5,NA,NA,11832.1,NA,NA
21,085,NA,25746,24885,260,258,41,61,3,7,231,19602,18994,222,171,35,46,2,4,128,8189.2,1953.9,7071,3300.5,2627.2,NA,NA,7630.7,NA,NA
21,087,NA,11258,10691,222,159,34,17,1,13,121,8709,8354,170,84,24,10,1,3,63,4372.1,832.8,3686.8,1458.3,1145.8,NA,NA,4029.2,NA,NA
21,089,NA,36910,35752,255,284,86,184,1,16,332,28585,27820,193,168,70,129,0,8,197,11547.1,4148.1,8947.3,7127.3,5636.8,NA,NA,10241.2,NA,NA
21,091,NA,8565,8282,70,94,15,19,0,2,83,6340,6171,64,52,11,13,0,0,29,2794.9,1248.1,2390.9,1848.8,1548.8,NA,NA,2592.9,NA,NA
21,093,NA,105543,82139,11878,5317,482,2067,333,171,3156,78127,62939,8389,3202,367,1655,242,66,1267,26970.9,13942.6,24892.6,18043.1,15989.1,NA,NA,25931.9,NA,NA
21,095,NA,29278,28030,639,210,36,100,2,3,258,22593,21776,482,108,32,65,1,1,128,9126.9,1371,7452.9,2655.8,2013,NA,NA,8286.4,NA,NA
21,097,NA,18846,17846,379,337,35,37,11,7,194,14265,13635,298,194,28,27,7,2,74,5436.4,2032.6,4225.9,3474.5,2753.5,NA,NA,4830.1,NA,NA
21,099,NA,18199,16771,883,261,30,36,1,20,197,13654,12610,732,166,25,26,1,7,87,5327.1,1729.5,4512.4,2647.5,2189.3,NA,NA,4916.8,NA,NA
