state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_16_dem_blu,uss_16_rep_car,uss_18_dem_mur,uss_18_rep_cor,gov_18_dem_lam,gov_18_rep_ste,atg_18_dem_ton,atg_18_rep_hat,sos_18_dem_mer,sos_18_rep_cha,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
09,009,09-070,6115,5483,90,263,3,219,0,10,47,4783,4367,67,168,3,153,0,4,21,1423.6,1778.4,1841.2,1800.2,1886.6,1324.5,1425.7,1448.3,1117.2,1754.3,1206.1,1641,1255.1,1553.5,1654.5,1251.3,1841.2,1550.9,1599.6,1800.2
09,009,09-071,5420,4446,147,251,2,453,4,19,98,4159,3543,109,158,0,298,4,8,39,1345.4,1443.5,1823.7,1512.7,1739.7,1053.4,1384.4,1150.9,1115.8,1401.8,1196.1,1308.8,1268.2,1209.7,1542.5,1241.1,1823.7,1248.7,1267.3,1512.7
09,009,09-072,10985,9682,250,499,18,392,4,16,124,8812,7920,179,335,12,293,3,11,59,3040.7,2879.7000000000003,4023.4,2959.3,3784.1,2167.4,3087.5,2239.2,2495.4,2778.7,2661.5,2624.8,2779.9,2433.8,3413.1,2756.2,4023.4,2524,2518.9,2959.3
09,009,09-073,5672,4494,128,274,9,675,2,13,77,4601,3767,102,185,5,481,2,8,51,1326.4,1116.8,1749,1220.3,1666.3,780.1,1344.1,874.9,1118.2,1102.8,1151.5,1042.1,1219.9,951.1,1496.2,1208.2,1749,947.9,992.9,1220.3
09,009,09-074,1119,849,37,58,1,149,0,6,19,970,763,30,47,1,114,0,5,10,278.7,234.7,367.8,256.5,350.2,163.70000000000002,282.59999999999997,183.6,235,231.7,242,219.1,256.4,199.6,314.40000000000003,254.1,367.8,199.2,208.5,256.5
09,009,09-075,6145,5149,194,494,9,201,2,14,82,4924,4270,130,312,7,151,2,11,41,1583.3,1425,1975.1,1535.9,2006.7,1007.3,1554.3,1125.3,1273.5,1387.8,1359.7,1292,1424,1207.1,1795.8,1403.2,1975.1,1216.6,1252.7,1535.9
09,009,09-076,4119,3528,124,269,4,133,2,13,46,3283,2887,89,166,4,103,2,7,25,1004.6,985.7,1288.6,1044.3,1278,671.7,1004.6,771.2,802.8,950.4,866.4,887,930.9,798.5,1141.6,901.4,1288.6,828.8,851.6,1044.3
09,009,09-077,9311,8254,159,470,2,314,4,12,96,7549,6832,116,315,1,223,4,8,50,2576.6,2473.5,3268.6,2576.5,3226.4,1828.8,2563.9,1937.2,2043.8,2440.9,2187.9,2269.7,2311.6,2098.6,2901,2277.1,3268.6,2151.5,2186,2576.5
09,009,09-078,962,834,36,52,0,27,0,4,9,816,733,24,34,0,19,0,2,4,148.9,180.6,150.8,192.5,186,141.4,117.3,145.1,107,154.3,101.5,160,108,148.9,167.3,108.4,150.8,161,152.1,192.5
09,009,09-079,3834,3081,122,346,11,175,0,21,78,2935,2434,94,223,6,120,0,13,45,586.9,871.9,785.9,915.4,772.3,661,546.1,667.1,419.2,799,445.3,748.6,518.9,663.7,679.8,482.1,785.9,766.6999999999999,719.7,915.4
