GEOID,state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_16_dem_sch,uss_16_rep_car,uss_18_dem_hir,uss_18_rep_cur,gov_18_dem_ige,gov_18_rep_tup,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
150010201001000,15,001,0113,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.3,0.1,0.5,0.2,0.4,0.1,0.3,0.1,0.3,0.1,0.3,0.3,0.5,0.1,0.1,0.2,0.4,0.1
150010201001001,15,001,0113,123,59,0,9,0,27,4,1,23,104,56,0,6,0,25,4,1,12,35.9,12.9,47.6,18.5,40.9,8.2,35.9,11.6,33.4,12.4,38.4,34.6,47.6,10.6,12,18.5,38.7,12.7
150010201001002,15,001,0113,16,9,0,0,0,1,2,0,4,14,9,0,0,0,1,2,0,2,4.8,1.7,6.4,2.5,5.5,1.1,4.8,1.6,4.5,1.7,5.2,4.7,6.4,1.4,1.6,2.5,5.2,1.7
150010201001003,15,001,0113,11,4,0,3,0,4,0,0,0,11,4,0,3,0,4,0,0,0,3.8,1.4,5,2,4.3,0.9,3.8,1.2,3.5,1.3,4,3.6,5,1.1,1.2,2,4.1,1.4
150010201001004,15,001,0113,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.3,0.1,0.5,0.2,0.4,0.1,0.3,0.1,0.3,0.1,0.3,0.3,0.5,0.1,0.1,0.2,0.4,0.1
150010201001005,15,001,0113,24,12,0,3,0,1,0,3,5,23,12,0,3,0,1,0,3,4,7.9,2.9,10.5,4.1,9.1,1.8,7.9,2.6,7.4,2.7,8.5,7.7,10.5,2.4,2.7,4.1,8.6,2.8
150010201001006,15,001,0113,27,1,0,1,0,14,1,0,10,20,1,0,1,0,11,1,0,6,6.9,2.5,9.2,3.6,7.9,1.6,6.9,2.2,6.4,2.4,7.4,6.7,9.2,2,2.3,3.6,7.5,2.5
150010201001007,15,001,0113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201001008,15,001,0113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201001009,15,001,0113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201001010,15,001,0112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201001011,15,001,0112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201001012,15,001,0112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201001013,15,001,0112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201001014,15,001,0112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201001015,15,001,0112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201001016,15,001,0112,3,0,0,0,0,1,0,0,2,2,0,0,0,0,1,0,0,1,0.7,0.2,0.9,0.4,0.8,0.2,0.7,0.2,0.6,0.2,0.8,0.6,0.9,0.2,0.2,0.4,0.7,0.2
