state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_she,uss_16_dem_cru,uss_20_rep_tub,uss_20_dem_jon,gov_18_rep_ive,gov_18_dem_mad,atg_18_rep_mar,atg_18_dem_sie,sos_18_rep_mer,sos_18_dem_mil,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
01,001,0010,903,580,296,10,6,0,0,0,11,681,435,229,8,5,0,0,0,4,233.1,143.9,251.6,187.1,229.7,146.7,242.5,200.6,176.8,110.5,165.4,121.9,171.9,112.3,145,114.2,193.4,231.79999999999998,172,247.9
01,001,0020,4313,3860,229,78,10,59,2,4,71,3223,2933,157,48,8,44,2,2,29,1863,348.4,1857.3,534.9,1895,383.6,1811.1,614,1413.9,429.1,1345.9,487.3,1439.2,388.1,365.8,434.6,574.6,1879.4,1399.8,1834.3
01,001,0030,1053,942,86,16,4,0,0,1,4,755,682,56,10,4,0,0,0,3,395.4,35.4,464.7,65.2,391.2,35.9,453,77.4,306.5,35.4,299.8,43.9,302.3,35.4,35.4,37.1,70.7,393.8,302.3,458.8
01,001,0050,1108,851,226,5,6,3,0,3,14,844,640,178,3,6,3,0,2,12,376.8,144.7,462.8,173.9,383.2,143.9,453.9,185.8,303.5,120.7,282.8,143,298.3,128.5,144.2,130.9,179.2,379.7,294.9,458.09999999999997
01,001,0060,1887,1686,103,57,2,8,0,1,30,1360,1225,76,35,2,6,0,0,16,679.7,79.1,871.9,100.4,665.5,103.4,846.6,139.6,504.7,100,492.7,121.6,508.4,100,91.6,106.3,119.7,672.2,502.3,858.2
01,001,0070,5203,4649,359,79,11,21,4,5,75,3702,3350,245,48,11,16,1,2,29,2140.8,294.3,2498.9,430.7,2091.4,366,2457.2,496.3,1568,335.4,1517,382.3,1573.5,313,329.6,343.5,463.6,2116.6,1553.1,2478
01,001,0080,959,474,452,11,5,3,0,0,14,721,365,337,5,5,1,0,0,8,222,210.9,245.4,222,224.6,204,237.1,230.5,176,176,153.9,195.6,167.1,178,207.6,183.3,226.3,223.3,166.4,240.9
01,001,0090,1589,1186,359,15,15,1,0,1,12,1189,895,265,11,10,1,0,1,6,578.5,168.6,708.4,207.7,566.4,191.8,699.5,222.79999999999998,443.8,164,410.7,197.1,436.6,166.7,180.1,175.9,214.9,572.2,430.4,704
01,001,0100,11680,9315,1456,386,46,280,7,9,181,8355,6863,942,225,32,195,5,5,88,3972.8,1082.2,4172.3,1501.1,4028.5,1174.8999999999999,4097.5,1673.1,3166.9,1179.5,3078.2,1240.7,3189.7000000000003,1086.6,1128.2,1168.7,1586.7,4000.9,3145.1,4135
01,001,0110,652,225,403,20,1,1,0,0,2,532,188,323,18,1,1,0,0,1,132.5,212.7,138.5,238.4,139.3,207.9,138.1,239.6,116.3,153.3,103.3,164.3,106.4,157.7,209.7,158,238.8,136.2,108.7,138.3
01,001,0130,2060,742,1207,74,5,5,0,3,24,1483,556,851,60,2,5,0,3,6,611,258.6,619,274.1,613.1,274.7,607.1,299.3,458.8,224.1,442.3,240.2,463.6,212.4,266.7,225.5,286.5,612.1,455,612.9
01,001,0140,1550,646,871,9,9,0,0,2,13,1199,537,640,8,4,0,0,2,8,331.5,425.4,394,504.7,325.8,412.9,377.5,519.7,291.9,317.5,266.3,335.4,285.3,317.5,419,323,512.9,329.1,281.8,384.2
01,001,0150,3001,2396,441,99,7,13,1,2,42,2286,1884,291,67,7,12,1,0,24,880.3,304.7,1129.8999999999999,468,895.1999999999999,337.7,1108,510.9,758.8,309.7,720.5,341.8,762.6,287.7,320.6,313.1,489.3,888,747.2,1118.7
01,001,0160,7297,5804,1064,249,40,23,0,2,115,5329,4341,719,157,31,18,0,0,63,2194.6,929.6,2224.9,985.8,2203.6,987.1,2179.9,1076.5,1647.5,806.3,1588.3,862.5,1666,763.7,958,811.3,1031.5,2198.5,1634.1,2201.2
01,001,0170,3371,2536,647,87,9,17,5,7,63,2477,1926,435,52,7,15,5,4,33,1073.1,436.9,1070.8,540.2,1093,453.3,1017.1,607.2,778,444,740.1,474,770,433.2,445.5,450.1,573.7,1082.7,762.6,1043.9
01,001,0180,1936,1149,737,23,6,1,0,0,20,1438,854,553,14,6,1,0,0,10,424.3,307.9,483.3,353.8,415.40000000000003,318.2,463.2,376.1,316,270.9,289.7,301,306.9,276.9,313.4,283.4,365.1,420,304.3,472.9
