state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_18_rep_fis,uss_18_dem_ray,uss_20_rep_sas,uss_20_dem_jan,gov_18_rep_ric,gov_18_dem_kri,atg_18_rep_pet,sos_18_rep_evn,sos_18_dem_dan,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
31,055,46P,1728,1354,254,55,5,43,0,0,17,1321,1105,140,33,5,29,0,0,9,251.29999999999998,365.3,268,459.3,250.3,351.4,340.8,238.6,250.2,366.8,390,236.1,355.4,365.3,357.5,348.9,251.29999999999998,281.6,304.4,356.4,283.9
31,055,470P,2050,1818,60,66,0,73,2,1,30,1296,1164,40,31,0,51,2,0,8,657.7,473.3,760,743.9,606.8,424.8,890.3,407.4,601.9,451.1,798.5,583.7,431.3,473.3,435.6,575.3,657.7,647.6,825.1,488.7,699.9
31,055,471P,2660,2340,89,94,9,91,2,0,35,1684,1508,50,47,4,56,2,0,17,1256.7,841.5,1309.6,1225.2,1046.7,785.9,1500.1,684.7,1046.7,850.4,1425.6,1044.2,792.4,841.5,809.4,954.7,1256.7,1140.7,1404.8,863.4,1232.7
31,055,472P,2278,1909,136,69,16,108,0,2,38,1678,1460,92,38,7,69,0,2,10,737.5,638.7,987.5,1097.6,659.3,579.3,1167.8,601.3,661.4,610,913.3,645.1,585.3,638.7,591.4,850,737.5,719.8,1077.3,685.2,824.3
31,055,473P,1949,1602,100,101,3,102,4,3,34,1497,1280,64,64,3,71,3,1,11,866.7,669.1,924.9,930.6,671.7,593.6,1039.7,563.7,685.2,624.8,947.4,666.1,616.9,669.1,611.6,747.3,866.7,742.6,982.2,666.2,829
31,055,474P,2056,1606,141,73,3,177,4,3,49,1337,1100,70,39,3,106,2,0,17,521.9,405.6,594.9,640,487.2,387.3,705.9,374.2,497.4,403.2,661.1,491.1,379.9,405.6,390,507,521.9,534.3,650.3,431.7,565.5
31,055,475P,1539,1368,37,31,3,89,0,0,11,1005,908,25,17,2,51,0,0,2,468,293.8,500.7,444.1,465.6,285.7,620.3,193.6,462.4,302.1,609.5,472.9,269,293.8,285.7,319.3,468,502.5,560.5,298,514.1
31,055,476P,1244,1126,17,33,2,55,0,4,7,847,774,8,17,2,42,0,2,2,391.3,277.5,408,351.9,356,239.8,483.90000000000003,167.4,361.09999999999997,250.7,452.9,360.3,230.4,277.5,240.1,259.8,391.3,382.6,446,253.1,402
31,055,477P,1402,1276,13,43,3,45,0,3,19,1061,988,7,28,2,29,0,0,7,587.7,306,618,415.2,562,265.4,728.1,184.5,565.1,279,664.1,555.3,261.2,306,268.5,300,587.7,586.5,673.4,285.3,611.6
31,055,478P,2081,1899,29,53,1,81,0,0,18,1468,1353,24,32,1,52,0,0,6,923.5999999999999,511.59999999999997,1372.3,1011,915,540.1999999999999,1542.1,495.2,919.5,562.5,1130.9,891.4,534.7,511.59999999999997,545.8,753,923.5999999999999,964.1,1457.3,609.1,1099.3
