state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_bur,uss_16_dem_ros,uss_20_rep_til,uss_20_dem_cun,gov_16_rep_mcc,gov_16_dem_coo,gov_20_rep_for,gov_20_dem_coo,atg_16_rep_new,atg_16_dem_ste,atg_20_rep_one,atg_20_dem_ste,sos_16_rep_lap,sos_16_dem_mar,sos_20_rep_syk,sos_20_dem_mar,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
37,077,CRDM,6360,3865,1858,403,19,88,1,10,116,4794,3064,1355,252,11,65,1,5,41,1598.5,1654.2,1861.4,2024.4,1620,1624.6,1759.9,1986.6,1615.4,1697,1713.4,2152.7,1542.5,1753.6,1764.8,2122.9,1402.7,1859.4,1738,2143,1718,NA,2086.2,1556.2,NA,1766.7
37,077,EAOX,2793,1108,1548,82,6,12,0,0,37,2162,911,1168,49,6,12,0,0,16,414.6,1037.6,418,898.3,433.1,1007.3,402,886.4,414.6,1040.6,365.1,955.9,394.3,1048.3999999999999,384.5,926.1,313,1127.7,361.2,956.8,1052.8,NA,925.4,394,NA,386
37,077,MTEN,5616,4103,1043,317,30,28,2,6,87,4042,3028,758,184,17,22,2,2,29,1789.6,1224.5,2302.8,1603.5,1796.9,1219.5,2180.1,1558.4,1745.8,1340.8,2158.8,1744.8,1740.7,1340.8,2220.8,1689,1624.3,1433,2188,1712.5,1312,NA,1661.8,1739.9,NA,2210.3
37,077,OKHL,1776,1017,704,40,5,0,0,0,10,1426,806,583,26,5,0,0,0,6,452.6,427.8,541.5,402.6,442.8,434.4,506.2,413.3,448.2,444.6,496.5,444.6,405.8,472.3,515.2,422.5,364.1,501.3,493.8,441.3,455.6,NA,425.9,423.1,NA,510.7
37,077,SALM,2600,1594,803,131,2,34,7,7,22,2009,1245,637,82,2,27,4,1,11,678.2,638.4,807.3,783.9,684.1,619.6,758.5,782.7,647.8,678.5,747,840.6,624.6,683.3,767.6,816,508.6,780.1,698.8,875.6,679.8,NA,819.1,629,NA,756.6
37,077,SASS,2831,1814,844,126,2,5,0,0,40,2159,1421,648,70,2,5,0,0,13,746.9,559.1,905.9,569.8,721,573.4,829.1,589.8,714.3,601.3,830.1,644.9,661.4,637.9,848.1,616.9,578.9,709.4,801.6,655.3,616.2,NA,615.9,684.1,NA,843.3
37,077,SOOX,2254,589,1455,152,7,21,0,3,27,1706,495,1076,105,6,13,0,0,11,214.20000000000002,860.6,233,722.9,221,855.6999999999999,215.2,722.9,222,860.1,204.4,748.1,205.6,872,222.3,737.6,155.5,917.8000000000001,204.4,755.7,873.1,NA,737.8,203.3,NA,215.79999999999998
37,077,TYHO,5553,4340,842,273,15,11,3,1,68,4219,3368,646,151,12,11,1,0,30,1878,868.5,2278.9,1014.9,1850.5,864.5,2133.5,1030,1796.4,986.4,2135.8,1158,1727.6,1017.3,2142.1,1134,1552.7,1155.3,2090.8,1183.1,979.3,NA,1104.8,1759.7,NA,2154.7
37,077,WILT,6564,5479,620,314,18,32,6,16,79,4845,4093,476,190,14,25,3,9,35,2463,1135.9,3306,1681.3,2460.1,1125.3,3185,1592.2,2423.1,1265.9,3119.3,1862.3,2398.4,1272.6,3241.8,1725.7,2286.3,1364.2,3160.3,1782.4,1233.1,NA,1728,2406.6,NA,3202.2
37,077,WOEL,2234,924,1167,124,1,2,0,1,15,1699,747,878,67,1,2,0,0,4,359.3,735.1,439.9,719.3000000000001,359.8,721.1,413.8,701.1999999999999,352.7,740.6,416.2,735.9,315.3,766.1,425.1,733.3,267.5,808.8,398.9,758.9,754.5,NA,729.9,330.7,NA,418.2
37,079,ARBA,1531,636,703,174,3,0,0,1,14,1121,525,486,101,2,0,0,0,7,295.5,373.6,342.3,382,294.4,357.7,336.3,372.3,296.5,370.7,348.6,378.2,288.3,372.7,328.5,394.8,236.1,418.3,312.7,409.59999999999997,378.7,NA,387.3,282.3,NA,333.8
37,079,BEAR,1418,782,430,171,0,12,0,0,23,1060,648,294,100,0,6,0,0,12,384.3,265.1,467,258.5,375.8,266.40000000000003,424.2,267.2,370.6,280.1,442.6,275.7,341.8,296.1,427.8,283.8,282.9,334,411.1,297.9,288.1,NA,276.5,350.9,NA,434.6
37,079,BULL,1736,779,585,357,7,0,0,0,8,1249,616,427,199,5,0,0,0,2,305,264.9,347.8,294.9,288.1,272.2,334.8,296,303.9,269.7,322.2,322.2,292.9,280.6,328.2,308.90000000000003,257.9,307.7,311.2,325.9,279.3,NA,309.3,289.6,NA,328.59999999999997
37,079,CAST,1497,877,474,131,8,2,0,0,5,1100,693,327,68,7,2,0,0,3,433.2,197.9,475.8,203.7,419,194.3,442.8,218,439.6,190.2,456.3,219.6,402,213.2,446.1,224.7,370.1,239,432.2,238.1,207.2,NA,220.3,412.7,NA,450.6
37,079,HOOK,1297,610,385,278,3,8,0,1,12,966,508,283,162,3,5,0,1,4,325.6,244.2,348.59999999999997,280.2,327.9,236.9,332,286.9,335.7,244.7,331.6,296.3,316.5,257.40000000000003,335.9,286.2,292.9,278.4,315.7,305.5,252.2,NA,290.9,320,NA,332.2
37,079,MAUR,4738,1937,2231,460,53,12,1,4,40,4104,1689,1963,356,53,12,1,1,29,612.8,573,678.4,562.4,606.5,549.4,641.7,569,621.4,571.2,663.9,572.2,580.6,591.5,639.9,586,500.8,658.6,606.5,618.1,589.2,NA,581.8,584.2,NA,645.9
37,079,SH1,2515,1262,1048,171,4,12,0,1,17,2002,1071,796,113,1,8,0,1,12,570.3,600.5,574.8,682.5,543.7,602.2,544.4,656.3,559.5,614.9,559.6,697.8,516.9,627.9,552.4,692.2,430.7,707.8,518.1,719.3000000000001,630.2,NA,689.5,524,NA,550.7
37,079,SHIN,2721,1468,761,449,6,2,1,2,32,1989,1176,535,254,4,2,1,2,15,672.2,426.1,769.9,460.3,658,411.3,725.6999999999999,458.3,679.5,411.3,718.9,495.4,599.5,468.3,715.8,499.8,544.8,511.3,688,525,445.7,NA,487.5,630.7,NA,723.4
37,079,SUGG,1767,789,696,240,4,10,0,1,27,1269,629,485,136,3,7,0,0,9,401.1,324.2,443.1,325.9,393.7,312.9,404.1,340,393.7,320.1,428.9,340,357,345,424,334.2,315.7,374,404.9,352.1,335.2,NA,338.7,372.3,NA,421.1
37,079,WALS,2142,898,589,623,10,9,0,1,12,1550,745,445,338,6,8,0,1,7,371.1,333,420.9,378.5,370.1,310.4,399.7,373.9,380.5,324.7,403.1,389.8,351.1,341.8,407,385.2,287,390.7,382.8,405.6,340.4,NA,386,351.7,NA,403
37,081,CG1,3798,2663,682,150,8,188,1,6,100,3006,2165,561,108,6,130,0,1,35,744,1068.9,772.1,1475.1000000000001,780.9,1029.1,798,1383.9,697.1,1141.9,726.1,1517.8,742.9,1095.9,811.8,1424.8999999999999,729.2,1088,776.9,1440.8999999999999,1084.8,NA,1448.4,738.7,NA,776.9
37,081,CG2,2481,2010,273,57,3,91,2,2,43,1818,1485,203,48,3,63,2,1,13,698,825,820,1142,794,747,853,1073.8,680,874.1,780.1,1186,727.9,827.1,859.9,1099,722.2,811,812.2,1138,816.8000000000001,NA,1127.8,724.6,NA,825.1999999999999
37,081,CG3A,2216,1732,276,66,2,96,0,5,39,1807,1462,214,38,1,71,0,3,18,593.8000000000001,740,616.9,957.2,673,702.4,629,903.7,589.2,780.7,562.7,1005.1,619.8,750.9,625.1,946.2,626.8,719,618,945.1999999999999,738.7,NA,951.3,620.5,NA,610.5
37,081,CG3B,3110,2282,558,110,7,86,0,4,63,2182,1641,384,61,5,65,0,1,25,845,1185.7,921,1565.2,994.9,1078.3,989.4,1458.9,835.6,1262.1,861.1999999999999,1630.7,901.8000000000001,1182.8,976.9,1510.3,901.8000000000001,1157.1,945.4,1519.2,1172.8,NA,1537.2,895.6,NA,939.1
37,081,FEN1,4731,1795,2504,223,23,89,0,3,94,3654,1521,1860,132,19,66,0,3,53,778.9,1956.9,895.7,2081.6,782.5,1949.1,838.9,2049.7,741.7,2001.8,808.4,2140.6,736.5,2019.2,844.2,2119.6,709.2,2042.1,831.9,2123,1993.6,NA,2103.4,748.9,NA,843.4
37,081,FEN2,2094,1868,152,26,12,11,0,1,24,1748,1594,117,10,7,10,0,1,9,933.9,474.1,1023,679.9,958.9,453.09999999999997,986.8000000000001,651.3,884.2,564.9,957,755.3,926,511.7,997.9,701.6,880,543.1,977.9,701.6,509.5,NA,698.3000000000001,916.8000000000001,NA,988.6
