state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_boo,uss_16_dem_eld,uss_20_rep_cot,uss_20_dem_har,gov_18_rep_hut,gov_18_dem_hen,atg_18_rep_rut,atg_18_dem_lee,sos_18_rep_thu,sos_18_dem_inm,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
05,001,037,283,277,6,0,0,0,0,0,0,224,220,4,0,0,0,0,0,0,96.3,7.9,96.3,9.8,85.3,25,96.3,12.4,67.60000000000001,14.9,71.3,9,71.3,9.8,16.7,11.200000000000001,10.700000000000001,90.9,70.2,96.3,12.6,83.5
05,001,038,230,225,1,0,0,1,0,0,3,190,185,1,0,0,1,0,0,3,75.5,11.7,83.5,9.5,71.8,16.9,85.5,7.2,65.9,3.4,64.4,5.3,63.1,5.4,14.1,4.8,8.4,73.9,64.3,84.6,8.4,72.8
05,001,04,247,243,2,0,2,0,0,0,0,200,196,2,0,2,0,0,0,0,80,20.6,79.4,11,76.5,30.8,78.6,11.8,60.2,12.7,56,14.3,56.699999999999996,17.2,25.3,14.3,11.5,78.3,57.5,79,17.3,69.6
05,001,05,194,179,8,0,0,1,1,0,5,160,149,7,0,0,1,1,0,2,50.9,6.3,57.1,6.3,44.8,16,56.800000000000004,6.3,46.8,2.9000000000000004,46,5.5,44.8,5.5,11.2,5.3,6.3,47.7,46,56.9,6.3,48.8
05,001,06,267,246,15,0,0,0,1,0,5,214,201,10,0,0,0,1,0,2,72,9.8,87.5,13.8,64.3,25.4,87.5,15,67.1,9.8,64.2,13.8,64.2,11.8,17.5,11.8,14.1,66.4,64.4,87.5,13.8,72.2
05,001,07,104,104,0,0,0,0,0,0,0,93,93,0,0,0,0,0,0,0,31.9,9.7,31.9,9.3,31.9,12,36,3.9,31.9,9.3,31,9.7,28.8,11,10.5,9.7,6.4,31.9,30.9,33.9,9.3,31.9
05,001,08,210,203,1,0,1,3,0,0,2,174,167,1,0,1,3,0,0,2,72.7,7.1000000000000005,72.7,5.4,68,12,71.5,7,50.7,3.9,47,6.1,47,6.2,9.8,5.7,6,69.8,47.8,71.9,7.1000000000000005,61.7
05,001,09,134,126,4,2,0,0,0,0,2,112,109,1,0,0,0,0,0,2,48.7,9.6,62.8,6.8,45.6,11.5,62.8,6.8,54.4,5,51,7.3,49.9,9.6,10.4,7,6.8,47.5,51.5,62.8,7.4,54.4
05,003,01,890,808,35,35,3,0,0,1,8,679,629,23,19,3,0,0,0,5,351.2,54.7,344.8,46.8,332.40000000000003,67.9,343.59999999999997,48.4,261.5,35.5,244.8,46.8,251.8,44.8,60.6,42.5,47.5,342.4,252.1,343.59999999999997,48.8,304.7
05,003,010,277,81,184,12,0,0,0,0,0,207,67,134,6,0,0,0,0,0,23.2,76.8,29,55,23.9,65.1,37.1,50.9,24.9,55,24.9,56,23.9,57.3,70.8,56,52.9,23.4,24.7,33.2,59.4,26.9
05,003,011,42,29,10,3,0,0,0,0,0,27,21,4,2,0,0,0,0,0,2.9,3.6999999999999997,7.1000000000000005,5.9,3.6999999999999997,2,8.1,7.1000000000000005,2.9,3.6999999999999997,2.9,3.6999999999999997,2.9,3.6999999999999997,2.9,3.6999999999999997,6.3,3,2.9,7.8,4.2,4.4
05,003,012,550,109,422,15,1,0,0,0,3,415,90,312,9,1,0,0,0,3,59,150.5,50.7,104,62.6,117.5,71.4,105.39999999999999,47.3,117.8,43.699999999999996,121.8,41.4,121.5,133.5,120.9,105.1,60.7,44,61.2,119.4,53.8
05,003,013,121,72,31,16,0,0,0,0,2,98,66,25,6,0,0,0,0,1,25.3,8.7,29.6,10.9,20.2,10,35.9,7.2,25.7,8.7,26.1,8.4,25.3,10,9.1,8.9,9.4,22,25.7,32.1,9.2,26.8
05,003,014,277,241,21,6,1,0,0,0,8,204,183,14,3,1,0,0,0,3,87.8,15.7,83,4.7,83.4,20,79.8,6.1,61.5,6.1,60.2,9.1,60.2,6.8,17.5,6.9,4.8,85.39999999999999,60.5,81.60000000000001,9.3,73.3
05,003,015,46,46,0,0,0,0,0,0,0,34,34,0,0,0,0,0,0,0,14.6,2.6,22,3.1,13.8,3.3,23,2,20.099999999999998,1,20.099999999999998,1,20.099999999999998,1,2.8,1,2.4,13.9,20.099999999999998,22.700000000000003,2,19.2
05,003,016,390,355,8,26,0,0,0,0,1,288,270,5,12,0,0,0,0,1,132.7,9.1,142.4,11.3,123.3,16.9,144,10,115.2,5.8,110.1,10,114.4,6.8,13.2,7.2,10.6,128,113.6,143.2,10,125.7
05,003,017,1058,274,577,197,4,0,0,0,6,751,221,409,117,2,0,0,0,2,70.5,190,55.8,162.9,78.7,164,78.8,147.2,59.9,131.1,45.9,149.5,51.6,148.1,176.6,142.9,155.3,74.5,52.1,67.6,156.5,63.1
05,003,018,873,606,136,125,0,2,0,0,4,628,462,86,76,0,2,0,0,2,170.6,68.8,178.2,51.8,155.4,70.5,194.9,41.5,143.9,49.199999999999996,140.4,53,139.2,54.8,69.6,52.6,46.6,163.1,140.9,186.4,55.4,160.4
05,003,019,926,701,144,67,8,2,0,1,3,701,552,99,38,7,2,0,0,3,309.4,69.89999999999999,298.8,73.5,280.4,85.8,308.6,69.89999999999999,260.9,58.9,259.9,65.3,253,69,77.7,64.6,72.1,294.9,257.8,303.3,70.1,281.3
05,003,02,175,110,56,7,1,0,0,0,1,124,76,42,4,1,0,0,0,1,27,29.1,33.9,22.9,30,24.900000000000002,39.800000000000004,19.8,29.1,24.900000000000002,25.7,27,24.2,29.1,26.900000000000002,27,21.4,28.1,26.3,37,25.2,30
05,003,020,1555,1290,121,136,4,1,1,0,2,1180,983,109,81,3,1,1,0,2,508.4,91.4,556.7,76.1,483.1,113.4,566.4,70.7,405,67.2,397.90000000000003,73.4,396.7,73.6,101.8,72,73.1,495.5,399.4,561.2,80.7,472.9
05,003,021,486,464,14,2,0,0,0,0,6,369,351,12,2,0,0,0,0,4,165.7,34,177,34,150.9,41.1,180.9,30,133,23.9,131.1,25.9,128.1,29.1,37.7,26.1,31.9,158.2,130.9,178.9,31.2,152.29999999999998
05,003,022,962,868,81,4,0,0,0,0,9,743,679,59,2,0,0,0,0,3,327.1,44.1,355.2,42.3,309,62.9,351.4,50.2,232.6,38.2,237.4,42.3,236.1,42.3,52.9,41.3,45.8,318,235.7,353.5,45.9,292.8
05,003,023,1450,970,434,31,0,0,0,0,15,1144,771,344,19,0,0,0,0,10,421.09999999999997,202,405.59999999999997,177.9,422,177,428.3,147.7,278.4,124.9,271.5,134.4,269.3,139.6,188.9,132.9,163.4,421.5,272.8,417.2,157.6,356.6
