state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_16_dem_cor,uss_16_rep_hec,uss_18_dem_ros,uss_18_rep_hel,gov_18_dem_sis,gov_18_rep_lax,atg_18_dem_for,atg_18_rep_dun,sos_18_dem_ara,sos_18_rep_ceg,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
32,001,08-02,52,41,0,8,0,0,0,0,3,45,38,0,6,0,0,0,0,1,5,15,6.3,18.2,5,14.1,3.7,14,3.2,13.6,3.4000000000000004,13.8,4.2,14.2,5,3.6,6.3,14.5,13.9,18.2
32,001,08-03,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0.4,1,0.6,1.1,0.4,0.9,0.4,0.8,0.3,0.8,0.3,0.8,0.4,0.8,0.4,0.3,0.6,0.9,0.8,1.1
32,001,09,836,620,1,71,122,3,1,0,18,630,489,1,42,83,3,1,0,11,86.4,282.1,120.1,347.9,77.3,299.4,66.2,284.2,66.1,278.9,56.8,273.6,79.8,282,81.5,66.7,120.1,291.1,279.40000000000003,347.9
32,001,10,1315,1141,6,99,23,15,2,1,28,1007,896,4,64,11,12,2,1,17,138.4,595.6,174.4,739.8,136.4,607.4,131.5,589.4,121,588.4,114,582.6,129.3,606.2,137.2,124,174.4,601.7,591.4,739.8
32,001,11,1617,1344,13,163,19,28,4,0,46,1166,1004,7,91,16,25,4,0,19,139.8,605.7,176.4,700.7,140.8,605.7,117.7,539.7,126.8,534,114.1,538.3,128,554.3,140.4,121.8,176.4,605.7,541.4,700.7
32,001,12,1378,979,84,152,15,78,3,1,66,943,692,62,93,11,53,1,1,30,52.1,215.2,83.7,268.1,51.2,212.9,42.4,177.4,31.8,182.5,41.7,170.2,43.4,180.5,51.7,40.1,83.7,213.9,177.6,268.1
32,001,12-01,7,4,0,3,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0.2,0.9,0.4,1.1,0.2,0.9,0.2,0.8,0.1,0.8,0.2,0.7,0.2,0.8,0.2,0.2,0.4,0.9,0.8,1.1
32,001,12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,001,12-03,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0.4,1,0.6,1.1,0.4,0.9,0.4,0.8,0.3,0.8,0.3,0.8,0.4,0.8,0.4,0.3,0.6,0.9,0.8,1.1
32,001,13,791,657,2,96,10,5,0,1,20,603,520,2,57,8,5,0,1,10,52.2,355,67.8,396.3,60.3,349.4,46.1,318,43,317.1,41,315.9,55,311.8,55.9,46.2,67.8,352.1,315.8,396.3
