state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_cra,uss_16_dem_stu,uss_20_rep_ris,uss_20_dem_jor,gov_18_rep_lit,gov_18_dem_jor,atg_18_rep_was,atg_18_dem_bis,sos_18_rep_den,sos_18_dem_hum,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
16,001,1,3754,3458,21,181,12,15,3,0,64,2443,2283,13,101,9,13,1,0,23,1825.8,452.4,3201.2999999999997,915.8,1796.1,455.7,3177.5,910.2,1863.8,667.6,1950.6000000000001,564.2,1911.7,621.6,453.8,618.1,912.6,1810.2,1909,3188.9
16,001,10,1127,1048,2,34,1,30,0,1,11,852,804,0,25,1,17,0,1,4,595.2,264.1,894.5,507.6,670.8,231.6,941.6,439.6,678.5,293.4,699.8,265.7,668.3,298.2,248.1,285.5,473.9,632.8000000000001,682,918
16,001,100,2474,2150,20,179,24,46,7,0,48,1996,1776,16,121,17,36,3,0,27,368.9,574.4,490.7,887.2,447.8,591.5,469,899.1,325.6,762.5,423.6,635.9,378.4,694.9,582.5,697.7,893.2,408.6,376.7,479.8
16,001,101,1763,1462,14,201,14,29,2,0,41,1432,1244,10,120,9,22,2,0,25,306.2,452.5,396.1,658.1,367.1,435.5,390.2,665.3,299.3,562.6,361.1,477.3,322.2,527.1,444.1,522.4,661.6,336.9,327.6,392.9
16,001,102,2758,2263,32,340,17,35,5,1,65,2194,1878,17,214,12,31,4,1,37,385.2,708.1,448.1,964.1,448.1,716.9,442.6,980.9,397.9,877.4,463,761.6,398.7,843.3,712.9,827.3,973,416.3,419.8,444.90000000000003
16,001,103,1427,1289,6,64,3,38,6,1,20,1170,1064,5,46,2,33,4,1,15,267.4,413.6,338.5,570,322,376.8,339.5,575.3000000000001,280.7,486.59999999999997,327.8,418.2,289.5,465.3,395.2,456.8,572.4,295,299.2,339
16,001,104,2344,2040,21,125,7,87,16,1,47,1780,1589,15,80,6,61,5,1,23,356,702,450.29999999999995,984.3000000000001,502.09999999999997,635.6999999999999,485,927.1,387.90000000000003,745.9,456.9,641.9,406.9,706.7,668.7,698.2,955.6,429,417.2,467.8
16,001,105,2315,1960,15,136,13,136,10,1,44,1867,1607,12,95,11,108,9,1,24,401.59999999999997,650.6,467,960.1,511.09999999999997,595.8,488.09999999999997,950.1,408.2,775.3,475.3,678.3000000000001,423.9,745,623,732.9,955.1,456.5,435.79999999999995,477.59999999999997
16,001,106,1943,1815,3,31,6,64,0,2,22,1508,1424,2,20,4,45,0,2,11,391.1,742.5,454.7,953.3,544.9,656.4,516.3,896.2,508,731.3,550.2,671.2,465.7,768.9,699.4,723.8,924.6,468.2,508.09999999999997,485.8
16,001,107,2434,2168,36,102,9,56,23,2,38,1918,1734,23,68,9,46,16,0,22,447.4,657.5,519.1,966.2,558.8,601.2,537,955.4,442.9,781.6,517.5,673,459,744.2,629.6,732.6,960.9,503.1,473.2,528.2
16,001,108,1927,1747,12,89,8,43,3,4,21,1541,1420,8,52,6,35,3,4,13,383.3,705.3,432.1,954.6,520,627.3,470,928.4,452.5,769.8,521.9,668.9,443.5,763.8,666.3,734.2,941.6,451.8,472.8,451.1
16,001,109,5400,4759,38,314,12,134,1,6,136,3413,3063,18,170,10,97,1,1,53,2265,1062.2,3754.6,2041.5,2564.2,951.3,3749.7,1973.7,2333.9,1390.7,2491.1,1116.1,2374.6,1271.3,1006.4,1259.2,2009,2414.4,2399.9,3751.5
16,001,11,2830,2581,21,141,18,25,3,5,36,2255,2114,17,71,11,20,2,2,18,858.9,889.8,1018.1,1242.8,973,787.5,1063.3,1184.6,971.1,920.8,1043.1,832.9,950.8000000000001,938.1,838.6,897.5,1213.6,915.9,988.5,1040.6
16,001,110,5289,4659,23,332,18,108,26,0,123,3623,3257,16,189,16,82,15,0,48,1550.7,849.4,2801.7,1783.9,1679.7,804.6,2799.3,1752.1,1600.8,1190,1729.3,1005.4,1655.8,1101.3,827.2,1099.2,1767.7,1615.4,1661.9,2800
16,001,111,2968,2731,25,104,18,51,4,1,34,2158,2015,14,52,16,40,4,1,16,1013.6,494.4,1445.8,821.8,1100.4,462.8,1450.7,814.1,1025.9,618.3,1104.2,515.2,1052.4,583.9,478.5,572.5,817.8,1057.1,1060.7,1448.3
16,001,112,3785,3287,14,226,26,110,18,4,100,2700,2406,8,129,13,89,10,2,43,880.2,595.3,1125.9,1025.3,1025.3,580.3,1130.5,995.7,883.6,852.7,985.4,701.6,942.6,770.1,587.3,775.1,1010.2,953.1,937.1,1128.2
16,001,113,421,386,1,22,1,4,0,0,7,326,305,1,12,1,2,0,0,5,125.1,70.1,150.7,98.8,139.2,65.4,152,96.39999999999999,109.2,78,116.6,68.5,110.60000000000001,75.1,67.60000000000001,74,97.60000000000001,132.20000000000002,112.1,151.4
16,001,114,3707,3202,21,163,15,224,4,8,70,2612,2289,16,97,9,159,4,2,36,734.4,913.3,846.6,1343.1000000000001,949.3000000000001,796.5,895.7,1290.7,757.1,1021.8000000000001,871.7,866.6,751.6,999.4,855.3,962.9,1316.9,842.1,793.5,871.2
16,001,115,3321,2788,48,248,18,99,43,3,74,2373,2027,24,162,13,75,34,1,37,1003,554,1277.6,858.7,1073.9,551.2,1236.9,865.8,894.2,681.3,980.4,563.5,926.8,627.6,552.9,624.4,862,1038.2,933.7,1257
16,001,116,3007,2567,50,148,6,167,10,4,55,2162,1870,37,98,6,116,5,2,28,639.8000000000001,621.1,749.1,953,736,592.3,760,949.1,596,792.3000000000001,713.1,652,630.1,744,606.6,729.2,950.9,687.8,646.5,754.6
16,001,117,3144,2861,6,170,13,37,10,0,47,1974,1813,4,103,7,20,6,0,21,1294.1,262.2,2331.2,710.5,1284.8,277.2,2279.1,733,1345,478.3,1427.3,365.8,1380,415.7,269.9,419.6,722,1289.4,1383.1,2304.3
16,001,118,2050,1818,15,129,23,33,4,0,28,1514,1360,11,75,18,29,3,0,18,563.4,322.1,767.2,554.8,592.3000000000001,303.9,747,548.1,494.6,427.3,543.2,371.4,520.1,399.5,313.2,399.5,551.6,578.1,519.1,757.4
16,001,119,7116,5803,95,652,28,204,92,5,237,4558,3794,58,364,26,147,62,3,104,1540,834.8,2158.8,1579.1,1621.9,837.3,2032,1590.8,1232.3,1182.1,1400.2,968,1343.7,1049.1,836.4,1066.4,1585,1581.5,1325.3,2095.9
16,001,12,2168,1880,25,160,13,26,6,0,58,1586,1420,13,97,13,17,3,0,23,494.8,602.1,774,1046.1,543.9,648,735.9,1050.9,523.9,862.6,598.8,750.2,553.9,815.5,625.7,809.5,1048.4,519.2,558.6,754.3
16,001,120,4799,3919,103,576,76,32,4,3,86,4479,3695,103,505,71,28,4,3,70,816.1,359.8,1079,563.7,838.8,345.4,1073,556.6,751.2,469.5,801.1999999999999,402.40000000000003,764.7,442.09999999999997,352.7,438.2,560.3,827.4,772.4,1075.6
16,001,121,80,74,0,2,0,0,0,0,4,56,50,0,2,0,0,0,0,4,16.8,18.7,24.3,31.7,21.4,16.8,25.4,30.3,17.9,22.8,20.5,19.8,18.6,22.3,17.3,21.6,30.9,19.2,19.099999999999998,25.1
16,001,122,2799,2451,16,222,24,20,2,1,63,1815,1623,10,128,11,14,2,0,27,640.7,208.7,832.4,338.1,664.1,217.1,770,368.5,477,315.7,539.9,259.2,525.5,275.6,212.7,283.3,353.9,652.3,514.4,801.7
16,001,123,3807,3349,11,289,26,23,4,16,89,2527,2264,9,162,16,14,2,10,50,1385.4,328.1,2065.6,588.3,1323.7,333.1,1975.6,651.3,1189.7,466.4,1250.1,396.6,1214,445.6,330.6,436.9,619.1,1354.4,1216.8,2020.2
16,001,124,5028,4231,86,543,67,17,8,4,72,4264,3549,78,483,67,16,8,1,62,837.2,243.9,1369.9,412.8,807.2,239.6,1325.5,427.4,793.8,316.9,835.8,265.4,806.5,297.8,241.9,293.2,419.90000000000003,822,811.2,1348
16,001,125,167,122,1,40,0,0,0,0,4,121,90,1,26,0,0,0,0,4,52.7,5.2,65,7.5,47.6,5.7,63,7.5,46.3,5.7,49.1,4.1000000000000005,49.1,4.1000000000000005,5.5,4.6,7.5,50.3,48.4,64.1
16,001,126,3765,3354,10,272,23,20,1,11,74,2540,2321,7,143,18,16,0,6,29,1575.8,491.7,2485.7,860.1,1611.6,480.2,2460.2,845,1625.7,677.6,1702.1,572.5,1660.8,632.8,486.1,627.7,852.4,1593.8,1663.2,2472.6
16,001,127,2618,2394,7,110,13,44,4,10,36,1678,1568,3,55,6,25,2,5,14,1690.7,549.4,3810.7,1262.9,1750.1,460.2,3907,1137.9,2260.4,742.1,2329.5,638.4,2252.9,728.8,505,703.1,1200.4,1719.1000000000001,2280.6,3858.8
16,001,128,3243,3014,12,110,12,41,0,1,53,2187,2063,4,58,8,27,0,1,26,989.8,593.6,1252.4,865.5,1085.4,546.1,1278.5,831.7,1018.3,678.1,1066.6,582.5,1030.1,641.2,570,633.9,848.6,1037.3,1038.2,1265.7
16,001,129,2890,2532,8,239,29,20,6,2,54,2044,1841,7,133,21,15,3,2,22,779.3,543.1,1117.2,869.3,806,519.8,1115.4,847.3,762.1999999999999,676.5,822.8,574.9,770.9,639.7,531.5,630.7,858.9,792.5,785.3,1116.5
16,001,13,2548,2242,15,169,18,30,2,3,69,2003,1818,11,101,12,25,2,3,31,461.1,774.7,607.8,1118.7,546.3,754.5,595.1,1125.1,489,937,595.9,807.7,539,875.9,764.8,873.5,1122,504.2,541.3,601.4
16,001,130,5984,5339,39,363,14,104,5,3,117,3517,3182,17,190,13,72,5,1,37,2239.3,871.3,4106,2049,2484.1,817.3,4120.3,1949.7,2250.5,1244.6,2383.1,1021.2,2266,1162.8,844.8,1142.9,1999.5,2361.5,2300.3,4112.3
