state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_thu,uss_16_dem_wil,uss_20_rep_rou,uss_20_dem_ahl,gov_18_rep_noe,gov_18_dem_sut,atg_18_rep_rav,atg_18_dem_sei,sos_18_rep_bar,sos_18_dem_fre,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
46,003,VTD-1,468,463,1,1,0,3,0,0,0,357,355,1,0,0,1,0,0,0,197.8,52.1,216.4,49.2,216.4,51.5,211.5,60.3,142.2,87.5,150.1,77.2,171.2,56.3,51.6,73.2,54.2,206.1,155.1,213.9
46,003,VTD-2,238,236,0,0,0,2,0,0,0,183,183,0,0,0,0,0,0,0,120.2,23.7,128.1,18.1,120.4,31.2,120.1,30.3,91.1,54.9,104.39999999999999,39.800000000000004,109.8,33.4,27.8,42.6,24.6,120.4,101.8,124.8
46,003,VTD-3,659,636,2,6,1,10,0,0,4,502,492,0,3,1,4,0,0,2,248.6,84.8,260.1,82,268.3,92.4,236,121,144.5,183.3,159.2,154,185.4,120.8,86.1,152.3,101.1,256.3,160.8,246.7
46,003,VTD-4,121,116,0,0,4,0,0,0,1,87,82,0,0,4,0,0,0,1,43.4,14.4,44.7,14.1,46.7,16.2,40.5,21,25.5,31.6,27.3,26.2,31.8,21,14.5,26.2,17.400000000000002,44.3,27.4,41.8
46,003,VTD-5,328,278,1,13,30,1,0,0,5,195,185,1,6,1,1,0,0,1,96.5,37.800000000000004,101.39999999999999,36,103.4,39.6,97.7,42.6,62.9,60.6,65.6,53.3,80.9,41.4,37.9,52.199999999999996,38.2,99.3,70.5,98.89999999999999
46,003,VTD-6,189,176,0,9,0,2,0,0,2,139,135,0,4,0,0,0,0,0,64.7,30.3,67,28.3,69.5,32.2,63.699999999999996,33.6,40.2,47.5,41.7,41.7,53.1,32.6,30.400000000000002,41.6,29.400000000000002,66.2,46,64.7
46,003,VTD-7,707,626,5,72,3,0,0,0,1,522,470,2,48,2,0,0,0,0,206.3,93,233,89,248.9,81.5,231.70000000000002,93.9,143.1,143.1,148.8,127.3,199,86.3,86.7,118.8,91.4,228.3,162.9,232
46,005,VTD-12,1733,1688,1,25,3,7,0,0,9,1338,1312,1,15,2,3,0,0,5,614,181.1,724,182.6,671,188.3,723.5,192.8,401.6,386.9,212.3,477,0,537.2,186.3,471.8,190.5,632.1999999999999,208.7,723.6
46,005,VTD-15,566,550,7,4,0,0,0,0,5,413,408,2,2,0,0,0,0,1,223.5,26.8,295.8,57.9,229.20000000000002,26,303.8,58.3,212.8,59.2,207.2,56.4,233.1,34.6,26.400000000000002,51.6,58.2,226.4,215,297
46,005,VTD-17,691,674,1,9,0,0,0,0,7,525,517,1,4,0,0,0,0,3,203.3,58.8,209.9,73.6,228.4,58.8,216.7,81.5,138.8,107.2,141.8,89.5,176.2,62.6,58.8,87.6,78.3,217.2,154.4,212.1
46,005,VTD-W1,2801,2468,19,169,38,64,0,0,43,2156,1962,13,103,20,43,0,0,15,693.1,282.5,764.3,298.7,766.5,294.6,789.7,290.3,473,446.1,489.2,427.9,602.9,302.7,287.6,394.6,294.9,726.4,522.3,774.2
46,005,VTD-W2,3276,2373,42,483,44,275,5,0,54,2397,1845,28,291,31,173,4,0,25,555.7,307.3,559.7,321,616.4,316.8,614.6,297.3,383.9,394.2,395.5,344.8,472.1,271.8,310.6,338.4,307.8,584.9,417.6,585.5
46,005,VTD-W3,2259,1753,27,299,15,139,0,4,22,1647,1351,10,190,13,78,0,0,5,447,239.8,414,249.6,514.4,217.7,446.5,239.4,290.4,300.7,302.1,276.1,376.7,204,228.8,259.9,244.7,480,323.1,430.40000000000003
46,005,VTDW71,1380,1202,5,128,24,10,0,0,11,1017,909,3,85,6,9,0,0,5,345.9,144.5,353.9,154.7,388.1,131.5,384.3,146.4,242.5,204.7,242.5,187.2,290.7,137.7,138.3,177.1,149.9,366.1,258.4,368
46,005,VTDW72,1557,1420,5,63,9,45,2,1,12,1199,1116,4,41,8,23,2,1,4,503.9,213.9,531,286.9,584.4,199.6,583.4,245.9,358,336.5,363.9,302.7,441.6,221.8,205,286.7,263.7,542.6,386.5,555.2
46,005,VTDW81,1598,1449,10,65,18,37,0,0,19,1310,1226,7,39,14,21,0,0,3,406.5,254.1,454.1,264.2,510.7,204.1,506.1,233.7,334,291.4,335,281.4,411.7,199.6,229.5,257.9,249,458.4,360.09999999999997,480.1
46,005,VTDW82,1537,1357,1,92,14,55,1,0,17,1177,1067,1,53,6,49,0,0,1,462.4,202.3,506.1,222.4,537.8,172.5,538.7,198.1,343.5,306.7,351,277.1,418.3,207.4,187.7,264.7,209.8,500.3,371.4,521.9
46,007,VTD-02,415,153,0,17,193,6,0,2,44,275,126,0,10,116,2,0,2,19,77.5,44.4,78.6,52.4,91.6,40.5,83,50,64.8,60.7,63.5,60,73.7,50.7,42.4,57,51,84.5,67.2,80.8
46,007,VTD-05,295,98,0,15,174,0,0,0,8,195,86,0,8,96,0,0,0,5,55.3,31.4,55.7,37.300000000000004,64.9,28.6,59,35.7,46,42.9,44.8,42.3,52.2,36,29.7,40.2,36.7,59.8,47.5,57.1
46,007,VTD-06,361,182,1,12,128,7,0,0,31,275,157,0,6,87,4,0,0,21,77.8,44.6,78.8,52.7,91.4,40.6,83.6,50.2,65.2,60.9,63.4,59.9,73.8,50.5,42.9,57.1,51.5,84.5,67.5,81.3
46,007,VTD-1,1106,99,0,12,977,0,0,0,18,643,85,0,9,539,0,0,0,10,69.6,183.3,59.4,193.70000000000002,111.7,148.4,81.2,171.9,47.8,180,54.5,165.9,62.7,159.1,166.1,168.1,182.6,90.5,54.8,70.1
46,007,VTD-26,332,156,2,2,159,0,3,0,10,230,130,0,1,94,0,0,0,5,84.3,36.1,96.2,40.9,86.8,40.8,98.7,39.5,73.3,58,73.1,54.9,77.8,49.2,37.8,54.4,39.7,85.8,74.2,97.6
46,007,VTD-27,641,227,0,8,394,0,0,0,12,409,187,0,4,212,0,0,0,6,150.1,64.4,171.2,72.9,154.8,72.9,176.1,70.1,130.2,103.2,129.9,97.8,138.7,87.5,67.3,97,70.5,153.6,132,174.4
46,007,VTD-3,166,144,0,1,18,0,0,0,3,128,113,0,0,12,0,0,0,3,89.1,4.5,90.7,10.6,93.60000000000001,7.1,88.2,11.1,73.5,11.3,72.5,12,77.4,7.1,5.8,10.4,10.6,91.2,74.39999999999999,89.1
46,007,VTD-4,115,82,0,0,29,0,0,0,4,87,66,0,0,20,0,0,0,1,61.1,2.8,61.9,6.9,64,4.9,60.2,7.7,50.199999999999996,7.7,49.7,7.9,53,4.9,4,6.9,7.1,62.7,50.7,61.1
46,009,VTD-1,1140,1105,8,4,7,4,0,0,12,893,876,4,1,4,3,0,0,5,440.7,104.3,458.4,104.3,472.3,115.5,444.8,125.8,307.5,214.6,326.9,186.6,389.7,116.5,108,176,113.4,451.7,342.5,448.7
46,009,VTD-2,943,892,0,16,19,2,0,3,11,698,677,0,5,7,2,0,1,6,372.6,108.3,388.7,109.5,406.9,108.1,372.8,133.3,221.3,255.1,265,188.2,337.09999999999997,116.89999999999999,108.3,186.70000000000002,121,387.7,275.9,381.40000000000003
46,009,VTD-3,1424,1389,1,17,9,1,0,0,7,1124,1104,1,6,8,0,0,0,5,470.4,210.9,486.7,224.4,499.1,224.8,483.6,230.7,245.5,400.3,314.8,313.9,385.1,224.8,218.20000000000002,314.4,226.6,489.8,315.4,486.1
46,009,VTD-4,1132,1104,1,18,0,1,0,0,8,805,793,1,8,0,1,0,0,2,335.2,158.2,402.6,156,389.3,175.5,366.4,197.8,185.6,293,225.6,228.6,241.4,193.9,165.6,239.79999999999998,173.8,360.3,220.1,381.8
46,009,VTD-5,2431,1795,55,75,459,2,0,0,45,2155,1558,51,72,436,2,0,0,36,489.7,127,500.40000000000003,128.5,490.5,147.8,495.2,142.20000000000002,342.2,246.2,373.6,198,429.3,143.4,135.6,197.8,133.20000000000002,490.2,379.4,497
46,011,VTD-1,4298,3756,83,63,31,318,2,2,43,4198,3712,74,53,27,288,2,0,42,191,167.4,315.4,273.5,248.8,134.9,346.6,257.5,127,218.8,137.9,189.3,163.2,153,151.2,186.9,265.4,219.8,142.7,330.9
46,011,VTD-10,1112,1069,2,9,16,2,1,6,7,839,812,0,7,13,2,1,2,2,381.3,193,412.3,196.2,497.8,156.2,452.90000000000003,182.3,297.6,226.9,324.7,198.1,383.1,162.1,170.2,196.3,187.20000000000002,437.40000000000003,335.5,430.2
