state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_16_dem_van,uss_16_rep_sze,uss_18_dem_car,uss_18_rep_cam,gov_18_dem_jea,gov_18_rep_hog,atg_18_dem_fro,atg_18_rep_wol,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
24,001,14-000,951,838,65,23,3,6,1,2,13,856,766,52,19,3,6,1,1,8,152.8,110.6,130,133.70000000000002,158.1,91.7,106.6,55.2,69.9,108.4,97.89999999999999,72.9,155.5,91.4,130,100.60000000000001,78.5,133.70000000000002
24,001,16-000,3591,2344,835,364,0,18,0,3,27,3185,1973,833,346,0,15,0,3,15,212.4,840.8000000000001,194.2,891.3,282.8,709.5,200.1,508.3,86.10000000000001,646.8000000000001,169.7,561,247.5,152.1,194.2,774.6,572,891.3
24,001,18-000,2160,2120,4,11,0,8,0,2,15,1685,1660,3,7,0,7,0,0,8,140.3,928.8,153.5,856.3,220.9,751.8,202.2,561.2,66,750.5,117.8,671.3,180.5,127.7,153.5,841.1,661.9,856.3
24,001,20-000,2118,2064,9,17,2,4,0,0,22,1679,1648,4,11,2,3,0,0,11,184.7,872.9,198,882.6,282,725.8,211.3,592.6,76.3,756.5,176.7,654.7,233.4,155,198,799.6,667.5,882.6
24,001,21-000,1213,1183,4,4,5,4,1,0,12,956,934,3,4,5,4,1,0,5,122.2,487.8,110.5,514.2,144.7,437.2,122.2,325.8,50.2,404.8,103.8,355.8,133.4,92,110.5,461.9,361.7,514.2
24,001,22-000,3147,2671,331,44,6,27,0,0,68,2552,2173,297,35,4,17,0,0,26,279.9,589,355.5,690.5,347.9,481.9,291.1,349,151,515.1,265.4,407.5,313.7,236,355.5,535.1,424.1,690.5
24,001,23-000,3046,2662,216,33,10,17,3,1,104,2358,2120,171,17,8,12,2,1,27,338.4,742.8,408.5,696,433.9,609.3,386.8,504.6,197.9,725.1,319.7,594,387,301.8,408.5,676.9,608,696
24,001,24-000,1906,1857,9,9,0,11,0,0,20,1572,1544,8,7,0,8,0,0,5,191,679.1,191,651.7,239.79999999999998,592.2,189,477.9,75.89999999999999,612.1,169,517.3,214.8,144.6,191,635.5,536,651.7
24,001,26-000,5422,4090,986,128,9,95,4,4,106,4960,3677,968,114,9,92,4,4,92,559.3,648.6,921.6,747.2,500.9,622.8,516.5,432.7,359.2,649.6,496.4,502.3,529.8,457.3,921.6,635.3,527.4,747.2
24,001,29-001,2398,2288,31,18,1,35,0,2,23,1902,1833,19,15,1,24,0,2,8,295.4,858.9,397.9,848.5,376.1,749.4,353.6,616.4,148.8,838.4,305.7,664.5,335.8,269.1,397.9,804.4,706.7,848.5
24,001,29-002,2125,2006,30,15,3,42,0,2,27,1719,1637,22,11,2,33,0,2,12,371.8,750.4,406.6,734.3,424.5,675.9,409.7,546,172.1,827.5,332.1,653,397.8,304.6,406.6,713.5,675.5,734.3
24,001,29-003,1650,1594,13,9,2,16,0,0,16,1346,1304,12,7,2,13,0,0,8,255.2,592.2,286,591.4,325.09999999999997,518.5,284.8,389.7,109.5,573.1,230.8,455.8,289.6,208.1,286,554.8,473,591.4
24,001,31-000,1580,1549,5,5,3,8,0,0,10,1273,1251,4,3,3,7,0,0,5,122.9,597,137.8,615,161.4,530.8,150.3,409.2,80.2,502.6,130.1,443,140.5,120.7,137.8,564.6,452.1,615
24,001,34-000,1634,1596,5,12,0,2,1,1,17,1346,1324,4,6,0,0,1,1,10,221,727,225.79999999999998,738.6,300.7,606.7,273.6,483,86,690.8,237.3,537.3,260.9,199,225.79999999999998,666.9,570.1,738.6
24,003,01-001,2251,1844,103,76,4,175,3,1,45,1878,1569,78,47,4,156,3,1,20,513.9,891.1,737.1,892.7,529.8,902,503.90000000000003,649,234.9,989,498,719,521.9,412.2,737.1,896.9,785.8,892.7
