GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ndv,nrv,adv_16,arv_16,adv_18,arv_18,adv_20,arv_20
32003001039,NV,Clark County,001039,1313,67,974,36,6,174,1,9,46,1202,53,908,36,6,167,1,7,24,312.6,532.9,283.5,561,272.4,489.7,382,548
32003001063,NV,Clark County,001063,2068,493,1127,74,0,194,19,17,144,1706,353,991,56,0,163,19,14,110,526.5,464.4,467,455.5,463.4,364.7,649,573
32003001067,NV,Clark County,001067,269,22,220,3,3,4,2,0,15,245,16,208,3,1,4,2,0,11,33.5,90.9,27,90.3,27.7,77.7,45.9,104.6
32003001072,NV,Clark County,001072,501,60,378,18,6,3,3,4,29,412,39,328,8,5,3,3,4,22,58.3,146.7,63,134.4,50.5,113.1,61.5,192.6
32003001074,NV,Clark County,001074,4157,726,2830,215,49,108,18,30,181,3543,516,2553,158,39,91,18,21,147,489.8,752.2,429.5,684.2,393.4,596.7,646.6,975.7
32003001137,NV,Clark County,001137,2112,488,985,130,6,309,36,13,145,1712,349,855,111,6,263,25,10,93,465.6,430.5,431,387.5,382.7,341.1,583,563
32003001302,NV,Clark County,001302,4892,804,1756,553,7,1375,63,35,299,3946,610,1533,407,7,1116,43,31,199,870.9,569.4,677.5,426,755.3,440.1,1180,842
32003001303,NV,Clark County,001303,3188,609,962,417,8,963,31,12,186,2538,433,837,302,8,817,16,8,117,577,461,514,384,473.9,375,743,624
32003001304,NV,Clark County,001304,3724,704,1498,408,10,843,33,25,203,3233,561,1386,333,6,738,30,23,156,536.7,301.4,358,208,429.1,212.1,823,484
32003001307,NV,Clark County,001307,3601,510,1398,174,5,1274,20,12,208,2875,367,1144,129,3,1089,18,6,119,699,606.2,650.5,560.5,566.4,483,880,775
32003001309,NV,Clark County,001309,4,3,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1.8,1.8,0.7,1.2,2.1,0.9,2.6,3.3
32003001318,NV,Clark County,001318,3621,733,953,554,4,1097,57,20,203,2689,529,774,357,4,862,35,17,111,672.4,320.4,596.5,298,564.7,209.1,856,454
32003001327,NV,Clark County,001327,4306,929,1225,745,17,1021,51,23,295,3298,664,1032,503,8,844,37,23,187,815.1,433.4,736,404,658.3,278.3,1051,618
32003001328,NV,Clark County,001328,3564,840,1328,281,10,687,68,21,329,2636,545,1074,201,6,567,51,16,176,630,390.6,565.5,328,517.9,264,806.5,579.8
32003001330,NV,Clark County,001330,2816,592,1450,255,25,243,41,20,190,2262,411,1236,206,24,222,30,12,121,595,704.4,591.5,638.5,509.6,592.7,684,882
32003001331,NV,Clark County,001331,3546,1015,1266,530,22,345,90,29,249,2910,721,1174,430,22,295,63,24,181,624.3,405.6,571.4,381,520.6,300.1,781,535.8
32003001332,NV,Clark County,001332,1171,220,564,132,1,158,13,18,65,1036,178,523,110,1,142,13,17,52,268,199,259,171,222.1,152.9,323,273
32003001333,NV,Clark County,001333,1962,364,978,138,9,293,48,9,123,1650,278,868,109,9,253,37,8,88,471.6,431,426,414,413.7,356,575,523
32003001334,NV,Clark County,001334,2790,614,1171,186,5,587,35,23,169,2213,447,964,145,5,494,23,16,119,643.7,495.9,605.5,468.5,543.6,364.3,782,655
32003001335,NV,Clark County,001335,2396,482,1226,141,12,321,41,8,165,1981,360,1067,115,12,284,35,2,106,556.5,507.3,559.5,482,471.1,376,639,664
32003001336,NV,Clark County,001336,2546,423,1107,415,10,296,100,16,179,2190,346,1010,357,10,267,65,16,119,464.1,321,416.4,284.4,363.8,246.5,612.2,432.1
32003001337,NV,Clark County,001337,3156,661,1446,341,5,421,47,18,217,2755,529,1328,300,5,381,37,12,163,679.2,495.2,622.5,431.5,576,378.1,839,676
32003001340,NV,Clark County,001340,4622,1163,1653,524,7,834,83,37,321,3822,905,1436,444,5,733,69,21,209,822.6,469.1,738.9,408.9,621.5,305.8,1107.3,692.7
32003001341,NV,Clark County,001341,2997,723,1401,195,14,359,89,22,194,2400,504,1209,163,14,300,65,16,129,608.1,417.5,585,383,507.3,299.4,732,570
32003001342,NV,Clark County,001342,2236,612,911,128,1,359,33,12,180,1747,436,746,92,1,317,27,12,116,452.4,357.6,446,358.5,374.3,270.4,537,444
32003001343,NV,Clark County,001343,1553,358,798,39,0,213,31,7,107,1267,269,674,39,0,178,28,7,72,308.2,383,301,371,261.7,304.9,362,473
32003001344,NV,Clark County,001344,1289,248,511,110,6,299,20,11,84,1064,195,439,95,3,254,15,11,52,289.8,209.9,282,209,228.4,175.7,359,245
32003001345,NV,Clark County,001345,1735,386,733,167,8,272,27,6,136,1457,311,626,126,8,255,20,3,108,279.5,198.7,265.5,184.5,239,143.7,334,268
32003001346,NV,Clark County,001346,2026,346,1110,74,6,312,38,17,123,1699,255,998,61,5,260,24,13,83,490.2,539.6,487.5,524.5,440.1,427.3,543,667
32003001348,NV,Clark County,001348,3356,770,1044,307,15,798,100,18,304,2449,535,792,229,14,643,66,8,162,591.8,441.7,553.3,401.5,469.6,340.7,752.6,582.9
32003001349,NV,Clark County,001349,3378,773,1236,296,10,613,110,14,326,2437,511,964,205,6,487,75,13,176,575.3,382,526.8,326,467.3,275.6,731.8,544.5
32003001351,NV,Clark County,001351,2816,740,956,320,23,457,101,12,207,2219,528,837,241,23,381,72,8,129,548.8,302.1,556,291,423.3,217.3,667,398
32003001352,NV,Clark County,001352,2656,669,1041,221,10,512,50,5,148,2066,477,838,164,8,432,39,4,104,520.1,357.6,482,338.5,449.4,256.4,629,478
32003001353,NV,Clark County,001353,5253,1341,1940,610,17,713,186,32,414,4185,971,1652,483,15,607,139,24,294,843.8,497.1,669.4,387,687.1,348.1,1175,756.2
32003001354,NV,Clark County,001354,1835,479,667,178,7,324,29,5,146,1493,351,588,147,7,272,20,0,108,379.1,227.7,344.5,203.5,302.9,174.7,490,305
32003001356,NV,Clark County,001356,3691,760,1315,352,7,874,72,8,303,2751,512,1002,273,5,696,63,7,193,720.4,493.9,629.4,416.5,577,353.3,954.9,711.9
32003001361,NV,Clark County,001361,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.7,0,1,0.9,0.1,1,1
32003001363,NV,Clark County,001363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,1,0,1,0
32003001365,NV,Clark County,001365,14,1,5,0,0,5,0,0,3,11,1,5,0,0,4,0,0,1,8.2,6.7,7.4,1.3,6.5,5.5,10.5,13.2
