GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_cra,uss_16_dem_stu,gov_18_rep_lit,gov_18_dem_jor,atg_18_rep_was,atg_18_dem_bis,sos_18_rep_den,sos_18_dem_hum,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_ris,uss_20_dem_jor,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
16069696020,ID,Nez Perce County,696020,1579,40,1452,3,8,11,3,2,60,1281,22,1192,2,7,7,3,2,46,507,164,561,163,429,167,454,151,448,157,634,146,610,155,534,163.5,443.7,158.3,622,150.5,520.4,157.6
16069696021,ID,Nez Perce County,696021,1948,39,1785,4,27,3,0,6,84,1472,27,1357,1,23,3,0,4,57,621,190,682,178,531,215,534,192,499,225,815,257,806,266,651.5,184,521.3,210.7,810.5,261.5,641.1,217.6
16069696022,ID,Nez Perce County,696022,1586,47,1437,2,16,16,0,4,64,1196,29,1107,2,13,11,0,4,30,486,168,559,168,385,190,410,160,392,178,638,234,610,259,522.5,168,395.7,176,624,246.5,497.1,193.9
16069696023,ID,Nez Perce County,696023,237,11,191,0,19,1,0,0,15,186,11,153,0,13,1,0,0,8,99.6,21.4,113,20,101.8,16,103,18.7,98.8,23,174.2,77.5,180,72.5,106.3,20.7,101.2,19.3,177.1,75,124.3,35.6
16069696024,ID,Nez Perce County,696024,1480,30,1377,0,5,8,0,7,53,1182,18,1115,0,3,8,0,7,31,399.8,101.9,458.4,83.8,366.9,123.1,377.5,110.6,365.9,126,479.4,115.8,470.6,114.8,429.1,92.8,370.1,119.9,475,115.3,416.9,110.8
16069696025,ID,Nez Perce County,696025,1136,27,1056,2,11,4,0,3,33,869,14,826,1,11,3,0,0,14,511.4,135.4,559.8,144.8,482.5,127.3,478.1,131.6,468.3,143.4,659.6,173.9,673.4,152.7,535.6,140.1,476.3,134.1,666.5,163.3,547.6,144.2
16069696026,ID,Nez Perce County,696026,2237,99,581,12,1424,3,0,8,110,1578,65,487,11,949,3,0,5,58,230.1,490.8,324,440.6,154.1,678.9,188.1,649,170.6,670.1,247.9,1374.2,218.5,1390.1,277.1,465.7,170.9,666,233.2,1382.2,219,813.4
16069696027,ID,Nez Perce County,696027,382,6,352,0,4,0,0,1,19,303,2,289,0,1,0,0,0,11,193.8,35.4,203.8,45.3,146,39.5,141.1,41.4,146,38.5,247,55.6,241.1,55.6,198.8,40.4,144.4,39.8,244,55.6,188.4,44.5
16069696028,ID,Nez Perce County,696028,596,8,520,1,40,2,0,0,25,509,5,449,1,35,2,0,0,17,227.6,60.5,235.7,67.6,200.5,70.4,201.4,62.3,196.9,72.2,286.1,75.2,282.4,83.3,231.7,64,199.6,68.3,284.3,79.3,233,70.2
16069696029,ID,Nez Perce County,696029,405,8,358,0,25,5,0,1,8,351,5,318,0,16,5,0,1,6,156.4,64,164.6,64.1,116.8,53,126.8,44,120.7,51.9,193.3,65.4,185.9,61.3,160.5,64,121.4,49.6,189.6,63.3,152.1,57.7
16069696030,ID,Nez Perce County,696030,292,11,243,2,18,2,0,0,16,238,7,200,2,13,2,0,0,14,121,33,133,27,104,27,93,37,97,32,107,44,108,44,127,30,98,32,107.5,44,109,34.9
16069696031,ID,Nez Perce County,696031,800,13,658,1,90,5,0,1,32,657,8,551,1,65,5,0,1,26,239.4,77.4,240.4,83,172.9,101.6,181.1,88.2,169.8,100.5,315.9,112.9,284.2,145.4,239.9,80.2,174.6,96.8,300,129.2,229.1,101.3
16069696032,ID,Nez Perce County,696032,399,14,245,0,119,2,0,1,18,313,12,214,0,76,2,0,0,9,125.4,55.6,143.7,45.8,87.6,71.5,94.5,57.7,80.4,75.7,105.9,95.9,109.1,96.7,134.6,50.7,87.5,68.3,107.5,96.3,106.7,71.3
16071713201,ID,Oneida County,713201,1202,38,1132,1,0,5,2,2,22,833,27,786,0,0,4,0,0,16,472.9,50.3,511.6,56.2,352.9,59.2,356.7,61.6,350,73.5,614.7,62.1,578.5,73,492.3,53.2,353.2,64.8,596.6,67.6,462.5,62.3
16071713202,ID,Oneida County,713202,1182,44,1106,0,8,0,0,0,24,868,27,813,0,6,0,0,0,22,313.5,49.5,368.6,49.8,261,60.5,268,60.6,271.1,57.6,464.7,69.2,437.8,70.1,341,49.6,266.7,59.6,451.3,69.7,340.7,59.6
16071713203,ID,Oneida County,713203,1107,42,1039,1,2,3,1,3,16,808,26,767,0,1,1,0,1,12,366,57.2,408.9,66.2,306.7,55.3,309.6,61.5,312.5,60.6,528.1,83.8,495.5,80.8,387.4,61.7,309.6,59.1,511.8,82.3,389.6,66.5
16071713204,ID,Oneida County,713204,759,39,697,0,4,4,1,3,11,542,20,509,0,0,2,0,2,9,283.2,17.4,308.7,23.2,223.8,17.4,221.8,25.1,222.7,26.2,390.1,26,378.5,21.2,296,20.3,222.8,22.9,384.3,23.6,289.8,22.3
16071713205,ID,Oneida County,713205,189,6,179,0,0,1,0,0,3,128,2,123,0,0,1,0,0,2,60.9,6.7,75.5,7.7,61.1,4.8,66.8,3.9,66.9,3.9,90.2,5.8,90.1,5.8,68.2,7.2,65,4.2,90.1,5.8,73.1,5.5
16071713206,ID,Oneida County,713206,125,9,106,0,0,1,0,0,9,94,8,78,0,0,0,0,0,8,35.6,2.8,47.2,2.9,44.8,2.8,44.3,5.2,45.9,4.4,62.1,2,60.5,2,41.4,2.9,45,4.1,61.3,2,48.6,3.1
16073732301,ID,Owyhee County,732301,1881,632,1146,5,8,6,1,18,65,1413,431,898,5,7,6,1,14,51,308.6,90.4,293.9,86.4,243.6,116.7,263.3,94.3,259,102.6,462.6,122.1,434.3,145.1,301.2,88.4,255.3,104.5,448.4,133.6,323.6,108.2
16073732302,ID,Owyhee County,732302,2844,833,1844,3,18,3,1,16,126,2011,503,1393,3,13,2,1,10,86,585.8,117.3,565.5,121.1,523.6,144.6,523.9,138.5,515.1,147.3,831.9,174.4,807.6,175.6,575.6,119.2,520.9,143.5,819.8,175,621.9,145.5
16073732303,ID,Owyhee County,732303,1739,428,1234,8,7,9,1,4,48,1275,280,945,3,5,9,0,2,31,417.6,77.1,411.3,75.1,373.5,111.5,400.5,88.4,392.4,97.5,605.8,103.8,582.1,122,414.4,76.1,388.8,99.1,593.9,112.9,454.7,96.5
16073732304,ID,Owyhee County,732304,1632,429,1091,9,10,8,2,13,70,1141,245,831,0,6,3,1,10,45,440.6,100.1,445.5,97.1,348.4,106,363.1,94.2,365.1,93.2,467.1,78.5,441.6,99.1,443.1,98.6,358.9,97.8,454.4,88.8,410.2,95.5
16073732305,ID,Owyhee County,732305,101,10,89,0,0,0,0,0,2,75,7,66,0,0,0,0,0,2,73.3,0.6,63.4,0.6,65,3.6,61.3,5.5,65.2,4.5,81.6,0.6,83.3,0.9,68.3,0.6,63.8,4.6,82.4,0.8,70.4,2.3
16073732306,ID,Owyhee County,732306,952,177,725,1,2,4,0,3,40,728,108,583,1,2,3,0,3,28,310.2,43.9,261.4,51.9,267.4,62.9,278.3,52.9,280.3,46.9,324.2,32.9,316.2,38.9,285.8,47.9,275.3,54.2,320.2,35.9,291.1,47.2
16073732307,ID,Owyhee County,732307,508,72,410,0,6,1,0,1,18,414,62,331,0,6,1,0,1,13,145.9,17.5,127.8,17.5,132.4,23.4,137.2,22.3,137.2,22.4,179.6,22.5,168.2,37.6,136.8,17.5,135.6,22.7,173.9,30,146.9,23.3
16073732308,ID,Owyhee County,732308,208,31,168,0,4,0,0,0,5,161,23,132,0,4,0,0,0,2,90.1,7.1,75.2,7.1,85,6.2,80.2,8.1,89,3.2,90.6,5.2,79.6,4.4,82.7,7.1,84.8,5.8,85.1,4.8,84.2,5.9
16073732309,ID,Owyhee County,732309,942,163,737,2,7,4,2,2,25,729,113,579,2,7,4,2,2,20,292.2,28.8,284.4,21.3,226.2,43.9,232.8,41.1,229.2,43.8,323.1,69.2,306.9,74.9,288.3,25,229.4,43,315,72.1,270.7,46.2
16073732310,ID,Owyhee County,732310,686,122,531,0,11,5,1,6,10,480,84,371,0,10,5,1,3,6,202.3,38,201.9,34.8,196.3,40.7,200.5,40.5,197.4,42.6,173.8,24.6,169.2,28.7,202.1,36.4,198.1,41.3,171.5,26.7,191.6,35.7
16073732311,ID,Owyhee County,732311,366,12,41,0,301,1,0,4,7,251,6,31,0,204,1,0,4,5,14.7,26.8,16.5,26.8,13.5,54.4,15.4,47.5,17.5,51.4,25.5,122.9,21.6,108.2,15.6,26.8,15.5,51.1,23.5,115.6,17.8,62.6
16073732312,ID,Owyhee County,732312,54,6,44,0,0,1,0,1,2,44,3,37,0,0,1,0,1,2,20.3,0.8,19.3,0.8,19.2,3.3,21.3,3.2,22.3,2.2,33,2.1,26,5.9,19.8,0.8,21,2.9,29.5,4,23.1,2.6
