GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_ayo,uss_16_dem_has,gov_16_rep_sun,gov_16_dem_van,gov_18_rep_sun,gov_18_dem_kel,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_sha,uss_20_rep_mes,gov_20_dem_fel,gov_20_rep_sun,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
33001ALTO01,NH,Belknap County,ALTO01,5894,67,5538,14,13,43,0,28,191,4942,43,4684,14,11,40,0,28,122,2213.5,1159.7,2215.8,1200.7,2177.8,1171.3,1942.8,751.1,1447.8,2433.8,1608,2229.2,762.7,3110.6,2202.4,1177.2,1942.8,751.1,2591.2,1272.9,2331.9,1157.3
33001BARN01,NH,Belknap County,BARN01,4915,82,4568,13,6,18,2,17,209,3919,50,3672,13,4,18,2,11,149,1530.4,933.6,1465.1,1042.5,1464.7,1026.5,1257.1,706.2,1161.3,1709.2,1320.5,1537.8,669,2196.3,1486.8,1000.9,1257.1,706.2,1814.5,1050.3,1594.4,979.9
33001BELM01,NH,Belknap County,BELM01,7314,146,6747,24,8,61,3,16,309,5858,87,5471,15,5,52,2,10,216,2179.2,1266.9,1996.6,1496.6,2033.1,1405.3,1807.8,855.4,1602.1,2351.4,1866.5,2010.6,810.8,3114.8,2069.6,1389.6,1807.8,855.4,2492.2,1426.5,2213.4,1329.1
33001CENT01,NH,Belknap County,CENT01,1040,9,984,8,0,1,0,5,33,880,5,845,8,0,0,0,5,17,379.6,334.5,390.2,339,405.3,317.3,393.2,234.9,396,430,411.5,399.8,232.8,583.4,391.7,330.3,393.2,234.9,471.1,346.7,425.9,323.7
33001GILF01,NH,Belknap County,GILF01,7699,153,7184,21,12,61,2,32,234,6365,102,6014,16,11,38,1,25,158,2555.6,2006,2544.1,2104.2,2600.8,1945.4,2342.6,1423.8,2545.4,2797.6,2761.4,2517.5,1392.8,3862.7,2566.9,2018.5,2342.6,1423.8,3059.3,2233.2,2745.9,2025.6
33001GILM01,NH,Belknap County,GILM01,3945,45,3667,12,5,15,0,16,185,3165,20,2969,7,5,12,0,11,141,1327.5,784.7,1236,894.2,1235.9,863.3,1111.4,590.4,1015.7,1417.2,1146.1,1256.9,619.3,1800.6,1266.5,847.4,1111.4,590.4,1491.5,927,1340.8,844.8
33001LACO01,NH,Belknap County,LACO01,2994,96,2696,39,8,31,1,3,120,2532,64,2335,25,5,26,0,3,74,944,701.7,958,744.5,969.4,694.8,890,494,768.6,969.9,856,857.6,418.6,1308.9,957.1,713.6,890,494,1045.5,681.1,985.4,668.3
33001LACO02,NH,Belknap County,LACO02,2754,93,2450,32,7,54,1,3,114,2227,57,2012,18,6,51,0,2,81,612,469,571,518,582,469,509,346,589.9,670.4,649.4,585.9,338.7,903.5,588.3,485.3,509,346,719.9,526,633.4,482.9
33001LACO03,NH,Belknap County,LACO03,2429,51,2183,12,13,47,1,5,117,2043,30,1874,7,13,38,0,5,76,526.3,555.1,548.1,573.4,544.6,547.2,501,398.2,824,617,830,550,472,970,539.7,558.6,501,398.2,712.3,708.7,608.2,600
33001LACO04,NH,Belknap County,LACO04,2931,79,2588,48,8,50,0,3,155,2357,48,2127,33,6,40,0,2,101,624,483.6,548,592.1,577.6,536.8,515.4,369,663.1,673.3,725.3,579.5,381.8,938.8,583.2,537.5,515.4,369,730.6,590.1,636.7,536
