GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_you,uss_16_dem_bay,gov_16_rep_hol,gov_16_dem_gre,atg_16_rep_hil,atg_16_dem_arr,uss_18_rep_bra,uss_18_dem_don,sos_18_rep_law,sos_18_dem_har,avg_16_rep,avg_16_dem,avg_18_rep,avg_18_dem,avg_20_rep,avg_20_dem
18039000760,IN,Elkhart County,000760,1927,125,1737,7,11,7,0,2,38,1336,68,1233,3,4,6,0,0,22,547,94,504,133,528,126,584,79,440,117,472,80,540.8,108,456,98.5,NA,NA
18039000770,IN,Elkhart County,000770,1562,112,1397,5,0,9,0,3,36,1042,61,959,5,0,6,0,0,11,489,95,456,141,483,135,533,78,396,115,419,83,490.2,112.2,407.5,99,NA,NA
18039000780,IN,Elkhart County,000780,1691,105,1481,21,0,24,2,2,56,1205,52,1095,13,0,11,1,2,31,574.2,132.8,558.9,157.2,563.9,162.4,630.5,102.2,479,146,514.4,112.4,581.9,138.7,496.7,129.2,NA,NA
18039000790,IN,Elkhart County,000790,1712,152,1487,2,1,15,1,10,44,1237,93,1096,2,1,15,1,4,25,538.3,117.7,510.1,154,524.2,148.1,584.7,96.7,399.7,136.7,436.9,95.5,539.3,129.1,418.3,116.1,NA,NA
18039000800,IN,Elkhart County,000800,1351,95,1171,12,0,27,0,10,36,892,46,788,8,0,20,0,9,21,430,122,417,136,423,148,486,88,337,124,368,95,439,123.5,352.5,109.5,NA,NA
18039000810,IN,Elkhart County,000810,2178,167,1880,14,0,34,0,6,77,1475,98,1309,6,0,28,0,2,32,649,207,608,261,621,264,723,165,502,252,546,196,650.2,224.2,524,224,NA,NA
18039000820,IN,Elkhart County,000820,1251,74,1135,8,0,11,0,0,23,887,40,820,0,0,11,0,0,16,386,111,367,133,371,135,408,103,294,123,319,92,383,120.5,306.5,107.5,NA,NA
18039000830,IN,Elkhart County,000830,2806,613,2026,37,12,26,1,15,76,1908,355,1455,24,12,14,1,3,44,568,160,522,201,525,216,595,162,420,194,449,161,552.5,184.8,434.5,177.5,NA,NA
18039000840,IN,Elkhart County,000840,1435,30,1380,0,0,7,0,2,16,967,14,933,0,0,7,0,2,11,211.9,24.9,206.4,32.2,200.9,37.8,217.5,24,174.2,38.7,179.7,24,209.2,29.7,176.9,31.4,NA,NA
18039000850,IN,Elkhart County,000850,2893,317,2439,21,4,10,0,3,99,2021,204,1737,12,4,7,0,0,57,592.1,139.1,543.6,182.8,546.1,196.2,630.5,129,384.9,135.3,410.3,96,578.1,161.8,397.6,115.7,NA,NA
18039000860,IN,Elkhart County,000860,1355,12,1280,1,6,13,1,5,37,962,8,910,0,4,8,1,3,28,406.4,100.2,391.5,116,404.5,116.9,438.8,82.6,332.1,118.8,359,89.1,410.3,103.9,345.6,103.9,NA,NA
18039000870,IN,Elkhart County,000870,1158,63,988,5,0,23,0,1,78,836,35,739,3,0,20,0,1,38,368.6,111.8,351.5,136,366.5,130.1,422.2,85.4,282.9,123.2,304,98.9,377.2,115.8,293.4,111.1,NA,NA
18039000880,IN,Elkhart County,000880,934,28,876,4,0,3,0,0,23,735,11,707,4,0,1,0,0,12,365.2,70.5,360.1,82.9,366.3,84.8,403,51.1,312.5,104.7,336.1,76.1,373.6,72.3,324.3,90.4,NA,NA
18039000890,IN,Elkhart County,000890,1408,108,1216,21,0,17,1,4,41,996,57,892,13,0,11,0,4,19,381.2,87,362.5,122.5,378.3,111.7,426.7,67.2,285.2,98.9,315.9,69.2,387.2,97.1,300.5,84.1,NA,NA
18039000900,IN,Elkhart County,000900,4050,64,3876,16,3,19,1,7,64,2564,33,2469,6,3,14,0,3,36,561.6,117.4,546.5,146.6,565.4,137.6,622.3,84.7,428.3,133.4,469.1,85.7,574,121.6,448.7,109.6,NA,NA
18039000910,IN,Elkhart County,000910,1403,21,1348,2,1,4,0,1,26,959,15,918,2,0,4,0,0,20,481.3,68.2,467.4,107.7,475.4,100.9,527.4,50.3,365,107.3,405.7,64.4,487.9,81.8,385.4,85.8,NA,NA
18039000920,IN,Elkhart County,000920,1985,65,1793,38,2,19,0,10,58,1469,46,1345,25,1,19,0,4,29,578.7,155.8,538.6,202.3,544.6,203.1,648.6,112.7,454,187.7,509.3,127.6,577.6,168.5,481.6,157.6,NA,NA
18039000930,IN,Elkhart County,000930,1817,173,1430,48,2,91,1,16,56,1444,114,1167,36,2,76,1,13,35,539,253,520,273,529,274,625,200,426,261,464,222,553.2,250,445,241.5,NA,NA
18039000940,IN,Elkhart County,000940,1462,117,1209,44,7,23,0,0,62,1193,65,1032,36,7,23,0,0,30,433,148.3,396.2,176.2,411.1,175.2,491.8,116.5,323.5,182.2,366.3,137.4,433,154.1,344.9,159.8,NA,NA
18039000950,IN,Elkhart County,000950,1202,117,974,26,4,9,0,5,67,950,64,800,13,2,9,0,5,57,263,123.7,220.8,145.8,243.9,142.8,285.2,114.5,191.5,122.8,214.7,95.6,253.2,131.7,203.1,109.2,NA,NA
18039000960,IN,Elkhart County,000960,1607,170,1168,89,0,77,1,3,99,1298,94,1013,67,0,63,1,1,59,331,197,306,211,310,224,377,175,229,177,241,157,331,201.8,235,167,NA,NA
18039000970,IN,Elkhart County,000970,2060,153,1535,218,7,12,0,7,128,1550,83,1271,111,5,10,0,7,63,411,217,370,250,375,253,445,191,282,213,313,179,400.2,227.8,297.5,196,NA,NA
18039000980,IN,Elkhart County,000980,2305,502,1427,175,3,34,2,16,146,1717,282,1161,128,3,29,2,15,97,305.6,184.7,261.6,201.7,281.4,201.9,336.6,169.1,181,172.2,199.4,158.8,296.3,189.3,190.2,165.5,NA,NA
18039000990,IN,Elkhart County,000990,1853,407,1154,116,5,86,0,9,76,1510,276,1006,101,0,68,0,3,56,284.4,179.8,274.6,181.8,269.8,193.5,327.4,158.3,194.5,156.4,216,141.7,289,178.4,205.2,149.1,NA,NA
18039001000,IN,Elkhart County,001000,2451,602,1378,260,10,29,0,8,164,1752,341,1103,180,8,28,0,6,86,296,252.2,266.8,268.8,275.6,270.7,342.8,225.9,184.1,227.9,216.2,194.8,295.3,254.4,200.1,211.4,NA,NA
18039001010,IN,Elkhart County,001010,2151,452,1475,101,3,9,1,5,105,1670,279,1236,84,2,8,1,3,57,331.5,186.5,292,213.9,301.2,223,372.6,180.2,216.6,180.1,247.7,146.9,324.3,200.9,232.1,163.5,NA,NA
18039001020,IN,Elkhart County,001020,2536,570,1714,91,2,13,0,5,141,1901,327,1425,56,2,12,0,1,78,317.6,228,282.2,258.3,307.3,253.4,381,204.9,235.3,213.9,266.7,184.6,322,236.2,251,199.2,NA,NA
18039001030,IN,Elkhart County,001030,1809,300,1313,83,12,25,0,7,69,1290,162,997,61,7,20,0,4,39,483,281,488,290,504,301,626,183,370,324,416,267,525.2,263.8,393,295.5,NA,NA
18039001040,IN,Elkhart County,001040,1786,217,1374,60,7,21,0,4,103,1417,136,1158,41,6,19,0,1,56,467.9,255.4,447.3,283.3,456.1,290,580.4,195.4,359.1,273.9,409.1,214.3,487.9,256,384.1,244.1,NA,NA
18039001050,IN,Elkhart County,001050,1582,201,1245,34,6,21,0,12,63,1169,116,966,28,6,20,0,9,24,474.1,253.1,449.4,273.4,465.4,279.2,561.7,197.7,373.3,234.1,404.6,199,487.6,250.8,389,216.6,NA,NA
18039001060,IN,Elkhart County,001060,1646,167,1227,157,2,24,0,4,65,1361,102,1089,108,2,16,0,4,40,429.6,218.6,394.8,243,410.6,247.1,513.7,156,343.6,242.2,378.9,204,437.2,216.2,361.2,223.1,NA,NA
18039001070,IN,Elkhart County,001070,818,88,643,32,4,9,0,2,40,629,48,524,21,4,8,0,2,22,274.2,133.9,262.9,143.3,270,137.5,337.9,79,211.5,142.2,234.3,115.3,286.2,123.4,222.9,128.8,NA,NA
18039001080,IN,Elkhart County,001080,1684,131,1382,60,7,34,0,6,64,1354,84,1140,44,7,30,0,5,44,498.6,222.9,482.7,251.7,493.6,252.7,605.6,152.6,407.4,276.4,471.8,211,520.1,220,439.6,243.7,NA,NA
18039001090,IN,Elkhart County,001090,2494,85,2364,8,0,7,0,3,27,1685,44,1613,5,0,7,0,1,15,478.1,88.6,462.2,111.4,451.4,121.3,507.3,71.4,385.6,90.6,412.5,60.8,474.8,98.2,399,75.7,NA,NA
18039001100,IN,Elkhart County,001100,1315,40,1247,6,0,7,0,1,14,1053,33,1007,1,0,4,0,0,8,475,141.7,439.9,187.9,423.8,205,536.3,99.6,372.2,157.8,414.5,115.5,468.8,158.6,393.4,136.7,NA,NA
18039001110,IN,Elkhart County,001110,1307,80,1158,6,3,1,0,2,57,981,61,880,4,3,0,0,1,32,409,114,372,147,381,145,449,94,292,121,314,94,402.8,125,303,107.5,NA,NA
18039001120,IN,Elkhart County,001120,1134,93,992,11,3,3,0,4,28,775,44,701,11,3,3,0,2,11,261.9,62.7,253.9,77.6,249.8,79.7,300.4,41,198.2,63.7,217.1,45.7,266.5,65.2,207.6,54.7,NA,NA
18039001130,IN,Elkhart County,001130,1691,130,1429,22,6,21,0,7,76,1329,69,1173,16,6,17,0,7,41,546.2,160.4,471.4,213.4,487.4,201.5,573.1,148.6,397,210.8,453.5,154.1,519.5,181,425.2,182.4,NA,NA
18039001140,IN,Elkhart County,001140,1574,64,1397,21,3,38,0,0,51,1227,46,1100,17,3,32,0,0,29,653,190.8,635.5,214.2,649.7,214.2,730.5,147.5,496.1,203.2,542.6,155.7,667.2,191.7,519.4,179.4,NA,NA
18039001150,IN,Elkhart County,001150,1784,124,1463,58,12,24,0,6,97,1353,75,1151,45,12,20,0,1,49,425.8,151.6,402.6,178.6,404.6,183.5,479.9,128.4,308,190.2,351.5,142.9,428.2,160.5,329.8,166.6,NA,NA
18039001160,IN,Elkhart County,001160,1843,399,1311,38,1,13,0,6,75,1323,246,1008,23,1,13,0,2,30,311,105,282.5,128.5,295.3,130.5,341.4,87.3,252.1,126.5,278.6,99.1,307.6,112.8,265.4,112.8,NA,NA
18039001170,IN,Elkhart County,001170,1806,61,1652,15,4,7,0,11,56,1324,35,1220,8,4,5,0,9,43,462,126,436,150,451,146,496,114,335,118,363,93,461.2,134,349,105.5,NA,NA
18039001180,IN,Elkhart County,001180,2485,82,2301,1,6,13,1,5,76,1722,49,1625,1,5,6,0,3,33,609,143,580,178,592,177,653,118,469,160,495,129,608.5,154,482,144.5,NA,NA
18041000010,IN,Fayette County,000010,957,3,934,5,1,0,0,0,14,707,1,694,2,1,0,0,0,9,334.9,79,280.2,113.5,270.1,128.5,312.6,82.1,237.8,74.2,248,69,299.4,100.8,242.9,71.6,NA,NA
18041000020,IN,Fayette County,000020,554,26,443,20,4,4,0,2,55,427,22,344,18,3,4,0,2,34,59.2,29.1,46.6,37.8,40.7,47.5,57.2,36.9,41.7,32,44.6,29.1,50.9,37.8,43.2,30.6,NA,NA
18041000030,IN,Fayette County,000030,1270,6,1213,14,2,3,0,6,26,982,3,948,9,2,3,0,0,17,422,177,347,241,349,245,432,154,307,162,344,128,387.5,204.2,325.5,145,NA,NA
18041000040,IN,Fayette County,000040,926,7,873,13,1,0,2,4,26,744,1,716,7,0,0,2,3,15,307,104,250,153,257,146,301,97,200,116,229,94,278.8,125,214.5,105,NA,NA
18041000050,IN,Fayette County,000050,796,12,722,30,0,2,0,0,30,614,9,554,27,0,2,0,0,22,135,63,105,69,120,74,126,65,69,53,76,55,121.5,67.8,72.5,54,NA,NA
18041000060,IN,Fayette County,000060,686,19,645,4,0,3,0,0,15,506,16,476,4,0,2,0,0,8,104.1,39,87.1,44,88.1,46,104.1,40,61.1,36,61.1,39,95.8,42.2,61.1,37.5,NA,NA
18041000070,IN,Fayette County,000070,896,11,825,18,0,0,0,3,39,684,6,648,11,0,0,0,3,16,189.3,87.1,150.2,107.1,137.2,124.1,176.3,101.1,110.2,86.1,127.2,69.1,163.2,104.8,118.7,77.6,NA,NA
18041000080,IN,Fayette County,000080,719,16,655,15,2,8,0,2,21,556,13,509,12,0,4,0,0,18,178,71,153,94,138,104,172,77,121,66,120,72,160.2,86.5,120.5,69,NA,NA
18041000090,IN,Fayette County,000090,665,6,605,11,2,1,0,3,37,498,2,462,9,2,1,0,0,22,115,56,90,71,92,72,110,63,86,55,99,47,101.8,65.5,92.5,51,NA,NA
18041000100,IN,Fayette County,000100,783,22,716,9,0,2,0,0,34,619,16,573,8,0,2,0,0,20,255.8,101.9,190.4,161.2,203.3,153.5,247.8,107.1,178.3,91,215.4,70.9,224.3,130.9,196.9,81,NA,NA
18041000110,IN,Fayette County,000110,1458,23,1357,17,5,2,0,3,51,1182,17,1116,12,3,2,0,0,32,205.4,86,160.4,122.3,157.9,122,205.1,84.9,156.6,74.6,172.5,63.8,182.2,103.8,164.6,69.2,NA,NA
18041000120,IN,Fayette County,000120,1360,9,1302,5,1,4,0,0,39,1082,6,1045,3,1,4,0,0,23,566.3,191,479.3,266.5,480.8,273.9,561.6,189,424.2,190.3,466.2,159.1,522,230.1,445.2,174.7,NA,NA
18041000130,IN,Fayette County,000130,1013,11,978,4,1,1,0,0,18,778,6,751,2,1,1,0,0,17,349,80,282,124,287,125,326,93,242,84,260,79,311,105.5,251,81.5,NA,NA
18041000140,IN,Fayette County,000140,829,5,786,8,1,8,0,3,18,666,3,635,7,1,6,0,1,13,321.9,81,272.9,114,262.9,129.9,314.9,80,233.9,84,247.9,69,293.1,101.2,240.9,76.5,NA,NA
18041000150,IN,Fayette County,000150,342,2,331,0,0,0,0,1,8,242,2,237,0,0,0,0,1,2,126,20,97,45,90,54,119,29,84,30,89,27,108,37,86.5,28.5,NA,NA
18041000160,IN,Fayette County,000160,637,10,581,25,0,2,0,1,18,488,5,453,23,0,2,0,0,5,147,73,126,76,119,95,144,72,101,59,115,58,134,79,108,58.5,NA,NA
18041000170,IN,Fayette County,000170,794,8,746,13,1,3,0,0,23,611,3,581,12,1,3,0,0,11,240,77,208,107,200,119,241,75,172,78,181,73,222.2,94.5,176.5,75.5,NA,NA
18041000180,IN,Fayette County,000180,655,1,607,12,1,0,0,3,31,529,0,499,11,1,0,0,1,17,198,58,157,88,146,98,187,66,129,67,144,63,172,77.5,136.5,65,NA,NA
