GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_ben,uss_16_rep_gle,gov_18_dem_pol,gov_18_rep_sta,atg_18_dem_wei,atg_18_rep_bra,sos_18_dem_gri,sos_18_rep_wil,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_hic,uss_20_rep_gar,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
08001001082,CO,Adams County,001082,1389,175,1046,14,10,53,0,2,89,1026,111,793,13,10,48,0,2,49,395,367,388,383,406,336,383,362,397,346,542,382,512,422,375,391.5,348,395.3,402,527,371.1,431.9
08001001083,CO,Adams County,001083,1926,448,1249,18,0,111,0,9,91,1497,311,1020,17,0,80,0,8,61,442.1,418.3,421,422,398.1,338.5,377,353.2,399.9,334.8,549.5,429.3,521.9,441.2,420.1,431.6,342.2,391.7,435.3,535.7,391,444.2
08001001084,CO,Adams County,001084,1031,193,716,17,5,47,0,6,47,795,139,565,13,3,42,0,5,28,266,275,274,280,256,280,233,290,244,291,338,319,322,337,277.5,270,287,244.3,328,330,296,276.1
08001001085,CO,Adams County,001085,1747,282,1222,44,13,89,1,2,94,1362,207,991,31,13,67,0,2,51,521.4,539.1,516.5,538.8,516.5,466.3,484.2,474,509.6,463.6,694.2,544.2,646.2,586.4,538.9,518.9,468,503.4,565.3,670.2,516.1,555.5
08001001086,CO,Adams County,001086,1478,305,1008,18,6,65,0,4,72,1102,184,807,11,4,54,0,4,38,380.2,443.4,374.4,437.6,391.9,397.7,360.8,426.9,383.1,410.4,494,459,474.5,491.1,440.5,377.3,411.7,378.6,475,484.3,438,408.4
08001001087,CO,Adams County,001087,3273,972,1884,87,27,103,12,26,162,2682,711,1640,80,23,73,11,19,125,477.4,405.9,471,384,450.9,255.1,435.8,258.1,458.8,245.1,704.1,472.9,681.4,481.3,394.9,474.2,252.8,448.5,477.1,692.7,357.5,525.6
08001001088,CO,Adams County,001088,1880,406,1274,26,15,80,0,4,75,1608,298,1158,21,11,63,0,4,53,452.8,428,451.9,398.5,516.3,433.5,472.1,464.8,494.2,457.4,649.8,474.9,639.7,499.8,413.2,452.4,451.9,494.2,487.3,644.7,451,525.3
08001001089,CO,Adams County,001089,2369,651,1360,68,17,128,1,17,127,1926,454,1208,59,13,101,1,10,80,466.8,473.1,507.4,416.5,490.6,350.6,455.1,395.2,491.1,364.7,676.4,463.2,654.9,478.6,444.8,487.1,370.2,478.9,470.9,665.6,420.3,534.6
08001001090,CO,Adams County,001090,3686,1476,1756,106,29,149,6,6,158,2812,974,1520,86,17,102,5,6,102,840.2,517.7,822,487.8,699.6,317.4,679.4,341.5,710.1,326.6,1072.8,588.2,1042,589.7,502.8,831.1,328.5,696.3,588.9,1057.4,452.7,838
08001001091,CO,Adams County,001091,2774,938,1494,70,29,71,11,11,150,2136,624,1245,51,26,60,7,11,112,107.9,73,106.3,67.3,92,47.6,92.7,47.6,95.4,46.2,150.1,84.6,146.4,83.9,70.2,107.1,47.1,93.4,84.2,148.2,64.3,113
08001001092,CO,Adams County,001092,2349,796,1304,17,14,60,7,13,138,1766,529,1044,16,12,50,4,10,101,555.1,534.3,595.6,470.3,536.5,436.3,513.7,453.3,543.7,427.8,705.9,609.3,700.5,602.2,502.3,575.4,439.1,531.3,605.8,703.2,504.8,593
08001001093,CO,Adams County,001093,2579,858,1399,51,9,107,2,26,127,2003,598,1175,43,9,83,1,19,75,544.7,519.9,569.5,493.2,484.3,380.3,467.4,390.2,487.3,377.3,721,575.4,686.3,602.1,506.6,557.1,382.6,479.7,588.8,703.7,476.9,565.8
08001001094,CO,Adams County,001094,2108,587,1289,24,13,55,8,16,116,1625,412,1051,16,13,44,4,16,69,446.7,478,469.4,456.3,446.5,400,437.6,411.8,460.2,398,570.1,553.8,550.3,578.5,467.2,458,403.2,448.1,566.1,560.2,468,483
08001001095,CO,Adams County,001095,2145,832,1160,27,16,39,1,10,60,1655,563,977,18,10,33,1,6,47,478.6,454.4,515.6,399.4,450.6,383.4,441.6,390.4,463.6,360.4,639.8,506.5,643.8,501.6,426.9,497.1,378.1,451.9,504,641.8,428,519.1
08001001096,CO,Adams County,001096,1796,646,964,28,20,43,5,13,77,1397,438,817,13,18,36,2,11,62,410,385,412,347,370,321,358,337,401,310,515,420,504,420,366,411,322.7,376.3,420,509.5,362.9,424.3
08001001097,CO,Adams County,001097,1890,575,1145,12,4,65,0,13,76,1429,408,902,4,4,46,0,10,55,451.4,418.4,446.5,396.3,408.3,353,390.2,370,427.3,341,556.9,477.5,545.8,470.6,407.3,449,354.7,408.6,474,551.3,403.8,460.9
08001001098,CO,Adams County,001098,1906,772,1031,30,9,24,2,1,37,1498,545,875,16,8,21,2,1,30,328.6,308.2,327.8,289.4,340.3,251.9,330.1,262.9,350.5,239.4,438.1,336.4,435,328.6,298.8,328.2,251.4,340.3,332.5,436.5,288.1,364.3
08001001099,CO,Adams County,001099,1362,520,718,22,9,29,1,3,60,1044,358,603,21,3,22,0,2,35,291.5,220.3,297.1,212.9,281.4,213.8,283.2,211,294.3,201.8,382.2,262.8,377.6,265.6,216.6,294.3,208.9,286.3,264.2,379.9,226.9,315.3
08001001100,CO,Adams County,001100,2429,945,1282,31,14,59,2,14,82,1859,637,1065,19,13,55,2,10,58,538.3,440.1,574.3,373.2,522.5,321.7,488.1,339.3,524.4,320,667.6,463.6,652.1,478.8,406.6,556.3,327,511.7,471.2,659.8,390.9,566.7
08001001101,CO,Adams County,001101,2341,875,1108,57,11,179,2,6,103,1731,582,895,43,6,138,2,2,63,499,356,505,349,514,262,505,279,518,285,721,419,691,440,352.5,502,275.3,512.3,429.5,706,341.4,564.7
08001001102,CO,Adams County,001102,2005,720,1115,17,20,50,3,10,70,1609,509,959,15,17,44,3,9,53,428.7,369.9,454.7,346.8,433.5,308.3,423.9,323.7,430.6,315,593.4,409.4,581.9,414.2,358.4,441.7,315.7,429.3,411.8,587.7,355.4,478.1
08001001103,CO,Adams County,001103,1544,523,842,29,9,66,7,6,62,1279,362,780,26,9,53,3,2,44,207,167,213,150,195,122,180,126,194,124,349,174,323,192,158.5,210,124,189.7,183,336,150.7,237.3
08001001104,CO,Adams County,001104,2082,729,1037,41,8,150,3,8,106,1513,490,796,28,8,121,1,5,64,431.4,347.9,416.5,347.9,395.7,284.3,381.7,293.3,394.7,289.3,595.5,394.7,573.6,401.6,347.9,424,289,390.7,398.1,584.5,337,455.6
08001001105,CO,Adams County,001105,520,258,183,26,12,18,1,4,18,425,194,171,23,12,15,1,4,5,92.6,71.8,96,61.8,86.1,49,88,54,89.3,48.8,139,79.7,139.6,77.7,66.8,94.3,50.6,87.8,78.7,139.3,63.2,104.4
08001001106,CO,Adams County,001106,3544,1365,1524,125,24,300,8,25,173,2739,951,1285,101,23,226,2,17,134,731,461,701,446,658,350,637,370,654,365,966,530,937,534,453.5,716,361.7,649.7,532,951.5,436.6,754.9
08001001107,CO,Adams County,001107,2630,982,1190,73,17,288,0,5,75,2024,696,999,58,12,205,0,5,49,567.8,412,544.4,410.7,528.9,358.2,516,373.4,539.6,355.2,801.6,525.2,786.8,538.2,411.3,556.1,362.3,528.1,531.7,794.2,424.7,612.1
08001001108,CO,Adams County,001108,2829,1219,1134,90,33,270,2,6,75,2172,884,948,65,22,203,2,4,44,580.4,357.2,557.2,352,488.1,314.3,478.6,312.9,492.1,292.6,770.9,454.4,751,474.2,354.6,568.8,306.6,486.3,464.3,761,365.4,588.3
08001001109,CO,Adams County,001109,2217,1053,888,40,9,137,5,15,70,1622,707,742,26,5,98,4,10,30,498.5,374,529,340.3,497.7,298.4,478.8,313.3,501.7,298.2,683.1,406.4,666.1,415.5,357.1,513.8,303.3,492.7,411,674.6,349.5,550.7
08001001110,CO,Adams County,001110,1719,877,728,9,2,29,0,6,68,1264,589,597,7,1,21,0,5,44,362,286,374,245,365,202,348,202,363,203,512,285,513,280,265.5,368,202.3,358.7,282.5,512.5,243.3,405.3
08001001111,CO,Adams County,001111,2678,1566,797,55,19,137,1,17,86,1943,1030,676,41,19,98,1,17,61,554.1,372.1,565.5,342.8,481.3,268.1,443.4,295.6,466.8,278.3,723.2,426.3,726.4,412.5,357.4,559.8,280.7,463.8,419.4,724.8,342.2,565.8
08001001112,CO,Adams County,001112,2339,1381,789,38,24,30,2,8,67,1710,942,661,17,16,22,2,8,42,369.1,146.4,362.8,135.8,436.2,149.3,438.1,160.7,448.6,141.7,615.4,256.4,613.5,260.2,141.1,365.9,150.6,441,258.3,614.4,178.7,469.1
08001001113,CO,Adams County,001113,2534,1447,901,39,28,38,3,8,70,1908,983,787,32,27,19,3,6,51,542.1,368.2,574.7,316,491.9,275.7,488,282.1,511.3,264.4,680,385.4,659,386.5,342.1,558.4,274,497,385.9,669.5,325.5,563.9
08001001114,CO,Adams County,001114,2289,1226,815,73,11,97,0,9,58,1641,801,655,59,8,74,0,4,40,469.1,280.3,470.5,259.7,416,184.8,405.5,196.2,420.2,185.5,621,322.2,604.8,326.2,270,469.8,188.8,413.9,324.2,612.9,250.7,486.7
08001001115,CO,Adams County,001115,2373,1388,816,35,13,32,1,12,76,1766,969,669,22,13,22,1,7,63,530,249,521,221,424,209,396,232,432,202,606,353,604,347,235,525.5,214.3,417.3,350,605,259,501.9
08001001116,CO,Adams County,001116,1479,679,664,28,13,36,0,6,53,1219,498,610,17,13,34,0,4,43,243.6,160,241.8,146.2,206.3,130.4,192.8,140.4,209,129.5,335.4,210.3,320.2,209.5,153.1,242.7,133.4,202.7,209.9,327.8,160.9,249.9
08001001117,CO,Adams County,001117,3321,1889,1151,56,31,59,2,24,109,2488,1283,994,39,29,51,2,15,75,835.5,373,798.4,358.3,719.7,310.4,682.6,330.8,715.7,296.6,994.2,451.9,989.8,447,365.6,816.9,312.6,706,449.5,992,366.9,819.4
08001001118,CO,Adams County,001118,2345,1441,743,34,18,32,2,5,70,1695,955,617,25,16,22,0,3,57,371.4,228.2,367.9,206.8,328.5,180.8,319.5,193.3,328.5,172.7,467.2,252.4,464.5,254.2,217.5,369.6,182.3,325.5,253.3,465.9,212.6,378.2
08001001119,CO,Adams County,001119,3257,2006,974,89,29,50,2,24,83,2403,1388,809,73,16,42,2,10,63,577.3,296.7,579.7,277.2,461.6,226.2,459.4,232.3,486.4,210.3,707,361.9,701.8,350.8,286.9,578.5,223,469.1,356.3,704.4,279.3,567.6
08001001120,CO,Adams County,001120,2924,1731,963,67,29,62,0,9,63,2142,1147,825,49,19,51,0,6,45,544.8,295.8,534,274.9,497.9,222.4,484.1,245.1,505.9,215.4,721.3,345.5,687.7,349.3,285.4,539.4,227.7,496,347.4,704.5,278.4,568
08001001121,CO,Adams County,001121,2519,1402,951,37,14,32,0,7,76,1934,956,836,35,12,30,0,7,58,410.8,279.5,445.1,238.7,388.3,229.4,376.3,231.2,386.5,229.3,569.5,316.8,557.5,305.6,259.1,427.9,230,383.7,311.2,563.5,261.5,447.7
08001001122,CO,Adams County,001122,1875,1148,517,49,18,77,2,24,40,1402,798,443,39,10,63,2,15,32,470.1,231.5,449.6,227.8,400.5,168.2,391.9,185.5,414.6,159.9,545.3,262.7,540.1,258.4,229.7,459.8,171.2,402.3,260.6,542.7,213.4,458.9
08001001123,CO,Adams County,001123,4270,2986,934,230,17,14,0,6,83,3053,1986,820,151,13,13,0,5,65,714.3,283.4,695.1,245.8,497.6,229.1,494.8,235.3,519.3,224.9,847,363.5,846.3,348.4,264.6,704.7,229.8,503.9,356,846.7,275.8,659.2
08001001124,CO,Adams County,001124,3909,2873,740,136,26,29,0,29,76,2722,1886,615,106,24,23,0,19,49,695.3,286.1,661.3,251.1,517.2,201.1,522.2,198.1,546.2,179.1,818.3,309.1,819.2,294.1,268.6,678.3,192.7,528.5,301.6,818.8,245.5,654.2
08001001125,CO,Adams County,001125,2548,1867,547,38,23,10,0,4,59,1755,1221,439,21,23,9,0,4,38,528.1,255.2,540.9,224.2,340,146,349,155,353,144,483,230,492,220,239.7,534.5,148.3,347.3,225,487.5,196.3,440.9
08001001126,CO,Adams County,001126,4325,3122,988,94,27,9,3,13,69,3021,2026,828,71,27,5,1,13,50,653.2,360.1,653.2,300.9,510.5,269.8,509.6,281.5,555.2,242.7,829.9,375.6,815.3,386.3,330.5,653.2,264.6,525.1,381,822.6,316.7,646.7
08001001127,CO,Adams County,001127,2438,1693,628,16,20,11,5,5,60,1722,1141,498,12,16,11,0,5,39,395.3,198,404.9,162.1,311,140,313.2,141.7,323.4,135.9,456,248.6,471.6,235.9,180,400.1,139.2,315.9,242.2,463.8,180.3,382.2
08001001128,CO,Adams County,001128,4349,3124,1007,52,30,25,0,32,79,3036,2047,812,36,25,18,0,32,66,696.1,284.3,670.2,251.5,558.4,223.6,547.9,238.9,578.7,214.8,820.5,415.9,849.3,385.2,267.9,683.2,225.8,561.7,400.6,834.9,287.8,674.5
08001001129,CO,Adams County,001129,4822,3504,1072,81,29,22,1,9,104,3425,2310,921,57,22,22,1,8,84,602.4,376.5,596.8,336.6,532.8,290.6,526.7,281.9,546.9,274.7,940.7,459.7,922.1,456,356.6,599.6,282.4,535.5,457.9,931.4,353.7,666.9
08001001130,CO,Adams County,001130,467,206,232,6,1,3,1,0,18,359,138,203,1,1,3,1,0,12,112.4,108.7,120,90.9,114.3,90,109,95.3,115.3,96,164.5,118,151.1,128.1,99.8,116.2,93.8,112.8,123.1,157.8,103.9,126.6
08001001131,CO,Adams County,001131,2569,1801,639,17,11,25,0,16,60,1713,1111,507,16,11,19,0,14,35,333.7,208,318,184.4,240.3,140.4,246,137.3,254.1,130.6,403.5,249.6,404.2,233.9,196.2,325.9,136.1,246.8,241.8,403.8,183.5,314.3
08001001132,CO,Adams County,001132,3668,2029,1263,77,18,160,1,24,96,2691,1347,1059,63,17,125,0,15,65,395.3,256.8,408.5,234.7,446.2,227.6,427.8,242.5,450.7,219.6,799.8,377.5,762,408.4,245.7,401.9,229.9,441.6,392.9,780.9,281,527.2
08001001133,CO,Adams County,001133,3360,1877,1195,42,19,90,3,20,114,2365,1181,958,35,17,74,3,17,80,481.4,417.3,474.8,395.7,465.4,304.3,433.4,323.1,460.7,304.3,695.2,488,698.1,471,406.5,478.1,310.6,453.1,479.5,696.7,386.2,529.8
08001001134,CO,Adams County,001134,2585,882,1394,66,25,82,4,7,125,1994,609,1142,42,18,70,3,7,103,562.5,502.1,579.5,454.1,510.3,395.7,493.3,399.7,503.3,386.7,705.5,547.3,690.4,560.4,478.1,571,394,502.3,553.9,698,463.7,577.8
08001001135,CO,Adams County,001135,2530,923,1386,17,12,74,4,17,97,1891,611,1121,15,6,57,4,16,61,560.7,525.8,571.7,497.8,517.8,421,500.8,442,530.8,406.1,686.4,602.6,680.4,596.6,511.8,566.2,423,516.5,599.6,683.4,498.8,578.4
08001001136,CO,Adams County,001136,1776,489,1108,25,9,61,2,8,74,1368,344,898,17,9,52,2,5,41,237,248,240.7,249.8,232.8,221.8,221.2,229.7,246.8,208.5,311.2,286.3,300.2,286.3,248.9,238.9,220,233.6,286.3,305.7,247.2,255.7
08001001137,CO,Adams County,001137,2444,783,1326,31,8,198,1,2,95,1846,539,1062,22,8,148,1,1,65,550.4,553.3,581.1,527.4,538.9,458.3,505.3,484.2,538.9,450.7,741.2,599.3,716.3,633.8,540.3,565.7,464.4,527.7,616.5,728.7,529.6,596
08001001138,CO,Adams County,001138,1360,359,791,19,5,129,3,7,47,1046,270,644,15,1,90,3,3,20,322,334.4,306.5,345.8,301.1,292.3,281.5,298.4,311.9,285,445.4,376.3,425.8,404.3,340.1,314.3,291.9,298.2,390.3,435.6,333.8,342
08001001139,CO,Adams County,001139,627,213,289,12,8,65,3,3,34,433,117,232,11,2,47,3,0,21,81.9,97.1,83.7,83.7,76.8,83,68.9,88.8,74.1,84.8,185.7,146.4,180.7,149.4,90.4,82.8,85.5,73.3,147.9,183.2,104.7,107.4
08001001140,CO,Adams County,001140,1454,692,582,35,4,75,0,4,62,1005,449,431,28,4,55,0,4,34,221.2,195,219.5,185,229.1,153.8,207.5,169.5,212.5,161.5,364.2,251.1,345.5,270.7,190,220.3,161.6,216.4,260.9,354.8,198.1,257.1
08001001141,CO,Adams County,001141,2331,976,1052,60,26,96,2,5,114,1685,643,830,40,17,73,2,5,75,305,286,302,287,379,267,365,261,384,257,654,423,622,450,286.5,303.5,261.7,376,436.5,638,318.7,430.1
08001001142,CO,Adams County,001142,1784,444,1097,12,0,146,1,17,67,1272,328,784,12,0,98,1,8,41,284.6,413.7,257.4,431.2,282.8,399.6,264.2,410.3,288.7,396.4,451,513.5,426.4,525.5,422.5,271,402.1,278.6,519.5,438.7,441.5,322.2
08001001143,CO,Adams County,001143,2095,680,1084,20,12,175,0,9,115,1488,443,819,19,6,131,0,6,64,257.5,244.1,270,229.8,294.1,222.6,277.1,238.7,289.7,226.2,474.7,360.3,460.4,367.4,236.9,263.7,229.2,287,363.9,467.6,269.9,331.9
08001001144,CO,Adams County,001144,2486,742,1461,41,13,130,1,8,90,1734,466,1089,34,9,88,1,4,43,538.2,515.1,567.1,491.9,521.6,426.6,508.4,429.3,520.3,419.5,686.9,581.7,650.8,626.6,503.5,552.6,425.1,516.7,604.2,668.8,498.7,570.5
08001001145,CO,Adams County,001145,2684,851,1463,44,7,170,3,21,125,2024,568,1191,29,7,130,3,11,85,535.4,478.4,553.6,453.5,535.6,392.1,513.4,409.4,543.2,384.2,740.8,568.5,725.2,580.5,466,544.5,395.2,530.7,574.5,733,466.6,592.5
08001001146,CO,Adams County,001146,2233,741,1292,48,16,66,0,3,67,1778,511,1100,37,13,59,0,3,55,623.8,594.5,664.9,549.4,632,475.7,598.6,492.1,646.3,463.4,881.9,636,849.2,655.5,571.9,644.3,477.1,625.6,645.8,865.5,552.4,699.5
08001001147,CO,Adams County,001147,2901,830,1743,47,17,143,0,5,116,2225,545,1435,43,8,115,0,5,74,679.6,631,697.6,583.3,665.1,491,620.1,507.8,660.2,473,902.9,721.7,888,729.9,607.2,688.6,490.6,648.5,725.8,895.4,591.1,730.5
08001001148,CO,Adams County,001148,1713,439,944,40,3,183,2,20,82,1222,260,739,31,3,137,0,12,40,374.4,332.9,343.6,332.4,353.2,261.8,338,280,356,271.7,497.3,365.3,475.3,382.2,332.7,359,271.2,349.1,373.8,486.3,318,391.1
08001001149,CO,Adams County,001149,1788,356,1154,13,13,120,5,13,114,1334,232,941,6,8,75,5,12,55,379.6,427.9,367.5,445.2,361.5,366.7,340.8,377,368.4,362.4,466.8,422.8,447.8,448.6,436.6,373.6,368.7,356.9,435.7,457.3,407.2,390.3
08001001150,CO,Adams County,001150,2267,587,1446,49,11,79,1,6,88,1709,388,1140,37,11,63,1,4,65,580,537.6,604.2,538.4,615,515.6,586,531.5,621.4,513.2,766.3,578.4,740.4,611.3,538,592.1,520.1,607.5,594.9,753.4,546.6,644.8
08001001151,CO,Adams County,001151,2232,531,1396,34,8,139,7,11,106,1631,335,1088,23,4,105,7,7,62,540.8,624,605.4,553,572.1,481.6,537.2,503.6,578.5,479.4,735.7,617.6,711,623.6,588.5,573.1,488.2,562.6,620.6,723.4,554.7,611.5
08001001152,CO,Adams County,001152,1969,425,1166,44,6,219,0,10,99,1418,281,888,28,6,153,0,8,54,426,414,427,423,412,377,382,384,412,364,579,514,556,551,418.5,426.5,375,402,532.5,567.5,432.4,456.3
08001001153,CO,Adams County,001153,1503,336,950,22,2,116,6,4,67,1030,210,688,12,0,86,5,4,25,242.7,304.5,266.2,295.2,253.1,290.4,239.8,295.2,264.2,276.4,353.6,401.3,350.8,415.4,299.9,254.5,287.3,252.4,408.3,352.2,325.5,281.5
08001001154,CO,Adams County,001154,77,12,58,0,0,5,0,0,2,61,9,48,0,0,2,0,0,2,22,37.7,21.7,36,22.8,37.1,20.4,40,23.8,37,29.6,52.1,29.4,51.8,36.8,21.9,38,22.3,52,29.5,41.7,24.3
08001001155,CO,Adams County,001155,660,154,433,11,1,30,0,5,26,442,90,310,6,1,18,0,2,15,147.3,147.5,150.8,160.8,151.9,140.6,133.2,151.8,144.8,144.6,198.4,198.7,193.2,200.6,154.1,149.1,145.7,143.3,199.7,195.8,163.5,159.9
08001001156,CO,Adams County,001156,1527,383,864,24,1,191,1,1,62,1078,235,642,19,1,133,0,0,48,180.9,220.7,191.7,218.2,279.6,287.4,266.6,283.9,280.8,281.4,550.5,498.8,514.9,528.9,219.5,186.3,284.2,275.7,513.8,532.7,331.3,323.6
08001001157,CO,Adams County,001157,1487,301,928,23,6,158,1,2,68,1062,218,672,17,6,105,0,2,42,372.4,355.9,380.6,346.7,372.6,322.4,357.7,322.5,374.6,320.2,484.6,420.9,461.5,444,351.3,376.5,321.7,368.3,432.4,473.1,361.8,400.6
08001001158,CO,Adams County,001158,1800,439,1045,20,5,220,1,19,51,1250,297,745,14,5,149,1,12,27,233,241.2,237.5,238.2,236.8,218.1,222.6,219.6,236.8,215.2,351.4,338.7,332.8,357.4,239.7,235.3,217.6,232,348,342.1,261.2,264.4
08001001159,CO,Adams County,001159,3377,695,2016,49,9,422,3,10,173,2265,438,1436,35,3,274,1,3,75,439.2,531.8,438.4,555.7,671.5,652.8,619.1,682.3,653.2,660.2,1013.5,941.3,943.8,1013,543.7,438.8,665.1,647.9,977.1,978.6,719.6,682.7
08001001160,CO,Adams County,001160,672,149,444,12,0,29,0,2,36,517,108,355,9,0,24,0,2,19,92.1,187.9,95.1,186.1,98.9,187.8,89.2,200.2,91.3,197.2,224.4,305,209.7,319.7,187,93.6,195.1,93.2,312.4,217.1,226.3,128.7
08001001161,CO,Adams County,001161,402,56,278,4,1,35,0,1,27,350,37,256,4,1,35,0,1,16,30.1,75.7,36.6,67.3,25.8,64.9,25.8,65.8,28.6,63.9,111.6,201.7,106.9,198.9,71.5,33.3,64.9,26.7,200.3,109.3,105.5,52.2
08001001162,CO,Adams County,001162,1286,153,1035,5,7,32,2,0,52,968,109,802,4,4,29,2,0,18,262,527,283,498,260,524,253,521,259,512,330,604,285,651,512.5,272.5,519,257.3,627.5,307.5,548.1,276
08001001163,CO,Adams County,001163,917,147,678,10,7,31,0,1,43,709,110,536,10,7,18,0,1,27,103.4,218.2,114.3,195.4,147,273.7,130.1,284.6,152.9,262.8,188.7,382.8,194.6,383.8,206.8,108.9,273.7,143.3,383.3,191.6,285.9,147.3
08001001164,CO,Adams County,001164,629,128,463,0,0,9,0,2,27,505,93,384,0,0,7,0,2,19,115.9,235.8,120.8,229.9,114,233.8,103.2,240.7,108.1,233.8,176.9,302.6,175.9,306.6,232.9,118.4,236.1,108.4,304.6,176.4,254.8,130.7
08001001165,CO,Adams County,001165,1704,102,1543,7,2,12,0,4,34,1678,90,1535,6,2,12,0,4,29,408.1,577.2,429.2,570.1,592,796.2,552.8,823.3,573.9,794.2,773.2,845.5,724.2,908.5,573.7,418.6,804.6,572.9,877,748.7,759.3,579.1
08001001166,CO,Adams County,001166,671,106,490,1,2,24,0,0,48,507,75,391,0,2,20,0,0,19,117.5,256.9,127.5,263.8,114.5,274.9,109.4,277.9,119.5,269.9,133.6,327,128.6,337.1,260.4,122.5,274.2,114.5,332.1,131.1,286.8,121.5
08001001167,CO,Adams County,001167,807,106,627,10,0,36,0,4,24,622,86,484,10,0,24,0,4,14,169.5,301.1,177.5,290.2,156.6,304.1,149.6,302.1,160.5,301.1,205.4,362,196.5,379,295.7,173.5,302.5,155.6,370.5,201,320,173.7
08001001168,CO,Adams County,001168,1391,413,775,26,11,106,1,1,58,912,232,555,11,7,80,1,0,26,118.2,144.8,112.3,143.6,210.9,239.4,201.9,239.6,218,231.5,328.5,362.7,324.6,369.6,144.2,115.3,236.8,210.2,366.1,326.6,247.3,216.3
08001001169,CO,Adams County,001169,639,109,456,9,1,17,0,9,38,509,68,387,5,1,11,0,9,28,298.1,470.7,331.4,441.3,290.2,411.2,275.9,408.8,295.2,402.5,416.4,508.6,406,522.1,456,314.8,407.5,287.1,515.4,411.2,452.2,330.5
08001001170,CO,Adams County,001170,3066,1940,915,30,12,28,6,33,102,2207,1329,725,21,12,18,6,19,77,561.5,380.3,593.1,348.8,503.8,309.3,492.4,318.7,521.4,290.8,624.8,466.1,613.7,455.1,364.6,577.3,306.3,505.8,460.6,619.2,367,558.7
08001001171,CO,Adams County,001171,2586,1388,1042,39,16,29,6,13,53,1902,937,863,21,15,27,3,8,28,530.1,457.4,558.5,440.7,465.3,426,452.5,442.7,497.7,407.4,611.5,530.1,603.7,528.1,449.1,544.3,425.4,471.8,529.1,607.6,461.8,531.3
08001001172,CO,Adams County,001172,1220,504,561,106,8,13,0,5,23,1082,424,513,102,8,12,0,4,19,96,94,87,87,70,70,71,70,76,66,121,125,122,116,90.5,91.5,68.7,72.3,120.5,121.5,89.7,91.9
08001001173,CO,Adams County,001173,134,53,69,2,0,7,0,0,3,105,35,60,2,0,6,0,0,2,25,51,28,52,26,41,24,43,27,42,32,49,30,47,51.5,26.5,42,25.7,48,31,46.4,27.4
08001001174,CO,Adams County,001174,855,284,514,10,1,13,0,1,32,591,156,392,10,1,11,0,1,20,121.5,234.7,127.7,226.3,127.2,245.3,116.6,247.7,132.5,234.8,171.5,304.2,162.9,312.8,230.5,124.6,242.6,125.4,308.5,167.2,258,137.1
08001001175,CO,Adams County,001175,2299,678,1390,23,8,87,2,12,99,1706,459,1082,17,6,72,2,9,59,359.5,545.3,367.4,526.7,390.8,489.7,363.4,506.3,403.5,468.2,527.5,695.8,504.1,723.2,536,363.4,488.1,385.9,709.5,515.8,565,416.6
08001001176,CO,Adams County,001176,866,211,535,16,11,37,0,5,51,619,124,407,14,10,33,0,3,28,120,264,137,244,142,216,116,230,130,216,179,271,159,282,254,128.5,220.7,129.3,276.5,169,246.1,140.4
08001001177,CO,Adams County,001177,896,284,507,22,2,31,1,6,43,607,185,355,11,2,20,1,5,28,0,0,0,0,25.6,32.9,22.5,32.1,25.1,32.1,75.4,134.7,74.5,138.6,0,0,32.3,24.4,136.7,74.9,52.9,31.9
08001001178,CO,Adams County,001178,24,4,9,2,0,0,0,2,7,13,1,6,0,0,0,0,0,6,0,0,0,0,4.7,6,4.1,5.9,4.6,5.9,30.1,37,30.6,36.3,0,0,5.9,4.5,36.6,30.4,13,10.6
08001001179,CO,Adams County,001179,59,19,34,0,0,3,0,0,3,38,9,24,0,0,3,0,0,2,0,0,0,0,17.2,22.2,15.2,21.6,17,21.6,105.6,145.7,104.3,149.7,0,0,21.8,16.5,147.7,105,51.6,37
08001001180,CO,Adams County,001180,1643,475,1038,25,4,31,1,4,65,1154,298,772,19,4,21,1,1,38,271,424,291,403,286.5,393.8,273.1,398.4,315.3,361.4,418.9,572.6,397.5,598.4,413.5,281,384.6,291.6,585.5,408.2,450.2,321.9
08001001181,CO,Adams County,001181,2359,792,1357,27,11,47,2,11,112,1672,511,1022,24,11,29,2,11,62,423.8,509.2,452.9,502.4,408.3,434.8,379.2,460.3,407.6,430.2,529.4,599.1,519.4,607.4,505.8,438.3,441.8,398.4,603.2,524.4,506.2,445.8
08001001182,CO,Adams County,001182,1458,424,921,6,7,23,2,13,62,983,269,634,6,6,22,2,11,33,227.6,271.8,237,252.7,244.4,278.7,235.1,270.1,243.4,277.7,347.1,405.1,330,420.3,262.2,232.3,275.5,241,412.7,338.6,310.9,266.4
08001001183,CO,Adams County,001183,612,151,407,5,1,12,0,6,30,398,92,270,5,1,12,0,3,15,71.7,120.5,80.7,113.6,90.6,99.6,84.7,105.6,92.6,94.6,138.4,180.3,131.5,197.2,117,76.2,99.9,89.3,188.8,135,130.2,98.6
