GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_ben,uss_16_rep_gle,gov_18_dem_pol,gov_18_rep_sta,atg_18_dem_wei,atg_18_rep_bra,sos_18_dem_gri,sos_18_rep_wil,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_hic,uss_20_rep_gar,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
08005005189,CO,Arapahoe County,005189,1388,89,1205,10,2,33,2,7,40,1117,70,972,7,2,29,2,5,30,466.4,410.1,494.4,447.4,458.4,392,403.1,437.4,431.3,412.3,574.9,427.2,551.8,474.4,428.7,480.4,413.9,430.9,450.8,563.3,428.7,482.9
08005005190,CO,Arapahoe County,005190,1659,141,1393,20,4,38,1,0,62,1340,118,1147,19,4,29,0,0,23,495,417,492,448,520,379,469,413,491,407,670,438,644,461,432.5,493.5,399.7,493.3,449.5,657,423.3,540.1
08005005191,CO,Arapahoe County,005191,1391,118,1155,16,1,27,0,0,74,1096,74,933,10,1,26,0,0,52,432,461,456,519,464,494,423,522,437,519,558,490,532,527,490,444,511.7,441.3,508.5,545,504.6,471.7
08005005192,CO,Arapahoe County,005192,1342,99,1123,22,0,35,0,0,63,1008,52,880,12,0,27,0,0,37,369,479,401,512,375,472,342,497,366,483,500,454,460,507,495.5,385,484,361,480.5,480,486.3,401.9
08005005193,CO,Arapahoe County,005193,1163,84,944,14,7,36,0,16,62,969,68,790,12,6,29,0,13,51,377,316,382,355,375,306,341,334,358,318,471,313,441,340,335.5,379.5,319.3,358,326.5,456,326,392.1
08005005194,CO,Arapahoe County,005194,1532,101,1305,11,5,45,0,1,64,1224,68,1062,10,2,33,0,1,48,538.9,463.5,568.7,490.7,544,433.5,496.8,486.5,521.5,466.9,676.1,470.5,664.7,498.4,477.1,553.8,462.3,520.8,484.5,670.4,472.9,573
08005005195,CO,Arapahoe County,005195,1248,50,1167,4,1,9,0,0,17,932,32,874,3,1,7,0,0,15,435.1,333.5,442.3,362.3,418,342.5,398.2,360.5,396.4,364.1,498.9,342.5,469.3,386.6,347.9,438.7,355.7,404.2,364.5,484.1,356,436.9
08005005196,CO,Arapahoe County,005196,877,74,727,9,0,22,0,3,42,640,50,547,6,0,17,0,0,20,300,214,307,230,304,221,272,232,282,227,378,208,364,227,222,303.5,226.7,286,217.5,371,222.7,315.3
08005005197,CO,Arapahoe County,005197,956,65,831,10,1,7,0,7,35,696,35,634,7,0,3,0,1,16,325,243,316,274,346,231,314,251,325,239,457,215,424,260,258.5,320.5,240.3,328.3,237.5,440.5,244.7,358.1
08005005201,CO,Arapahoe County,005201,469,19,441,0,0,1,0,0,8,333,9,321,0,0,0,0,0,3,174.7,201.9,183,216.8,166.8,221.1,158.7,229,155.1,233.7,233.3,196.7,215.3,219.7,209.4,178.9,227.9,160.2,208.2,224.3,217,183.8
08005005202,CO,Arapahoe County,005202,413,12,384,4,3,5,0,0,5,328,3,319,4,0,0,0,0,2,140.3,151.2,139.3,166,130.5,164.9,126.5,168.9,118.6,172.8,175.9,164,159.1,184.7,158.6,139.8,168.9,125.2,174.3,167.5,167.5,141.5
08005005203,CO,Arapahoe County,005203,883,33,805,5,3,9,1,5,22,668,18,616,3,3,8,1,5,14,280,361,293,386,269,378,245,388,250,387,324,362,293,411,373.5,286.5,384.3,254.7,386.5,308.5,381.9,279.1
