GEOID20,state,county,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_rin,uss_18_rep_bra,gov_18_dem_mil,gov_18_rep_moo,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_gid,uss_20_rep_col,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
230010103001010,ME,Androscoggin County,52,5,29,8,0,0,0,0,10,31,0,21,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010103001011,ME,Androscoggin County,126,8,109,2,0,0,0,2,5,93,7,78,2,0,0,0,2,4,21,17,3,12,19,13,18,13,15,15,17,21,12.5,11,14,16.5,14,15.2
230010103001012,ME,Androscoggin County,73,0,62,9,0,0,0,0,2,51,0,49,2,0,0,0,0,0,2,2,0,1,1,2,1,1,1,1,2,2,1.5,0.5,1,1,1.4,1
230010103001013,ME,Androscoggin County,212,5,191,11,2,0,0,0,3,184,5,173,3,2,0,0,0,1,10,12,1,8,9,10,6,5,5,6,12,10,9,5,5.5,5.5,8.2,6.2
230010103001014,ME,Androscoggin County,79,7,60,0,0,1,0,0,11,58,7,46,0,0,0,0,0,5,32,38,5,26,28,32,18,17,14,20,38,32,29,16.5,18.5,16,26.6,19.4
230010103001015,ME,Androscoggin County,39,4,31,2,0,2,0,0,0,28,2,22,2,0,2,0,0,0,35,28,6,20,31,21,30,22,25,25,28,35,20.5,18.5,23.5,27.5,23.2,25.4
230010103001016,ME,Androscoggin County,85,4,79,1,1,0,0,0,0,53,0,52,1,0,0,0,0,0,17,13,3,9,15,10,14,10,12,12,13,17,9.5,9,11,13,10.8,12.2
230010103001017,ME,Androscoggin County,31,0,31,0,0,0,0,0,0,26,0,26,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,0.8
230010103001018,ME,Androscoggin County,22,1,18,0,0,0,0,0,3,18,1,16,0,0,0,0,0,1,9,7,2,5,8,6,8,6,7,7,7,9,5.5,5,6.5,7.5,6.2,6.8
230010103001019,ME,Androscoggin County,91,7,75,8,0,0,0,1,0,72,0,65,7,0,0,0,0,0,2,2,0,1,2,1,2,2,2,2,2,2,1,1,2,2,1.6,1.6
