GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,sos_16_rep_esp,sos_16_dem_oli,uss_18_dem_hei,uss_18_rep_ric,gov_18_dem_luj,gov_18_rep_pea,atg_18_dem_bal,atg_18_rep_hen,sos_18_dem_tou,sos_18_rep_cla,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
35001000044,NM,Bernalillo County,000044,1302,1212,55,5,23,0,0,0,7,866,804,38,0,19,0,0,0,5,123.3,271.6,123.5,296.9,248.3,64.6,266.9,109,290.6,72.1,268.4,88.4,123.4,284.2,83.5,268.6,NA,NA,96.8,273.8
35001000045,NM,Bernalillo County,000045,1292,1166,96,4,8,0,0,5,13,975,870,83,4,7,0,0,5,6,127.6,246.2,127,271.6,233.8,75.7,243.7,115.5,274,73.2,252.2,91.9,127.3,258.9,89.1,250.9,NA,NA,101.8,253.6
35001000046,NM,Bernalillo County,000046,2052,1713,238,26,29,3,1,14,28,1574,1281,214,24,21,0,0,14,20,177.1,411.2,173.1,456.2,351.1,112,376.1,164.1,414.2,112,395.1,123,175.1,433.7,127.8,384.1,NA,NA,143.5,400.7
35001000047,NM,Bernalillo County,000047,719,572,96,3,17,3,1,8,19,563,430,88,3,13,3,1,8,17,70,151,75,161,118,47,130,63,136,48,130,53,72.5,156,52.8,128.5,NA,NA,59.3,137.7
35001000048,NM,Bernalillo County,000048,1171,1012,106,24,9,2,2,0,16,806,688,83,9,9,2,0,0,15,63.4,176.3,71.9,193.3,152.7,32.9,168.9,54,182.4,33.3,167.7,40.2,67.6,184.8,40.1,167.9,NA,NA,49.3,173.6
35001000049,NM,Bernalillo County,000049,634,581,30,0,11,3,1,3,5,444,404,25,0,10,3,1,0,1,22.7,85.6,29.1,85.6,65,12.9,70.7,19.2,70.6,16,69.4,16.3,25.9,85.6,16.1,68.9,NA,NA,19.4,74.5
35001000050,NM,Bernalillo County,000050,2146,1625,295,87,65,29,0,5,40,1536,1144,234,56,51,25,0,5,21,83.6,198.5,88,219,172.2,51.8,187.2,77.2,199.3,53.5,191.5,59.3,85.8,208.8,60.5,187.6,NA,NA,68.9,194.6
35001000051,NM,Bernalillo County,000051,1767,1489,122,75,55,2,3,5,16,1248,1035,92,56,43,2,0,5,15,85,364,102,361,286,47,306,80,320,56,308,57,93.5,362.5,60,305,NA,NA,71.2,324.2
35001000052,NM,Bernalillo County,000052,2464,2088,249,18,66,13,0,4,26,1768,1456,207,17,52,13,0,4,19,166.2,363.5,189.5,399.3,322.8,95.6,351.8,145.4,368.5,105.2,350.8,122.5,177.9,381.4,117.2,348.5,NA,NA,137.4,359.5
35001000053,NM,Bernalillo County,000053,1294,1126,114,16,26,1,0,4,7,955,814,100,10,24,1,0,4,2,108.3,263.2,110.9,288.6,228.9,59,240.5,97.1,259.1,67.2,250.7,72.4,109.6,275.9,73.9,244.8,NA,NA,85.8,255.2
35001000054,NM,Bernalillo County,000054,1832,1318,226,87,83,54,1,7,56,1239,839,195,64,61,39,0,3,38,192.8,351.5,213.4,395,328.1,122.6,360.4,181.6,382.7,138.7,363.2,151.5,203.1,373.3,148.6,358.6,NA,NA,166.8,363.5
35001000055,NM,Bernalillo County,000055,1184,826,159,65,82,16,2,5,29,895,606,136,40,70,15,0,4,24,55.6,117.6,55.6,133.5,94.6,34.2,109.5,50.2,112.5,38,108.1,41,55.6,125.6,40.8,106.2,NA,NA,45.8,112.6
35001000056,NM,Bernalillo County,000056,1956,1553,256,34,78,5,1,7,22,1458,1132,215,29,53,5,1,6,17,236.7,397,246.2,438.4,366,133.9,374.2,208.8,412.7,150.3,402.8,163.5,241.4,417.7,164.1,388.9,NA,NA,189.9,398.5
35001000057,NM,Bernalillo County,000057,1669,614,815,81,57,56,0,2,44,1426,460,769,71,51,44,0,2,29,338.1,417.2,343.5,471.3,598.8,285.6,616.8,416.9,682.6,312.1,624.7,364.4,340.8,444.2,344.8,630.7,NA,NA,343.4,568.6
35001000058,NM,Bernalillo County,000058,1820,1585,121,7,89,3,0,3,12,1122,937,94,7,71,0,0,3,10,60.7,111.7,63.9,124.4,99.4,33.2,100,48.5,113,34.5,102.1,39.3,62.3,118.1,38.9,103.6,NA,NA,46.7,108.4
35001000059,NM,Bernalillo County,000059,2296,1985,141,36,102,5,0,11,16,1571,1317,120,29,79,4,0,9,13,119,303.7,140.9,331.9,247.3,68.4,272.4,110.1,282.3,80.9,275,80.4,129.9,317.8,84.9,269.3,NA,NA,99.9,285.4
35001000060,NM,Bernalillo County,000060,1402,1236,97,18,27,8,0,10,6,1045,914,83,14,21,8,0,1,4,135.9,262.6,139.5,283.7,221.9,60.8,249.7,98.8,265.1,66.4,256.4,73.6,137.7,273.1,74.9,248.3,NA,NA,95.8,256.6
35001000061,NM,Bernalillo County,000061,1387,1157,174,4,27,2,0,5,18,1054,859,150,1,24,0,0,4,16,100.9,294.8,109.9,302.8,276.8,56,285.8,89,304.8,58,289.8,71,105.4,298.8,68.5,289.3,NA,NA,80.8,292.5
35001000062,NM,Bernalillo County,000062,1118,878,188,13,12,4,1,10,12,885,672,167,11,12,2,1,10,10,70,231,83,245,208,50,226,74,233,57,226,62,76.5,238,60.8,223.2,NA,NA,66,228.2
35001000063,NM,Bernalillo County,000063,976,800,129,13,19,5,0,0,10,757,600,114,13,17,3,0,0,10,58.7,204.2,56.4,223.2,174.3,34.1,182.4,49.2,185.5,36.5,183.1,35.6,57.6,213.7,38.9,181.3,NA,NA,45.1,192.1
35001000064,NM,Bernalillo County,000064,773,618,122,7,6,9,0,2,9,577,440,112,7,2,9,0,2,5,43.1,131.2,46.1,151.2,127.2,24,133.2,36,135.2,26,133.2,28,44.6,141.2,28.5,132.2,NA,NA,33.9,135.2
35001000065,NM,Bernalillo County,000065,1499,1235,211,14,11,0,0,12,16,1155,929,183,13,10,0,0,9,11,133.4,282.8,125,305.4,246.2,72.3,259.4,101.5,281,64.8,267.8,76.1,129.2,294.1,78.7,263.6,NA,NA,95.5,273.8
35001000066,NM,Bernalillo County,000066,1337,1043,229,14,27,5,0,7,12,1056,791,205,10,26,5,0,7,12,137,290,144,328,254,87,267,141,300,91,279,100,140.5,309,104.8,275,NA,NA,116.7,286.3
35001000067,NM,Bernalillo County,000067,2244,1904,253,28,26,3,0,15,15,1675,1397,215,22,16,2,0,12,11,89.3,365.8,106.6,389.8,319.7,49.9,346.6,77.8,349.5,59.5,338,63.4,97.9,377.8,62.6,338.4,NA,NA,74.4,351.6
35001000068,NM,Bernalillo County,000068,1389,672,528,32,79,27,0,9,42,1118,517,457,27,60,25,0,9,23,307.7,329.9,349.4,371,315.1,212.8,350.8,302.3,391.9,230.9,346.8,268,328.6,350.5,253.5,351.1,NA,NA,278.5,350.9
35001000069,NM,Bernalillo County,000069,1275,558,486,78,47,36,7,13,50,932,378,389,49,39,30,7,11,29,248.7,246,254.9,289.1,264.2,176.2,289.1,234,306.5,190.5,293.7,206,251.8,267.5,201.7,288.4,NA,NA,218.4,281.4
35001000070,NM,Bernalillo County,000070,1456,906,286,34,98,63,4,5,60,1000,580,226,27,68,53,4,3,39,189.2,252.4,198.7,289.2,253.2,111,270.6,161.2,288.4,118.5,271.8,137.9,194,270.8,132.1,271,NA,NA,152.7,270.9
35001000071,NM,Bernalillo County,000071,2333,1996,242,13,49,7,2,0,24,1844,1548,219,9,40,7,2,0,19,114.9,339.9,138.1,341.5,267.9,77.7,288.6,114.1,306,82.7,291.9,91.8,126.5,340.7,91.6,288.6,NA,NA,103.2,306
35001000072,NM,Bernalillo County,000072,1274,1075,139,22,24,1,3,7,3,974,798,122,20,21,1,3,7,2,58,226,68,228,181,36,192,48,191,39,186,47,63,227,42.5,187.5,NA,NA,49.3,200.7
35001000073,NM,Bernalillo County,000073,1107,814,235,14,11,5,2,5,21,844,597,203,14,5,5,2,3,15,165.5,251.6,165.5,296.5,230.1,99.7,243,137.8,267,97.8,256.5,108.9,165.5,274.1,111,249.2,NA,NA,129.2,257.5
35001000074,NM,Bernalillo County,000074,1464,1147,223,8,32,9,1,9,35,1137,874,195,4,20,7,1,9,27,159,280,130,321,233,99,241,140,265,105,255,110,144.5,300.5,113.5,248.5,NA,NA,123.8,265.8
35001000075,NM,Bernalillo County,000075,646,539,72,10,7,5,0,4,9,508,420,63,5,6,5,0,2,7,78,183,87,196,165,43,171,71,187,45,182,53,82.5,189.5,53,176.2,NA,NA,62.8,180.7
35001000076,NM,Bernalillo County,000076,1015,778,193,13,12,0,1,7,11,776,572,167,13,10,0,1,3,10,155,248,151,282,247,85,250,142,276,89,259,106,153,265,105.5,258,NA,NA,121.3,260.3
35001000077,NM,Bernalillo County,000077,1521,1256,215,10,14,1,3,5,17,1185,962,193,5,8,1,3,1,12,141.1,244.5,139.3,270.5,201.3,84.5,212.1,124,237.3,93.5,218.4,103.4,140.2,257.5,101.3,217.3,NA,NA,114.3,230.7
35001000078,NM,Bernalillo County,000078,727,278,350,14,24,27,0,2,32,545,186,286,13,19,21,0,1,19,136.2,193.6,138.6,215.7,167.5,83.9,189.2,115.2,195.7,92.7,190.2,97.5,137.4,204.7,97.3,185.6,NA,NA,110.7,192
35001000079,NM,Bernalillo County,000079,1360,613,557,40,11,55,1,6,77,1083,481,470,40,10,40,1,6,35,247.7,241.5,247.7,281.7,244.8,170.9,251.4,247.7,293.8,184.2,269.3,209.9,247.7,261.6,203.2,264.8,NA,NA,218,263.7
35001000080,NM,Bernalillo County,000080,2120,1019,751,91,97,35,0,7,120,1538,685,608,69,74,28,0,7,67,184.8,201.5,193.1,246.9,196.8,117.6,213.1,172.4,241.1,121.6,224.7,138.7,189,224.2,137.6,218.9,NA,NA,154.7,220.7
35001000081,NM,Bernalillo County,000081,2394,1187,908,62,56,66,4,18,93,1689,771,701,50,48,44,4,13,58,309.2,362.5,325.3,427.3,412,218.4,434.5,339.1,485.4,253.7,449.6,282.8,317.2,394.9,273.5,445.4,NA,NA,288.1,428.6
35001000082,NM,Bernalillo County,000082,876,349,444,18,12,23,1,9,20,682,246,370,15,11,18,1,8,13,155,159.7,167.8,193.4,164,110.6,177.3,159.9,196.3,122.1,175.9,143.2,161.4,176.6,133.9,178.4,NA,NA,143.1,177.8
35001000083,NM,Bernalillo County,000083,736,320,332,29,22,10,0,0,23,593,255,285,25,8,6,0,0,14,340.3,405.3,352.6,471.7,419,230.9,435.4,332.3,492,242,453.3,280.9,346.5,438.5,271.5,449.9,NA,NA,296.5,446.1
35001000084,NM,Bernalillo County,000084,2022,848,795,75,198,44,2,0,60,1592,638,665,67,132,38,2,0,50,190.3,200,193.4,236.5,188.1,121.6,198.2,177.1,222.9,128.2,209.2,145.4,191.8,218.3,143,204.6,NA,NA,159.3,209.2
35001000085,NM,Bernalillo County,000085,1181,498,531,32,32,54,2,8,24,937,386,441,24,24,41,1,1,19,389.2,362.4,393.3,435.9,353.8,241.2,393.8,364.4,454.1,261.5,411,312.7,391.3,399.1,295,403.2,NA,NA,327.1,401.8
35001000086,NM,Bernalillo County,000086,1570,1036,426,5,54,8,2,1,38,1244,793,382,5,31,8,1,1,23,198.9,262.7,198,310.3,237,131.3,264.6,180.8,308.4,119.9,275,150.4,198.4,286.5,145.6,271.2,NA,NA,163.2,276.3
35001000087,NM,Bernalillo County,000087,1105,569,370,52,40,19,2,5,48,827,394,314,40,31,15,2,1,30,141.2,161.1,155.3,186.4,149,93.3,160,132.4,176.1,97.4,163.7,113.9,148.3,173.7,109.3,162.2,NA,NA,122.3,166
35001000088,NM,Bernalillo County,000088,1481,802,468,112,92,0,2,0,5,1416,749,463,111,88,0,2,0,3,89.5,155.4,96.2,174.8,132.4,49.6,132.4,78.6,148.8,55,143.3,58.7,92.8,165.1,60.5,139.3,NA,NA,71.3,147.9
35001000089,NM,Bernalillo County,000089,1396,602,490,86,133,36,1,10,38,1132,470,419,77,99,30,1,10,26,165.3,177.8,182.3,201,186.7,107.2,200.1,157.2,220.7,117.9,201,133.1,173.8,189.4,128.9,202.1,NA,NA,143.8,197.9
35001000090,NM,Bernalillo County,000090,2314,1990,245,21,16,3,0,12,27,1701,1433,209,17,14,3,0,11,14,203.6,409.1,197.1,454,352.1,125,357.4,200,393.1,131.9,380.7,144.4,200.3,431.6,150.3,370.8,NA,NA,167,391.1
35001000091,NM,Bernalillo County,000091,1143,872,232,6,7,8,0,5,13,866,622,211,4,4,8,0,5,12,222,256.6,191.6,314.7,255.9,124.5,276.6,186.7,319.5,121.7,291.8,153.5,206.8,285.6,146.6,286,NA,NA,166.7,285.8
35001000092,NM,Bernalillo County,000092,1611,1103,434,21,18,4,2,16,13,1336,875,400,18,12,4,0,16,11,229,307,251,342,310,153,319,225,371,151,339,178,240,324.5,176.8,334.8,NA,NA,197.8,331.3
35001000093,NM,Bernalillo County,000093,2372,283,35,0,2012,5,0,4,33,1805,205,32,0,1542,3,0,1,22,160.9,374.4,166.9,422.5,390,102.4,418.5,168.3,445.9,113.7,418.5,129.2,163.9,398.4,128.4,418.2,NA,NA,140.2,411.6
35001000094,NM,Bernalillo County,000094,799,626,118,16,13,10,2,7,7,593,460,86,11,13,10,1,6,6,36.8,113.8,41.9,126.7,86.4,20.5,92.4,34.2,92.4,25.7,94.1,24.8,39.4,120.2,26.3,91.3,NA,NA,30.7,101
35001000095,NM,Bernalillo County,000095,1188,1078,65,16,14,0,0,7,8,862,783,50,11,10,0,0,0,8,31,222,52,224,163,20,177,37,179,28,170,30,41.5,223,28.8,172.2,NA,NA,33,189.2
35001000096,NM,Bernalillo County,000096,1575,1074,409,12,28,2,0,15,35,1216,784,358,9,18,2,0,15,30,205.8,311.9,213.3,358.3,310.2,138,319.3,196.3,357.7,128.3,332.2,155.1,209.5,335.1,154.4,329.8,NA,NA,172.8,331.6
35001000097,NM,Bernalillo County,000097,1151,832,284,5,5,1,0,9,15,894,626,243,3,5,1,0,5,11,148.7,180.8,127.9,235.5,174,96.3,183.5,134.2,220.6,89.5,192.1,112.1,138.3,208.1,108,192.5,NA,NA,118.1,197.7
35001000098,NM,Bernalillo County,000098,986,689,220,15,41,2,0,3,16,771,503,203,15,39,2,0,1,8,49,103.8,53,113.4,94.6,29.7,97.7,41.6,102.6,31.5,98.9,33.7,51,108.6,34.1,98.5,NA,NA,39.8,101.9
35001000099,NM,Bernalillo County,000099,1752,1320,360,15,23,4,0,8,22,1414,1033,327,12,18,4,0,8,12,235.7,323.9,227.7,363.6,298.8,147.3,299.9,212.6,338.8,156.6,310.1,176.7,231.7,343.8,173.3,311.9,NA,NA,192.8,322.5
35001000100,NM,Bernalillo County,000100,1268,379,459,20,331,32,2,4,41,1121,289,429,20,316,31,2,3,31,186.5,240.8,195,275.6,248.3,125.2,256.1,181.7,286.5,132.4,265.6,153.3,190.8,258.2,148.2,264.1,NA,NA,162.4,262.2
35001000101,NM,Bernalillo County,000101,1446,446,553,82,104,212,4,9,36,1212,348,491,63,85,182,4,9,30,62.4,369.9,84.9,429,379,39.3,419.7,66.3,388.7,45.6,404.1,53.9,73.6,399.5,51.3,397.9,NA,NA,58.7,398.4
35001000102,NM,Bernalillo County,000102,785,355,244,38,53,26,1,9,59,648,272,230,34,34,21,1,5,51,35,231,49,256,211,22,245,35,239,23,233,26,42,243.5,26.5,232,NA,NA,31.7,235.8
35001000103,NM,Bernalillo County,000103,555,427,45,41,19,2,2,11,8,428,332,36,27,17,2,2,4,8,64.7,254.8,80.7,254.5,207.6,31.3,221.9,54.9,220.6,39.1,219.5,42.6,72.7,254.7,42,217.4,NA,NA,52.2,229.8
35001000104,NM,Bernalillo County,000104,598,491,53,33,13,0,1,2,5,427,348,41,26,7,0,1,0,4,14,115,23,111,102,7,114,10,106,9,102,12,18.5,113,9.5,106,NA,NA,12.5,108.3
35001000105,NM,Bernalillo County,000105,788,707,52,16,7,0,0,0,6,625,551,48,14,6,0,0,0,6,30,151,42,140,115,13,110,23,116,14,111,17,36,145.5,16.8,113,NA,NA,23.2,123.8
