GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,sos_16_rep_esp,sos_16_dem_oli,uss_18_dem_hei,uss_18_rep_ric,gov_18_dem_luj,gov_18_rep_pea,atg_18_dem_bal,atg_18_rep_hen,sos_18_dem_tou,sos_18_rep_cla,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
35001000001,NM,Bernalillo County,000001,2090,1089,742,62,88,31,2,4,72,1501,728,598,53,58,21,2,3,38,336.5,371.5,324.8,419.6,391.5,241,424.5,340.4,472.2,261,427.4,294.4,330.7,395.6,284.2,428.9,NA,NA,299.7,417.8
35001000002,NM,Bernalillo County,000002,1132,475,553,31,9,32,0,3,29,931,361,482,26,9,30,0,3,20,83.2,85.9,85.9,98.7,79.3,58.9,85.3,78.2,96.7,59.8,86.8,69.4,84.5,92.3,66.6,87,NA,NA,72.6,88.8
35001000003,NM,Bernalillo County,000003,614,257,246,10,14,54,1,4,28,454,166,199,10,14,41,1,4,19,199,218.8,207.2,257.4,230.4,121.7,247.2,175.4,263.8,133.9,246.4,157.7,203.1,238.1,147.2,247,NA,NA,165.8,244
35001000004,NM,Bernalillo County,000004,822,226,527,6,5,22,0,11,25,694,159,484,6,5,18,0,6,16,207.5,301.5,225.6,354.6,291.3,131.9,307.2,222.9,335.9,156.6,327.9,175,216.6,328,171.6,315.5,NA,NA,186.6,319.7
35001000005,NM,Bernalillo County,000005,930,442,448,7,9,0,0,4,20,776,343,407,3,6,0,0,3,14,195.9,318.7,186.5,357.1,323.3,117.7,334.8,181.6,365.9,134.1,353.5,144.6,191.2,337.9,144.5,344.4,NA,NA,160.1,342.2
35001000006,NM,Bernalillo County,000006,1047,552,412,15,19,10,1,10,28,886,455,357,15,15,10,1,10,23,109.8,147.9,115.9,171.5,149,72.5,155.2,114.7,180.2,77.7,162.4,94.6,112.8,159.7,89.9,161.7,NA,NA,97.5,161
35001000007,NM,Bernalillo County,000007,1534,909,476,16,80,6,1,19,27,1210,664,431,12,61,6,1,16,19,128.9,190.2,122.9,222,191.8,81.2,200.4,116,219.6,81.8,202.8,99,125.9,206.1,94.5,203.7,NA,NA,105,204.5
35001000008,NM,Bernalillo County,000008,505,268,220,1,3,5,0,0,8,439,221,204,0,3,5,0,0,6,110,170,108,212,165,66,181,103,205,65,191,84,109,191,79.5,185.5,NA,NA,89.3,187.3
35001000009,NM,Bernalillo County,000009,1323,914,315,6,54,4,0,6,24,1052,694,283,6,41,4,0,6,18,192,250,193,299,237,128,266,182,297,132,278,147,192.5,274.5,147.2,269.5,NA,NA,162.3,271.2
35001000010,NM,Bernalillo County,000010,2323,1082,865,54,188,63,7,6,58,1847,771,773,49,142,55,5,6,46,233.1,300.3,242,362.7,297,151.7,318.4,227.2,361.6,155.1,337,174.6,237.6,331.5,177.1,328.5,NA,NA,197.3,329.5
35001000011,NM,Bernalillo County,000011,719,287,371,11,12,4,0,3,31,616,237,336,10,9,2,0,2,20,95,233.8,95.4,262.2,242.4,60,249.9,94.5,266,65.2,251.3,83.2,95.2,248,75.7,252.4,NA,NA,82.2,250.9
35001000012,NM,Bernalillo County,000012,1080,535,458,12,19,15,0,9,32,927,429,425,10,18,10,0,9,26,184,394,177,450,387,112,409,175,427,126,414,147,180.5,422,140,409.2,NA,NA,153.5,413.5
35001000013,NM,Bernalillo County,000013,978,355,552,4,13,11,0,15,28,748,244,453,4,10,9,0,13,15,160.5,336.5,192.4,366.4,329.7,115,383.8,173.1,375.1,134.4,375.1,146,176.4,351.4,142.1,366,NA,NA,153.6,361.1
35001000014,NM,Bernalillo County,000014,1576,925,502,30,57,10,1,5,46,1258,715,433,20,47,10,1,2,30,186,317,198,359,304,107,334,162,356,110,332,139,192,338,129.5,331.5,NA,NA,150.3,333.7
35001000015,NM,Bernalillo County,000015,1686,905,638,17,56,10,0,9,51,1419,708,603,15,42,10,0,9,32,245.1,338.8,237.2,409.6,319.9,172.4,343.8,245.1,392.6,172.4,357.8,205.3,241.2,374.2,198.8,353.5,NA,NA,212.9,360.4
35001000016,NM,Bernalillo County,000016,1073,598,403,12,21,10,2,2,25,851,437,360,6,19,5,0,2,22,133.3,221.7,135.2,262.2,210.8,74.8,228.9,132.4,258.6,81.1,235.2,100.9,134.3,241.9,97.3,233.4,NA,NA,109.6,236.2
35001000017,NM,Bernalillo County,000017,967,467,424,11,18,13,0,9,25,805,363,383,6,13,12,0,8,20,146.9,251.9,131.9,321.2,254.9,87.2,266.9,137.9,299.1,84.8,277,105.1,139.4,286.6,103.7,274.5,NA,NA,115.6,278.5
35001000018,NM,Bernalillo County,000018,1304,871,353,14,24,8,0,8,26,1075,707,304,14,19,4,0,8,19,230.3,431.2,226,469.7,408.9,144.9,428.5,215.8,468.7,141.7,444.6,176.9,228.2,450.4,169.8,437.7,NA,NA,189.3,441.9
35001000019,NM,Bernalillo County,000019,947,328,517,25,14,33,3,5,22,749,236,443,21,7,24,2,4,12,236.2,220.9,238.2,264,220.6,143.5,229.6,217,262,157.6,241.3,183.4,237.2,242.5,175.4,238.4,NA,NA,196,239.7
35001000020,NM,Bernalillo County,000020,1123,580,417,32,44,13,0,6,31,895,442,348,29,36,7,0,6,27,163.4,208.4,167.7,237.6,208.4,103.3,221.3,156.5,253.4,108.5,230.7,126.9,165.5,223,123.8,228.5,NA,NA,137.7,226.6
35001000021,NM,Bernalillo County,000021,1424,677,552,46,70,12,1,8,58,1128,507,486,43,45,8,1,7,31,289.9,374.1,287,442.2,382.1,189.1,411.3,265.2,454.9,184.5,426.8,214.2,288.4,408.2,213.2,418.8,NA,NA,238.3,415.2
35001000022,NM,Bernalillo County,000022,1485,787,581,19,41,7,1,3,46,1200,588,521,19,29,7,1,1,34,278,317,293,384,303,172,329,263,388,169,329,216,285.5,350.5,205,337.2,NA,NA,231.8,341.7
35001000023,NM,Bernalillo County,000023,726,400,252,12,26,11,0,3,22,620,321,236,9,19,11,0,3,21,190.5,244.4,179.2,304.3,256.9,102,269.8,158.7,302.7,105.8,281.7,124.7,184.8,274.4,122.8,277.8,NA,NA,143.4,276.6
35001000024,NM,Bernalillo County,000024,866,450,337,13,16,14,0,5,31,715,342,305,8,16,13,0,5,26,85.4,112,88.2,132.9,112.7,56.3,125.2,78.7,138.1,56.3,126.1,69.5,86.8,122.5,65.2,125.5,NA,NA,72.4,124.5
35001000025,NM,Bernalillo County,000025,1354,734,427,51,27,67,0,6,42,1020,516,364,38,21,57,0,3,21,337,410.6,348.4,472.9,405.6,238.2,429.2,327.7,470,258.3,433.6,285.4,342.7,441.8,277.4,434.6,NA,NA,299.2,437
35001000026,NM,Bernalillo County,000026,1159,670,355,33,47,19,0,1,34,920,516,302,20,38,19,0,1,24,102.2,172.2,106.6,195.3,165.9,59.4,183.4,90.9,195.9,67.2,180.9,75.3,104.4,183.7,73.2,181.5,NA,NA,83.6,182.3
35001000027,NM,Bernalillo County,000027,2058,1142,541,91,166,70,0,1,47,1720,911,497,80,139,60,0,0,33,156.7,360.3,179.6,399.2,335.3,72.8,351.3,120.8,361.3,83.8,354.3,98.8,168.2,379.7,94.1,350.5,NA,NA,118.8,360.3
35001000028,NM,Bernalillo County,000028,1863,1121,401,74,164,28,0,6,69,1388,814,343,52,117,20,0,3,39,127.9,255.7,131.8,302.3,237.9,63.4,262.6,101.1,269.6,69.4,259.7,75.3,129.8,279,77.3,257.4,NA,NA,94.8,264.6
35001000029,NM,Bernalillo County,000029,2089,1338,487,48,134,35,0,6,41,1533,932,410,41,102,23,0,6,19,205.5,353.4,218.4,395.1,339.5,115.1,366.3,172.7,391.1,126.1,361.3,149.9,211.9,374.2,141,364.5,NA,NA,164.6,367.8
35001000030,NM,Bernalillo County,000030,1029,368,518,36,30,27,2,5,43,872,270,471,35,26,27,2,5,36,318.1,518,327.9,582.5,544.2,211.9,563.5,317.8,613.1,231.3,584.6,265.5,323,550.3,256.6,576.4,NA,NA,278.7,567.7
35001000031,NM,Bernalillo County,000031,1586,43,6,4,1508,5,1,1,18,1151,25,6,3,1106,2,1,0,8,79.5,364.5,108.6,359.9,320.2,51.7,325.9,125,343.1,72,340.3,73.5,94,362.2,80.6,332.4,NA,NA,85.1,342.3
35001000032,NM,Bernalillo County,000032,1217,942,155,47,60,1,1,0,11,843,627,136,33,37,1,1,0,8,49.4,129.1,58.5,139.9,106.5,32.7,115.4,43.9,118.9,31.3,113.8,35.4,54,134.5,35.8,113.6,NA,NA,41.9,120.6
35001000033,NM,Bernalillo County,000033,1344,1112,162,31,11,11,3,2,12,1014,837,123,23,8,9,3,2,9,24.2,85.2,26.2,92.6,69.6,13.6,74.7,21.8,78.1,15.4,77,15.6,25.2,88.9,16.6,74.8,NA,NA,19.5,79.5
35001000034,NM,Bernalillo County,000034,1663,1326,192,31,87,3,0,11,13,1203,932,166,22,63,3,0,8,9,88,219,99,230,179,45,184,65,187,49,185,51,93.5,224.5,52.5,183.8,NA,NA,66.2,197.3
35001000035,NM,Bernalillo County,000035,1164,933,148,23,29,2,0,5,24,922,729,129,21,26,1,0,1,15,104.2,215.6,117.2,235.6,177.5,62.1,203.6,94.1,228.6,58.1,202.5,76.1,110.7,225.6,72.6,203,NA,NA,85.3,210.6
35001000036,NM,Bernalillo County,000036,1326,1105,159,15,27,6,0,1,13,1059,865,139,15,24,6,0,1,9,106.8,324.5,109.8,356,276.4,52.8,311.7,74.7,321.4,48.7,305.1,58.1,108.3,340.2,58.6,303.7,NA,NA,75.1,315.8
35001000037,NM,Bernalillo County,000037,1614,1237,273,25,48,10,1,2,18,1318,976,260,21,36,10,1,2,12,217,440.9,217,482.3,427.1,132.1,457.7,199.2,509.9,128.2,479.3,157.8,217,461.6,154.3,468.5,NA,NA,175.2,466.2
35001000038,NM,Bernalillo County,000038,1695,1222,212,75,128,22,0,4,32,1149,811,166,42,79,20,0,3,28,50.2,120.3,53.2,135.6,102.3,25.8,109.8,40,115,29,113,30.1,51.7,127.9,31.2,110,NA,NA,38,116
35001000039,NM,Bernalillo County,000039,953,682,186,8,49,10,0,6,12,745,509,176,7,27,10,0,6,10,177.7,363,167.2,432.8,355.8,111.6,379.5,179,409.6,130.7,395.1,140,172.4,397.9,140.3,385,NA,NA,151,389.3
35001000040,NM,Bernalillo County,000040,1510,1292,154,22,14,6,0,6,16,1158,978,131,20,14,6,0,4,5,151,324,146,362,274,82,289,136,335,72,300,104,148.5,343,98.5,299.5,NA,NA,115.2,314
35001000041,NM,Bernalillo County,000041,1491,1217,153,38,55,11,0,5,12,1031,810,130,34,41,5,0,3,8,113,248.9,135,261.1,203.9,69.9,223.5,105.6,246,73.8,228.9,84.1,124,255,83.4,225.6,NA,NA,96.9,235.4
35001000042,NM,Bernalillo County,000042,1280,1087,93,37,36,3,0,2,22,973,811,81,33,27,3,0,2,16,119.7,265.6,114.8,319.1,244.2,62.3,273.4,97.3,290.9,68.1,268.5,83.7,117.2,292.3,77.8,269.2,NA,NA,91,276.9
35001000043,NM,Bernalillo County,000043,1772,1535,143,18,31,14,0,5,26,1281,1085,130,11,22,12,0,4,17,51.3,119.5,57.5,123.2,88.2,25.8,100.8,39.9,107.2,25.8,102,30.4,54.4,121.3,30.5,99.5,NA,NA,38.5,106.8
