GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_pau,uss_16_dem_gra,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
2111100G119,KY,Jefferson County,00G119,721,23,656,4,0,9,0,6,23,541,12,505,2,0,9,0,0,13,139.5,310.8,177.3,305.9,158.4,308.4,NA,NA,NA,NA,158.4,308.4
2111100G120,KY,Jefferson County,00G120,881,36,780,11,0,12,0,0,42,685,24,615,11,0,9,0,0,26,150,409,174,421,162,415,NA,NA,NA,NA,162,415
2111100G121,KY,Jefferson County,00G121,844,20,762,16,0,11,0,1,34,636,13,584,13,0,6,0,0,20,209.1,329.6,235.6,343,222.3,336.3,NA,NA,NA,NA,222.3,336.3
2111100G122,KY,Jefferson County,00G122,714,41,623,19,0,7,1,3,20,574,31,505,14,0,5,1,3,15,110,308.6,128.1,312.6,119.1,310.6,NA,NA,NA,NA,119.1,310.6
2111100G123,KY,Jefferson County,00G123,346,9,322,0,0,0,0,0,15,260,6,246,0,0,0,0,0,8,64,171,90,158,77,164.5,NA,NA,NA,NA,77,164.5
2111100G124,KY,Jefferson County,00G124,1335,34,1167,76,0,17,1,1,39,1172,27,1032,73,0,15,1,1,23,359.1,529.5,386.4,562.4,372.8,546,NA,NA,NA,NA,372.8,546
2111100G126,KY,Jefferson County,00G126,854,22,762,15,3,9,0,7,36,652,11,594,8,3,9,0,3,24,184.3,332.4,200.5,342.1,192.4,337.2,NA,NA,NA,NA,192.4,337.2
2111100G129,KY,Jefferson County,00G129,278,9,247,7,2,0,0,1,12,237,7,217,1,2,0,0,1,9,73,104,72,121,72.5,112.5,NA,NA,NA,NA,72.5,112.5
2111100G140,KY,Jefferson County,00G140,845,25,759,12,1,17,0,6,25,726,20,660,5,1,17,0,0,23,93,416,124,438,108.5,427,NA,NA,NA,NA,108.5,427
2111100G141,KY,Jefferson County,00G141,930,24,818,30,0,18,0,1,39,756,13,673,23,0,18,0,1,28,116,418,163,422,139.5,420,NA,NA,NA,NA,139.5,420
2111100G142,KY,Jefferson County,00G142,330,4,243,26,0,47,0,2,8,278,4,197,21,0,47,0,2,7,70.9,137.8,83.3,136.1,77.1,137,NA,NA,NA,NA,77.1,137
2111100G143,KY,Jefferson County,00G143,1284,40,1114,27,5,27,0,13,58,1140,35,998,21,4,26,0,13,43,168,661,226,663,197,662,NA,NA,NA,NA,197,662
2111100G144,KY,Jefferson County,00G144,1169,42,1029,29,3,16,0,2,48,989,26,886,23,2,16,0,1,35,152,516,189,523,170.5,519.5,NA,NA,NA,NA,170.5,519.5
2111100G145,KY,Jefferson County,00G145,1632,34,1479,55,0,16,0,4,44,1331,24,1219,52,0,10,0,0,26,268.8,657,324,673.3,296.4,665.1,NA,NA,NA,NA,296.4,665.1
2111100G146,KY,Jefferson County,00G146,1199,40,1047,29,2,25,1,1,54,1013,26,913,25,2,18,1,0,28,188,604,232,598,210,601,NA,NA,NA,NA,210,601
2111100G147,KY,Jefferson County,00G147,1081,30,980,10,0,13,2,13,33,864,15,802,8,0,13,2,9,15,220,468,267,480,243.5,474,NA,NA,NA,NA,243.5,474
2111100G148,KY,Jefferson County,00G148,584,35,503,5,0,10,0,5,26,495,29,431,4,0,10,0,5,16,108,225,128,219,118,222,NA,NA,NA,NA,118,222
2111100G149,KY,Jefferson County,00G149,564,23,505,3,0,12,0,0,21,446,17,408,0,0,7,0,0,14,121,252,132,257,126.5,254.5,NA,NA,NA,NA,126.5,254.5
2111100G150,KY,Jefferson County,00G150,809,26,598,53,0,97,0,8,27,651,20,496,34,0,72,0,8,21,117,191,190,201,153.5,196,NA,NA,NA,NA,153.5,196
2111100G151,KY,Jefferson County,00G151,716,32,619,28,2,4,0,6,25,578,20,505,28,2,4,0,4,15,147,253,179,251,163,252,NA,NA,NA,NA,163,252
2111100G154,KY,Jefferson County,00G154,1150,58,897,116,0,18,0,2,59,914,41,751,82,0,11,0,1,28,248,381,262,420,255,400.5,NA,NA,NA,NA,255,400.5
2111100G155,KY,Jefferson County,00G155,1758,206,1019,343,1,73,3,10,103,1457,169,868,271,1,61,2,7,78,231.9,464.9,231.9,506.3,231.9,485.6,NA,NA,NA,NA,231.9,485.6
2111100G156,KY,Jefferson County,00G156,1175,24,1095,7,0,19,0,5,25,907,15,854,7,0,16,0,3,12,359,343.2,415.6,335.2,387.3,339.2,NA,NA,NA,NA,387.3,339.2
2111100G157,KY,Jefferson County,00G157,1351,30,1241,17,1,12,0,1,49,1116,18,1042,12,1,6,0,1,36,369.8,508.9,410.4,515.6,390.1,512.2,NA,NA,NA,NA,390.1,512.2
2111100G158,KY,Jefferson County,00G158,1364,49,1206,33,0,11,2,4,59,1038,37,933,21,0,7,1,4,35,411.7,456.4,470.2,454.6,440.9,455.5,NA,NA,NA,NA,440.9,455.5
2111100G159,KY,Jefferson County,00G159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,8.9,7.2,9,6.8,9,NA,NA,NA,NA,6.8,9
2111100G160,KY,Jefferson County,00G160,597,17,551,5,0,7,0,2,15,477,11,444,5,0,3,0,2,12,228,165,230,197,229,181,NA,NA,NA,NA,229,181
2111100G161,KY,Jefferson County,00G161,686,16,645,9,1,4,0,0,11,523,6,503,7,0,4,0,0,3,143,331,163,323,153,327,NA,NA,NA,NA,153,327
2111100G162,KY,Jefferson County,00G162,160,5,146,0,0,0,0,1,8,134,2,130,0,0,0,0,0,2,33.3,26,35.1,28.4,34.2,27.2,NA,NA,NA,NA,34.2,27.2
2111100G163,KY,Jefferson County,00G163,909,23,763,63,1,16,0,6,37,815,21,688,54,1,13,0,6,32,144.2,231.1,182.1,232.9,163.1,232,NA,NA,NA,NA,163.1,232
2111100G164,KY,Jefferson County,00G164,1808,80,1486,80,1,58,2,3,98,1527,63,1280,64,1,46,2,1,70,358.9,634.8,436.9,636.8,397.9,635.8,NA,NA,NA,NA,397.9,635.8
2111100G165,KY,Jefferson County,00G165,680,23,580,10,6,28,0,1,32,503,12,440,7,5,14,0,1,24,155.6,218,178.4,231.9,167,224.9,NA,NA,NA,NA,167,224.9
2111100G166,KY,Jefferson County,00G166,243,5,219,11,0,0,0,0,8,196,3,184,5,0,0,0,0,4,45,84,57,87,51,85.5,NA,NA,NA,NA,51,85.5
2111100G167,KY,Jefferson County,00G167,839,88,556,114,3,29,1,7,41,633,45,454,89,1,18,1,7,18,119.6,180.9,133.5,196.7,126.6,188.8,NA,NA,NA,NA,126.6,188.8
2111100G168,KY,Jefferson County,00G168,167,2,159,0,2,1,0,0,3,109,0,106,0,2,1,0,0,0,19.4,12.8,23.5,11.9,21.4,12.4,NA,NA,NA,NA,21.4,12.4
2111100G169,KY,Jefferson County,00G169,495,19,422,6,0,40,0,0,8,414,18,355,5,0,29,0,0,7,70,191,125,187,97.5,189,NA,NA,NA,NA,97.5,189
2111100H102,KY,Jefferson County,00H102,1351,57,1108,100,16,11,0,6,53,1234,53,1015,96,12,4,0,6,48,117.7,483.8,129.7,498.8,123.7,491.3,NA,NA,NA,NA,123.7,491.3
