GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_pau,uss_16_dem_gra,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
2100100A102,KY,Adair County,00A102,655,40,605,1,1,0,0,0,8,505,22,477,1,1,0,0,0,4,211.8,10.3,176.9,39.9,194.4,25.1,NA,NA,NA,NA,194.4,25.1
2100100A104,KY,Adair County,00A104,1122,33,1058,3,1,1,0,1,25,846,20,803,3,1,1,0,1,17,372.8,29.3,315,85.2,343.9,57.3,NA,NA,NA,NA,343.9,57.3
2100100A105,KY,Adair County,00A105,788,12,762,0,0,4,0,0,10,610,5,595,0,0,4,0,0,6,280.5,30.5,257.3,53,268.9,41.8,NA,NA,NA,NA,268.9,41.8
2100100B102,KY,Adair County,00B102,2010,96,1657,166,3,23,0,34,31,1748,77,1434,157,3,22,0,34,21,385.3,135.4,378.9,147.8,382.1,141.6,NA,NA,NA,NA,382.1,141.6
2100100B104,KY,Adair County,00B104,963,45,864,13,2,4,0,3,32,754,29,677,12,2,4,0,3,27,414.3,51.1,360.4,97.8,387.4,74.4,NA,NA,NA,NA,387.4,74.4
2100100C102,KY,Adair County,00C102,1199,56,1038,51,0,7,1,1,45,1000,36,889,37,0,6,1,1,30,370,96.7,340.2,148.4,355.1,122.6,NA,NA,NA,NA,355.1,122.6
2100100C104,KY,Adair County,00C104,1259,19,1195,10,0,0,0,0,35,997,10,962,8,0,0,0,0,17,519.7,103.8,476.9,155.5,498.3,129.7,NA,NA,NA,NA,498.3,129.7
2100100D101,KY,Adair County,00D101,766,14,713,3,2,2,1,1,30,585,5,550,2,2,2,0,0,24,344.2,47.1,315.6,66.9,329.9,57,NA,NA,NA,NA,329.9,57
2100100D103,KY,Adair County,00D103,819,24,716,2,4,2,0,23,48,631,14,570,2,3,2,0,8,32,323,46.3,271.8,91.6,297.4,68.9,NA,NA,NA,NA,297.4,68.9
2100100D104,KY,Adair County,00D104,985,52,813,74,0,0,0,1,45,782,30,663,57,0,0,0,1,31,287.7,108.6,248.5,150.7,268.1,129.6,NA,NA,NA,NA,268.1,129.6
2100100E101,KY,Adair County,00E101,1051,19,986,16,2,3,0,0,25,790,5,751,14,2,3,0,0,15,472.4,50,405.1,103.6,438.7,76.8,NA,NA,NA,NA,438.7,76.8
2100100E104,KY,Adair County,00E104,1822,71,1614,73,1,6,2,0,55,1373,45,1226,66,0,4,0,0,32,478.2,156,440.7,198.3,459.5,177.1,NA,NA,NA,NA,459.5,177.1
2100100F101,KY,Adair County,00F101,1575,51,1451,32,6,1,0,1,33,1237,25,1149,27,6,1,0,1,28,498.4,111,431.6,179.2,465,145.1,NA,NA,NA,NA,465,145.1
2100100F103,KY,Adair County,00F103,1136,28,1061,3,0,0,0,1,43,867,16,828,2,0,0,0,1,20,506.5,92.2,434.3,158.6,470.4,125.4,NA,NA,NA,NA,470.4,125.4
2100100G101,KY,Adair County,00G101,1412,50,1264,31,1,6,1,4,55,1132,38,1021,31,1,4,1,4,32,573.5,131.9,505.1,199.2,539.3,165.6,NA,NA,NA,NA,539.3,165.6
2100100G102,KY,Adair County,00G102,1341,33,1247,20,3,4,1,0,33,1004,20,943,19,3,4,0,0,15,597.5,122.2,537.8,195.7,567.7,159,NA,NA,NA,NA,567.7,159
2100300A101,KY,Allen County,00A101,2327,61,2108,59,3,12,1,6,77,1713,38,1571,39,1,9,0,4,51,434,164,418,191,426,177.5,NA,NA,NA,NA,426,177.5
2100300A102,KY,Allen County,00A102,1647,27,1516,18,4,3,1,4,74,1289,16,1203,17,3,0,0,2,48,493.4,84.7,452.5,136.6,473,110.6,NA,NA,NA,NA,473,110.6
2100300B101,KY,Allen County,00B101,1445,50,1324,14,4,0,0,8,45,1083,35,1018,4,0,0,0,7,19,583.4,114.4,530.7,174.1,557.1,144.2,NA,NA,NA,NA,557.1,144.2
2100300B102,KY,Allen County,00B102,1453,32,1384,5,1,5,0,1,25,1063,6,1036,2,1,2,0,0,16,491,72.6,451.2,111.3,471.1,91.9,NA,NA,NA,NA,471.1,91.9
2100300B103,KY,Allen County,00B103,835,32,769,5,0,0,0,3,26,635,15,599,5,0,0,0,3,13,246.6,53.4,219.4,76.8,233,65.1,NA,NA,NA,NA,233,65.1
2100300C101,KY,Allen County,00C101,2177,86,1936,39,5,11,1,0,99,1738,42,1586,34,4,4,0,0,68,554.6,142.8,519.1,192.8,536.8,167.8,NA,NA,NA,NA,536.8,167.8
2100300C102,KY,Allen County,00C102,2120,42,1990,23,3,8,1,1,52,1590,27,1505,17,3,7,0,0,31,794.2,160.4,748.2,220.7,771.2,190.6,NA,NA,NA,NA,771.2,190.6
2100300D101,KY,Allen County,00D101,2076,57,1927,8,4,4,0,10,66,1631,32,1531,5,2,3,0,7,51,672.9,142.9,636.6,204.1,654.7,173.5,NA,NA,NA,NA,654.7,173.5
2100300D102,KY,Allen County,00D102,809,26,747,10,4,0,1,1,20,639,18,594,10,3,0,0,1,13,343.5,62.1,307.4,102.2,325.4,82.2,NA,NA,NA,NA,325.4,82.2
2100300D103,KY,Allen County,00D103,1482,33,1398,10,1,0,1,2,37,1177,18,1123,9,1,0,0,1,25,571.3,121.6,511.6,172.8,541.4,147.2,NA,NA,NA,NA,541.4,147.2
2100300E101,KY,Allen County,00E101,817,13,776,0,3,4,0,2,19,638,11,606,0,3,4,0,1,13,250,45.4,234.9,59.5,242.4,52.5,NA,NA,NA,NA,242.4,52.5
2100300E102,KY,Allen County,00E102,2408,84,2206,13,5,1,1,3,95,1726,55,1572,10,4,1,0,2,82,529.9,111,490.7,168.8,510.3,139.9,NA,NA,NA,NA,510.3,139.9
2100300E103,KY,Allen County,00E103,992,31,906,0,1,0,0,0,54,719,8,674,0,0,0,0,0,37,349.1,43.1,315.2,85.1,332.2,64.1,NA,NA,NA,NA,332.2,64.1
2100500A101,KY,Anderson County,00A101,1776,67,1440,153,5,4,1,8,98,1354,45,1108,134,4,3,0,6,54,455,238,398,334,426.5,286,NA,NA,NA,NA,426.5,286
2100500A102,KY,Anderson County,00A102,2116,71,1852,69,6,4,1,4,109,1578,46,1405,59,5,3,0,4,56,594,163,492,297,543,230,NA,NA,NA,NA,543,230
2100500B101,KY,Anderson County,00B101,1423,7,1338,31,0,13,0,2,32,1120,5,1060,22,0,9,0,2,22,548,213,446,346,497,279.5,NA,NA,NA,NA,497,279.5
2100500B102,KY,Anderson County,00B102,2556,67,2314,40,5,21,0,7,102,1868,42,1721,29,5,13,0,5,53,873.1,291.4,759.7,478.3,816.4,384.8,NA,NA,NA,NA,816.4,384.8
2100500C101,KY,Anderson County,00C101,1693,60,1515,33,1,7,0,6,71,1297,32,1181,25,1,5,0,5,48,574.6,224.8,494.6,343.7,534.6,284.3,NA,NA,NA,NA,534.6,284.3
2100500C102,KY,Anderson County,00C102,2266,58,2015,43,6,14,0,8,122,1718,36,1557,29,6,11,0,5,74,615,225,510,369,562.5,297,NA,NA,NA,NA,562.5,297
2100500D101,KY,Anderson County,00D101,1497,25,1379,9,5,3,0,4,72,1173,16,1088,7,3,3,0,3,53,628.9,138.6,540,258.5,584.4,198.5,NA,NA,NA,NA,584.4,198.5
2100500D102,KY,Anderson County,00D102,2206,44,2018,24,1,14,1,17,87,1691,30,1574,20,0,13,0,6,48,778.4,254.2,647.4,426.3,712.9,340.2,NA,NA,NA,NA,712.9,340.2
2100500E101,KY,Anderson County,00E101,2693,34,2538,34,2,9,1,1,74,2046,22,1945,28,2,2,1,0,46,1113,323.9,916.4,592.2,1014.7,458,NA,NA,NA,NA,1014.7,458
2100500E103,KY,Anderson County,00E103,1475,18,1367,24,1,5,0,0,60,1138,4,1068,19,1,1,0,0,45,509,134.4,439.1,237.8,474.1,186.1,NA,NA,NA,NA,474.1,186.1
2100500F101,KY,Anderson County,00F101,1149,10,1081,5,3,1,0,4,45,927,8,874,3,3,1,0,4,34,452.7,123.6,371.4,230.1,412,176.9,NA,NA,NA,NA,412,176.9
2100500F102,KY,Anderson County,00F102,917,16,853,7,14,0,0,2,25,718,8,680,4,9,0,0,2,15,327,80,273,148,300,114,NA,NA,NA,NA,300,114
2100500F103,KY,Anderson County,00F103,656,10,622,5,0,0,0,3,16,516,7,491,5,0,0,0,3,10,212.1,59.5,161.5,116.9,186.8,88.2,NA,NA,NA,NA,186.8,88.2
2100500F104,KY,Anderson County,00F104,1429,34,1322,5,1,9,0,2,56,1124,24,1051,5,1,7,0,0,36,551.2,170.5,451.7,302.5,501.5,236.5,NA,NA,NA,NA,501.5,236.5
2100700A101,KY,Ballard County,00A101,481,6,447,9,0,1,0,0,18,387,4,357,9,0,0,0,0,17,238.9,39.3,202.4,78,220.7,58.6,NA,NA,NA,NA,220.7,58.6
2100700A102,KY,Ballard County,00A102,1089,10,1023,21,0,2,0,2,31,883,6,837,17,0,1,0,0,22,485.6,158.8,427.7,241.5,456.6,200.2,NA,NA,NA,NA,456.6,200.2
2100700A103,KY,Ballard County,00A103,214,1,204,5,0,1,0,0,3,168,0,164,2,0,0,0,0,2,107,12,89,32,98,22,NA,NA,NA,NA,98,22
2100700B101,KY,Ballard County,00B101,1062,8,900,86,0,10,0,0,58,825,3,716,72,0,4,0,0,30,348.6,147,309.9,203.6,329.2,175.3,NA,NA,NA,NA,329.2,175.3
2100700B102,KY,Ballard County,00B102,240,1,225,3,0,0,0,1,10,206,1,195,2,0,0,0,0,8,114.1,24.7,105.6,39,109.8,31.9,NA,NA,NA,NA,109.8,31.9
2100700C101,KY,Ballard County,00C101,475,3,439,4,2,0,0,1,26,379,0,354,2,2,0,0,0,21,156.9,38.4,144.7,60.8,150.8,49.6,NA,NA,NA,NA,150.8,49.6
2100700C102,KY,Ballard County,00C102,402,9,382,0,0,0,0,1,10,310,5,297,0,0,0,0,0,8,203.5,50.6,195.2,72,199.4,61.3,NA,NA,NA,NA,199.4,61.3
2100700C103,KY,Ballard County,00C103,362,5,335,1,0,1,0,0,20,273,4,253,1,0,0,0,0,15,139.9,27.4,111.5,58.8,125.7,43.1,NA,NA,NA,NA,125.7,43.1
2100700C104,KY,Ballard County,00C104,551,9,525,3,0,0,0,0,14,435,7,418,3,0,0,0,0,7,227.3,54.3,199.2,89.6,213.2,72,NA,NA,NA,NA,213.2,72
2100700D101,KY,Ballard County,00D101,1114,6,1007,49,0,5,0,0,47,855,0,794,22,0,5,0,0,34,414.3,126.7,355.6,211.3,384.9,169,NA,NA,NA,NA,384.9,169
2100700D102,KY,Ballard County,00D102,378,9,353,3,0,0,0,0,13,302,4,290,0,0,0,0,0,8,213,37,172,80,192.5,58.5,NA,NA,NA,NA,192.5,58.5
2100700E101,KY,Ballard County,00E101,724,16,654,15,5,2,0,0,32,597,11,543,15,5,2,0,0,21,303.1,71,244.5,129.9,273.8,100.5,NA,NA,NA,NA,273.8,100.5
2100700E102,KY,Ballard County,00E102,636,10,580,9,0,7,0,0,30,497,9,453,9,0,7,0,0,19,209.7,29.1,170.7,69.3,190.2,49.2,NA,NA,NA,NA,190.2,49.2
2100900A101,KY,Barren County,00A101,1479,60,1295,62,2,5,1,8,46,1199,44,1070,51,2,5,1,0,26,455.9,274,365.9,387.7,410.9,330.8,NA,NA,NA,NA,410.9,330.8
2100900A102,KY,Barren County,00A102,1619,91,1143,260,1,4,19,9,92,1192,47,872,207,1,3,12,4,46,238.5,234.5,197.6,298.4,218,266.4,NA,NA,NA,NA,218,266.4
2100900A103,KY,Barren County,00A103,2435,132,2017,157,6,5,1,8,109,1749,69,1499,114,4,5,1,5,52,539.5,197.5,449.4,318.6,494.5,258.1,NA,NA,NA,NA,494.5,258.1
2100900A104,KY,Barren County,00A104,416,7,392,6,0,1,0,0,10,313,0,299,6,0,1,0,0,7,165,39,137,76,151,57.5,NA,NA,NA,NA,151,57.5
2100900B101,KY,Barren County,00B101,1787,27,1680,19,9,7,1,5,39,1369,19,1290,17,7,4,1,2,29,762.5,160.3,622.7,333.3,692.6,246.8,NA,NA,NA,NA,692.6,246.8
2100900B102,KY,Barren County,00B102,1644,36,1525,20,7,4,3,3,46,1283,23,1201,15,6,4,3,1,30,657,160.8,537.4,304.2,597.2,232.5,NA,NA,NA,NA,597.2,232.5
2100900B103,KY,Barren County,00B103,1174,46,1097,1,0,0,0,4,26,808,29,761,0,0,0,0,0,18,360.5,61.9,287.9,144.7,324.2,103.3,NA,NA,NA,NA,324.2,103.3
2100900B104,KY,Barren County,00B104,1708,31,1632,1,0,0,2,6,36,1304,15,1264,0,0,0,2,0,23,646.1,168.1,547.1,290.8,596.6,229.5,NA,NA,NA,NA,596.6,229.5
2100900C101,KY,Barren County,00C101,1173,35,1097,14,2,2,0,1,22,876,17,824,12,2,1,0,1,19,384,93,302,183,343,138,NA,NA,NA,NA,343,138
2100900C102,KY,Barren County,00C102,1383,33,1285,14,0,6,0,3,42,1050,24,993,9,0,2,0,1,21,564,129,466,248,515,188.5,NA,NA,NA,NA,515,188.5
2100900C103,KY,Barren County,00C103,1531,44,1427,8,6,3,0,2,41,1166,26,1095,7,6,2,0,2,28,465.1,120.6,367.2,223.8,416.2,172.2,NA,NA,NA,NA,416.2,172.2
2100900C104,KY,Barren County,00C104,1836,47,1730,16,0,0,0,4,39,1354,27,1287,9,0,0,0,2,29,719.9,136.4,566.8,307.2,643.3,221.8,NA,NA,NA,NA,643.3,221.8
2100900D101,KY,Barren County,00D101,1801,56,1650,31,0,3,0,7,54,1362,41,1256,27,0,2,0,6,30,620,117,508,253,564,185,NA,NA,NA,NA,564,185
2100900D102,KY,Barren County,00D102,2364,55,2191,47,2,20,0,5,44,1851,25,1739,34,2,14,0,2,35,979.1,225.4,739.7,499.4,859.4,362.4,NA,NA,NA,NA,859.4,362.4
2100900D103,KY,Barren County,00D103,2361,243,1820,163,6,52,0,12,65,1925,205,1516,130,5,38,0,7,24,583.9,278.6,459.3,414.6,521.6,346.6,NA,NA,NA,NA,521.6,346.6
2100900E101,KY,Barren County,00E101,1417,60,1224,49,1,26,4,5,48,1095,35,968,37,0,19,4,4,28,472.2,153.5,386.6,265.6,429.4,209.5,NA,NA,NA,NA,429.4,209.5
2100900E102,KY,Barren County,00E102,1182,44,1030,34,3,7,3,5,56,920,21,834,32,1,2,3,0,27,420.7,136.5,325.3,247.4,373,192,NA,NA,NA,NA,373,192
2100900E103,KY,Barren County,00E103,1649,27,1528,16,0,0,1,11,66,1248,24,1170,9,0,0,1,4,40,596.6,136.7,467,292.8,531.8,214.8,NA,NA,NA,NA,531.8,214.8
2100900E104,KY,Barren County,00E104,2240,71,2058,19,6,3,0,7,76,1627,47,1508,11,6,3,0,2,50,632,138.2,528.1,277.3,580,207.7,NA,NA,NA,NA,580,207.7
2100900F101,KY,Barren County,00F101,1555,48,1371,45,1,24,0,5,61,1240,31,1097,39,1,22,0,2,48,442,154,365,246,403.5,200,NA,NA,NA,NA,403.5,200
2100900F102,KY,Barren County,00F102,2261,99,1887,150,5,3,0,8,109,1709,48,1475,118,3,1,0,4,60,573,199,468,332,520.5,265.5,NA,NA,NA,NA,520.5,265.5
2100900F103,KY,Barren County,00F103,2716,89,2447,69,2,8,4,5,92,2021,57,1841,58,1,6,2,2,54,758,281,607,445,682.5,363,NA,NA,NA,NA,682.5,363
2100900G101,KY,Barren County,00G101,3328,258,2549,279,13,52,4,25,148,2459,167,1939,199,13,45,4,11,81,628.6,263.9,555.9,392.9,592.2,328.4,NA,NA,NA,NA,592.2,328.4
2100900G102,KY,Barren County,00G102,1827,178,1379,124,1,13,9,5,118,1416,103,1122,93,1,8,9,0,80,345,192,241,322,293,257,NA,NA,NA,NA,293,257
2100900G103,KY,Barren County,00G103,1599,72,1350,93,0,7,1,7,69,1266,42,1092,82,0,4,1,2,43,501.8,228.5,404.4,362.4,453.1,295.5,NA,NA,NA,NA,453.1,295.5
2101100A101,KY,Bath County,00A101,456,11,410,18,0,1,0,0,16,354,7,319,15,0,1,0,0,12,130.6,75.9,102.5,113.6,116.5,94.8,NA,NA,NA,NA,116.5,94.8
2101100A102,KY,Bath County,00A102,595,17,530,30,0,1,0,0,17,454,7,407,29,0,1,0,0,10,120.8,77.4,91.7,108.8,106.2,93.1,NA,NA,NA,NA,106.2,93.1
2101100A103,KY,Bath County,00A103,682,13,651,6,1,1,0,2,8,484,4,469,5,0,1,0,2,3,144.7,43.6,115.4,75.8,130,59.7,NA,NA,NA,NA,130,59.7
2101100A104,KY,Bath County,00A104,409,9,383,1,0,0,0,4,12,301,6,281,1,0,0,0,4,9,103.3,35.9,73,64.8,88.1,50.3,NA,NA,NA,NA,88.1,50.3
2101100A105,KY,Bath County,00A105,1411,36,1348,3,0,2,1,0,21,1057,20,1025,0,0,0,1,0,11,434.6,184.9,332.7,286.8,383.6,235.8,NA,NA,NA,NA,383.6,235.8
2101100B102,KY,Bath County,00B102,1283,18,1213,9,0,4,0,0,39,986,9,947,9,0,0,0,0,21,260.9,127.5,190.6,203.8,225.8,165.6,NA,NA,NA,NA,225.8,165.6
2101100B103,KY,Bath County,00B103,2303,25,2204,41,1,2,0,4,26,1701,9,1640,34,0,1,0,4,13,502.8,205.4,358.7,347.5,430.8,276.5,NA,NA,NA,NA,430.8,276.5
2101100B104,KY,Bath County,00B104,1922,20,1841,14,1,0,0,2,44,1331,14,1269,10,0,0,0,2,36,363.6,102.7,293.4,171.1,328.5,136.9,NA,NA,NA,NA,328.5,136.9
2101100C101,KY,Bath County,00C101,1487,13,1426,3,1,4,0,1,39,1132,4,1088,3,0,4,0,1,32,280.2,128,222.8,184.5,251.5,156.2,NA,NA,NA,NA,251.5,156.2
2101100C102,KY,Bath County,00C102,918,4,887,0,0,0,0,0,27,702,2,674,0,0,0,0,0,26,286.6,116.6,209.2,206.4,247.9,161.5,NA,NA,NA,NA,247.9,161.5
2101100C103,KY,Bath County,00C103,645,5,624,0,0,1,0,0,15,500,5,482,0,0,1,0,0,12,166.9,112.4,125.7,155.6,146.3,134,NA,NA,NA,NA,146.3,134
2101100C104,KY,Bath County,00C104,639,11,608,2,0,0,0,2,16,501,7,482,0,0,0,0,1,11,194.4,102.3,138.1,163.5,166.3,132.9,NA,NA,NA,NA,166.3,132.9
2101300A101,KY,Bell County,00A101,800,3,770,3,0,1,0,0,23,632,3,606,3,0,0,0,0,20,271.4,32.7,216.7,89.4,244.1,61.1,NA,NA,NA,NA,244.1,61.1
2101300A102,KY,Bell County,00A102,706,4,673,3,0,0,0,1,25,574,1,548,1,0,0,0,0,24,305.4,61.5,241.8,106.3,273.6,83.9,NA,NA,NA,NA,273.6,83.9
2101300A103,KY,Bell County,00A103,524,2,506,0,0,0,0,0,16,413,0,405,0,0,0,0,0,8,275.8,22.7,228,63.7,251.9,43.2,NA,NA,NA,NA,251.9,43.2
2101300A104,KY,Bell County,00A104,529,4,513,1,0,1,0,1,9,422,3,410,1,0,0,0,0,8,324.1,49.8,286.3,72.7,305.2,61.2,NA,NA,NA,NA,305.2,61.2
2101300A105,KY,Bell County,00A105,1571,15,1475,11,3,2,1,2,62,1170,11,1105,11,3,1,0,2,37,259.6,44.7,231,62.5,245.3,53.6,NA,NA,NA,NA,245.3,53.6
2101300B101,KY,Bell County,00B101,430,4,380,19,0,1,0,8,18,349,3,308,17,0,1,0,8,12,104.5,42.2,85.6,54.9,95,48.5,NA,NA,NA,NA,95,48.5
2101300B102,KY,Bell County,00B102,545,6,518,9,1,2,0,0,9,439,6,418,9,1,2,0,0,3,174.9,35,157.8,50.1,166.4,42.5,NA,NA,NA,NA,166.4,42.5
2101300B103,KY,Bell County,00B103,603,4,567,10,1,2,0,4,15,472,2,446,7,0,2,0,4,11,244.9,49.6,195.1,86.3,220,68,NA,NA,NA,NA,220,68
2101300B104,KY,Bell County,00B104,745,3,708,2,3,0,0,0,29,595,0,565,2,3,0,0,0,25,293.6,57.1,227.7,107.4,260.6,82.2,NA,NA,NA,NA,260.6,82.2
2101300B105,KY,Bell County,00B105,535,4,514,0,0,0,0,5,12,403,3,386,0,0,0,0,5,9,118.9,44.3,97.5,64.7,108.2,54.5,NA,NA,NA,NA,108.2,54.5
2101300B106,KY,Bell County,00B106,118,1,117,0,0,0,0,0,0,87,0,87,0,0,0,0,0,0,34,10,24,21,29,15.5,NA,NA,NA,NA,29,15.5
2101300B107,KY,Bell County,00B107,814,1,794,3,2,0,0,0,14,686,1,671,3,2,0,0,0,9,365.6,41.7,317.6,72.3,341.6,57,NA,NA,NA,NA,341.6,57
2101300B108,KY,Bell County,00B108,500,0,482,1,0,0,0,0,17,386,0,371,1,0,0,0,0,14,153.2,26.2,121.4,58.9,137.3,42.5,NA,NA,NA,NA,137.3,42.5
2101300C101,KY,Bell County,00C101,697,13,650,7,0,1,0,1,25,554,11,520,7,0,0,0,1,15,281.7,67.6,246.2,103.7,264,85.7,NA,NA,NA,NA,264,85.7
2101300C102,KY,Bell County,00C102,899,5,818,15,0,20,0,3,38,632,0,584,10,0,14,0,1,23,206.5,54.9,171.8,76.7,189.2,65.8,NA,NA,NA,NA,189.2,65.8
2101300C103,KY,Bell County,00C103,901,13,836,5,1,10,0,3,33,712,4,679,2,1,6,0,1,19,233.2,71.8,194.7,109.2,213.9,90.5,NA,NA,NA,NA,213.9,90.5
2101300C104,KY,Bell County,00C104,1475,12,1329,52,2,14,0,4,62,1126,4,1029,42,2,11,0,1,37,306.2,94.4,248.7,139.5,277.4,116.9,NA,NA,NA,NA,277.4,116.9
2101300C105,KY,Bell County,00C105,1554,12,1472,19,4,9,0,3,35,1188,3,1139,15,4,5,0,1,21,455.9,91.6,382.5,158.8,419.2,125.2,NA,NA,NA,NA,419.2,125.2
2101300D101,KY,Bell County,00D101,658,15,562,25,2,9,0,6,39,509,14,444,21,2,7,0,1,20,160,73,159,77,159.5,75,NA,NA,NA,NA,159.5,75
2101300D102,KY,Bell County,00D102,1414,65,1192,81,3,6,1,3,63,1124,54,941,71,3,6,1,3,45,298.8,137.4,252,156.2,275.4,146.8,NA,NA,NA,NA,275.4,146.8
2101300D103,KY,Bell County,00D103,810,2,740,27,0,5,0,7,29,636,1,592,22,0,4,0,0,17,237.9,83.2,209.1,102.3,223.5,92.8,NA,NA,NA,NA,223.5,92.8
2101300D104,KY,Bell County,00D104,645,10,508,96,1,6,0,1,23,503,9,390,79,1,6,0,0,18,112.5,73.7,95.6,96.6,104,85.1,NA,NA,NA,NA,104,85.1
2101300D105,KY,Bell County,00D105,633,12,557,21,0,13,0,0,30,526,8,478,14,0,12,0,0,14,212.7,62,200.5,78.3,206.6,70.2,NA,NA,NA,NA,206.6,70.2
2101300D106,KY,Bell County,00D106,1273,6,1157,45,2,16,0,2,45,1032,4,948,37,2,15,0,2,24,329.4,100.7,289.6,137.6,309.5,119.2,NA,NA,NA,NA,309.5,119.2
2101300E101,KY,Bell County,00E101,1050,3,1006,10,1,0,0,0,30,844,1,804,10,0,0,0,0,29,413.4,82,361.9,134.5,387.6,108.3,NA,NA,NA,NA,387.6,108.3
2101300E102,KY,Bell County,00E102,610,3,596,3,3,0,2,0,3,500,3,491,1,3,0,2,0,0,300.7,40.4,262.9,78.2,281.8,59.3,NA,NA,NA,NA,281.8,59.3
2101300E103,KY,Bell County,00E103,532,6,497,5,1,0,0,1,22,420,3,396,5,1,0,0,1,14,298.9,47.6,267.8,75.7,283.4,61.6,NA,NA,NA,NA,283.4,61.6
2101300E104,KY,Bell County,00E104,861,5,831,1,0,3,0,0,21,677,3,663,1,0,0,0,0,10,350.4,60.7,291,104.1,320.7,82.4,NA,NA,NA,NA,320.7,82.4
2101300E105,KY,Bell County,00E105,560,2,545,0,1,1,0,0,11,446,2,437,0,1,0,0,0,6,265.5,24.3,242.9,35.2,254.2,29.7,NA,NA,NA,NA,254.2,29.7
2101300E106,KY,Bell County,00E106,1105,9,998,78,1,0,0,3,16,938,6,845,78,1,0,0,0,8,372.9,36.4,329.6,62.5,351.2,49.4,NA,NA,NA,NA,351.2,49.4
2101500A102,KY,Boone County,00A102,947,11,898,6,1,1,0,1,29,742,6,707,6,1,1,0,0,21,353,94,371,92,362,93,NA,NA,NA,NA,362,93
2101500A103,KY,Boone County,00A103,2392,67,2176,22,4,22,0,10,91,1751,41,1622,18,0,14,0,1,55,838.2,208.5,896.4,204.8,867.3,206.6,NA,NA,NA,NA,867.3,206.6
2101500A104,KY,Boone County,00A104,2744,153,2371,108,2,30,1,2,77,2156,133,1857,97,1,20,0,1,47,834.9,195.3,876.9,209.6,855.9,202.5,NA,NA,NA,NA,855.9,202.5
2101500A105,KY,Boone County,00A105,1201,32,1102,2,0,2,3,6,54,920,14,855,0,0,2,3,4,42,418.7,120.8,441.8,127.9,430.2,124.3,NA,NA,NA,NA,430.2,124.3
2101500A106,KY,Boone County,00A106,990,13,951,4,0,3,0,0,19,803,12,774,3,0,3,0,0,11,406,114.4,411.4,125.3,408.7,119.9,NA,NA,NA,NA,408.7,119.9
2101500A107,KY,Boone County,00A107,986,41,791,56,0,26,1,9,62,749,22,634,32,0,21,0,6,34,234.3,92.1,256.9,86.6,245.6,89.3,NA,NA,NA,NA,245.6,89.3
2101500A108,KY,Boone County,00A108,2524,145,1945,186,1,17,6,22,202,1640,69,1371,90,0,9,3,10,88,769,286.9,820.4,295.3,794.7,291.1,NA,NA,NA,NA,794.7,291.1
2101500A109,KY,Boone County,00A109,2661,149,2279,72,2,28,4,6,121,1901,96,1660,51,2,23,3,3,63,812.2,310.7,883.7,323.1,848,316.9,NA,NA,NA,NA,848,316.9
2101500A110,KY,Boone County,00A110,1215,20,1119,6,2,3,0,7,58,942,15,876,6,2,3,0,4,36,555.2,129.3,564.9,148.7,560,139,NA,NA,NA,NA,560,139
2101500A111,KY,Boone County,00A111,2616,182,2085,108,10,80,13,3,135,2146,128,1767,87,9,76,5,3,71,836.2,368,881.3,381.6,858.7,374.8,NA,NA,NA,NA,858.7,374.8
2101500A112,KY,Boone County,00A112,1597,28,1411,47,2,5,2,1,101,1135,21,1026,29,2,5,0,1,51,520,172,537,195,528.5,183.5,NA,NA,NA,NA,528.5,183.5
2101500A113,KY,Boone County,00A113,2878,164,2333,174,4,49,13,3,138,2257,103,1876,131,4,39,8,3,93,690,291,697,333,693.5,312,NA,NA,NA,NA,693.5,312
2101500A114,KY,Boone County,00A114,2779,73,2501,46,1,57,0,12,89,2070,51,1868,41,1,42,0,12,55,992.7,309,1063.3,330.6,1028,319.8,NA,NA,NA,NA,1028,319.8
2101500A115,KY,Boone County,00A115,2746,133,2342,77,5,31,11,17,130,2103,99,1816,60,5,24,11,17,71,824,315,877,322,850.5,318.5,NA,NA,NA,NA,850.5,318.5
2101500A116,KY,Boone County,00A116,1329,52,1144,32,1,18,3,1,78,991,27,874,24,1,14,2,1,48,448,149,477,155,462.5,152,NA,NA,NA,NA,462.5,152
2101500A117,KY,Boone County,00A117,2991,119,2614,47,2,79,17,5,108,1972,63,1764,35,2,49,10,0,49,925,346,1056,311,990.5,328.5,NA,NA,NA,NA,990.5,328.5
2101500A118,KY,Boone County,00A118,1542,28,1434,3,1,9,0,4,63,1196,21,1112,3,1,6,0,3,50,673,169.4,697.6,172.4,685.3,170.9,NA,NA,NA,NA,685.3,170.9
2101500A119,KY,Boone County,00A119,1066,66,937,7,0,0,1,2,53,884,48,791,4,0,0,0,1,40,112.8,39.2,113,43.8,112.9,41.5,NA,NA,NA,NA,112.9,41.5
2101500A120,KY,Boone County,00A120,2638,65,2385,40,9,27,2,0,110,1952,34,1782,30,8,27,2,0,69,1007.7,281.9,1061.1,285.8,1034.4,283.8,NA,NA,NA,NA,1034.4,283.8
