GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_lea,uss_16_rep_mil,gov_16_dem_min,gov_16_rep_sco,atg_16_dem_don,atg_16_rep_buc,uss_18_rep_zup,gov_18_dem_hal,gov_18_rep_sco,atg_18_dem_don,atg_18_rep_wil,sos_18_dem_con,sos_18_rep_pai,pre_20_dem_bid,pre_20_rep_tru,gov_20_dem_zuc,gov_20_rep_sco,atg_20_dem_don,atg_20_rep_pai,sos_20_dem_con,sos_20_rep_pai,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
50001500101,VT,Addison County,500101,1365,64,1240,1,3,6,0,3,48,1140,47,1044,1,3,4,0,3,38,318.2,331,348.7,384,192.5,567.6,426.3,301.5,261.2,151.3,456.7,363.4,240.6,318.2,276.9,437.1,372.2,142.4,667.8,491.1,311.3,416.5,350.6,396,321.4,308.9,277.7,425.5,371.8,376.8,327.8
50001500102,VT,Addison County,500102,1225,51,1127,10,1,2,0,5,29,1015,45,933,9,0,2,0,3,23,285,271.4,300.7,313.4,199.1,431.5,354.4,244,224.5,135.7,418.8,335.8,201.1,305.5,227.4,382.6,313.4,131.8,563.2,400.2,261.6,350.4,288,315.1,284.8,268,259,356.5,316.3,313.2,289.2
50001500103,VT,Addison County,500103,3782,78,3476,13,2,27,0,12,174,3046,52,2819,8,0,24,0,12,131,1077.5,559.4,1142.6,667.7,859.7,1024.8,1269.9,526.3,446.2,695.4,951.5,1203.7,417.1,1139.5,483.2,1485,692.6,626,1545.8,1493.1,557.4,1309.7,605.5,694.5,1087.4,574.5,1012.9,850.3,1228.5,706.5,1118.4
50001500104,VT,Addison County,500104,1207,28,1114,6,1,10,0,1,47,951,23,883,4,0,9,0,0,32,520.1,149,540.4,189.2,385.1,350.6,533.7,162.8,136.6,337.5,349.4,546.4,124.4,526.1,145.7,667.2,147.8,269.7,571.4,650.5,147.1,623,160.4,212.9,494.8,189,470,256.6,552.6,219.5,509.1
50001500105,VT,Addison County,500105,2646,79,2450,8,7,12,0,7,83,2239,69,2080,8,7,9,0,7,59,900.8,505.9,982.1,600,619,971.7,1087.3,479.6,446.1,501.1,896.8,986.9,405.8,914.1,470.3,1212.8,566.9,452.4,1339.4,1256.9,476.9,1153.6,527.5,639.3,897.3,554.7,800.7,727.7,1018.9,640.6,915.2
50001500106,VT,Addison County,500106,172,2,157,0,1,1,0,3,8,149,0,138,0,0,1,0,3,7,78,31,75,41,66,53,75,36,19,57,51,82,22,77,28,90,34,48,76,86,31,80,34,40.2,73.5,30,72,43.8,76,38,74
50001500107,VT,Addison County,500107,301,6,275,2,0,0,0,6,12,251,4,229,1,0,0,0,5,12,82,29,98,36,82,61,103,24,20,62,58,99,18,99,21,136,30,57,106,127,26,116,26,37.5,91.2,29.2,86.7,47,109,37.9,96.5
50001500108,VT,Addison County,500108,359,3,336,0,1,1,0,1,17,289,2,274,0,1,1,0,1,10,75,54,84,64,58,97,102,44,36,43,86,92,39,82,46,102,57,49,119,110,48,95,51,64.8,79.8,51.8,72.3,68.8,89,61.8,81.1
50001500109,VT,Addison County,500109,990,4,937,2,6,1,2,1,37,834,4,796,0,4,0,2,1,27,199.1,189.9,236.7,193.6,139.4,304.6,250.4,163.3,145.9,91.7,247.7,208.2,131.2,193.6,152.3,271.6,211,95.4,368.8,296.3,167.9,249.5,189,212.8,206.4,169.3,164.5,234.2,228.2,205.4,202.9
50001500110,VT,Addison County,500110,1323,25,1205,7,4,8,0,6,68,1053,12,976,7,3,4,0,6,45,494,188,531,210,430,330,558,168,163,396,340,570,152,560,172,723,211,350,573,702,167,645,202,224,503.2,206.8,508.7,288.2,605,239.7,541.7
50001500111,VT,Addison County,500111,9152,468,7528,209,21,434,5,21,466,7945,397,6557,188,16,413,4,19,351,2682,595,2663,800,2212,1351,2690,659,526,1944,1453,2792,505,2757,569,3479,732,1625,2545,3249,657,3114,686,851.2,2561.8,763.2,2497.7,1155,2866.8,923.2,2655.2
50001500112,VT,Addison County,500112,2079,43,1891,10,3,10,0,6,116,1676,28,1546,4,2,9,0,6,81,671,360,753,405,480,704,794,337,281,425,641,780,268,750,300,960,395,358,1010,962,329,879,361,451.5,674.5,372.5,651.7,523.8,789.8,449.2,710.2
50001500113,VT,Addison County,500113,1683,50,1541,7,1,13,0,4,67,1436,50,1311,7,1,9,0,4,54,575.9,326.7,600.1,397.5,385.9,643.8,682.5,302.5,274.4,321.9,578.8,638,253.1,582.7,287,709.7,383.9,224.9,873.5,721.3,324.8,638,358.7,417.6,561.1,348.3,514.2,485.2,573.5,417.1,552.8
50001500114,VT,Addison County,500114,1239,24,1131,13,4,9,0,8,50,983,16,903,11,4,9,0,8,32,270,284,307,318,172,465,346,267,264,150,410,333,250,308,274,367,351,111,593,401,289,351,297,333.5,273.8,299.5,263.7,382.5,307.5,338.5,283.3
50001500115,VT,Addison County,500115,646,10,600,0,1,1,0,0,34,538,7,508,0,1,1,0,0,21,170.2,125.4,177.1,149.2,113.4,225.9,214.9,117.4,94.5,109.4,184.1,185.1,85.6,186.1,100.5,269.6,136.3,95.5,305.5,272.6,113.4,238.8,124.4,154.5,168.9,116.2,160.2,169.9,219.2,146.8,184.8
50001500116,VT,Addison County,500116,739,28,639,8,2,17,0,0,45,636,26,550,4,2,15,0,0,39,228,58,251,62,201,124,251,49,39,183,105,248,38,247,39,280,76,165,189,271,57,252,62,73.2,232.8,55.2,226,96,242,74.8,234.3
50001500117,VT,Addison County,500117,1221,22,1132,0,0,7,2,5,53,960,9,914,0,0,2,2,5,28,292.9,187,317.6,203.8,195.9,337.4,344.3,166.2,145.4,141.5,312.6,317.6,130.6,289.9,159.3,388.8,255.2,156.3,496.6,421.5,196.9,367,219.6,223.6,287.7,187,249.6,292.1,333.4,234.2,293.9
50001500118,VT,Addison County,500118,1260,40,1140,2,6,8,0,4,60,1022,34,935,2,4,5,0,3,39,356,211,390,236,262,373,401,184,173,192,353,379,163,351,180,445,263,185,527,453,205,400,219,251,352.2,217.2,307.3,303.5,370.8,257.2,346.7
50001500119,VT,Addison County,500119,1756,40,1633,2,2,6,0,4,69,1405,32,1315,1,2,1,0,4,50,539.9,257.7,558.7,311.9,450.2,462.7,629.2,248.4,229.5,361.2,420.8,568.4,207.3,542.3,233.5,643.8,335.2,292.3,704.8,668.9,284.7,619.2,300.9,320.2,544.5,272.8,490.6,406.4,556.1,333.1,534
50001500120,VT,Addison County,500120,2553,54,2336,30,10,15,1,7,100,2072,34,1907,25,10,13,1,7,75,715.4,328.1,789.7,393.4,545.2,663.9,874,302.1,282.8,478.9,627.6,835.7,256.7,801.4,296.9,1020.6,430.3,421.7,1039.2,1028.8,349.8,956.4,366.1,421.9,731.1,366,705.3,546.4,856.9,444.7,769.8
50001500121,VT,Addison County,500121,446,9,415,0,0,2,0,1,19,380,8,355,0,0,2,0,1,14,159.2,91.6,180.7,108.2,114.3,180.3,178.1,106.6,85.8,98.1,172.6,194.2,79.2,175.1,90.2,229.1,111.7,89.1,254.8,228.3,78.3,219.1,97.2,121.7,158.1,107,155.8,135.5,191.4,121.4,169.6
50001500122,VT,Addison County,500122,814,17,767,9,3,3,0,2,13,674,14,635,9,3,2,0,2,9,421.9,80.6,426.3,127.6,342.8,227.5,431.6,108.9,87.5,283.3,252.2,443.1,68.9,421.4,84.5,526.2,85.6,224.2,393.7,490.7,85.4,479.5,87,136.2,405.6,123.3,382.6,162.9,430.1,140.8,408.3
50001500123,VT,Addison County,500123,405,8,370,3,1,1,0,3,19,315,5,292,2,1,1,0,1,13,112.9,85.1,135.3,84.4,75.6,154.4,152.6,63.7,59.1,48.3,151.3,133.8,55.8,120.4,71.7,148.4,103,51.6,178.2,153.7,84.1,141.5,85,96.9,119.1,84.5,100.8,112.6,123.8,98,115.8
50003500301,VT,Bennington County,500301,2457,39,2268,9,2,8,0,14,117,1981,25,1849,6,2,8,0,12,79,662,435,732,432,543,666,647,465,306,451,550,642,325,663,343,929,511,385,922,853,465,792,464,499.5,646,381,585.3,590.5,739.7,490.3,663.5
50003500302,VT,Bennington County,500302,7795,252,6817,124,17,141,0,27,417,6264,168,5581,89,14,124,0,22,266,1760.4,968,1932.1,826.3,1623.7,1277.4,1581.8,842.3,583.8,1207.6,1093.8,1535.9,627.7,1627.7,665.6,2221.5,1190.6,1135.7,1865.2,1989,1021.9,1885.2,1003,978.5,1724.5,742.7,1457.1,1270.2,1807.8,997.2,1681.9
50003500303,VT,Bennington County,500303,7538,182,6799,124,12,57,4,27,333,6033,116,5503,97,10,52,4,24,227,1600.6,981,1818.9,827.7,1493.3,1368.6,1462.2,867.7,588.2,1051.4,1149.2,1391.1,642.3,1508.3,716.4,2147.5,1282.4,1021.3,1919.8,1962,1097.1,1822.8,1064,1011.2,1593.7,774,1316.9,1340.8,1738.4,1042,1570.9
50003500304,VT,Bennington County,500304,2133,37,1985,7,0,22,0,11,71,1768,28,1649,6,0,21,0,10,54,740,334,715,409,506,662,590,447,273,392,610,680,297,682,316,997,377,402,928,834,389,814,402,463,637.8,374,584.7,524,761.8,453.7,668.4
50003500305,VT,Bennington County,500305,9,1,5,2,0,0,0,0,1,8,1,5,2,0,0,0,0,0,3,2,3,2,2,3,3,2,1,2,2,2,1,2,1,3,2,1,3,3,2,3,2,2.2,2.8,1.2,2,2.2,2.5,1.9,2.5
50003500306,VT,Bennington County,500306,177,1,172,0,0,1,0,0,3,139,0,135,0,0,1,0,0,3,78.3,22.8,69.7,43.6,54.6,62.7,56.2,50.7,22.6,43.5,65.5,79,24.7,79.9,28.9,124.2,23.6,40.6,109.7,106.3,26.9,105.7,23.2,45,64.7,35.4,67.5,45.9,94.2,42.1,76.2
50003500307,VT,Bennington County,500307,4484,172,3988,73,7,77,1,21,145,3695,112,3355,57,5,47,1,11,107,1452,706,1404,827,1084,1231,1214,866,604,880,1122,1306,590,1305,636,1985,732,787,1809,1670,722,1624,709,907.5,1288.5,738,1163.7,993,1516.5,879.5,1337.4
50003500308,VT,Bennington County,500308,531,20,488,3,0,7,0,1,12,434,15,398,3,0,5,0,1,12,167.7,54.4,146.4,69.9,130.1,104.3,138.1,72.1,44.4,97.9,104.4,141.7,51.5,146.7,46.6,220.7,71.4,116.8,170.3,188.3,77.5,183.3,77.4,75.2,145.6,61.7,128.8,99.2,177.3,78.7,152.5
50003500309,VT,Bennington County,500309,3258,55,3043,23,15,11,0,2,109,2610,46,2455,13,12,10,0,2,72,761,681,915,510,742,785,715,541,409,492,635,612,465,687,507,892,831,457,999,837,744,790,707,629.2,783.2,504,597,820.2,744,651.2,718.2
50003500310,VT,Bennington County,500310,702,2,676,2,0,1,0,0,21,599,2,580,2,0,1,0,0,14,166,173,191,127,159,193,164,141,74,130,143,151,127,162,127,203,212,123,249,187,185,188,179,158.5,170,117.8,147.7,206.2,175.2,160.8,165.8
50003500311,VT,Bennington County,500311,698,24,641,3,0,4,0,5,21,576,13,541,2,0,4,0,5,11,213,138,240,130,175,204,192,156,105,127,199,203,110,204,115,269,154,136,266,235,148,231,149,157,205,132.2,178,179.2,217.8,156.2,202.3
50003500312,VT,Bennington County,500312,387,10,342,1,0,5,0,3,26,309,7,280,1,0,5,0,2,14,99,95,108,85,96,115,101,94,69,77,99,102,65,110,72,147,96,84,136,137,89,112,101,97.2,101,76.2,96.3,105.5,120,93,106.6
50003500313,VT,Bennington County,500313,126,2,114,0,1,0,0,0,9,97,2,88,0,1,0,0,0,6,19,36,20,29,14,38,15,27,15,12,19,15,18,18,19,28,36,14,47,23,34,25,33,32.5,17,17.8,15,37.5,22.5,29.2,18.5
50003500314,VT,Bennington County,500314,3598,76,3330,19,6,22,0,5,140,2896,59,2702,12,6,14,0,2,101,949,659,1023,640,815,941,850,656,408,631,815,868,509,940,535,1343,816,647,1333,1225,754,1192,710,724,909.2,566.8,813,903.2,1101.8,731.3,953
50003500315,VT,Bennington County,500315,861,10,817,7,0,4,0,0,23,703,9,668,6,0,3,0,0,17,203,238,227,182,192,251,175,207,131,127,209,165,165,175,156,254,267,102,329,224,224,207,228,219.5,199.2,165.2,155.7,262,196.8,215.6,186.5
50003500316,VT,Bennington County,500316,1056,27,975,7,0,18,0,2,27,850,20,791,4,0,13,0,2,20,281,183,296,176,214,292,252,186,131,191,240,278,139,285,143,386,240,159,423,364,222,358,228,209.2,260.8,163.2,251.3,278.2,316.8,216.9,278.5
50003500317,VT,Bennington County,500317,1182,28,1097,1,3,16,0,0,37,923,15,865,1,3,10,0,0,29,298.9,158.6,299.6,167.8,219.9,281.5,263.8,194.6,121.6,183.8,237,270.4,138.7,279.3,142.5,473.4,183.2,189.6,448.3,387.9,195.1,382.9,186,200.6,270.6,159.9,244.5,253.2,358.4,204.6,295.4
50003500318,VT,Bennington County,500318,355,1,340,0,0,3,0,1,10,300,1,289,0,0,3,0,0,7,94,66,114,49,83,85,88,50,28,61,67,87,39,89,33,95,96,51,110,95,81,87,78,62.5,94.8,41.8,79,91.2,82,65.2,85.8
50005050050,VT,Caledonia County,050050,5491,90,5005,49,23,59,7,25,233,4498,60,4159,36,18,44,5,21,155,831.7,886.6,991.2,930.8,575.3,1416,966.8,932.2,723.7,441.8,1176.8,870.6,756.9,865.8,728.8,1213.5,1139.9,424.6,1872.4,1290.3,909.4,1136.9,978.5,1041.4,841.2,846.5,726.1,1225.1,1016.3,1037.7,873.5
50005050501,VT,Caledonia County,050501,1663,32,1556,5,3,6,2,0,59,1324,15,1254,5,3,3,2,0,42,482,352.8,530.7,364.8,364.8,549.6,496,391.6,277.3,301.1,470.1,470.1,295.2,472.1,292.2,620.2,434.3,252.4,764.3,613.2,378.7,558.6,380.7,414.7,468.4,333.7,414.5,489.5,511.1,412.6,469.2
50005500501,VT,Caledonia County,500501,1651,34,1522,2,4,9,0,6,74,1297,23,1203,2,1,9,0,5,54,383.4,337.8,426.8,357,257.8,549.1,404,370.8,240.7,239.8,431.9,386.9,280.8,401.8,262.8,537.7,368.6,182.6,699.7,518.7,306.2,487.7,319.1,403.7,368,304,342.8,423.4,431.7,377,384.3
