GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_rep_jam,uss_18_dem_sta,gov_18_rep_sch,gov_18_dem_whi,atg_18_rep_leo,atg_18_dem_nes,sos_18_rep_lan,sos_18_dem_ben,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_jam,uss_20_dem_pet,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
26003003009,MI,Alger County,003009,371,8,337,0,5,2,0,4,15,326,3,301,0,3,2,0,4,13,121,138,132,119,125,122,128,109,131,114,169,132,166,133,138,121,129,116,167.5,132.5,141.3,121.4
26003003010,MI,Alger County,003010,1231,6,1122,1,28,3,0,6,65,980,5,908,0,17,2,0,5,43,274.6,312.4,257.7,312.4,264.7,308.5,266.7,278.6,260.7,297.5,387.1,322.4,376.1,328.4,312.4,274.6,262.4,299.3,381.6,325.4,303.6,303.2
26003ZZZZZZ,MI,Alger County,ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26005005001,MI,Allegan County,005001,3665,176,3141,94,17,33,7,7,190,2753,111,2424,63,12,25,7,3,108,296.6,295.7,266.5,279.6,235,300,250.2,252.2,226.3,297.4,379,374.8,390,356.2,295.7,296.6,244.5,282.3,384.5,365.5,291.8,308.1
26005005002,MI,Allegan County,005002,1557,89,1320,52,5,15,0,5,71,1202,58,1044,43,3,9,0,3,42,464.4,652.1,476.1,504.5,443.9,529.9,486.9,450.7,441.9,508.4,719.6,645.3,725.5,617.9,652.1,464.4,462.2,498.4,722.5,631.6,563.7,531.6
26005005003,MI,Allegan County,005003,3246,117,2912,38,15,22,0,25,117,2581,85,2356,28,6,16,0,14,76,556.3,837.2,842.6,644.6,788.8,682.6,848.7,552.9,812.5,628.4,1348.1,798.4,1370.4,756.8,837.2,556.3,823.2,627.1,1359.2,777.6,978.3,660
26005005004,MI,Allegan County,005004,1443,49,1294,32,7,2,0,5,54,1102,19,1015,26,7,2,0,4,29,203.7,345.1,250.1,179.1,238.9,186.5,257.4,156.1,250.9,179.2,413.3,242.8,414.2,230.8,345.1,203.7,249.3,175.2,413.7,236.8,310,196.9
26005005005,MI,Allegan County,005005,2796,269,2289,62,28,18,0,2,128,2319,173,1960,49,19,15,0,2,101,603.6,728.3,628.1,643,625.1,637.1,645.1,575,623.1,639,865.1,767.2,889.1,733.1,728.3,603.6,630.4,623.5,877.1,750.2,714.8,656.9
26005005006,MI,Allegan County,005006,2211,121,1917,42,13,13,0,16,89,1705,55,1519,34,13,13,0,16,55,290,516,408.9,294.2,387.7,297.1,404.1,261.4,396.4,285.6,660.6,369.5,654.8,349.2,516,290,399.3,284.6,657.7,359.3,489.8,306.7
26005005007,MI,Allegan County,005007,2060,761,1186,21,9,6,0,8,69,1588,517,1001,15,6,5,0,6,38,310,409,363.9,279.8,346.5,289.1,352.6,246.7,335.6,293.9,506,416.5,518,382.4,409,310,349.7,277.4,512,399.4,404.5,316.9
26005005008,MI,Allegan County,005008,2134,73,1965,11,13,4,2,5,61,1572,42,1470,5,9,4,1,4,37,241.8,724.4,639.1,258.4,624.3,261.2,640.1,209.3,620.6,244.5,922.6,305.7,936.5,291.8,724.4,241.8,631,243.4,929.5,298.7,729.7,259
26005005009,MI,Allegan County,005009,3334,117,3049,17,4,15,0,3,129,2383,74,2218,10,4,10,0,3,64,367.2,1220.6,1079.4,368.6,1045.9,392.3,1065.8,321.7,1050.5,371.4,1451,457.4,1475.5,435.8,1220.6,367.2,1060.4,363.5,1463.2,446.6,1198.4,387.8
26005005010,MI,Allegan County,005010,2454,90,2242,7,12,7,0,11,85,1839,55,1691,5,10,5,0,11,62,330,810,692,355,658,371,673,297,652,358,995,423,995,415,810,330,668.8,345.2,995,419,782.1,364.1
26005005011,MI,Allegan County,005011,1370,57,1267,4,7,12,0,0,23,1230,29,1162,4,6,9,0,0,20,528,253.7,231.1,518,225.3,520.9,248.5,477.4,237.8,501.6,307.4,643.6,328.7,611.7,253.7,528,235.7,504.4,318.1,627.7,261.8,543
26005005012,MI,Allegan County,005012,1745,726,883,41,7,7,0,4,77,1149,434,628,27,6,3,0,4,47,199.7,224.1,197.8,191.3,173.4,211.7,182.2,187.3,180.3,200,279,310.1,277.1,301.3,224.1,199.7,183.4,197.6,278,305.7,216.3,228.8
26005005013,MI,Allegan County,005013,2778,206,2412,30,3,40,1,6,80,2147,132,1898,16,3,37,1,5,55,225.9,1156.8,1031,239.3,1007.1,240.3,1026,200.6,1018.1,229.3,1328.6,357.4,1376.3,330.6,1156.8,225.9,1020.5,227.4,1352.4,344,1134.8,260.5
26005005014,MI,Allegan County,005014,2574,402,2041,8,4,6,1,18,94,2124,260,1774,6,1,5,1,17,60,589.1,711.5,613,599.3,599.3,600.3,623.7,525.1,600.3,586.6,816,763.3,847.3,704.8,711.5,589.1,609.1,577.9,831.6,734,687.3,624.1
26005005015,MI,Allegan County,005015,3686,114,3357,18,26,22,0,16,133,2818,72,2602,12,18,16,0,7,91,752.1,1016.3,903.3,778.7,852.4,807.8,908.1,690.2,855.4,791.6,1092.2,981.3,1152,928.4,1016.3,752.1,879.8,767.1,1122.1,954.8,968.5,818.6
26005005016,MI,Allegan County,005016,2462,85,2216,20,3,15,1,4,118,1836,37,1685,17,3,10,1,4,79,445,648,557,455,507,492,526,400,532,450,799,538,799,521,648,445,530.5,449.2,799,529.5,624,471.6
26005005017,MI,Allegan County,005017,3937,169,3572,13,10,26,0,9,138,2872,101,2650,7,8,26,0,8,72,348,1401,1200.3,426.9,1156.6,444.8,1204.2,345.5,1173.5,406,1692.7,540.1,1717.5,517.2,1401,348,1183.6,405.8,1705.1,528.7,1363.7,432.6
26005005018,MI,Allegan County,005018,1635,209,1288,64,1,20,0,2,51,1221,129,1025,35,1,10,0,0,21,356.1,461,378.9,288.7,366.1,300.6,383.4,255.6,369.6,284.2,406.5,393.7,456.9,197.9,461,356.1,374.5,282.3,431.7,295.8,403.2,296.7
26005005019,MI,Allegan County,005019,1758,659,901,72,3,44,0,8,71,1323,434,755,60,2,34,0,8,30,317,450.9,393.8,314.7,388.6,309.7,388.8,270.4,385.7,298.6,493.1,454.5,522.4,425.3,450.9,317,389.2,298.3,507.8,439.9,431.9,341.5
26005005020,MI,Allegan County,005020,1855,354,1352,28,7,53,2,3,56,1396,229,1060,23,7,42,1,0,34,312,583,565,322,530,335,546,274,553,305,598,459,645,424,583,312,548.5,309,621.5,441.5,574.3,347.3
