GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_18_rep_fis,uss_18_dem_ray,gov_18_rep_ric,gov_18_dem_kri,atg_18_rep_pet,sos_18_rep_evn,sos_18_dem_dan,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_sas,uss_20_dem_jan,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
3100100001P,NE,Adams County,00001P,1169,27,1110,1,2,10,0,1,18,883,15,846,1,2,8,0,1,10,535,62,352,83,381,72,411,365,71,556,86,507,56,535,62,377.2,75.3,531.5,71,443.9,71.7
3100100001W,NE,Adams County,00001W,2435,582,1691,35,12,45,0,5,65,1890,388,1380,27,9,34,0,5,47,491,180,338,174,375,167,424,367,165,570,253,552,193,491,180,376,168.7,561,223,445.3,188.7
3100100002E,NE,Adams County,00002E,1286,147,1040,4,4,45,0,1,45,948,87,793,4,4,37,0,0,23,247.7,94.3,153.9,82.6,171.3,81.4,202.2,162.3,79.2,257.8,102.2,255.5,72.4,247.7,94.3,172.4,81.1,256.6,87.3,207.2,85.4
3100100002P,NE,Adams County,00002P,254,29,213,0,0,1,0,1,10,195,15,175,0,0,0,0,1,4,121,19,92,21,103,14,102,94,15,131,24,119,13,121,19,97.8,16.7,125,18.5,108.9,17.7
3100100002W,NE,Adams County,00002W,1913,335,1407,33,19,22,0,6,91,1398,192,1105,22,13,18,0,4,44,393.2,144.2,240.2,150.1,272.8,140.6,335.7,279.2,123.6,415.2,186.3,409.1,128.8,393.2,144.2,282,138.1,412.1,157.5,335.1,145.6
3100100003P,NE,Adams County,00003P,987,38,902,3,5,3,0,1,35,755,21,706,3,2,0,0,1,22,388,71,290,91,332,64,344,319,61,422,97,406,55,388,71,321.2,72,414,76,357.3,73.2
3100100003W,NE,Adams County,00003W,1452,427,953,13,0,15,0,0,44,1194,269,873,10,0,15,0,0,27,300.6,179.1,197.6,142,223.4,127.7,276.7,214.7,127.7,283.9,211.6,324.7,137.3,300.6,179.1,228.1,132.5,304.3,174.4,260.2,154.2
3100100004P,NE,Adams County,00004P,804,38,733,4,6,4,1,4,14,605,24,556,1,6,4,1,4,9,375.2,65.4,282.7,70,299.7,66.2,305,290.3,54.9,426.9,93.4,408.1,61.9,375.2,65.4,294.4,63.7,417.5,77.6,341.1,68.6
3100100005P,NE,Adams County,00005P,1079,33,1004,1,2,4,0,1,34,827,21,776,1,2,4,0,1,22,341.6,75.8,246.6,78.7,262.4,69.2,281.7,253.2,67.2,346.4,101.2,342.9,56.2,341.6,75.8,261,71.7,344.7,78.7,296.4,74.7
3100100005W,NE,Adams County,00005W,309,88,197,3,6,4,0,0,11,235,62,151,3,6,4,0,0,9,319.1,99.2,212.4,91.2,231.3,86.7,261.1,220.5,84.7,327.9,114.4,324.9,74.8,319.1,99.2,231.3,87.5,326.4,94.6,271,91.8
3100100006P,NE,Adams County,00006P,363,42,294,3,3,1,0,1,19,323,35,264,3,2,1,0,1,17,127.7,30.8,98.3,29.2,103.9,29.2,116.6,99,26.3,177.5,51.6,166.4,36.4,127.7,30.8,104.5,28.2,171.9,44,127.1,33.9
3100100006W,NE,Adams County,00006W,1649,79,1465,9,5,35,1,4,51,1249,43,1124,6,5,29,1,2,39,669.3,222.8,497.7,215.9,526.3,210.5,601.9,513.9,186.5,729.4,256.7,746.3,148,669.3,222.8,535,204.3,737.8,202.3,612.1,206.7
3100100007P,NE,Adams County,00007P,339,4,329,0,0,1,0,1,4,258,1,253,0,0,1,0,0,3,158,25,111,14,115,15,108,103,16,160,18,158,9,158,25,109.2,15,159,13.5,130.4,16.2
3100100007W,NE,Adams County,00007W,1316,143,1123,5,0,7,0,4,34,969,72,871,4,0,7,0,0,15,379,140,259,135,271,140,321,260,131,388,170,381,109,379,140,277.8,135.3,384.5,139.5,322.7,137.5
3100100008P,NE,Adams County,00008P,520,12,498,1,2,0,0,1,6,382,6,369,0,2,0,0,0,5,221,18,150,35,174,18,156,145,25,258,29,240,18,221,18,156.2,26,249,23.5,192,23.8
3100100008W,NE,Adams County,00008W,1548,73,1393,3,2,39,3,4,31,1172,53,1068,0,2,27,3,0,19,587.5,233,475.9,234,497.6,224.1,581.5,487.7,203.4,650.6,303.1,661.5,154,587.5,233,510.7,220.5,656.1,228.6,563.2,225.3
3100100009P,NE,Adams County,00009P,633,5,623,0,0,1,0,0,4,487,5,478,0,0,1,0,0,3,271,41,193,58,204,57,232,194,53,325,77,305,55,271,41,205.8,56,315,66,246.3,56.8
3100100009W,NE,Adams County,00009W,1341,220,1028,6,2,29,0,2,54,994,130,805,4,0,28,0,0,27,288.3,148.8,178.6,153.5,192.7,154.3,256.1,190.3,150.4,307.1,194.3,297.7,126.9,288.3,148.8,204.4,152.8,302.4,160.6,244.4,154.7
3100100010P,NE,Adams County,00010P,353,5,343,1,0,0,0,0,4,288,4,281,0,0,0,0,0,3,135,23,95,32,99,31,92,90,25,170,24,152,9,135,23,94,29.3,161,16.5,119,24
3100100010W,NE,Adams County,00010W,1207,164,924,19,10,43,0,10,37,940,100,773,11,5,31,0,3,17,274.6,178.8,171.2,172,190.7,166.9,237.3,180.5,159.3,262.7,211.8,276.2,105.1,274.6,178.8,194.9,166.1,269.5,158.5,227.6,165.7
3100100011W,NE,Adams County,00011W,1589,231,1264,5,16,15,2,5,51,1186,140,982,4,14,12,2,4,28,376.7,175.7,233.6,176.6,266.2,177.5,322.4,241.8,182,399.3,230.9,406.6,149.4,376.7,175.7,266,178.7,402.9,190.2,320.9,182
3100100012W,NE,Adams County,00012W,315,16,272,1,0,6,0,2,18,252,10,221,0,0,6,0,2,13,88.6,45,72.1,50,79.4,44.9,93.5,78.3,39.6,84.4,60.9,98.5,23,88.6,45,80.8,44.8,91.4,41.9,85,43.9
3100100013W,NE,Adams County,00013W,2212,102,2012,5,7,24,0,4,58,1656,63,1531,5,5,16,0,3,33,804.7,296.9,624,317.3,675.5,301.7,784,670.9,268,929.6,434.4,953.8,246.8,804.7,296.9,688.6,295.7,941.7,340.6,777.5,310.9
3100100014W,NE,Adams County,00014W,1289,239,974,14,5,10,0,1,46,933,143,735,10,4,8,0,1,32,287,182,171,173,194,161,262,180,158,276,193,283,112,287,182,201.8,164,279.5,152.5,236.1,163.2
3100100015W,NE,Adams County,00015W,1346,68,1220,7,1,11,0,4,35,1076,44,984,7,1,9,0,4,27,372.1,198.2,274.4,208.9,303.5,197.8,373.6,297.1,185.6,441.1,255.3,456.2,157.3,372.1,198.2,312.2,197.4,448.6,206.3,359.7,200.5
3100100016W,NE,Adams County,00016W,867,131,674,11,3,18,1,2,27,668,75,543,11,2,17,1,2,17,169,113,106,105,117,105,151,112,103,169,156,167,84,169,113,121.5,104.3,168,120,141.6,111
3100100017W,NE,Adams County,00017W,2630,381,2093,60,7,22,1,2,64,2079,220,1750,56,3,19,1,2,28,565.3,240,370.8,241.1,405.4,229.4,512.9,393.2,217.8,620.3,277.7,596.7,191.8,565.3,240,420.6,229.4,608.5,234.8,494.9,233
3100300001P,NE,Antelope County,00001P,611,9,589,2,0,1,0,0,10,453,3,444,0,0,0,0,0,6,253,32,185,48,196,49,208,185,39,270,44,252,37,253,32,193.5,45.3,261,40.5,221.3,41.5
3100300001W,NE,Antelope County,00001W,297,8,274,9,2,1,0,0,3,241,7,221,7,2,1,0,0,3,104,25,82,23,82,23,86,76,25,114,32,117,22,104,25,81.5,23.7,115.5,27,94.4,25
3100300002P,NE,Antelope County,00002P,203,4,191,0,0,1,0,0,7,165,0,157,0,0,1,0,0,7,117,15,88,14,91,18,90,88,15,118,15,107,9,117,15,89.2,15.7,112.5,12,99.9,14.3
3100300002W,NE,Antelope County,00002W,759,40,690,2,4,4,0,0,19,599,25,545,2,4,4,0,0,19,236.1,46,179.1,43,186.1,43,195.1,168.1,38,285.1,69,266.1,54,236.1,46,182.1,41.4,275.6,61.5,216.5,48.9
3100300003P,NE,Antelope County,00003P,621,30,577,1,1,0,0,0,12,453,13,430,0,1,0,0,0,9,284,24,213,23,215,33,217,203,38,331,34,278,30,284,24,212,31.3,304.5,32,248.7,30.3
3100300003W,NE,Antelope County,00003W,777,49,717,0,2,5,0,0,4,587,26,550,0,2,5,0,0,4,347.8,60.7,244.3,63.7,248.3,71.7,267,241.2,57.8,360,59.9,325.1,46.9,347.8,60.7,250.2,64.4,342.5,53.4,290.5,60.1
3100300004P,NE,Antelope County,00004P,769,48,706,1,1,4,0,0,9,588,26,552,0,1,3,0,0,6,370,26,280,41,288,41,262,260,26,434,39,376,46,370,26,272.5,36,405,42.5,324.3,36.5
3100300004W,NE,Antelope County,00004W,334,2,325,0,0,1,0,0,6,241,2,232,0,0,1,0,0,6,128,22,105,17,104,21,106,102,18,164,19,159,10,128,22,104.2,18.7,161.5,14.5,124,17.8
3100300005P,NE,Antelope County,00005P,453,5,438,2,2,0,0,0,6,347,3,337,2,2,0,0,0,3,213.1,30.3,163.6,32.3,161.6,37.3,157.9,153.7,32.2,234.9,41.1,219.7,31.1,213.1,30.3,159.2,33.9,227.3,36.1,186.3,34.1
3100300005W,NE,Antelope County,00005W,383,10,365,0,1,2,0,1,4,285,3,275,0,1,2,0,1,3,151,26,137,19,134,23,136,123,23,190,21,181,18,151,26,132.5,21.7,185.5,19.5,150.3,21.7
3100300006P,NE,Antelope County,00006P,381,0,366,0,1,2,0,2,10,299,0,287,0,1,2,0,2,7,198,24,149,18,152,17,132,138,16,216,22,199,13,198,24,142.8,17,207.5,17.5,169.1,18.3
3100300007P,NE,Antelope County,00007P,500,15,460,5,1,1,0,0,18,403,7,386,1,1,1,0,0,7,216,30,156,32,157,43,166,142,41,236,31,215,20,216,30,155.2,38.7,225.5,25.5,184,32.8
3100300008P,NE,Antelope County,00008P,207,1,201,0,1,0,0,0,4,162,1,156,0,1,0,0,0,4,114,22,79,22,88,20,83,74,23,140,25,133,17,114,22,81,21.7,136.5,21,101.6,21.5
3100500001P,NE,Arthur County,00001P,434,12,400,3,0,0,0,0,19,316,5,297,3,0,0,0,0,11,244,17,202,24,196,31,199,192,19,260,21,228,21,244,17,197.2,24.7,244,21,217.3,22.2
3100700001P,NE,Banner County,00001P,674,51,600,0,5,2,0,0,16,513,36,460,0,5,0,0,0,12,357,19,263,39,254,62,282,272,38,362,43,335,39,357,19,267.8,46.3,348.5,41,303.6,40
31009000001,NE,Blaine County,000001,431,11,397,1,0,1,0,0,21,343,2,329,0,0,1,0,0,11,276.8,30.1,223.7,34.1,215.7,49.1,210.7,203.7,34.1,280.9,35.1,222.8,35.1,276.8,30.1,213.5,39.1,251.9,35.1,233.5,36.3
3101100001P,NE,Boone County,00001P,614,17,581,1,1,0,0,0,14,491,10,475,1,0,0,0,0,5,374,62,305,76,323,78,308,270,84,371,60,319,49,374,62,301.5,79.3,345,54.5,324.3,68.2
3101100002P,NE,Boone County,00002P,113,0,110,0,0,0,0,0,3,87,0,84,0,0,0,0,0,3,85,17,78,11,87,10,73,67,13,83,12,74,6,85,17,76.2,11.3,78.5,9,78.1,11.5
3101100003P,NE,Boone County,00003P,230,7,216,0,0,0,0,0,7,181,5,171,0,0,0,0,0,5,95,37,84,29,89,28,76,71,29,123,27,105,27,95,37,80,28.7,114,27,91.9,29.5
3101100004P,NE,Boone County,00004P,781,18,748,3,3,0,0,0,9,598,17,574,3,2,0,0,0,2,308,43,211,49,225,47,228,211,38,394,76,355,47,308,43,218.8,44.7,374.5,61.5,276,50
3101100005P,NE,Boone County,00005P,939,14,914,0,3,4,0,0,4,700,9,687,0,1,1,0,0,2,358,50,247,53,265,51,275,248,45,483,67,447,40,358,50,258.8,49.7,465,53.5,331.9,51
3101100006P,NE,Boone County,00006P,995,32,938,10,2,0,0,0,13,753,17,721,5,2,0,0,0,8,369,61,258,85,266,84,290,256,69,459,105,445,66,369,61,267.5,79.3,452,85.5,334.7,78.3
3101100007P,NE,Boone County,00007P,594,24,553,0,0,2,0,0,15,464,13,440,0,0,2,0,0,9,261,94,216,88,241,80,226,195,73,262,81,232,65,261,94,219.5,80.3,247,73,233.3,80.2
3101100008P,NE,Boone County,00008P,225,1,219,0,2,0,0,2,1,169,1,164,0,1,0,0,2,1,143,9,103,17,109,16,101,99,15,131,14,120,11,143,9,103,16,125.5,12.5,115.1,13.7
3101100009P,NE,Boone County,00009P,888,70,778,7,4,1,0,4,24,648,36,585,2,2,1,0,4,18,306,41,255,49,267,46,255,239,55,347,57,305,40,306,41,254,50,326,48.5,282,48
31013001301,NE,Box Butte County,001301,1039,137,830,7,33,7,0,1,24,825,93,689,7,15,5,0,0,16,330.9,133.1,248.7,123.1,250.6,136.2,299.7,253.7,123.1,379.1,149.2,383.1,122.1,330.9,133.1,263.2,127.4,381.1,135.6,306.5,131.1
31013001302,NE,Box Butte County,001302,1563,280,1126,10,83,6,0,3,55,1200,181,925,6,52,4,0,1,31,359.1,133.6,264.7,103.5,264.5,127.1,311.4,266.6,113.2,438,135,411,117,359.1,133.6,276.8,114.6,424.5,126,330.8,121.6
31013001303,NE,Box Butte County,001303,1145,169,839,17,36,8,0,4,72,873,116,674,12,27,2,0,1,41,308.8,121.9,227.9,121.9,218.9,153.9,278.8,231.9,132.9,337.8,119.9,327.8,85,308.8,121.9,239.4,136.3,332.8,102.4,276,122.6
31013001304,NE,Box Butte County,001304,1440,251,1054,8,45,3,0,0,79,1040,146,802,8,33,3,0,0,48,444.3,131.8,280.6,103.9,275.6,125.8,324.5,273.6,122.8,451.2,132.1,429.2,118,444.3,131.8,288.6,117.5,440.2,125.1,354.2,122.4
31013001305,NE,Box Butte County,001305,1529,182,1216,8,35,15,0,1,72,1130,107,937,6,21,12,0,0,47,500.2,136,403.1,121,377.1,171,445.2,397.1,133,627.2,155,600.2,118,500.2,136,405.6,141.7,613.7,136.5,478.6,139
31013001306,NE,Box Butte County,001306,1428,131,1159,12,39,23,0,1,63,1073,73,915,10,24,19,0,0,32,445,152,366,128,341,172,425,357,147,502,179,496,122,445,152,372.2,149,499,150.5,418.9,150
31013001311,NE,Box Butte County,001311,614,18,553,0,7,5,0,2,29,476,5,452,0,3,4,0,2,10,266.8,26.3,199.4,24.4,184.7,44.7,203.7,197.5,28.6,311.6,40.8,299.7,34.9,266.8,26.3,196.4,32.6,305.7,37.8,237.6,33.3
31013001312,NE,Box Butte County,001312,590,17,549,2,4,0,0,2,16,450,8,431,1,2,0,0,0,8,302.6,23.1,199.4,19.8,188.1,37.5,200.5,197.3,24.2,314.6,42.1,304.6,25,302.6,23.1,196.3,27.2,309.6,33.5,243.9,28.6
31013001315,NE,Box Butte County,001315,1494,61,1355,2,11,4,0,3,58,1117,34,1042,2,7,2,0,0,30,659.8,107.2,442.5,89.5,424.8,127.8,501.5,433.6,115,641,98,589,80,659.8,107.2,450.6,110.8,615,89,527.5,102.9
31015000001,NE,Boyd County,000001,746,18,700,0,9,0,0,1,18,602,8,576,0,5,0,0,1,12,405,40,270,39,275,51,248,236,36,405,45,339,42,405,40,257.2,42,372,43.5,311.1,42.2
31015000002,NE,Boyd County,000002,620,9,591,0,1,0,0,2,17,481,5,463,0,0,0,0,2,11,371,55,348,62,351,70,317,311,63,378,56,340,35,371,55,331.8,65,359,45.5,345.1,56.8
31015000003,NE,Boyd County,000003,444,6,432,0,1,0,0,1,4,379,4,371,0,0,0,0,1,3,206.4,32.9,178.5,26.9,182.5,30.9,161.6,165.5,24.9,226.4,33.9,203.5,12,206.4,32.9,172,27.6,214.9,22.9,189.2,26.9
3101700001P,NE,Brown County,00001P,1619,150,1408,2,7,3,0,0,49,1273,107,1127,0,5,2,0,0,32,671,83,559,107,557,125,593,542,95,707,101,675,68,671,83,562.8,109,691,84.5,614.9,96.5
3101700002P,NE,Brown County,00002P,572,15,536,0,0,0,0,2,19,464,8,443,0,0,0,0,0,13,280,32,225,39,228,38,232,213,34,316,50,299,29,280,32,224.5,37,307.5,39.5,256.1,37
3101700003P,NE,Brown County,00003P,712,11,685,0,0,3,0,0,13,571,8,555,0,0,3,0,0,5,434,38,368.9,44,365.9,51,355.9,360.9,31,447,40,413,28,434,38,362.9,42,430,34,392.2,38.7
31019000001,NE,Buffalo County,000001,1821,103,1560,40,3,46,4,2,63,1422,75,1248,32,3,33,3,2,26,682.5,219.8,516.6,222.8,506.9,245.7,605,517.2,199.2,712.5,297.4,758.7,161.8,682.5,219.8,536.4,222.6,735.6,229.6,614.2,224.5
31019000002,NE,Buffalo County,000002,1481,108,1304,10,2,23,0,7,27,1094,64,977,3,2,21,0,5,22,440,204,357,203,357,227,457,372,189,512,286,535,169,440,204,385.8,206.3,523.5,227.5,432.9,213
31019000003,NE,Buffalo County,000003,2075,130,1822,24,2,45,1,5,46,1736,88,1563,19,2,37,1,1,25,667,259.7,562.3,256.6,564.3,274.7,682.6,565.3,238.6,760.6,375.9,808.5,196.5,667,259.7,593.6,256.7,784.6,286.2,658.7,267
31019000004,NE,Buffalo County,000004,2785,100,2531,12,5,35,1,4,97,1983,44,1840,9,5,27,0,4,54,943.4,325,761.3,325,764.3,346,918.3,785.3,283,1172.5,457,1219.4,229,943.4,325,807.3,318,1196,343,937.8,327.5
31019000005,NE,Buffalo County,000005,1676,157,1468,8,0,14,0,5,24,1317,99,1180,5,0,10,0,5,18,461,196,352,172,378,175,456,369,158,518,215,526,132,461,196,388.8,168.3,522,173.5,437.1,174.7
31019000006,NE,Buffalo County,000006,2457,143,2140,59,9,38,0,4,64,1925,98,1720,36,5,35,0,4,27,867.1,293.4,653.6,317.3,630.6,364.2,794.3,666.5,283.4,916,412.1,947.9,241.5,867.1,293.4,686.3,321.6,932,326.8,782.3,318.7
31019000007,NE,Buffalo County,000007,3267,356,2564,70,25,139,8,5,100,2834,312,2225,64,23,132,5,5,68,561,297,420,308,420,341,565,435,296,590,387,614,233,561,297,460,315,602,310,515,310.3
31019000008,NE,Buffalo County,000008,1278,147,1073,11,4,5,0,3,35,959,93,834,8,2,4,0,0,18,359,123,263,132,264,149,341,264,132,356,190,353,112,359,123,283,137.7,354.5,151,314.3,139.7
31019000009,NE,Buffalo County,000009,1894,204,1562,30,13,24,6,5,50,1505,121,1294,20,12,20,6,2,30,493,261,339,237,348,266,475,373,221,538,294,537,197,493,261,383.8,241.3,537.5,245.5,443.3,246
31019000010,NE,Buffalo County,000010,3580,634,2749,41,10,25,2,4,115,2699,399,2168,31,3,22,2,3,71,777.4,326.2,519,302.2,560,304.3,700.2,555.1,288.2,907.8,412.4,939.7,253.3,777.4,326.2,583.6,298.2,923.7,332.8,708.5,314.4
31019000011,NE,Buffalo County,000011,2418,377,1799,67,6,92,2,3,72,1877,252,1437,52,6,87,1,3,39,336.6,174.7,240.5,159.8,240.5,185.8,344.3,257.7,158.4,363.1,262.2,373.2,184.2,336.6,174.7,270.8,168,368.1,223.2,308,187.5
31019000012,NE,Buffalo County,000012,2147,291,1651,41,14,60,5,9,76,1754,193,1403,38,11,56,4,7,42,395,258,261,248,277,252,375,281,235,445,292,439,202,395,258,298.5,245,442,247,353.3,247.8
31019000013,NE,Buffalo County,000013,3197,252,2746,49,12,32,0,5,101,2218,143,1977,25,4,25,0,3,41,914.5,279.8,663.1,348.7,671.5,374.6,841.9,692.8,310,1058.8,491.6,1088.1,270.5,914.5,279.8,717.3,344.4,1073.4,381,847.2,345.9
31019000014,NE,Buffalo County,000014,3485,632,2592,69,17,32,1,1,141,2627,397,2079,51,15,20,0,1,64,726.7,305.3,502.7,270.5,524.7,288.5,642.5,523.8,269.4,868.3,363.4,841.3,249.5,726.7,305.3,548.4,276.1,854.8,306.4,661.4,291.1
31019000015,NE,Buffalo County,000015,548,23,505,11,0,2,0,3,4,375,5,360,5,0,2,0,0,3,249,21,186,27,194,30,186,187,23,282,32,258,19,249,21,188.2,26.7,270,25.5,220.3,25.3
31019000016,NE,Buffalo County,000016,1026,17,994,1,0,2,1,3,8,761,11,739,1,0,2,1,0,7,411,74,312,81,327,79,339,314,62,510,87,490,53,411,74,323,74,500,70,386.1,72.7
31019000017,NE,Buffalo County,000017,432,11,417,0,0,1,0,0,3,353,3,347,0,0,1,0,0,2,196.9,33.6,157.8,39.7,158,47.7,172.2,150.8,49.7,237.3,40.7,225.3,30.5,196.9,33.6,159.7,45.7,231.3,35.6,185.5,40.3
31019000018,NE,Buffalo County,000018,1441,57,1328,7,3,6,0,1,39,1082,30,1014,4,2,5,0,0,27,424,135.4,383.2,156.3,430,149.3,474.8,380.2,147.3,507.7,154.3,508.7,107.5,424,135.4,417.1,151,508.2,130.9,444.1,141.7
31019000019,NE,Buffalo County,000019,979,32,921,2,4,2,0,1,17,680,11,652,2,3,2,0,1,9,444.9,61.6,352,58.7,354,65.5,333.5,331.5,52.8,514,64,485,47,444.9,61.6,342.7,59,499.5,55.5,402.1,58.3
31019000020,NE,Buffalo County,000020,1867,72,1734,5,2,7,0,2,45,1361,39,1275,5,2,6,0,1,33,775.3,166.2,585.2,153.3,593.2,175.2,652.9,592.2,139.3,907.9,198.7,894,109.3,775.3,166.2,605.9,155.9,900.9,154,714.4,157
31019000021,NE,Buffalo County,000021,882,47,813,2,1,0,0,2,17,670,33,620,1,0,0,0,2,14,401,71,298,58,297,63,306,289,61,421.7,87.8,407.7,60.5,401,71,297.5,60.7,414.7,74.2,345.8,66.9
31019000022,NE,Buffalo County,000022,940,397,520,1,0,0,1,0,21,619,216,390,1,0,0,1,0,11,207,55,171,38,171,42,200,173,41,259,63,259,40,207,55,178.8,40.3,259,51.5,205.7,46.5
31019000023,NE,Buffalo County,000023,938,317,586,9,0,1,0,0,25,669,197,453,7,0,0,0,0,12,249,77,175,76,178,73,206,164,73,286,101,283,72,249,77,180.8,74,284.5,86.5,220.1,78.7
31019000024,NE,Buffalo County,000024,1469,191,1233,6,1,2,1,1,34,1110,133,949,5,0,2,1,1,19,509,141,350,140,371,157,421,371,135,547,174,553,111,509,141,378.2,144,550,142.5,446,143
31019000025,NE,Buffalo County,000025,1347,61,1228,0,4,3,0,2,49,990,34,921,0,4,3,0,2,26,491,86,341,98,349,115,391,367,83,571,105,526,81,491,86,362,98.7,548.5,93,433.7,94.7
31019000026,NE,Buffalo County,000026,1401,61,1294,7,3,1,0,3,32,997,36,935,3,3,1,0,3,16,541.3,114.1,389,113.1,390.2,124,432,390.4,111.6,588.9,183.6,577.1,103.3,541.3,114.1,400.4,116.2,583,143.4,472.7,125
31019000027,NE,Buffalo County,000027,851,60,735,12,0,7,0,6,31,640,30,572,4,0,6,0,6,22,189.4,74.5,141.7,74.4,149.8,71.8,177.6,157.8,57.5,213.7,90.7,219.9,46.8,189.4,74.5,156.7,67.9,216.8,68.7,178.5,69.3
31019000028,NE,Buffalo County,000028,1110,32,1051,4,2,1,0,5,15,797,16,769,1,1,1,0,5,4,448.1,69.4,378,83.3,385,95.5,407.5,376.5,83.2,550,115,548,66,448.1,69.4,386.8,87.3,549,90.5,441.9,85.4
31019000029,NE,Buffalo County,000029,1292,50,1188,2,7,15,0,3,27,983,25,917,2,5,15,0,2,17,407.8,60.3,308,65.2,314,72.1,347.6,321.9,56.3,525.3,117.3,513.5,73,407.8,60.3,322.9,64.5,519.4,95.1,391.1,74
31021000001,NE,Burt County,000001,361,1,349,0,0,1,0,0,10,283,0,279,0,0,1,0,0,3,123.2,58.2,104.1,40.2,106.1,45.2,112.2,96.1,40.2,168,64.1,167,48.1,123.2,58.2,104.6,41.9,167.5,56.1,125.3,49.4
31021000002,NE,Burt County,000002,474,8,453,1,1,3,0,0,8,378,4,367,1,0,2,0,0,4,227.3,38.5,202.6,43.5,202.6,53.4,208.5,198.6,39.5,242.1,49.4,230.2,35.6,227.3,38.5,203,45.5,236.2,42.5,216,43.3
31021000003,NE,Burt County,000003,448,29,392,2,5,0,0,0,20,347,20,312,2,5,0,0,0,8,178,51,136,50,132,62,153,124,62,174,58,181,34,178,51,136.2,58,177.5,46,154,52.8
31021000004,NE,Burt County,000004,634,9,568,3,28,3,2,2,19,541,8,491,1,28,1,1,0,11,212.4,145.6,165.6,115.7,158.6,134.6,202.4,146.6,128.7,206.4,127.7,207.4,92.8,212.4,145.6,168.3,126.3,206.9,110.2,185.6,124.2
31021000005,NE,Burt County,000005,364,2,355,0,0,0,4,0,3,250,0,244,0,0,0,4,0,2,153,39,141,32,134,43,145,128,34,161,41,166,18,153,39,137,36.3,163.5,29.5,146.9,34.5
31021000006,NE,Burt County,000006,824,53,720,3,6,6,3,0,33,641,22,583,3,4,1,1,0,27,277,110,214,111,210,135,270,204,123,292,134,291,95,277,110,224.5,123,291.5,114.5,251.1,118
31021000007,NE,Burt County,000007,702,23,616,0,11,9,7,2,34,530,8,483,0,6,9,7,2,15,244.7,85.5,227.4,68.5,214.4,90.6,237.5,204.4,65.5,257.9,94.6,260.8,46.4,244.7,85.5,221,74.9,259.4,70.5,235.3,75.2
31021000008,NE,Burt County,000008,667,19,598,8,13,4,1,2,22,509,11,463,5,8,4,1,2,15,235,69,215,58,211,78,222,210,48,239,81,248,38,235,69,214.5,61.3,243.5,59.5,225.7,62
31021000009,NE,Burt County,000009,534,1,522,0,1,2,0,0,8,414,0,406,0,0,1,0,0,7,199.9,66,165.9,68,164.9,82,176.9,160.9,65,239.9,87,241.9,61,199.9,66,167.2,71.6,240.9,74,192.9,71.5
31021000010,NE,Burt County,000010,837,10,790,2,4,2,0,3,26,653,7,616,0,4,1,0,3,22,268.5,140.2,211.4,137.2,222.4,130.2,267.4,203.4,119.2,300.6,172.2,321.6,118.2,268.5,140.2,226.1,128.8,311.1,145.2,256.5,136.2
31021000011,NE,Burt County,000011,877,17,834,0,3,5,0,0,18,684,6,656,0,3,3,0,0,16,248,127,212,112,217,122,278,209,118,299,154,324,91,248,127,229,117.3,311.5,122.5,255.3,120.7
3102300001W,NE,Butler County,00001W,947,89,824,4,0,0,0,2,28,689,62,603,2,0,0,0,1,21,245,60.5,178.6,74.4,197.4,69.4,214.3,175.6,66.5,290.7,79.4,297.6,52.6,245,60.5,191.5,70.1,294.1,66,228.5,67.1
3102300002P,NE,Butler County,00002P,1249,73,1143,1,6,0,0,5,21,966,44,902,1,1,0,0,4,14,460,85,353,109,393,95,404,381,81,543,123,531,103,460,85,382.8,95,537,113,437.9,99.3
3102300002W,NE,Butler County,00002W,937,122,790,2,3,3,0,2,15,692,66,612,2,3,3,0,1,5,282,85,260,97,261,106,292,257,80,353,95,364,56,282,85,267.5,94.3,358.5,75.5,295.6,86.5
3102300003W,NE,Butler County,00003W,1017,50,917,3,9,2,0,5,31,776,26,718,3,9,1,0,1,18,335,79.8,300.5,105.4,305.5,119.2,340.9,296.6,96.6,382.3,128.1,386.3,83.7,335,79.8,310.9,107.1,384.3,105.9,335.3,102.1
3102300005P,NE,Butler County,00005P,653,17,606,0,4,1,1,2,22,526,13,496,0,2,1,1,1,12,267,67,202,73,220,76,222,184,74,296,70,303,48,267,67,207,74.3,299.5,59,242,68
3102300006P,NE,Butler County,00006P,703,32,657,3,0,0,0,0,11,537,16,513,2,0,0,0,0,6,264,60,216,75,228,84,250,216,56,313,78,298,54,264,60,227.5,71.7,305.5,66,255,67.8
3102300008P,NE,Butler County,00008P,651,41,602,3,0,1,0,1,3,485,24,454,3,0,1,0,1,2,235.9,44.7,183.9,48.2,196.1,39.4,193.8,173.8,34,290,42.6,276.1,27.7,235.9,44.7,186.9,40.5,283.1,35.1,221.4,39.4
3102300011P,NE,Butler County,00011P,425,17,398,2,0,0,0,1,7,341,10,323,2,0,0,0,1,5,216,28,177,34,180,44,188,179,30,238,38,234,27,216,28,181,36,236,32.5,201.7,33.5
