GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_18_rep_fis,uss_18_dem_ray,gov_18_rep_ric,gov_18_dem_kri,atg_18_rep_pet,sos_18_rep_evn,sos_18_dem_dan,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_sas,uss_20_dem_jan,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
3114700004P,NE,Richardson County,00004P,231,10,216,0,0,0,0,0,5,193,4,184,0,0,0,0,0,5,80,22,58,29,61,31,69,59,28,102,38,91,24,80,22,61.8,29.3,96.5,31,74.3,28.7
3114700005P,NE,Richardson County,00005P,349,3,322,0,6,0,0,3,15,280,2,264,0,2,0,0,0,12,151.3,34.7,110.3,42.8,120.7,38.7,127.8,113.5,42.8,159,43,143,23,151.3,34.7,118.1,41.5,151,33,132.2,37.5
3114700006P,NE,Richardson County,00006P,299,6,280,0,3,1,0,0,9,242,6,227,0,1,1,0,0,7,124.7,19.5,95.5,25.3,105.2,22.4,110.1,99.4,25.3,130,27,121,23,124.7,19.5,102.6,24.4,125.5,25,112.3,23.8
3114700007P,NE,Richardson County,00007P,150,2,144,0,3,0,0,0,1,134,2,129,0,2,0,0,0,1,74,10.8,59.2,8.9,62.1,10.8,66.1,61.1,11.8,103,14,94,13,74,10.8,62.1,10.5,98.5,13.5,74.2,11.6
3114700008P,NE,Richardson County,00008P,462,7,426,1,16,2,0,0,10,359,5,335,1,12,2,0,0,4,232.4,25.5,150.4,39.9,163,32.1,159.4,149.5,33.1,234.4,40.9,221.9,34,232.4,25.5,155.6,35,228.2,37.5,187.3,34.3
3114700009P,NE,Richardson County,00009P,342,12,247,1,48,0,0,1,33,262,3,209,1,30,0,0,0,19,137.3,46.9,105.5,46,111.3,46,120.6,98,47.7,176.7,41,164.1,35.2,137.3,46.9,108.8,46.6,170.4,38.1,130.5,43.8
3114700010P,NE,Richardson County,00010P,480,11,446,0,3,0,0,0,20,371,10,348,0,2,0,0,0,11,141,45,101,53,114,46,133,115,37,148,52,156,31,141,45,115.8,45.3,152,41.5,129.7,44
3114700011P,NE,Richardson County,00011P,320,5,297,0,9,0,0,0,9,266,2,250,0,8,0,0,0,6,146,46,110,45,128,35,146,120,39,137,44,141,30,146,46,126,39.7,139,37,132.6,39.8
3114700012P,NE,Richardson County,00012P,1270,14,1158,4,38,6,0,0,50,970,10,897,4,26,6,0,0,27,403,136.1,335.6,128.2,345.7,132.1,382.7,318.6,133.1,423,186.2,448,123.2,403,136.1,345.7,131.1,435.5,154.7,379.5,139.8
3114700014P,NE,Richardson County,00014P,978,21,863,5,20,15,0,0,54,758,9,692,5,9,11,0,0,32,293,108,260,115,266,113,301,239,118,345,128,337,89,293,108,266.5,115.3,341,108.5,291.6,111.8
3114700015P,NE,Richardson County,00015P,961,16,828,3,44,8,0,3,59,736,10,641,3,36,8,0,3,35,299,92,268,81,273,86,304,267,80,367,119,360,80,299,92,278,82.3,363.5,99.5,305.4,89.7
3114700018P,NE,Richardson County,00018P,924,29,805,0,29,1,0,3,57,721,23,644,0,15,1,0,3,35,197.6,105.4,136.9,101,151.3,95.7,192.9,129.9,103.7,230.6,118.9,223.1,87.8,197.6,105.4,152.8,100.1,226.8,103.4,180.3,102.1
