GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_blu,uss_16_dem_kan,gov_16_rep_gre,gov_16_dem_kos,atg_16_rep_haw,atg_16_dem_hen,sos_16_rep_ash,sos_16_dem_smi,uss_18_rep_haw,uss_18_dem_mcc,pre_20_rep_tru,pre_20_dem_bid,gov_20_rep_par,gov_20_dem_gal,atg_20_rep_sch,atg_20_dem_fin,sos_20_rep_ash,sos_20_dem_fal,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
29001000002,MO,Adair County,000002,2132,18,2038,2,3,12,2,0,57,1577,13,1514,2,3,11,2,0,32,738,167,639,273,635,284,727,202,705,190,577,194,818,158,836,139,825,134,873,87,688.8,223.2,577,194,838,129.5,737.3,182.8
29001000003,MO,Adair County,000003,2768,103,2159,306,8,42,3,2,145,2282,89,1811,226,6,38,3,1,108,463,451,442,517,458,495,486,482,484,440,351,443,467,464,469,468,481,417,531,373,466.6,477,351,443,487,430.5,463.2,455
29001000004,MO,Adair County,000004,1966,57,1575,211,1,35,1,3,83,1468,30,1226,133,0,26,0,2,51,503,299,476,357,493,353,530,302,515,295,427,316,514,323,553,303,542,286,584,250,503.4,321.2,427,316,548.2,290.5,513.7,308.4
29001000005,MO,Adair County,000005,2343,66,1927,174,1,66,0,4,105,1828,46,1547,108,1,49,0,3,74,643,371,620,440,645,430,716,353,680,349,588,416,656,444,700,417,688,383,749,342,660.8,388.6,588,416,698.2,396.5,668.5,394.5
29001000006,MO,Adair County,000006,2055,36,1953,2,3,13,0,6,42,1614,23,1548,2,3,13,0,2,23,875.3,221.2,754.9,311.6,770.7,323.9,848,254.8,804.8,248.7,705.9,228.9,1148.7,213.5,1170.5,187.9,1160.4,167.7,1210.3,127.5,810.7,272,705.9,228.9,1172.5,174.1,944.9,228.6
29001000007,MO,Adair County,000007,3597,46,3380,2,6,23,1,10,129,2741,31,2579,2,6,21,0,6,96,1246.8,407.4,1131.3,551,1159.4,531.7,1270.1,425.9,1227.4,423,1031.4,461.8,1173.4,381.3,1198.7,362.8,1196.7,321.1,1260.8,283.2,1207,467.8,1031.4,461.8,1207.4,337.1,1189.6,414.9
29001000008,MO,Adair County,000008,3493,101,2965,170,6,93,1,3,154,2766,77,2380,113,6,84,1,2,103,768.1,534.8,775,593.8,798,579.8,849.1,537.8,865,471.8,699,532.8,853,606.7,881,575.7,915.9,513.7,969.9,467.7,811.1,543.6,699,532.8,905,540.9,837.4,541.5
29001000009,MO,Adair County,000009,2336,83,1797,156,4,188,0,8,100,2040,60,1601,129,4,174,0,7,65,270,457,265,492,279,492,315,458,330,408,198,393,268,551,275,531,296,497,309,482,291.8,461.4,198,393,287,515.2,280.5,476.1
29001000010,MO,Adair County,000010,2494,76,2055,112,9,91,2,11,138,2024,57,1689,82,6,78,1,7,104,412,262,363,314,386,314,431,290,418,265,297,265,484,340,480,337,478,323,520,286,402,289,297,265,490.5,321.5,426.9,299.6
29001000011,MO,Adair County,000011,2130,75,1741,130,0,122,3,3,56,2120,73,1739,125,0,122,3,3,55,110.8,329.5,136.8,348.6,137.8,341.6,150.9,328.5,153.9,308.5,64.7,243.5,30.9,228.6,33.9,224.6,42.9,208.5,38,213.5,138,331.4,64.7,243.5,36.4,218.8,90,277.5
29003000002,MO,Andrew County,000002,45,2,42,0,0,0,0,0,1,28,1,27,0,0,0,0,0,0,4.5,1.6,3.8,2.2,4,2.1,4.1,2,4.2,1.7,3.2,1.8,4.6,1.8,4.5,1.8,4.6,1.5,4.8,1.3,4.1,1.9,3.2,1.8,4.6,1.6,4.2,1.8
29003000003,MO,Andrew County,000003,1848,64,1621,67,7,10,0,8,71,1413,41,1255,52,7,10,0,3,45,410.3,142.6,348.2,198.6,369.3,190.3,377.8,179.6,387.9,154.8,296,161.6,418.9,166.2,414.6,166.2,417.5,140.8,441,121.1,378.7,173.2,296,161.6,423,148.5,388.2,162.2
29003000004,MO,Andrew County,000004,389,24,321,6,3,5,0,0,30,286,10,245,4,3,2,0,0,22,157.6,41.6,150.7,69.4,136.8,81.3,169.5,49.6,170.5,37.7,125.9,54.5,189.3,43.6,192.3,35.7,191.3,35.7,196.2,32.7,157,55.9,125.9,54.5,192.3,36.9,168,48.2
29003000005,MO,Andrew County,000005,456,7,443,0,2,0,0,0,4,347,4,338,0,2,0,0,0,3,221.3,49,195.9,74.5,193.8,77.6,211.6,58.8,215.5,51.9,176.2,55,239,67.5,240,66.5,242,50.9,250.8,52.8,207.6,62.4,176.2,55,243,59.4,218.6,60.4
29003000006,MO,Andrew County,000006,1530,35,1410,10,2,11,0,0,62,1175,18,1100,9,0,9,0,0,39,1042.6,363.8,884.7,506.7,938.5,485.5,960.2,458.3,985.9,395,752,412.5,1065.3,424.6,1054.2,424.5,1061.4,359.7,1121.6,309.6,962.4,441.9,752,412.5,1075.6,379.6,986.7,414
29003000007,MO,Andrew County,000007,1944,37,1811,11,5,27,0,3,50,1446,21,1359,4,5,21,0,3,33,543.9,188,461.9,262.2,489.4,251.5,501,236.8,514.5,204.1,393.1,213.1,556.1,219.4,550.5,219.3,554.4,185.7,585.4,160,502.1,228.5,393.1,213.1,561.6,196.1,515,214
29003000008,MO,Andrew County,000008,1936,41,1802,12,5,3,0,2,71,1462,26,1367,10,5,2,0,2,50,633.8,233.6,511.9,366.1,542.8,356.5,579,320.3,617.3,261.3,460.3,257,643.4,227.2,637,227.2,642.8,186.2,671,153.2,576.9,307.6,460.3,257,648.5,198.5,593.9,258.9
29003000009,MO,Andrew County,000009,1337,27,1256,5,0,1,0,4,44,1008,13,958,4,0,0,0,4,29,374.9,123.8,312.5,194.9,329.7,189.5,342.8,170.5,353,145.7,262.1,150.8,408.9,149.7,400.5,154.1,393.9,132.5,430.1,108.1,342.6,164.9,262.1,150.8,408.3,136.1,360.8,151.9
29003000010,MO,Andrew County,000010,559,5,522,0,1,0,0,2,29,454,5,425,0,1,0,0,1,22,251.2,60.1,221,81.6,219.2,98.9,246.2,73.8,250.1,60.2,184.4,73.7,271.6,82.4,265.8,84.3,266.8,68.8,287.1,56.2,237.5,74.9,184.4,73.7,272.8,72.9,246.3,74
29003000011,MO,Andrew County,000011,1113,22,1046,2,0,4,0,4,35,843,9,805,2,0,4,0,0,23,438.8,100.6,339,184.5,358.2,194.4,387.4,159.2,393.5,123.8,328.3,140.9,552.2,127.9,546.1,128.9,546,101.7,568.5,89.4,383.3,152.5,328.3,140.9,553.2,112,445.8,135.1
29003000012,MO,Andrew County,000012,713,10,666,2,4,3,0,0,28,574,7,542,2,4,1,0,0,18,305.6,72.6,257.3,119.8,269.5,123.1,278.2,106.1,289.8,86.7,247.1,87.1,343.3,98.3,347.7,89.1,346.8,78,359.8,67.1,280.1,101.6,247.1,87.1,349.4,83.1,304.5,92.8
29003000013,MO,Andrew County,000013,1834,45,1664,11,6,2,0,15,91,1349,26,1253,5,6,1,0,8,50,647.3,213.7,539.5,336.6,569.1,327.1,591.8,294.4,609.5,251.5,452.6,260.3,705.9,258.4,691.4,266,680.1,228.8,742.5,186.6,591.5,284.6,452.6,260.3,705,234.9,623,262.3
29003000014,MO,Andrew County,000014,1794,28,1667,9,2,6,0,1,81,1337,22,1253,6,2,6,0,0,48,548.3,201.4,443,315.7,469.7,307.6,500.8,276.3,533.9,225.3,398.7,221.7,557.2,196.4,551.8,196.2,556.8,160.9,581.1,132.5,499.1,265.3,398.7,221.7,561.7,171.5,514.1,223.4
29003000015,MO,Andrew County,000015,289,2,275,0,0,6,0,0,6,216,2,206,0,0,2,0,0,6,93.7,25.9,82.8,36.4,77.3,46.1,94.1,30.1,89.1,30.9,85,25.8,118.1,30.6,119.6,31.5,117.4,26.2,122.3,24.4,87.4,33.9,85,25.8,119.4,28.2,99.9,30.8
29003000016,MO,Andrew County,000016,626,10,587,3,0,1,0,0,25,482,9,453,3,0,1,0,0,16,148.6,33.8,133,49.4,119.6,69.3,143.4,44.2,139.9,39.9,128.2,37.7,184.5,33.8,181.5,36.4,179.8,26.4,188.4,23,136.9,47.3,128.2,37.7,183.5,29.9,154.7,39.4
29003000017,MO,Andrew County,000017,592,15,558,0,2,5,0,1,11,431,6,409,0,2,5,0,0,9,121.7,28.2,102.1,50.6,99.4,53.2,111.4,41.4,119,30,81.4,33.1,138.1,33.7,138.6,33.7,137.7,29.2,141.4,26,110.7,40.7,81.4,33.1,138.9,30.7,119.1,35.9
29003000018,MO,Andrew County,000018,132,3,123,0,0,0,0,0,6,100,3,93,0,0,0,0,0,4,96.8,27.5,86.3,37.6,78.8,49.2,99,30.7,92.1,32.8,89.4,26.5,124.4,31.8,126,33.3,123.3,27.5,128.6,25.9,90.6,35.6,89.4,26.5,125.6,29.6,104.5,32.3
29003000019,MO,Andrew County,000019,362,5,337,0,1,3,0,3,13,270,2,257,0,1,0,0,0,10,323.7,72,272.8,130.4,263.5,138.9,297,106,316.4,76.4,217,84.7,371.2,88,373,88.1,369.9,76.6,379.6,68.9,294.7,104.7,217,84.7,373.4,80.4,318.4,93
29003000020,MO,Andrew County,000020,400,8,378,0,0,2,0,0,12,300,6,284,0,0,2,0,0,8,113.1,25,95.2,45.6,92.1,48.3,103.5,37.1,110.6,26.5,75.2,29.6,129.4,30.6,130,30.6,129,26.7,132.3,24,102.9,36.5,75.2,29.6,130.2,28,111,32.4
29003000021,MO,Andrew County,000021,236,1,227,0,0,0,0,1,7,182,1,175,0,0,0,0,1,5,168.4,38.3,150.8,56,135.5,78.6,162.5,50.1,158.6,45.2,145.3,42.7,209.2,38.3,205.8,41.2,203.8,30,213.6,26,155.2,53.6,145.3,42.7,208.1,33.9,175.4,44.6
29005000002,MO,Atchison County,000002,1066,14,995,4,4,2,0,1,46,852,10,800,2,2,2,0,0,36,405,122,361,164,330,203,381,156,386,135,352,126,449,128,461,109,450,103,482,72,372.6,156,352,126,460.5,103,405.7,131.8
29005000004,MO,Atchison County,000004,1989,21,1867,10,15,2,0,6,68,1536,13,1461,0,15,2,0,5,40,794,225,725,269,671,328,742,262,787,204,603,214,809,240,797,226,785,182,846,150,743.8,257.6,603,214,809.3,199.5,755.9,230
29005000005,MO,Atchison County,000005,1697,26,1608,7,3,3,0,4,46,1326,14,1270,3,1,3,0,0,35,640,142,576,212,576,224,589,206,625,153,492,151,713,145,691,152,680,126,712,109,601.2,187.4,492,151,699,133,629.4,162
29005000006,MO,Atchison County,000006,194,2,181,0,2,0,0,1,8,156,1,149,0,2,0,0,0,4,60,18,50,18,43,25,47,24,50,16,53,17,69,12,62,15,54,15,60,11,50,20.2,53,17,61.2,13.2,54.8,17.1
29005000007,MO,Atchison County,000007,359,10,332,1,1,0,0,2,13,298,5,282,1,1,0,0,2,7,161,34,149,41,126,62,152,36,150,31,119,34,159,39,160,31,150,31,159,20,147.6,40.8,119,34,157,30.2,148.5,35.9
29007000502,MO,Audrain County,000502,1534,19,1493,0,0,1,0,11,10,895,14,866,0,0,0,0,6,9,274.2,61.2,239.6,91.4,240.5,99.4,262.7,77.2,259.2,67.4,219.2,71.9,326.6,70.1,329.3,61.2,326.6,51.5,334.6,55.9,255.3,79.3,219.2,71.9,329.3,59.7,281.3,70.7
29007000506,MO,Audrain County,000506,1363,48,1253,6,4,1,0,4,47,1030,21,966,3,2,0,0,3,35,547.8,119.8,462.4,200.6,454.5,221.6,523.3,158.8,504.8,143.6,438.8,137.1,644.4,131.9,633.7,137.8,630.4,115.5,651.4,112.1,498.5,168.9,438.8,137.1,640,124.3,549.1,147.9
29007000508,MO,Audrain County,000508,2045,138,1795,30,5,2,0,3,72,1585,91,1428,21,4,2,0,2,37,836.8,244,717.4,365.4,683.8,411,794.6,327.5,827.3,258.9,719.4,266.8,894.9,213.2,913.6,205.3,901.6,180.1,924,162.4,772,321.4,719.4,266.8,908.5,190.2,821.3,263.5
29007000510,MO,Audrain County,000510,647,8,606,2,0,0,0,0,31,520,7,487,2,0,0,0,0,24,250,59.5,179.5,119,195.4,120,211.3,114.1,229.1,81.3,196.4,72.4,315.4,73.4,310.5,75.4,305.5,67.4,325.4,52.6,213.1,98.8,196.4,72.4,314.2,67.2,251.8,83.5
29007000512,MO,Audrain County,000512,408,2,379,8,0,0,0,0,19,314,2,289,8,0,0,0,0,15,162,64,95,114,127,102,147,82,145,73,117,64,182,50,175,54,175,43,174,44,135.2,87,117,64,176.5,47.8,149.9,69
29007000513,MO,Audrain County,000513,4310,92,3696,308,12,15,0,22,165,3541,64,3056,286,8,15,0,15,97,921,372,745,501,790,499,828,467,847,393,744,352,1109,422,1069,435,1085,375,1124,348,826.2,446.4,744,352,1096.8,395,926.2,416.4
29007000545,MO,Audrain County,000545,1132,24,1073,1,1,3,0,0,30,914,11,881,1,0,2,0,0,19,472.1,128.7,410.8,192.8,386.7,227.3,472.4,155.3,471.6,122.1,406.3,143.2,549,125.1,547.8,121.2,550.1,100.4,566.2,92.6,442.7,165.2,406.3,143.2,553.3,109.8,483.3,140.9
29007000616,MO,Audrain County,000616,1238,37,992,116,4,21,0,1,67,940,21,780,86,4,12,0,0,37,239.2,126.3,190.3,169,202.2,169.2,225.2,157.2,234,130.4,191.8,135.5,257.9,150.4,250.9,144.7,260.6,126.1,269.1,119.1,218.2,150.4,191.8,135.5,259.6,135.1,232.1,142.8
29007000623,MO,Audrain County,000623,2050,70,1771,87,6,9,0,3,104,1521,35,1368,54,6,7,0,2,49,539.9,239.8,447.4,341.4,454.5,349.4,535.4,292,554.2,234.5,413.2,259.6,550.7,238.9,556,230.9,557,205.7,584.8,193.1,506.3,291.4,413.2,259.6,562.1,217.2,519.3,258.5
29007000632,MO,Audrain County,000632,1958,73,1515,184,8,16,1,7,154,1444,42,1166,140,7,11,0,3,75,285.4,157,225.3,209,241.9,207.5,267.2,195.7,278.7,162.8,227.4,168.2,305.6,188.4,296.5,181.2,308.9,158.2,319.2,149.5,259.7,186.4,227.4,168.2,307.6,169.3,275.6,177.7
29007000633,MO,Audrain County,000633,2082,80,1503,303,3,17,0,3,173,1648,61,1215,244,3,17,0,1,107,489.9,264.6,389.3,353.6,415.6,351.6,462.3,327.9,481.4,272.2,389.6,283.1,521.1,311.7,507.9,299.7,527.3,262,545.7,247.1,447.7,314,389.6,283.1,525.5,280.1,473,297.4
29007000641,MO,Audrain County,000641,1794,42,1490,123,6,9,0,10,114,1321,27,1141,75,6,7,0,1,64,424,203,322,287,366,265,387,254,421,195,332,214,454,216,436,226,452,187,481,170,384,240.8,332,214,455.8,199.8,407.5,221.7
29007000642,MO,Audrain County,000642,2225,59,1875,128,10,8,1,13,131,1724,31,1495,97,10,8,0,6,77,554.7,290.8,475.6,368.4,497.9,357.2,566.8,305.9,573.7,262.7,471.1,287.5,569.3,288,573.2,274.6,600.1,234.4,626.9,206,533.7,317,471.1,287.5,592.4,250.7,550.9,287.5
29007000657,MO,Audrain County,000657,764,4,716,3,0,4,0,0,37,584,3,554,3,0,2,0,0,22,328,78.5,285.5,106,250.6,152,307.7,99.9,305.9,89.7,258.6,84.6,343.6,78.6,353.5,66.6,334.5,64.6,352.6,62.4,295.5,105.2,258.6,84.6,346.1,68,312.1,88.3
29007000658,MO,Audrain County,000658,634,16,583,1,0,1,0,1,32,486,10,449,1,0,1,0,0,25,256,50,211,89,206,104,244,70,245,55,198,55,267,31,254,38,269,19,271,23,232.4,73.6,198,55,265.2,27.8,242.1,53.4
29007000667,MO,Audrain County,000667,778,19,710,4,4,7,0,3,31,603,15,566,3,3,5,0,0,11,400.1,110.7,330,172.6,318.4,199.8,373,154.6,379.9,131.5,328.3,132.1,441.4,115.2,436,111.4,442.5,97.1,461.1,78.3,360.3,153.8,328.3,132.1,445.2,100.5,391.1,130.3
29009000002,MO,Barry County,000002,793,18,694,0,8,2,0,8,63,601,13,529,0,3,1,0,6,49,246,52.8,211,83.9,207.1,89.6,220.3,82.1,227.1,65.3,186,52.8,281.3,48.9,277.8,48.2,277,41.4,281.3,41.1,222.3,74.8,186,52.8,279.4,44.9,241.5,60.6
29009000003,MO,Barry County,000003,1088,160,813,3,8,40,1,3,60,835,102,651,3,8,25,1,3,42,239.5,51.5,205.6,79.7,192.7,102.5,229,73.8,231.9,60.3,189.2,56.8,276.4,69.7,278.2,59.7,271.7,56.2,277.6,49.8,219.7,73.6,189.2,56.8,276,58.9,239.2,66
29009000004,MO,Barry County,000004,613,37,516,0,2,26,0,0,32,482,16,427,0,1,17,0,0,21,272.2,56.4,246.8,81.8,252.8,82.3,272.2,65.6,275.5,56.9,218.7,60.1,297.6,56.5,297.6,57,298.7,44,303.6,44,263.9,68.6,218.7,60.1,299.4,50.4,273.6,60.5
29009000005,MO,Barry County,000005,2896,159,2469,12,36,15,7,4,194,2152,90,1888,9,28,12,4,0,121,824.2,177,716.1,285.5,737.6,277.3,789.5,234.5,813,191.7,621.5,202.6,745,152.7,742.6,148.5,740.6,122.7,754.1,117.3,776.1,233.2,621.5,202.6,745.6,135.3,748.4,191
29009000006,MO,Barry County,000006,3208,134,2822,12,23,26,6,1,184,2417,67,2173,11,16,15,2,0,133,1219.3,221,1053.9,371.1,1041.8,410.6,1139.4,316,1169.7,253.8,985.5,269.6,1056.8,176.3,1044.6,179.5,1053.6,133.6,1059.9,137.6,1124.8,314.5,985.5,269.6,1053.7,156.8,1082.4,246.9
29009000007,MO,Barry County,000007,803,28,736,0,4,0,1,0,34,645,21,601,0,4,0,0,0,19,341,53.4,283.2,112.1,291.4,108.1,315.8,90.1,320.9,73.6,265.8,69,428.2,62.6,427.8,59.8,424.1,53.3,420.5,59.8,310.5,87.4,265.8,69,425.1,58.9,351.9,74.2
29009000008,MO,Barry County,000008,2117,91,1758,17,22,88,0,8,133,1607,55,1366,14,13,58,0,7,94,730.8,115.8,627.8,184.2,602,214.9,663.4,180.2,666.4,146.6,556.5,108.9,766.4,131.7,759.5,121.8,742.6,103,758.5,95.1,658.1,168.3,556.5,108.9,756.8,112.9,687.4,140.2
29009000009,MO,Barry County,000009,1200,22,1073,4,18,4,0,1,78,1064,19,961,2,9,2,0,0,71,491.2,166.8,425.2,220.7,426.2,226.8,461.5,203.4,483.8,160.7,426.8,183.7,635.9,187.2,637.6,182.6,641.3,156.8,642.7,163.9,457.6,195.7,426.8,183.7,639.4,172.6,527.2,185.2
29009000010,MO,Barry County,000010,763,24,685,0,6,6,0,0,42,606,20,541,0,6,3,0,0,36,316.3,59.7,281,97.9,268.3,107.7,294.7,89.1,300.6,72.5,270.2,72.5,368.2,66.6,368.2,60.7,373.1,47,372.1,55.8,292.2,85.4,270.2,72.5,370.4,57.5,321.3,72.9
29009000011,MO,Barry County,000011,925,129,746,3,4,13,0,3,27,736,73,626,0,4,5,0,3,25,425.4,59.2,372.4,107,367.4,119,403.3,90.1,408.8,71.6,329.7,78.2,450.3,83.9,443.1,85.4,446.1,73.9,450.3,68.9,395.5,89.4,329.7,78.2,447.4,78,409.7,83.7
29009000012,MO,Barry County,000012,242,7,222,1,0,2,0,0,10,202,6,185,1,0,1,0,0,9,169.5,36.5,145.4,56.4,136.3,72.5,162,52.2,164.1,42.7,133.8,40.2,195.6,49.3,196.8,42.3,192.3,39.8,196.4,35.2,155.5,52,133.8,40.2,195.3,41.6,169.2,46.7
29009000013,MO,Barry County,000013,260,15,237,0,1,2,0,0,5,183,9,166,0,1,2,0,0,5,320,61.4,290.4,82.6,279,92.7,301.8,81.2,306.5,68.2,254.5,52.4,339.1,65.5,334.4,60.1,336.4,54,338.1,53.7,299.5,77.2,254.5,52.4,337,58.3,310,67.2
29009000014,MO,Barry County,000014,698,27,616,1,2,2,0,4,46,565,12,504,1,0,2,0,3,43,178.5,30,154,51.4,149.7,60.1,165.2,44.5,169.3,35.4,148.1,37.7,152.1,23,149.8,24,151.8,16.8,151.9,18.1,163.3,44.3,148.1,37.7,151.4,20.4,157,34.1
29009000015,MO,Barry County,000015,6816,1696,4373,13,50,354,40,8,282,4966,1029,3449,13,37,219,21,0,198,1554.8,584.5,1427.3,686.3,1426.5,714.4,1559.7,652.6,1611.9,533.6,1178.1,523.5,1696,699.1,1713.8,666,1765.1,565,1759.4,564,1516,634.3,1178.1,523.5,1733.6,623.5,1569.3,618.9
29009000016,MO,Barry County,000016,833,16,784,0,4,1,0,2,26,656,5,620,0,4,0,0,2,25,407.7,63.9,338.7,134,348.3,129.2,377.5,107.8,383.6,88,318,82.6,511.6,74.9,511.1,71.5,506.8,63.7,502.4,71.4,371.2,104.6,318,82.6,508,70.4,420.6,88.7
29009000017,MO,Barry County,000017,533,20,482,0,3,9,0,0,19,417,7,386,0,3,5,0,0,16,254.5,32.9,222.4,62,219.3,69.3,240.8,51.7,243.8,41,197.5,45.2,269.1,47.5,264.5,48.6,266,42.1,268.7,39,236.2,51.4,197.5,45.2,267.1,44.3,244.7,47.9
29009000018,MO,Barry County,000018,2432,504,1735,3,29,53,0,7,101,1744,299,1304,2,28,30,0,6,75,633,121.6,574.6,163.4,552,183.3,597.2,160.8,606.5,134.8,503.5,103.6,670.9,129.5,661.6,118.9,665.6,107,668.9,106.3,592.7,152.8,503.5,103.6,666.8,115.4,613.4,132.9
29009000019,MO,Barry County,000019,1327,37,1186,1,10,1,0,4,88,1158,26,1051,1,8,1,0,2,69,445.5,152.5,399,194,398,197,441.5,173.2,430.6,162.4,359.4,169.3,569.2,202.9,574.2,190.1,567.3,178.2,577.2,181.2,422.9,175.8,359.4,169.3,572,188.1,476.2,180.1
29009000020,MO,Barry County,000020,1852,58,1630,3,35,5,1,9,111,1431,30,1263,3,33,4,0,9,89,456,111,388,147,371,185,420,157,420,129,352,125,604,137,583,140,578,124,587,118,411,145.8,352,125,588,129.8,475.9,137.3
29009000021,MO,Barry County,000021,2149,46,1974,6,23,7,4,6,83,1918,38,1774,4,17,6,0,5,74,856.3,274.8,767.8,343.3,767.8,364.2,840.9,304.4,850.6,270.9,732.8,291,939.9,292.9,952.2,284.3,983.4,234,989.1,235.9,816.7,311.5,732.8,291,966.1,261.8,868.1,289.6
29009000022,MO,Barry County,000022,1143,29,998,17,9,25,1,6,58,870,13,768,15,7,16,0,5,46,443,95.2,380,151.1,372.9,161.4,396.7,147.9,408.9,117.7,335,95.2,506.7,88.1,500.2,86.8,499,74.6,506.7,73.9,400.3,134.6,335,95.2,503.1,80.9,434.9,109.2
29009000023,MO,Barry County,000023,1843,76,1509,6,19,127,9,7,90,1331,45,1118,3,14,74,9,4,64,603.2,132.2,548.2,168.8,535,193.1,576.6,173.8,584.6,133.4,456.5,102.1,664.6,102.3,637.5,105.2,639.4,97,648.5,89.9,569.5,160.3,456.5,102.1,647.5,98.6,589.4,129.8
29011000004,MO,Barton County,000004,1402,26,1234,1,20,1,0,1,119,1016,18,906,0,16,1,0,1,74,515,62,476,100,463,106,505,77,496,69,462,59,555,69,553,66,548,63,562,53,491,82.8,462,59,554.5,62.8,513.5,72.4
29011000008,MO,Barton County,000008,563,13,485,1,17,1,0,0,46,442,8,377,1,17,1,0,0,38,209,79,175,104,187,90,212,78,199,84,156,82,238,65,226,69,224,64,233,56,196.4,87,156,82,230.2,63.5,205.9,77.1
29011000010,MO,Barton County,000010,1374,11,1279,0,15,3,1,0,65,1032,8,970,0,8,1,1,0,44,628,93,561,146,579,140,611,109,624,82,484,96,713,108,690,107,665,90,685,76,600.6,114,484,96,688.2,95.2,624,104.7
29011000011,MO,Barton County,000011,1180,8,1088,0,16,4,1,0,63,895,6,816,0,15,4,1,0,53,583,58,564,87,546,108,587,71,581,64,529,75,671,79,665,73,659,68,665,63,572.2,77.6,529,75,665,70.8,605,74.6
29011000015,MO,Barton County,000015,1017,36,865,4,19,1,0,2,90,770,20,680,1,15,0,0,2,52,414,75,345,135,365,125,392,107,400,83,339,78,449,92,447,83,434,82,454,64,383.2,105,339,78,446,80.2,403.9,92.4
29011000016,MO,Barton County,000016,1885,33,1692,9,16,6,0,1,128,1453,19,1332,7,9,2,0,1,83,957.6,124.3,881.8,198.2,874,214.8,937,151.8,927.1,137.1,796.8,111.5,995.5,107.7,993.6,100.8,1003.4,82,1010.4,77,915.5,165.3,796.8,111.5,1000.7,91.9,937.7,130.5
2901116-018,MO,Barton County,16-018,2628,67,2373,6,25,6,0,5,146,1959,35,1810,5,19,4,0,5,81,1143.9,198.9,1017,312.4,1073.1,272.2,1126.6,232.6,1117.8,203.9,917.8,184.4,1073.8,218.9,1066.1,217.2,1057.8,174.1,1094.2,146.2,1095.7,244,917.8,184.4,1073,189.1,1068.8,216.1
2901116-021,MO,Barton County,16-021,1588,72,1351,6,17,15,0,6,121,1206,34,1061,6,13,11,0,6,75,508.5,104.8,459.2,148.5,465.9,146.9,504.4,116.5,491.2,115,379.4,97.1,472.7,104.5,473.3,100,472.9,87.8,490.4,74.7,485.8,126.3,379.4,97.1,477.3,91.8,471.8,109.6
29013002701,MO,Bates County,002701,694,17,621,3,1,3,0,5,44,493,16,443,1,1,1,0,5,26,244,53,193,100,190,111,224,88,232,56,183,58,303,59,293,67,292,56,305,50,216.6,81.6,183,58,298.2,58,245.9,69.8
29013002703,MO,Bates County,002703,2113,32,1977,10,6,6,1,4,77,1687,13,1602,7,5,1,1,4,54,800.4,242,640.7,410.6,675.4,396.7,718,374.9,772.6,275.7,640.7,304.5,926.3,262.8,905.5,271.7,890.6,230.1,909.5,228.1,721.4,340,640.7,304.5,908,248.2,788,299.7
29013002705,MO,Bates County,002705,1928,28,1829,5,11,1,0,3,51,1429,13,1363,3,10,0,0,3,37,763.5,180.8,583,344.3,591.1,373.2,657.2,318.2,701.4,216.9,527,223.9,885.9,207.8,848.8,231.8,844.8,199.7,877.8,174.7,659.3,286.7,527,223.9,864.3,203.5,728.1,247.1
29013002722,MO,Bates County,002722,772,13,716,1,6,2,1,0,33,611,7,573,0,5,1,1,0,24,328.5,93.8,259.6,162.7,267.6,173.7,297.5,147.8,327.5,103.8,263.6,97.8,390.4,92.8,391.4,91.8,364.4,89.9,379.4,83.9,296.1,136.4,263.6,97.8,381.4,89.6,327,113.8
29013002767,MO,Bates County,002767,600,9,549,1,5,2,0,0,34,478,7,446,0,2,1,0,0,22,267,83,186,151,206,149,244,117,245,102,207,91,297,68,288,71,280,71,292,63,229.6,120.4,207,91,289.2,68.2,251.2,96.6
29013002801,MO,Bates County,002801,571,10,535,2,3,2,0,1,18,450,7,428,2,3,1,0,0,9,175,54.4,137.6,88.8,144,93.4,157.3,79.8,164.5,62,136.9,65.4,183.4,44.2,177.3,46.5,178.4,42,183,36.7,155.7,75.7,136.9,65.4,180.5,42.3,163.7,61.3
29013002814,MO,Bates County,002814,2315,91,2031,69,18,13,1,0,92,1744,57,1538,66,17,6,1,0,59,759.4,225.6,566.3,389.2,616.1,386,658.6,355.7,704.8,256.9,554.6,266.9,781.9,226.3,753.2,236.7,740.7,211.9,764.4,180.1,661,322.7,554.6,266.9,760,213.7,690,273.5
29013002825,MO,Bates County,002825,484,6,457,4,5,0,0,2,10,373,1,356,1,5,0,0,2,8,185.4,42.5,142,92.7,149.7,83.1,169,68.6,165.2,56,160.3,54.1,216.3,53.1,207.7,58.9,206.7,53.1,217.3,38.6,162.3,68.6,160.3,54.1,212,50.9,182,60.1
29013002847,MO,Bates County,002847,352,4,338,0,1,1,0,1,7,287,0,278,0,1,1,0,1,6,223,29,186,64,177,81,204,49,208,37,182,37,248,38,256,31,254,30,253,32,199.6,52,182,37,252.8,32.8,219.1,42.8
