GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_blu,uss_16_dem_kan,gov_16_rep_gre,gov_16_dem_kos,atg_16_rep_haw,atg_16_dem_hen,sos_16_rep_ash,sos_16_dem_smi,uss_18_rep_haw,uss_18_dem_mcc,pre_20_rep_tru,pre_20_dem_bid,gov_20_rep_par,gov_20_dem_gal,atg_20_rep_sch,atg_20_dem_fin,sos_20_rep_ash,sos_20_dem_fal,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
29047000045,MO,Clay County,000045,2370,326,1564,218,12,68,3,5,174,1843,221,1312,151,12,49,3,3,92,359.8,474.8,272.8,563.4,338.7,520.2,375.6,502.4,365.1,463.3,293.7,478.3,426.6,695.3,420,676.2,434,624.8,452.7,604.3,342.4,504.8,293.7,478.3,433.3,650.1,373.9,560.3
29047000046,MO,Clay County,000046,2072,194,1531,182,7,34,9,6,109,1604,118,1261,99,5,24,8,6,83,497,439,394,536,452,490,542,444,505,414,382,477,570,593,557,589,573,509,590,509,478,464.6,382,477,572.5,550,506.2,500
29047000047,MO,Clay County,000047,6836,541,4660,952,20,184,27,33,419,4964,359,3636,554,19,138,19,16,223,1286.5,1079.7,1138.6,1277.8,1232.4,1225.4,1409,1070.2,1401.2,966.9,1149.9,1254.1,1387.4,1470.2,1392.3,1429.7,1433.9,1264.7,1470.6,1247.2,1293.5,1124,1149.9,1254.1,1421.1,1352.9,1330.2,1228.6
29047000048,MO,Clay County,000048,3842,509,2113,567,28,335,41,15,234,2954,330,1795,386,24,244,20,9,146,479,647,388,734,442,696,492,674,493,615,367,624,583,974,568,943,558,881,568,858,458.8,673.2,367,624,569.2,914,493.8,764.6
29047000049,MO,Clay County,000049,2445,285,1433,413,17,113,6,7,171,1812,167,1171,251,16,89,6,2,110,455,540.9,355,629.7,442.8,574,484.3,555.1,478.6,504.1,342.7,552.3,440.9,782.6,456,749.6,462.6,701.4,472,698.6,443.1,560.8,342.7,552.3,457.9,733,439,628.8
29047000050,MO,Clay County,000050,3440,323,2561,246,11,94,15,8,182,2667,216,2060,180,10,64,9,8,120,755.2,671.6,657.6,766.8,705.6,738.6,805.6,657.6,806.5,593.9,627,698.1,804.8,863.5,816.4,845.4,838.7,760.1,871,726.2,746.1,685.7,627,698.1,832.7,798.8,768.8,732.2
29047000051,MO,Clay County,000051,3122,328,1959,439,20,131,8,19,218,2304,212,1588,258,15,78,4,19,130,449,586.7,350.7,662.4,438,608.2,479.4,606.4,480.2,526.4,384,550.9,579.7,736.7,541,755.8,552.2,696.3,568.9,666.9,439.5,598,384,550.9,560.5,713.9,482.3,639.7
29047000052,MO,Clay County,000052,2330,243,1636,237,10,84,1,11,108,1899,155,1411,175,7,66,0,10,75,573.2,601.2,461.2,718.9,519.9,696.4,597.5,641.8,584.2,584.4,456.7,625.9,664.2,802.4,674,766.6,686.3,722,693.6,719.4,547.2,648.5,456.7,625.9,679.5,752.6,591.1,687.9
29047000053,MO,Clay County,000053,2522,282,1791,145,16,95,11,6,176,1976,189,1478,96,16,79,7,5,106,461.2,535.2,383.1,629.2,420.2,616.2,508.4,562.1,510.3,500,358,527.2,508.2,659.3,518.4,613.2,541.3,556.2,548.4,548.2,456.6,568.5,358,527.2,529.1,594.2,475.7,574.7
29047000054,MO,Clay County,000054,2616,276,1596,379,25,149,28,9,154,2018,191,1313,261,20,105,21,7,100,397,482,379,558,424,527,495,496,481,456,322,544,499,730,521,687,535,629,553,613,435.2,503.8,322,544,527,664.8,460.6,572.2
