GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_she,uss_16_dem_cru,gov_18_rep_ive,gov_18_dem_mad,atg_18_rep_mar,atg_18_dem_sie,sos_18_rep_mer,sos_18_dem_mil,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_tub,uss_20_dem_jon,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
01001000001,AL,Autauga County,000001,795,11,460,284,0,0,0,3,37,603,8,366,214,0,0,0,3,12,237.9,148.8,234.2,150.4,180.6,114.5,169.1,124.8,175.3,116.4,256.7,191.1,247.2,204.7,236.1,149.6,175,118.5,252,197.9,214.4,150.1
01001000002,AL,Autauga County,000002,4857,182,3657,652,23,93,2,5,243,3797,115,3007,433,15,65,2,5,155,1863,348,1895,384,1414,429,1346,487,1439,388,1857,535,1811,614,1879,366,1399.7,434.7,1834,574.5,1660.7,455
01001000003,AL,Autauga County,000003,1008,15,897,67,2,0,0,1,26,784,10,702,54,2,0,0,1,15,396,36,391,37,307,36,299,44,303,36,465,65,453,78,393.5,36.5,303,38.7,459,71.5,373.4,47.4
01001000004,AL,Autauga County,000004,10255,465,6397,2270,31,578,5,65,444,7434,303,4825,1550,23,416,5,43,269,2504.1,890.7,2576.5,935,1772.8,889.2,1739.3,907.4,1797.6,828.1,2455.5,1160.8,2401,1273.6,2540.3,912.9,1769.9,874.9,2428.2,1217.2,2178.1,983.6
01001000005,AL,Autauga County,000005,1192,26,876,242,7,4,0,3,34,913,14,683,190,4,4,0,3,15,377,145,383,144,303,121,283,143,298,128,464,174,454,186,380,144.5,294.7,130.7,459,180,366,148.7
01001000006,AL,Autauga County,000006,1988,71,1715,91,7,5,0,1,98,1509,49,1321,66,7,5,0,0,61,679,79,665,103,505,100,493,121,509,100,872,101,847,140,672,91,502.3,107,859.5,120.5,652.9,106.3
01001000007,AL,Autauga County,000007,4440,112,3772,366,18,13,0,5,154,3305,64,2844,274,18,13,0,4,88,1594.4,219,1557.5,272.3,1179,267,1135,309,1182,248,1907,337,1879,381,1576,245.7,1165.3,274.7,1893,359,1490.6,290.5
01001000008,AL,Autauga County,000008,860,21,461,341,3,0,0,6,28,641,13,351,254,3,0,0,0,20,222,211,225,204,176,176,154,196,167,178,245,222,237,231,223.5,207.5,165.7,183.3,241,226.5,203.7,202.6
01001000009,AL,Autauga County,000009,1705,43,1233,345,12,6,1,0,65,1282,34,944,246,11,6,1,0,40,563.6,164.5,551.9,186.9,432.2,159.6,400.1,191.8,425.4,162.6,690.2,202.5,681.4,217.1,557.8,175.7,419.2,171.3,685.8,209.8,535,183.6
01001000010,AL,Autauga County,000010,4766,166,3830,474,17,63,1,12,203,3734,104,3063,355,14,46,1,12,139,1910.5,300,1896.6,354,1500.7,343.8,1443.6,387.9,1499.7,308.8,1864.3,410.1,1840.3,476.2,1903.6,327,1481.3,346.8,1852.3,443.1,1708,368.7
01001000011,AL,Autauga County,000011,602,26,221,332,4,3,0,0,16,506,25,177,283,4,3,0,0,14,128.1,214.2,134.1,209.2,111.9,153.9,98.8,165,101.9,158.9,133.2,240.5,133.2,241.5,131.1,211.7,104.2,159.3,133.2,241,120.2,197.6
01001000012,AL,Autauga County,000012,1969,73,1206,579,5,1,0,4,101,1554,55,955,471,5,1,0,1,66,424,308,415,318,316,271,290,301,307,277,483,354,463,376,419.5,313,304.3,283,473,365,385.4,315
01001000013,AL,Autauga County,000013,2269,88,1679,352,7,12,1,17,113,1655,40,1252,260,7,8,1,11,76,540.2,130.8,544.1,135.2,591.3,192.2,557.3,219.4,592.3,181.6,836.9,252.4,818.5,290.3,542.2,133,580.3,197.7,827.7,271.4,640.1,200.3
01001000014,AL,Autauga County,000014,1571,32,668,804,6,5,0,3,53,1291,24,567,646,6,5,0,0,43,328.4,421.6,323.4,409.7,289.7,314.5,264.9,332.4,282.7,314.5,390.9,501,375,515.9,325.9,415.7,279.1,320.4,382.9,508.4,322.1,401.4
01001000015,AL,Autauga County,000015,2340,85,1633,470,4,19,3,13,113,1768,43,1286,334,4,14,2,8,77,717.8,247.5,730.1,275.4,468.1,170.9,440.6,192.7,469,156.7,732,293.4,717.8,320,723.9,261.5,459.2,173.4,724.9,306.7,610.8,236.7
01001000016,AL,Autauga County,000016,12213,531,8338,2733,27,52,4,32,496,9213,347,6508,1989,20,35,1,19,294,3543,1484.5,3557.1,1575,2835.2,1376.2,2729.5,1476.4,2865.4,1305.9,3836.4,1689.8,3760.6,1848,3550,1529.7,2810,1386.2,3798.5,1768.9,3303.9,1536.5
01001000017,AL,Autauga County,000017,3213,99,2220,714,7,14,5,14,140,2483,59,1779,537,7,11,4,3,83,1073,437,1093,453,778,444,740,474,770,433,1071,540,1017,607,1083,445,762.7,450.3,1044,573.5,934.6,484
01001000018,AL,Autauga County,000018,2762,71,2319,236,4,5,0,1,126,2051,32,1778,160,4,1,0,1,75,1081.5,157.5,1059,191.5,843.5,181.9,823,196.7,847.7,170.2,1291.2,241.1,1263.7,285.1,1070.3,174.5,838.1,182.9,1277.5,263.1,1030,203.4
01003000001,AL,Baldwin County,000001,357,2,256,59,18,0,0,0,22,313,2,227,50,18,0,0,0,16,122,36,117,38,111,35,102,42,107,33,146,48,139,53,119.5,37,106.7,36.7,142.5,50.5,120.6,40.7
01003000002,AL,Baldwin County,000002,251,5,98,137,5,0,0,0,6,214,4,86,116,4,0,0,0,4,46.4,113.6,45.6,113.3,35.9,96.1,34.6,97.5,34.7,97.1,53.7,132.9,50.3,132,46,113.5,35.1,96.9,52,132.4,43,111.8
01003000003,AL,Baldwin County,000003,558,2,259,269,3,1,1,3,20,456,1,228,215,3,0,1,3,5,150.8,184.4,153.5,180.7,138.1,139.9,126.2,151.7,131.7,142.6,173.5,229.8,165.3,228,152.1,182.5,132,144.7,169.4,228.9,148.4,179.6
01003000004,AL,Baldwin County,000004,1175,11,816,274,14,3,0,4,53,965,4,695,212,14,2,0,4,34,416.5,127.3,413.6,135.9,291,108.2,273.8,120.6,285.3,106.3,436.6,154.1,422.2,170.4,415,131.6,283.4,111.7,429.4,162.3,362.7,131.8
01003000005,AL,Baldwin County,000005,1632,35,389,1146,12,2,0,1,47,1316,30,357,893,8,2,0,1,25,24,417,37,404,38,309,30,315,28,313,51,523,42,521,30.5,410.5,32,312.3,46.5,522,35.7,400.3
01003000006,AL,Baldwin County,000006,2002,59,1517,244,7,46,0,9,120,1458,45,1113,194,7,26,0,3,70,574.9,172.8,580.9,178.2,502.1,228.5,504.6,221.8,514.9,203.9,844,301.8,807.4,345.5,577.9,175.5,507.2,218.1,825.7,323.7,618.4,236.1
01003000007,AL,Baldwin County,000007,11405,543,8849,1060,53,303,17,52,528,8256,348,6518,789,43,226,10,28,294,2861.8,804.6,2946.2,820.8,2111.7,951.9,2159.8,898.6,2185.5,854.6,3549.3,1142.5,3459.3,1299.1,2904,812.7,2152.3,901.7,3504.3,1220.8,2753.4,967.5
