GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_blu,uss_16_rep_car,uss_18_dem_mur,uss_18_rep_cor,gov_18_dem_lam,gov_18_rep_ste,atg_18_dem_ton,atg_18_rep_hat,sos_18_dem_mer,sos_18_rep_cha,pre_20_dem_bid,pre_20_rep_tru,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
0901515-014,CT,Windham County,15-014,3967,245,3364,60,16,54,0,11,217,3163,149,2788,41,11,40,0,5,129,576.2,889,886.6,579.5,620.9,603,450.5,724.3,467.3,759.5,552.9,658.5,738.7,1050.9,734.3,731.4,686.3,522.9,1050.9,738.7,752.1,613.3
0901515-015,CT,Windham County,15-015,2450,130,2101,29,16,40,1,6,127,1973,81,1727,23,15,35,1,4,87,444.5,677.6,668.7,456.2,493.9,457.2,365.8,558.1,359.1,592.1,460.8,478.7,562.1,776.6,566.9,556.6,521.5,419.9,776.6,562.1,570.9,479.3
0901515-016,CT,Windham County,15-016,1880,96,1599,35,9,27,0,18,96,1487,66,1319,15,7,12,0,13,55,276.1,501.8,475.4,327.8,308.1,351.9,222.9,412,214.6,440.3,276.7,365.7,387.9,569.1,414.8,375.8,392.5,255.6,569.1,387.9,424.1,308.8
0901515-017,CT,Windham County,15-017,5038,261,4344,80,19,38,0,15,281,3908,155,3467,51,16,31,0,8,180,719.7,1146.3,1080.5,773.5,789.5,782.5,607,921,586.1,999.8,727.6,814.4,968.9,1298.8,959.9,900.1,879.4,677.6,1298.8,968.9,962.3,782.8
0901515-018,CT,Windham County,15-018,1638,93,1382,24,6,33,1,2,97,1212,50,1037,21,6,21,1,2,74,175.4,322.8,285,231.2,176.4,241.1,122.6,269,135.5,279,161.4,248.1,215.2,412.5,277,230.2,259.3,149,412.5,215.2,286.2,181.6
0901515-019,CT,Windham County,15-019,4266,179,3786,50,5,101,0,23,122,3443,102,3097,50,5,82,0,15,92,1084,1014,1295,859,1108,835,918,963,920,1022,1036,888,1357,1113,936.5,1189.5,927,995.5,1113,1357,956.3,1102.6
0901515-020,CT,Windham County,15-020,6813,475,5683,114,32,93,4,25,387,5368,265,4670,79,26,57,4,14,253,1111,1134.6,1518.4,701.6,1159.2,788.2,907.3,963.4,916.2,1040.2,1063.8,857.1,1449.5,1375.7,918.1,1314.7,912.2,1011.6,1375.7,1449.5,980.1,1160.8
0901515-021,CT,Windham County,15-021,2411,73,2119,30,2,22,0,22,143,2018,49,1812,29,1,21,0,15,91,451,710.4,650.6,496.4,483.8,562.8,376.7,632.6,363.8,675.9,449.2,580.9,613.5,817.3,603.4,550.8,613,418.4,817.3,613.5,639.5,484.1
0901515-022,CT,Windham County,15-022,1576,60,1449,5,3,0,0,2,57,1274,34,1195,4,0,0,0,2,39,306.8,512.7,455.3,391.9,339.5,412.7,267.2,450.3,273.2,462.2,310.8,415.7,401.8,531.5,452.3,381.1,435.2,297.7,531.5,401.8,453.9,336.4
0901515-023,CT,Windham County,15-023,3578,120,3110,34,18,20,0,8,268,2841,74,2519,18,14,16,0,7,193,478,1102,793,787,512,735,378,864,375,893,456,785,639,1229,944.5,635.5,819.2,430.2,1229,639,913.6,518.7
0901515-024,CT,Windham County,15-024,1725,36,1579,5,4,20,0,8,73,1461,27,1364,5,4,15,0,6,40,380.4,491.2,517.6,369.9,435.5,385.8,318.1,471.3,329.1,490.2,401.2,403,493.1,612.8,430.6,449,437.6,371,612.8,493.1,460.6,410.7
0901515-025,CT,Windham County,15-025,4446,161,3958,52,14,27,0,22,212,3580,79,3273,34,13,19,0,16,146,717,1164.3,1061.3,781,770.1,778,575.8,935.2,582.9,963.3,715,810,898.3,1313.6,972.6,889.2,871.6,661,1313.6,898.3,963.6,760.1
0901515-026,CT,Windham County,15-026,1271,55,1130,6,4,16,0,4,56,1071,32,977,1,3,15,0,4,39,229,418,358,279,240,287,170,349,172,351,224,298,310,416,348.5,293.5,321.2,201.5,416,310,342.6,243.3
0901515-027,CT,Windham County,15-027,1747,47,1597,9,5,14,0,7,68,1438,31,1336,8,5,13,0,5,40,252.6,572.5,408.1,400.2,278.3,393.2,200.1,470.5,206,465.6,234.8,425.9,348.7,662.7,486.3,330.3,438.8,229.8,662.7,348.7,484.4,275.5
0901515-028,CT,Windham County,15-028,3509,1450,1772,64,11,35,1,25,151,2686,892,1589,44,10,30,1,18,102,705.1,416.8,831.2,275.2,622.9,295.2,511.4,371.8,518.3,389.9,569.7,326.9,569.6,326.6,346,768.2,345.9,555.6,326.6,569.6,343.2,618.3
0901515-029,CT,Windham County,15-029,8519,3350,3777,471,21,612,1,26,261,7092,2335,3521,424,21,585,1,16,189,1566,507.4,1609.7,290.1,1287.2,307.1,1167.2,399.7,1149.2,393.2,1206.9,321.3,1377.2,532.9,398.7,1587.9,355.3,1202.6,532.9,1377.2,393.1,1337.6
0901515-030,CT,Windham County,15-030,7165,4199,2342,231,3,120,2,41,227,5548,2952,2102,185,3,113,2,26,165,1674.2,507.8,1784.8,298.7,1375.1,321.9,1255,421,1221.1,429.8,1294.9,349,1776.6,778.4,403.3,1729.5,380.4,1286.5,778.4,1776.6,443.8,1483.1
0901515-031,CT,Windham County,15-031,3950,586,3100,67,14,21,0,12,150,3307,393,2709,65,8,20,0,9,103,1068.2,983.1,1307.7,694.8,1117.4,761.1,944.3,870.2,925.7,927.7,1068.3,770.5,1259.4,1037.7,838.9,1188,832.4,1013.9,1037.7,1259.4,863.6,1098.7
0901515-032,CT,Windham County,15-032,1282,614,545,64,1,11,0,3,44,1008,424,485,52,1,11,0,3,32,314.7,132.2,339.2,90.5,305.7,82.8,266.6,113.8,262.7,106.4,286.1,87.9,353.1,142,111.4,326.9,97.7,280.3,142,353.1,107.9,304
0901515-033,CT,Windham County,15-033,8221,219,7532,46,13,89,1,27,294,6412,130,5970,28,11,62,1,18,192,1945,2281,2401,1846,1878,1767,1488,2013,1544,2096,1698,1896,2548,2520,2063.5,2173,1943,1652,2520,2548,2059.9,1928.9
