GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_blu,uss_16_rep_car,uss_18_dem_mur,uss_18_rep_cor,gov_18_dem_lam,gov_18_rep_ste,atg_18_dem_ton,atg_18_rep_hat,sos_18_dem_mer,sos_18_rep_cha,pre_20_dem_bid,pre_20_rep_tru,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
0900101-035,CT,Fairfield County,01-035,10166,808,8198,155,6,422,0,107,470,7896,497,6600,113,5,320,0,80,281,2622,2967.6,2911,2706.4,2618,2357.8,2170.1,2756,2225.7,2718.3,2324,2597.1,3322.1,3092.7,2837,2766.5,2607.3,2334.4,3092.7,3322.1,2742.3,2599
0900101-036,CT,Fairfield County,01-036,2490,1611,350,146,9,70,0,130,174,1799,1154,265,113,5,53,0,73,136,221,75,215,52,217,66,203,84,192,74,183,71,235,120,63.5,218,73.8,198.8,120,235,77.4,209.4
0900101-037,CT,Fairfield County,01-037,970,552,212,37,1,33,0,41,94,694,369,171,33,1,24,0,33,63,149,87,172,58,80,34,76,39,75,41,77,39,122,59,72.5,160.5,38.2,77,59,122,51,107.3
0900101-038,CT,Fairfield County,01-038,8199,1643,4935,518,5,544,4,149,401,6555,1165,4163,394,5,447,4,103,274,1910,1824,2235,1610,1857,1429,1632,1649,1610,1600,1698,1529,2400,1911,1717,2072.5,1551.8,1699.2,1911,2400,1650.3,1906
0900101-039,CT,Fairfield County,01-039,3954,907,1786,553,8,412,0,95,193,3338,692,1600,508,5,318,0,70,145,520,433,575,343,458,282,395,349,399,321,415,311,619,445,388,547.5,315.8,416.8,445,619,354.9,483
0900101-040,CT,Fairfield County,01-040,4908,1600,2197,238,5,361,0,193,314,3819,1066,1911,197,5,291,0,129,220,942,690,1049,537,812,473,720,570,712,545,755,510,1091,736,613.5,995.5,524.5,749.8,736,1091,580.1,868.7
0900101-041,CT,Fairfield County,01-041,2982,562,1935,166,1,122,2,39,155,2378,362,1671,116,1,95,2,26,105,654,752,779,621,639,562,557,639,553,613,585,590,823,766,686.5,716.5,601,583.5,766,823,649,655.7
0900101-042,CT,Fairfield County,01-042,1021,143,728,48,0,34,0,12,56,854,103,625,35,0,31,0,12,48,215,271,267,200,223,11,179,232,197,211,201,206,279,281,235.5,241,165,200,281,279,201.7,223
0900101-043,CT,Fairfield County,01-043,11061,2481,6090,725,9,734,0,309,713,8835,1701,5304,537,8,581,0,221,483,2300,2116,2569,1792,2134,1503,1854,1804,1900,1701,1963,1635,2727,2183,1954,2434.5,1660.8,1962.8,2183,2727,1819.1,2206.7
0900101-044,CT,Fairfield County,01-044,4420,1367,1707,319,3,503,0,167,354,3450,938,1472,243,2,400,0,128,267,935,567,991,480,345,157,305,194,301,185,307,180,1043,609,523.5,963,179,314.5,609,1043,338.9,603.9
0900101-045,CT,Fairfield County,01-045,8130,3338,2559,547,9,426,0,487,764,6244,2346,2193,431,8,316,0,377,573,1375.2,730.9,1858.8,565.7,490.5,203.2,448.2,250.7,440.3,228.3,456.6,219.9,1531.2,853.8,648.3,1617,225.5,458.9,853.8,1531.2,436.1,943
0900101-046,CT,Fairfield County,01-046,2160,377,1517,65,0,61,0,38,102,1807,268,1330,48,0,56,0,33,72,639.4,489.4,569.2,450.8,630.2,362.6,556.3,445.5,562.6,422.3,583.3,399.5,771.5,461.9,470.1,604.3,407.5,583.1,461.9,771.5,433.1,616.1
0900101-047,CT,Fairfield County,01-047,2093,1138,461,108,1,76,2,110,197,1605,830,411,84,1,66,2,74,137,258,96,235,89,189,44,174,60,169,57,173,60,219,101,92.5,246.5,55.2,176.2,101,219,72.4,202.4
0900101-048,CT,Fairfield County,01-048,7278,3299,2113,413,5,324,1,371,752,5752,2447,1856,346,5,267,1,274,556,1090.8,485.1,1052.2,108.3,868.5,343.8,798.8,418.3,768.7,411.7,806.4,388.1,1074.8,613.2,296.7,1071.5,390.5,810.6,613.2,1074.8,395.5,922.9
0900101-049,CT,Fairfield County,01-049,4350,905,2533,187,5,350,2,114,254,3535,610,2219,150,4,290,2,81,179,1019.8,811.8,1082.3,738.4,882.2,629.4,779.5,726.5,791,698,809.7,677.6,1278.6,943.2,775.1,1051,682.9,815.6,943.2,1278.6,746.4,949
0900101-050,CT,Fairfield County,01-050,7752,3957,1873,569,7,413,2,369,562,5874,2794,1585,459,7,350,2,266,411,1146,399.8,1103.9,341.8,830.3,245.3,784.4,299.1,744.2,289.4,772.9,281.7,1193.1,449.1,370.8,1125,278.8,783,449.1,1193.1,329.4,939.3
0900101-051,CT,Fairfield County,01-051,3266,352,2181,342,1,288,0,26,76,2826,255,2006,254,0,228,0,21,62,554.7,409.2,567.7,382.9,582.6,326.6,530.9,380.3,536.7,362.6,544.8,360.4,943.3,615.5,396,561.2,357.5,548.7,615.5,943.3,405.3,608.7
0900101-052,CT,Fairfield County,01-052,1224,633,372,31,0,48,0,41,99,930,427,334,24,0,39,0,27,79,216,124,214,103,161,91,135,115,142,96,155,95,205,160,113.5,215,99.2,148.2,160,205,112,175.4
0900101-053,CT,Fairfield County,01-053,2001,1298,331,70,0,78,1,108,115,1427,888,265,54,0,66,1,79,74,190.2,85.4,176.7,66.8,194.4,64.2,175,85.4,176.7,78.6,184.3,72.7,283.2,133.6,76.1,183.5,75.2,182.6,133.6,283.2,83.8,197.2
0900101-054,CT,Fairfield County,01-054,8259,2527,4083,548,1,462,11,181,446,6526,1753,3499,426,1,390,11,121,325,1734.2,1169,850.7,988.1,1584.5,878.4,1412.3,1054.6,1415.3,1018.7,1467,979,2007.5,1331.6,1078.6,1292.4,982.7,1469.8,1331.6,2007.5,1059.9,1495.9
0900101-055,CT,Fairfield County,01-055,3774,193,3288,16,2,166,4,14,91,2544,116,2235,16,2,121,4,7,43,942.9,859.6,681.4,1276,731.4,1019.2,492.4,1266.9,572.7,1148.6,539.3,1185.4,1479.3,956.1,1067.8,812.2,1155,583.9,956.1,1479.3,1101.7,777
0900101-056,CT,Fairfield County,01-056,3406,218,2869,12,3,155,0,10,139,2390,140,2059,12,3,115,0,4,57,923.3,725.6,726.6,990.5,708.1,796.7,508.4,997.3,583.4,878.5,557.1,906.8,1131.8,748,858.1,825,894.8,589.2,748,1131.8,863.4,734.1
0900101-057,CT,Fairfield County,01-057,3584,211,3043,15,0,204,0,12,99,2378,141,2038,9,0,130,0,9,51,966.3,720.6,826.7,937.8,816.9,750.1,640,926,725.5,806.1,688.1,857.2,1262.2,775.6,829.2,896.5,834.8,717.6,775.6,1262.2,824.8,846.5
0900101-058,CT,Fairfield County,01-058,3451,168,2910,8,8,208,0,12,137,2284,106,1942,6,6,151,0,9,64,1017.2,744.5,861.5,982.4,821.2,786.8,608.5,1004.5,688.9,895.3,649.4,918.9,1306,760.9,863.5,939.3,901.4,692,760.9,1306,870.5,850.4
0900101-059,CT,Fairfield County,01-059,4080,266,3199,76,3,320,0,25,191,2761,170,2239,55,2,205,0,13,77,1164.3,803.6,1020.1,949.8,903.6,715.6,703,924.4,761.6,806.9,729.4,853.8,1431.8,874.1,876.7,1092.2,825.2,774.4,874.1,1431.8,846.9,959.1
0900101-060,CT,Fairfield County,01-060,3204,178,2707,21,1,144,0,15,138,2311,124,1993,14,0,99,0,8,73,903.7,752.8,789.5,931.3,752,767.2,580.6,954.7,657.7,843.6,620.3,867.9,1233.9,786.8,842,846.6,858.3,652.6,786.8,1233.9,843.4,791.1
0900101-061,CT,Fairfield County,01-061,7605,444,6408,106,6,328,1,34,278,5790,289,4989,80,2,251,1,31,147,2199.4,2127.5,2307.2,2087.6,2121.5,1792,1754.1,2177.4,1822,2009.7,1887.9,2002.7,2772.4,2174.4,2107.5,2253.3,1995.5,1896.4,2174.4,2772.4,2053,2123.5
0900101-062,CT,Fairfield County,01-062,6198,268,5359,81,0,241,0,23,226,4608,168,4077,51,0,192,0,20,100,1938.2,1447.9,1761.3,1776.9,1713.1,1463.8,1327,1841,1443,1717.9,1444,1694.8,2553.5,1510.9,1612.4,1849.7,1679.4,1481.8,1510.9,2553.5,1636.2,1740
0900101-063,CT,Fairfield County,01-063,6696,446,5597,108,4,274,0,28,239,5501,373,4663,104,0,202,0,13,146,1601.8,1210.3,1700.3,1151.6,1513.2,1014.1,1264.3,1266,1319.1,1175.3,1343,1140.6,2025.8,1246.1,1181,1651,1149,1359.9,1246.1,2025.8,1172,1538.2
0900101-064,CT,Fairfield County,01-064,6362,336,5352,61,2,362,1,35,213,4844,211,4209,42,0,263,0,25,94,1967.7,1532.3,2167.3,1379.9,1956.1,1249.1,1643.6,1539.6,1642,1516.1,1688.1,1453.9,2496.2,1451.5,1456.1,2067.5,1439.7,1732.5,1451.5,2496.2,1446.1,1937.3
0900101-065,CT,Fairfield County,01-065,5797,415,4764,92,3,263,1,46,213,4365,299,3644,75,3,192,1,35,116,2133.2,1078.8,2217.3,1079.7,2056.2,940.6,1787,1177.8,1864.1,1087.7,1885.1,1049.7,2653.6,1097.8,1079.2,2175.3,1064,1898.1,1097.8,2653.6,1073.2,2085.2
0900101-066,CT,Fairfield County,01-066,6050,789,4214,225,3,432,2,106,279,4624,543,3344,166,1,319,1,84,166,1645.8,1066.2,1792.7,930.3,1588.8,867.4,1401,1035.2,1420.9,1000.3,1468.9,947.3,2140.4,1130.2,998.3,1719.2,962.5,1469.9,1130.2,2140.4,996.7,1636.9
0900101-067,CT,Fairfield County,01-067,6083,1133,3731,340,0,502,0,85,292,4772,772,3140,255,0,367,0,59,179,1475,924.6,1617.8,729.6,1353.9,711.9,1188.5,885.2,1213.1,826.1,1241.7,785.8,1890.6,1063.4,827.1,1546.4,802.3,1249.3,1063.4,1890.6,846.7,1425.8
0900101-068,CT,Fairfield County,01-068,6293,607,5237,66,0,192,0,12,179,5356,512,4530,47,0,150,0,10,107,1437,940,1404,925,1221,677,1053,846,1066,813,1110,769,1501,747,932.5,1420.5,776.2,1112.5,747,1501,816.7,1256
0900101-069,CT,Fairfield County,01-069,5859,266,5164,31,4,183,1,38,172,4293,173,3858,28,4,125,1,24,80,1850.7,1356.1,1861.2,1392,1790.9,1183.1,1477.5,1484.4,1531.3,1392.6,1560.1,1345.8,2495.7,1298.2,1374,1856,1351.5,1589.9,1298.2,2495.7,1350.3,1795.3
0900101-070,CT,Fairfield County,01-070,6183,255,5446,55,1,179,0,27,220,4703,162,4225,48,1,145,0,16,106,2019.2,1243.2,2022.4,1304.3,1889.1,1060.6,1542.3,1405.1,1613.7,1282.5,1616.2,1263.9,2521.9,1229.4,1273.7,2020.8,1253,1665.3,1229.4,2521.9,1255.6,1889.3
0900101-071,CT,Fairfield County,01-071,5991,291,5171,51,6,278,0,18,176,4637,193,4085,44,5,199,0,10,101,1953,1301.7,1882.4,1455.7,1797.1,1221.3,1431.2,1571.5,1545,1445.9,1554.8,1426.3,2557.3,1264.4,1378.7,1917.7,1416.2,1582,1264.4,2557.3,1383.8,1817.3
0900101-072,CT,Fairfield County,01-072,4650,886,2828,241,3,419,1,39,233,3814,632,2470,185,3,356,1,36,131,1340.2,710.4,1285.2,758.4,1152.2,615,1001.3,764.9,1022.5,705.6,1026.3,701.8,2064.6,823.7,734.4,1312.7,696.8,1050.6,823.7,2064.6,725.7,1270.3
0900101-073,CT,Fairfield County,01-073,582,26,488,11,1,32,0,0,24,551,19,473,11,0,32,0,0,16,250,168,252,172,247,142,208,185,216,171,213,171,280,186,170,251,167.2,221,186,280,170.7,238
0900101-074,CT,Fairfield County,01-074,3692,269,2955,37,0,244,0,29,158,2816,188,2296,32,0,183,0,18,99,1033.9,794.7,1000.3,923.2,903.4,789.7,719.5,968.6,753.2,904.4,738.3,915.3,1300.7,815.4,858.9,1017.1,894.5,778.6,815.4,1300.7,873,921.3
0900101-075,CT,Fairfield County,01-075,3910,1094,1994,255,1,302,1,68,195,3126,801,1718,183,1,256,1,43,123,906,515,908.5,441.4,781.4,397.2,716.1,476.5,691.3,463,699.4,452,1013.7,566.9,478.2,907.2,447.2,722.1,566.9,1013.7,473.1,816.6
0900101-076,CT,Fairfield County,01-076,4610,1601,2240,114,4,284,1,122,244,3608,1135,1878,97,2,228,1,90,177,1012,587,1063,508,911,487,809,598,823,559,818,556,1261,710,547.5,1037.5,550,840.2,710,1261,572.1,956.7
0900101-077,CT,Fairfield County,01-077,1165,106,885,10,0,103,0,17,44,926,75,721,8,0,79,0,13,30,339,322,392,260,275,208,210,242,210,240,212,232,369,289,291,365.5,230.5,226.8,289,369,256.1,286.7
0900101-078,CT,Fairfield County,01-078,2591,221,2119,5,4,98,0,14,130,1721,143,1440,4,4,72,0,8,50,798,441,672,642,656,548,496,697,511,658,495,662,995,495,541.5,735,641.2,539.5,495,995,591.9,660.4
0900101-079,CT,Fairfield County,01-079,2458,260,1901,12,0,186,0,3,96,1625,152,1292,12,0,121,0,1,47,699,394,658,509,648,415,509,564,549,497,534,503,922,390,451.5,678.5,494.8,560,390,922,467.4,645.6
0900101-080,CT,Fairfield County,01-080,4650,259,3834,2,0,288,0,42,225,3207,157,2714,1,0,208,0,30,97,1462,645,1329,920,1377,744,1118,958,1184,867,1159,878,1848,782,782.5,1395.5,861.8,1209.5,782,1848,827.7,1353.9
0900101-081,CT,Fairfield County,01-081,827,100,544,24,0,67,0,18,74,603,68,416,20,0,45,0,11,43,243,133,243,155,228,126,191,163,205,140,196,150,307,143,144,243,144.8,205,143,307,144.3,230.4
0900101-082,CT,Fairfield County,01-082,1693,117,1385,12,0,83,3,18,75,1285,66,1087,8,0,67,3,15,39,561,410,476,528,415,398,321,489,339,455,319,473,613,442,469,518.5,453.8,348.5,442,613,456.4,434.9
0900101-083,CT,Fairfield County,01-083,3163,204,2582,35,2,205,0,14,121,2428,160,2014,32,2,160,0,10,50,990,618,905,802,848,661,685,812,719,754,700,763,1238,706,710,947.5,747.5,738,706,1238,730.9,869.3
0900101-084,CT,Fairfield County,01-084,6837,724,5080,64,5,544,0,51,369,5050,465,3904,47,4,423,0,38,169,1915,1478,1927,1516,1719,1357,1435,1638,1479,1529,1445,1541,2380,1564,1497,1921,1516.2,1519.5,1564,2380,1517.6,1757.1
0900101-085,CT,Fairfield County,01-085,5722,757,4172,99,3,366,2,66,257,4474,529,3380,80,3,278,0,41,163,1457,1261,1518,1146,1330,1004,1187,1150,1170,1111,1179,1098,1808,1312,1203.5,1487.5,1090.8,1216.5,1312,1808,1154.6,1378.4
0900101-086,CT,Fairfield County,01-086,5034,327,4184,61,1,270,2,18,171,3972,211,3375,55,1,214,2,17,97,1370,1208,1253,1435,1129,1176,931,1382,967,1298,945,1306,1717,1346,1321.5,1311.5,1290.5,993,1346,1717,1307.3,1187.4
0900101-087,CT,Fairfield County,01-087,3847,397,3006,22,6,223,0,31,162,2827,311,2208,20,6,180,0,21,81,1141,795,951,1129,900,950,684,1174,752,1078,726,1076,1419,859,962,1046,1069.5,765.5,859,1419,1008.7,939
0900101-088,CT,Fairfield County,01-088,2168,158,1693,26,0,172,3,20,96,1621,119,1275,22,0,132,3,12,58,537.4,488.4,495.3,574.6,421.9,507,328.9,599,346.5,574.6,340.6,581.4,684.2,494.3,531.5,516.3,565.5,359.5,494.3,684.2,545.6,450.7
0900101-089,CT,Fairfield County,01-089,5919,629,3987,127,3,840,2,36,295,4285,423,3076,89,0,542,2,36,117,1564,1236,1594,1217,1496,1147,1265,1384,1315,1280,1279,1312,2008,1334,1226.5,1579,1280.8,1338.8,1334,2008,1272.9,1503
0900101-090,CT,Fairfield County,01-090,6368,542,5197,145,10,245,0,28,201,4950,357,4177,108,10,181,0,22,95,1621.9,1884,1915.5,1625.5,1532.9,1500.4,1254.5,1772.8,1314.6,1715.7,1383.7,1612.6,2049.7,1949,1754.8,1768.7,1650.4,1371.4,1949,2049.7,1722.9,1581.8
0900101-091,CT,Fairfield County,01-091,2941,216,2411,69,3,117,0,6,119,2232,141,1877,49,3,79,0,5,78,750.6,857.8,922.9,703.9,695.1,658.3,563.3,789.3,579.2,765.9,618.5,703.2,948.2,895.7,780.8,836.7,729.2,614,895.7,948.2,767.7,725.4
0900101-092,CT,Fairfield County,01-092,3314,212,2800,46,7,111,0,14,124,2544,137,2208,31,7,79,0,8,74,763.4,1111.2,1004.1,836.1,737.9,857.7,577.7,1027.7,627.8,951.1,648.5,911.8,968.8,1106.3,973.7,883.8,937.1,648,1106.3,968.8,971.7,761.2
0900101-093,CT,Fairfield County,01-093,6202,500,5140,140,0,187,0,41,194,4823,340,4112,105,0,138,0,26,102,1387.6,2072.8,1742.6,1696.9,1369.6,1638.6,1093.3,1927.7,1128.4,1853.7,1191.4,1761.7,1876,2041.8,1884.9,1565.1,1795.4,1195.7,2041.8,1876,1856.2,1398.4
0900101-094,CT,Fairfield County,01-094,10716,465,9188,55,3,544,4,39,418,7682,278,6756,44,3,382,4,28,187,3040,2523,2568,3290,2505,2738,1868,3365,2143,3058,2049,3109,3857,2616,2906.5,2804,3067.5,2141.2,2616,3857,2957,2575.7
0900101-095,CT,Fairfield County,01-095,6622,477,5308,159,1,393,0,25,259,4650,303,3878,95,1,263,0,12,98,1778,1299,1518,1677,1558,1321,1204,1659,1350,1506,1285,1541,2281,1416,1488,1648,1506.8,1349.2,1416,2281,1488.4,1567.7
0900101-096,CT,Fairfield County,01-096,3284,179,2673,30,2,222,0,24,154,2242,104,1884,21,2,164,0,9,58,949,719,802,937,802,790,590,1007,695,893,643,929,1160,823,828,875.5,904.8,682.5,823,1160,871.1,805.9
0900101-097,CT,Fairfield County,01-097,11319,935,9583,129,9,197,2,79,385,8934,595,7797,91,7,179,2,57,206,2566.8,3589.9,2973,3107.3,2542.9,2706.1,2188.7,3029.4,2245.3,2960.7,2437.6,2642.1,3442,3635.8,3348.6,2769.9,2834.6,2353.6,3635.8,3442,3095.9,2628.1
0900101-098,CT,Fairfield County,01-098,2260,266,1855,24,2,33,1,19,60,1795,170,1517,20,1,28,1,15,43,502,705,581,608,492,512,445,559,443,553,499,483,655,700,656.5,541.5,526.8,469.8,700,655,588.6,516.7
0900101-099,CT,Fairfield County,01-099,8261,505,7081,79,5,234,0,35,322,6407,322,5612,65,5,194,0,24,185,2419.9,2259.6,2612.9,2090.8,2442.9,1811.8,2008.9,2132.3,2065.4,2111,2192,1975.2,3078.5,2239.3,2175.2,2516.4,2007.6,2177.3,2239.3,3078.5,2088.6,2402.9
0900101-100,CT,Fairfield County,01-100,312,27,270,5,0,1,0,0,9,236,12,216,2,0,1,0,0,5,108,96,112,97,107,81,93,91,99,88,102,84,139,82,96.5,110,86,100.2,82,139,88.4,108.6
0900101-101,CT,Fairfield County,01-101,9908,675,8147,385,3,287,6,60,345,7909,491,6598,348,3,212,6,43,208,2567.9,2485.7,2936.2,2166.7,2576.4,1983.2,2080.4,2348.4,2224.5,2281.7,2296.2,2185.7,3314.7,2600.8,2326.2,2752.1,2199.7,2294.4,2600.8,3314.7,2293.2,2570.9
0900101-102,CT,Fairfield County,01-102,4611,287,4012,46,2,79,3,26,156,3607,191,3214,27,2,64,2,16,91,1322,1224,1478,1114,1380,1053,1191,1220,1194,1199,1264,1119,1786,1305,1169,1400,1147.7,1257.2,1305,1786,1176.3,1373.6
0900101-103,CT,Fairfield County,01-103,3377,218,2851,54,2,100,1,15,136,2616,138,2269,44,2,86,1,10,66,835.5,912.2,956,806.6,828.5,718,677.2,837.5,715,806.6,741.9,778.8,1120.3,895.3,859.4,895.8,785.2,740.7,895.3,1120.3,822.1,839.2
0900101-104,CT,Fairfield County,01-104,704,45,589,23,0,33,0,0,14,520,30,451,12,0,26,0,0,1,201,187,215,177,186,151,138,182,158,174,165,162,274,191,182,208,167.2,161.8,191,274,174.9,191
0900101-105,CT,Fairfield County,01-105,10611,2978,5920,929,2,399,3,68,312,8615,2116,5191,713,2,323,3,45,222,3073.7,1539.5,3112.3,1361.1,2893.8,1259,2598.2,1536.5,2624.7,1466,2675.8,1394.8,3642.8,1605.1,1450.3,3093,1414.1,2698.1,1605.1,3642.8,1451.7,2945.9
0900101-106,CT,Fairfield County,01-106,7692,2773,2608,1265,9,703,2,70,262,6278,2017,2418,1011,9,574,2,50,197,1594,509.8,1571.6,425.6,1422.1,359.6,1326.3,450.5,1351.9,418.8,1359.8,404,2018.8,603.5,467.7,1582.8,408.2,1365,603.5,2018.8,453.1,1520.6
0900101-107,CT,Fairfield County,01-107,8841,2731,4304,1081,9,414,1,81,220,7036,1989,3673,854,8,335,1,40,136,2519.6,1156.4,2639.5,931.5,2292.7,869.5,2067.8,1070.4,2082.8,1019.4,2106.8,993.5,2852.4,1264.3,1043.9,2579.6,988.2,2137.6,1264.3,2852.4,1043.6,2366
0900101-108,CT,Fairfield County,01-108,7810,3492,2115,1372,24,542,0,51,214,5968,2497,1817,1059,15,411,0,36,133,1829.7,695.4,1899.5,514.8,1529.4,479.9,1409.7,613.5,1446.6,536.7,1436.6,532.7,2117,818.1,605.1,1864.6,540.7,1455.6,818.1,2117,598.7,1666.9
0900101-109,CT,Fairfield County,01-109,10989,5393,2416,2410,18,391,3,75,283,8579,3823,2241,1922,15,327,2,50,199,2675.3,457.4,2532.3,391.3,2097,320.2,2017,433.3,1998,388.2,2029,367.3,2859.4,597.4,424.3,2603.8,377.3,2035.2,597.4,2859.4,422.2,2315.4
0900101-110,CT,Fairfield County,01-110,5500,3143,905,1140,16,154,1,32,109,4000,2149,769,859,11,128,1,23,60,1041.7,285.6,1026.7,204.7,813,175.8,765,226.7,772,201.8,772,204.7,1140.6,348.6,245.2,1034.2,202.2,780.5,348.6,1140.6,235.4,904.4
0900101-111,CT,Fairfield County,01-111,6430,844,4722,466,3,141,1,31,222,4894,562,3669,392,1,115,0,19,136,2221.5,1011.9,2117.9,1187.1,2013.8,980.5,1705.1,1281.1,1773.8,1185.2,1767.5,1161.4,2835.2,1005.1,1099.5,2169.7,1152,1815,1005.1,2835.2,1116,2062.1
0900101-112,CT,Fairfield County,01-112,7454,1363,4768,536,4,444,1,76,262,6074,988,4103,427,3,369,0,42,142,2242,1481,2403,1292,2117,1213,1874,1458,1908,1379,1937,1341,2744,1506,1386.5,2322.5,1347.8,1959,1506,2744,1381.4,2175
0900101-113,CT,Fairfield County,01-113,7155,1346,4704,562,2,284,0,45,212,5921,1019,4057,450,2,240,0,23,130,2118.2,1485.7,2300,1262.9,2036.2,1192,1796.4,1414.8,1852.4,1351.8,1867.4,1317.8,2652.8,1591.6,1374.3,2209.1,1319.1,1888.1,1591.6,2652.8,1373.8,2089.1
0900101-114,CT,Fairfield County,01-114,7598,1564,4508,592,7,646,0,57,224,6303,1123,3982,479,7,542,0,39,131,1981.8,1316.3,2137,1068.1,1784.8,972,1615.6,1171.2,1617.6,1099.2,1636.6,1070.2,2596.2,1375.4,1192.2,2059.4,1078.2,1663.6,1375.4,2596.2,1153.2,1909.9
0900101-115,CT,Fairfield County,01-115,5578,1390,3215,455,2,365,1,21,129,4516,979,2749,370,1,311,1,13,92,1448,1026,1604,791,1367,771,1205,952,1224,901,1245,857,1829,1142,908.5,1526,870.2,1260.2,1142,1829,920,1417.4
0900101-116,CT,Fairfield County,01-116,5526,612,4129,266,6,289,1,45,178,4498,418,3494,224,3,225,1,31,102,1700.8,1380.4,1853.7,1193.3,1631,1150.1,1445,1341.9,1507.3,1261.5,1485.2,1265.4,2134.3,1475.8,1286.9,1777.2,1254.7,1517.1,1475.8,2134.3,1295.5,1679.6
0900101-117,CT,Fairfield County,01-117,5765,306,4979,51,10,150,1,48,220,4587,198,4068,40,10,113,1,31,126,2117,1356,2102,1482,1971,1187,1717,1423,1779,1349,1787,1317,2554,1317,1419,2109.5,1319,1813.5,1317,2554,1347.3,2003.9
0900101-118,CT,Fairfield County,01-118,3000,159,2601,24,1,93,1,11,110,2331,89,2098,15,1,78,1,3,46,1079.6,782.7,1047,877.7,1043.4,685.1,905.5,831.8,950.8,766.9,953.9,745.5,1367.6,785.8,830.2,1063.3,757.3,963.4,785.8,1367.6,782.2,1049.7
0900101-119,CT,Fairfield County,01-119,8848,517,7547,59,4,330,1,57,333,6471,329,5678,49,2,239,1,36,137,2862.2,1986.6,2700.3,2268.7,2740.5,1783.9,2237.6,2250.8,2426.8,2046.5,2424,2034.3,3718.5,1973.7,2127.6,2781.2,2028.9,2457.2,1973.7,3718.5,2049.2,2730
0900101-120,CT,Fairfield County,01-120,8177,448,6857,74,7,410,2,46,333,6041,267,5225,62,4,277,2,34,170,2574.5,1864.2,2507.3,2024,2413.6,1611.7,2067.2,1950.2,2154,1841.2,2184.2,1802.9,3232.8,1881.3,1944.1,2540.9,1801.5,2204.7,1881.3,3232.8,1853.6,2447.7
0900101-121,CT,Fairfield County,01-121,6929,487,5700,66,10,397,0,50,219,5377,296,4558,60,8,289,0,33,133,2088.4,1510.1,2066.1,1613.9,2108.3,1312.7,1776.4,1638.7,1886.8,1513,1910.7,1474.8,2800.7,1525.4,1562,2077.3,1484.8,1920.6,1525.4,2800.7,1512.6,2091.1
0900101-122,CT,Fairfield County,01-122,1079,54,852,15,1,124,0,3,30,770,40,620,10,1,85,0,2,12,326.2,278.8,315.7,320.1,303,246,257.9,282.1,266,273.7,267.2,270.7,456.2,272.9,299.4,320.9,268.1,273.5,272.9,456.2,277.8,313.2
