GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_lee,uss_16_dem_sno,gov_16_rep_her,gov_16_dem_wei,atg_16_rep_rey,atg_16_dem_har,uss_18_rep_rom,uss_18_dem_wil,pre_20_rep_tru,pre_20_dem_bid,gov_20_rep_cox,gov_20_dem_pet,atg_20_rep_rey,atg_20_dem_sko,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
49001BEA4UN,UT,Beaver County,BEA4UN,7,1,1,0,4,0,1,0,0,5,0,1,0,4,0,0,0,0,17.1,1.7,19.7,1.2,19.4,2.5,17,2.7,14.3,1.2,26.5,3.4,24.1,3.1,25.1,3.6,18.3,2,14.3,1.2,25.2,3.3,20.4,2.4
49001BEV1I-,UT,Beaver County,BEV1I-,1457,167,1236,0,10,14,0,1,29,951,81,833,0,10,8,0,1,18,465.2,45.5,525.6,47.7,520.8,52.4,502.9,47.7,399.1,45.7,677,58.5,616.2,39.9,624.3,55.5,503.6,48.3,399.1,45.7,639.2,51.3,541.4,49.1
49001BEV2I-,UT,Beaver County,BEV2I-,1732,328,1304,23,26,8,6,3,34,1291,245,970,23,26,8,3,3,13,344.1,38.7,401.1,49,406.2,51.6,373.8,49.1,319.1,47,479,58.1,444.9,47.1,440.6,64,381.3,47.1,319.1,47,454.8,56.4,401.1,50.6
49001BEV3I-,UT,Beaver County,BEV3I-,403,29,363,0,1,1,0,1,8,250,9,234,0,1,1,0,1,4,4.9,0.4,5.4,0.5,5.5,0.4,5.2,0.6,4.4,0.5,7.5,0.6,6.6,0.6,6.9,0.6,5.3,0.5,4.4,0.5,7,0.6,5.8,0.5
49001BEV3UE,UT,Beaver County,BEV3UE,16,3,10,0,0,0,0,0,3,3,1,2,0,0,0,0,0,0,59.5,4.9,66.5,6.7,67,4.9,64.1,6.9,54.1,6.7,91.6,7.5,81,7.1,84.1,6.9,64.3,5.8,54.1,6.7,85.5,7.2,71,6.4
49001BEV3UN,UT,Beaver County,BEV3UN,83,3,77,0,1,0,0,1,1,61,2,57,0,1,0,0,1,0,77.9,6.4,87.3,8.7,87.8,6.4,84,9.1,70.9,8.7,120.1,9.9,106.2,9.3,110.3,9.1,84.3,7.7,70.9,8.7,112.2,9.5,93.1,8.5
49001BEV3US,UT,Beaver County,BEV3US,17,3,11,0,1,0,1,0,1,13,3,9,0,1,0,0,0,0,30.7,2.6,34.5,3.5,34.7,2.7,33.1,3.6,28,3.5,46.8,4,41.5,3.7,43,3.8,33.2,3.1,28,3.5,43.8,3.8,36.5,3.4
49001BEV3UW,UT,Beaver County,BEV3UW,229,13,206,0,3,0,0,0,7,190,11,170,0,3,0,0,0,6,83.6,6.9,93.6,9.3,94.2,7,90.2,9.6,75.9,9.3,128.5,10.6,113.7,9.8,117.9,9.7,90.4,8.2,75.9,9.3,120,10,99.7,9
49001BEV4UE,UT,Beaver County,BEV4UE,22,6,13,0,0,2,0,0,1,18,6,10,0,0,2,0,0,0,8.9,0.9,10.2,0.6,10.1,1.3,8.8,1.4,7.4,0.6,13.8,1.8,12.6,1.6,13.1,1.9,9.5,1.1,7.4,0.6,13.1,1.7,10.6,1.3
49001BEV4US,UT,Beaver County,BEV4US,359,23,325,0,4,0,0,2,5,257,14,232,0,4,0,0,2,5,80.2,7.9,92,5.8,90.5,11.7,80,12.4,66.9,5.7,123.3,15.4,112.3,13.7,116.8,16.1,85.7,9.4,66.9,5.7,117.5,15.1,95.2,11.1
49001GRN1UN,UT,Beaver County,GRN1UN,72,1,71,0,0,0,0,0,0,51,1,50,0,0,0,0,0,0,26.5,3.5,26.8,4.5,25.1,4.9,25.8,4.2,19.5,3.1,31.4,3.1,28.6,3.1,28.2,4.2,26,4.3,19.5,3.1,29.4,3.5,26.5,3.8
49001GRN1US,UT,Beaver County,GRN1US,139,7,130,0,1,0,0,0,1,103,7,94,0,1,0,0,0,1,49.5,6.5,50.2,8.5,46.9,9.1,48.2,7.8,36.5,5.9,58.6,5.9,53.4,5.9,52.8,7.8,48.7,8,36.5,5.9,55,6.5,49.5,7.2
49001MIL1I-,UT,Beaver County,MIL1I-,291,49,231,0,2,2,0,0,7,206,36,165,0,0,2,0,0,3,39,17.6,35.2,21.3,31.5,24.1,30.6,23.2,35.2,21.3,55.6,21.3,49.2,18.6,49.2,17.6,34.1,21.6,35.2,21.3,51.3,19.2,40.7,20.6
