GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_18_rep_wic,uss_18_dem_bar,uss_r18_rep_hyd,uss_r18_dem_esp,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_hyd,uss_20_dem_esp,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
28003000203,MS,Alcorn County,000203,574,6,553,0,1,0,2,1,11,454,1,444,0,1,0,0,0,8,246.6,19.6,158.7,16.2,158.7,17.9,283.3,19.6,265.4,28.2,246.6,19.6,158.7,16.2,274.4,23.9,222.6,20.3
28003000204,MS,Alcorn County,000204,1229,65,741,353,4,10,0,3,53,946,40,628,239,4,8,0,0,27,363,120,267,81,241,96,362,110,326,138,363,120,267,81,344,124,311.8,109
28003000301,MS,Alcorn County,000301,2662,229,1193,1098,8,16,3,6,109,2014,106,1007,824,3,12,3,3,56,432.8,568.3,303.6,324.4,245.8,369.6,446.4,503.3,397.6,552.1,432.8,568.3,303.6,324.4,422,527.7,365.2,463.5
28003000302,MS,Alcorn County,000302,1403,16,1206,132,0,0,0,1,48,1078,9,937,106,0,0,0,0,26,582.1,128.9,381,76,352.1,116.4,648.5,131.8,577.3,184.7,582.1,128.9,381,76,612.9,158.3,508.2,127.6
28003000303,MS,Alcorn County,000303,1990,24,1726,165,3,4,0,0,68,1527,13,1333,134,3,1,0,0,43,724,145,513,109,438,144,814,160,748,200,724,145,513,109,781,180,647.4,151.6
28003000401,MS,Alcorn County,000401,3320,204,1983,979,8,19,0,4,123,2480,118,1570,710,3,16,0,2,61,465.2,303.7,301.4,160.6,247.2,188.4,512.7,300.7,443.5,347.9,465.2,303.7,301.4,160.6,478.1,324.3,394,260.3
28003000402,MS,Alcorn County,000402,2805,35,2663,35,5,2,0,8,57,2191,23,2092,32,5,1,0,8,30,1310,97,924,54,805,66,1487,94,1367,174,1310,97,924,54,1427,134,1178.6,97
28003000501,MS,Alcorn County,000501,1711,84,1333,214,5,9,5,4,57,1371,49,1127,147,2,9,3,4,30,404.2,103.5,290.1,76.4,250.4,86.1,456.4,126.7,400.3,173.1,404.2,103.5,290.1,76.4,428.4,149.9,360.3,113.1
28003000502,MS,Alcorn County,000502,1957,22,1878,15,1,2,0,5,34,1560,13,1499,14,0,1,0,5,28,832,80,532,40,474,57,987,66,889,133,832,80,532,40,938,99.5,742.8,75.2
28003000503,MS,Alcorn County,000503,195,7,153,16,2,0,0,0,17,137,3,118,9,2,0,0,0,5,82,1,54,6,53,3,84,2,73,11,82,1,54,6,78.5,6.5,69.2,4.6
