GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_rin,uss_18_rep_bra,gov_18_dem_mil,gov_18_rep_moo,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_gid,uss_20_rep_col,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
23005086025,ME,Cumberland County,086025,18434,362,16703,327,67,219,6,47,703,14738,261,13500,258,63,163,6,38,449,4345,4869,776,3131,3685,4182,5844,5292,4672,6138,4869,4345,3656.5,2230.5,5715,5258,4722.4,3864.4
23005087845,ME,Cumberland County,087845,8990,190,8147,95,17,167,3,40,331,6839,105,6369,55,12,123,3,19,153,3741.3,1508,629.7,1138.5,3450.1,1573.9,4841.4,1444.1,3994.7,2144.7,1508,3741.3,1356.2,2039.9,1794.4,4418,1561.8,3331.4
23005605411,ME,Cumberland County,605411,5435,175,4378,529,13,77,0,34,229,4760,134,4064,295,12,70,0,32,153,2909,382,777,245,2737,332,3038,361,2411,505,382,2909,288.5,1757,433,2724.5,365,2374.4
23005605412,ME,Cumberland County,605412,7146,408,4589,1551,19,248,6,38,287,6143,296,4291,1045,18,212,6,36,239,2261.9,463.3,892.8,255.5,2209.2,350,2710,427.4,2325.6,554.2,463.3,2261.9,302.7,1551,490.8,2517.8,410.1,2079.9
23005605413,ME,Cumberland County,605413,916,40,839,5,6,3,0,4,19,799,29,740,4,6,3,0,4,13,705,107,148,68,606,109,1763,133,1610,186,107,705,88.5,377,159.5,1686.5,120.6,966.4
23005605421,ME,Cumberland County,605421,7100,252,5665,713,15,151,3,31,270,6289,205,5241,460,10,143,0,22,208,3681.2,378.9,1078.3,216.2,3428.2,303.5,4344.8,349.2,3641.5,518.8,378.9,3681.2,259.9,2253.3,434,3993.2,353.3,3234.8
23005605422,ME,Cumberland County,605422,6487,459,4874,696,26,108,2,42,280,5752,324,4551,508,20,98,0,33,218,2720.1,372.9,1072.3,211.1,2663.8,283.5,3552.3,362.7,2927.9,467.6,372.9,2720.1,247.3,1868.1,415.1,3240.1,339.5,2587.3
23005605431,ME,Cumberland County,605431,7916,348,6298,509,19,346,1,31,364,6626,262,5462,353,12,284,1,25,227,3293.5,716,788.7,462.9,2983.8,616,3475.4,646.2,2799.1,905.8,716,3293.5,539.5,1886.2,776,3137.3,669.4,2668.1
23005605432,ME,Cumberland County,605432,5813,197,4948,163,4,237,1,18,245,4820,126,4205,109,3,205,1,18,153,2608.1,723.1,549.8,505.7,2450,637.9,2773.3,720.8,2246.4,947.8,723.1,2608.1,571.8,1499.9,834.3,2509.9,707.1,2125.5
23005605441,ME,Cumberland County,605441,8332,254,6695,731,16,277,2,36,321,6973,177,5914,436,12,223,1,12,198,3559.9,929.6,817.1,470.3,3102.8,639.4,3753.4,766.5,3107.9,1020.7,929.6,3559.9,554.9,1960,893.6,3430.7,765.3,2868.2
23005605442,ME,Cumberland County,605442,5484,160,4597,345,7,165,1,18,191,4784,123,4158,238,7,130,1,14,113,2058,795,424,457,1778,648,2835,756,2422,978,795,2058,552.5,1101,867,2628.5,726.8,1903.4
23005605451,ME,Cumberland County,605451,5277,134,3845,780,12,265,8,26,207,4172,102,3210,472,9,211,6,22,140,2030.1,612.3,490.4,405.8,1795,561.1,2624.4,694,2222.9,914.3,612.3,2030.1,483.5,1142.7,804.1,2423.7,637.5,1832.6
23005605452,ME,Cumberland County,605452,8502,212,6638,898,13,309,3,52,377,6761,149,5552,562,10,253,3,26,206,2685.9,1206.9,473.8,829,2408.3,1095.5,2992.6,1172.2,2455.8,1534.7,1206.9,2685.9,962.2,1441.1,1353.4,2724.2,1167.7,2203.3
23005719901,ME,Cumberland County,719901,5207,119,4696,114,9,45,2,51,171,4434,87,4061,89,5,38,1,36,117,2442.4,674.7,437.5,418.5,2153.4,580.7,2438.4,560.6,1906,801.9,674.7,2442.4,499.6,1295.4,681.3,2172.2,607.3,1875.5
23005719902,ME,Cumberland County,719902,5338,128,4795,80,8,115,3,15,194,4581,85,4197,63,8,96,2,13,117,2211.6,616.3,459.5,443.5,2196.6,618.3,2225.6,587.4,1796,816.1,616.3,2211.6,530.9,1328.1,701.7,2010.8,616.3,1777.9
23005719903,ME,Cumberland County,719903,5262,192,4519,133,10,150,3,26,229,4291,137,3788,81,10,122,2,24,127,1959.2,966.6,455.3,603.6,1789.3,784.3,2391.1,930.7,1996.3,1194,966.6,1959.2,694,1122.3,1062.3,2193.7,895.8,1718.3
23005719904,ME,Cumberland County,719904,5073,154,4315,149,16,233,3,24,179,4087,93,3562,87,16,178,3,19,129,1858.5,916.8,431.9,572.6,1697.4,744,2267.5,882.8,1893.1,1132.5,916.8,1858.5,658.3,1064.6,1007.6,2080.3,849.7,1629.7
23005719905,ME,Cumberland County,719905,5618,315,3654,1052,21,360,3,14,199,4453,213,3131,670,20,276,3,13,127,1532.2,783.6,393.8,460.8,1292.4,585.7,2881.4,829.6,2528.6,1011.5,783.6,1532.2,523.2,843.1,920.5,2705,734.2,1725.7
23005821051,ME,Cumberland County,821051,3731,87,3140,194,11,133,2,15,149,3175,69,2737,124,11,114,1,14,105,1013.1,712.4,233.8,462.6,895.2,615.5,1709.6,836.9,1389,1021.3,712.4,1013.1,539,564.5,929.1,1549.3,729.7,1048.1
23005821052,ME,Cumberland County,821052,4689,134,3942,233,14,173,1,21,171,3737,88,3255,137,10,141,0,11,95,1196.1,632.7,340.3,355.4,1165,496.6,1214.6,594.6,986.8,725.6,632.7,1196.1,426,752.6,660.1,1100.7,561,980.5
23005821053,ME,Cumberland County,821053,4263,126,3410,307,17,188,0,15,200,3479,86,2904,199,14,143,0,5,128,1033.9,704.6,206.2,453.4,860.8,584.6,1877.1,918.9,1525,1121.4,704.6,1033.9,519,533.5,1020.2,1701.1,756.6,1100.6
23005821054,ME,Cumberland County,821054,4129,146,2982,671,13,113,1,11,192,3177,97,2476,377,11,90,1,4,121,994.3,588.4,269.3,348,911.5,483.7,1097.7,537.3,891.8,655.7,588.4,994.3,415.9,590.4,596.5,994.7,522.6,832.9
23005821055,ME,Cumberland County,821055,3588,56,3120,128,6,128,0,16,134,3004,36,2677,97,6,88,0,12,88,1494.8,1055.3,290.4,659.2,1368.2,943.6,1737.3,822.5,1413.8,1013.7,1055.3,1494.8,801.4,829.3,918.1,1575.6,898.9,1260.9
23007000000,ME,Franklin County,NA,29456,407,27211,166,73,383,23,109,1084,24045,262,22414,126,73,267,12,89,802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23009000000,ME,Hancock County,NA,55478,969,51098,351,231,560,10,219,2040,46160,662,42985,271,176,463,7,186,1410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23011000590,ME,Kennebec County,000590,2006,27,1868,9,6,13,0,0,83,1618,12,1528,6,4,9,0,0,59,324.6,701.1,62.6,481.1,292.4,557.4,380.4,785.2,282.6,840,701.1,324.6,519.2,177.5,812.6,331.5,672.9,268.5
23011004020,ME,Kennebec County,004020,3250,38,3061,5,11,17,0,6,112,2699,26,2556,5,11,12,0,6,83,843.4,1074.7,108.8,730.8,763.9,899.4,1018.1,1181.6,800.5,1322.2,1074.7,843.4,815.1,436.3,1251.9,909.3,1041.7,706.9
23011004475,ME,Kennebec County,004475,2715,34,2558,7,6,4,0,5,101,2166,20,2057,7,6,1,0,4,71,549,844,86,597,503,679,614,986,473,1056,844,549,638,294.5,1021,543.5,832.4,445
23011012350,ME,Kennebec County,012350,2778,30,2551,12,25,17,0,4,139,2240,21,2068,11,22,14,0,4,100,524,862,80,539,467,650,611,919,464,1005,862,524,594.5,273.5,962,537.5,795,429.2
23011012735,ME,Kennebec County,012735,4408,80,4084,19,21,25,2,2,175,3499,39,3296,8,17,12,2,1,124,927,1350,154,923,869,1042,1119,1398,869,1583,1350,927,982.5,511.5,1490.5,994,1259.2,787.6
23011013470,ME,Kennebec County,013470,3370,57,3148,6,7,9,1,13,129,2655,41,2483,5,4,7,1,11,103,524.1,1012.3,78.9,623,527.1,714.8,646.9,1099.2,507.2,1162.1,1012.3,524.1,668.9,303,1130.6,577,922.3,456.8
23011021001,ME,Kennebec County,021001,4525,143,3907,76,18,146,2,22,211,3859,106,3382,73,17,120,2,19,140,1116.2,740.4,200.6,470.4,1019.4,610.9,1253.2,451.3,1062.6,941.2,740.4,1116.2,540.6,610,696.2,1157.9,642.8,930.4
23011021002,ME,Kennebec County,021002,4910,139,4363,57,19,116,2,17,197,3982,94,3597,40,19,82,2,15,133,1139.1,855.4,167.2,582,1056.6,686.6,1217.4,696.1,948,994.5,855.4,1139.1,634.3,611.9,845.3,1082.7,762.9,905.7
23011021003,ME,Kennebec County,021003,4501,130,3954,52,22,77,0,12,254,3703,96,3317,45,22,52,0,8,163,1050.4,1094.9,132.3,735.1,880.7,877,1354.3,701,1136,1401.2,1094.9,1050.4,806.1,506.5,1051.1,1245.2,961.8,910.8
23011021004,ME,Kennebec County,021004,4963,98,4484,27,36,77,8,10,223,4072,56,3734,23,29,65,8,4,153,1128.3,1121.3,217.9,755.5,1086.3,927.4,1479.1,2316.6,1155.3,1480.1,1121.3,1128.3,841.5,652.1,1898.3,1317.2,1320.2,1013.4
23011024670,ME,Kennebec County,024670,2995,55,2762,25,9,29,1,3,111,2359,38,2196,18,8,19,1,3,76,782.9,764,100.4,516.8,682.8,632,913,770,721,919,764,782.9,574.4,391.6,844.5,817,720.3,640
23011024950,ME,Kennebec County,024950,1160,9,1098,5,4,4,0,0,40,957,6,915,5,4,4,0,0,23,347,374,44,257,338,300,392,422,322,459,374,347,278.5,191,440.5,357,362.4,288.6
23011027085,ME,Kennebec County,027085,5961,118,5373,44,14,29,1,30,352,4713,59,4321,28,4,29,1,26,245,1458,1364,246,875,1370,1037,1712,1474,1405,1684,1364,1458,956,808,1579,1558.5,1286.8,1238.2
23011030550,ME,Kennebec County,030550,2570,45,2363,7,8,33,0,16,98,2212,31,2040,5,7,30,0,13,86,1099.1,374,156.6,300.2,1048.2,360,1291,446,1053,576,374,1099.1,330.1,602.4,511,1172,411.3,929.6
23011040175,ME,Kennebec County,040175,3586,52,3332,9,7,10,0,9,167,2896,30,2727,9,7,7,0,4,112,707,1158,92,809,642,933,859,1263,630,1399,1158,707,871,367,1331,744.5,1112.4,586
23011043080,ME,Kennebec County,043080,2456,28,2286,7,9,27,0,9,90,1999,21,1877,7,9,24,0,3,58,752,771,94,551,662,708,841,812,631,986,771,752,629.5,378,899,736,765.6,596
23011046405,ME,Kennebec County,046405,4066,82,3779,12,8,12,1,12,160,3291,60,3072,12,7,12,1,11,116,872,1273,127,909,821,1043,1091,1400,869,1567,1273,872,976,474,1483.5,980,1238.4,756
23011047770,ME,Kennebec County,047770,1721,24,1615,2,2,8,1,14,55,1388,21,1317,1,2,4,1,4,38,451.6,465.3,77.2,339.2,430.1,409.6,568.9,548.4,458.5,617.8,465.3,451.6,374.4,253.7,583.1,513.7,476.1,397.3
23011054560,ME,Kennebec County,054560,6230,99,5743,30,21,32,0,14,291,4984,55,4656,25,21,28,0,10,189,1454,1718,214,1127,1275,1367,1699,1857,1276,2115,1718,1454,1247,744.5,1986,1487.5,1636.8,1183.6
23011059110,ME,Kennebec County,059110,2875,39,2684,11,13,8,0,4,116,2328,23,2186,10,12,7,0,3,87,582,938,98,635,548,762,698,1036,545,1159,938,582,698.5,323,1097.5,621.5,906,494.2
23011061700,ME,Kennebec County,061700,1743,41,1584,9,5,6,0,6,92,1450,21,1344,4,5,6,0,6,64,430,476,67,306,386,375,472,534,383,601,476,430,340.5,226.5,567.5,427.5,458.4,347.6
23011062190,ME,Kennebec County,062190,2597,58,2416,13,4,10,0,3,93,2082,50,1937,7,4,7,0,3,74,800,711,111,533,758,622,953,820,770,947,711,800,577.5,434.5,883.5,861.5,726.6,678.4
