GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_bro,atg_18_dem_rac,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_str,uss_20_rep_wei,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
1100102-109,DC,District of Columbia,02-109,1249,42,105,997,4,22,1,3,75,1034,30,85,835,4,19,1,1,59,730,21,560,620,815,14,697,25,21,730,NA,590,19.5,756,20,684.4
1100102-110,DC,District of Columbia,02-110,4669,117,175,4192,8,13,3,19,142,3816,87,145,3453,8,11,1,16,95,2614,53,1825,1960,2952,84,2462,91,53,2614,NA,1892.5,87.5,2707,76,2362.6
1100102-111,DC,District of Columbia,02-111,3798,132,116,3373,16,10,1,22,128,2994,103,94,2660,14,10,1,20,92,1567.2,30.9,1005.9,1039.8,1839.2,62.8,1535.2,58.8,30.9,1567.2,NA,1022.8,60.8,1687.2,50.8,1397.4
1100102-112,DC,District of Columbia,02-112,3111,77,69,2814,12,28,0,14,97,2449,47,68,2228,12,25,0,14,55,1407,15,860,904,1547,47,1280,58,15,1407,NA,882,52.5,1413.5,40,1199.6
1100102-113,DC,District of Columbia,02-113,3348,103,237,2828,7,16,0,22,135,2793,74,187,2388,6,15,0,17,106,1669,36,1074,1145,1810,60,1517,54,36,1669,NA,1109.5,57,1663.5,50,1443
1100102-114,DC,District of Columbia,02-114,5198,161,189,4586,9,30,1,22,200,3717,108,173,3241,9,25,1,21,139,1681.8,30.2,977.8,1059.6,1889,77.3,1576,72,30.2,1681.8,NA,1018.7,74.7,1732.5,59.9,1436.8
1100102-115,DC,District of Columbia,02-115,4474,48,28,4249,7,7,1,17,117,2991,30,28,2843,6,4,1,7,72,1493,18,773,799,1463,41,1250,52,18,1493,NA,786,46.5,1356.5,37,1155.6
1100102-116,DC,District of Columbia,02-116,6448,133,62,6044,17,8,0,11,173,4277,76,50,4008,5,5,0,8,125,2251,31,1266,1298,2420,66,2036,94,31,2251,NA,1282,80,2228,63.7,1854.2
1100102-117,DC,District of Columbia,02-117,3637,114,30,3334,11,13,1,33,101,2449,90,25,2228,11,6,1,19,69,1405,29,849,860,1585,58,1340,70,29,1405,NA,854.5,64,1462.5,52.3,1207.8
1100102-118,DC,District of Columbia,02-118,5122,183,59,4701,20,10,6,22,121,3288,116,47,3017,12,4,0,20,72,1698,24,999,1028,1903,53,1623,56,24,1698,NA,1013.5,54.5,1763,44.3,1450.2
1100102-119,DC,District of Columbia,02-119,4047,117,149,3633,6,18,0,15,109,3130,88,135,2795,6,16,0,13,77,1762.8,36.9,997.9,1041.3,1765.3,80,1492.4,80.5,36.9,1762.8,NA,1019.6,80.2,1628.9,65.8,1412
1100102-120,DC,District of Columbia,02-120,3786,79,82,3484,2,24,0,18,97,2639,48,74,2401,2,22,0,12,80,1264,17,848,868,1569,52,1320,61,17,1264,NA,858,56.5,1444.5,43.3,1173.8
1100102-121,DC,District of Columbia,02-121,5856,103,39,5528,25,11,0,31,119,4364,83,38,4083,20,9,0,23,108,2235.7,25.2,1293,1346.4,2644.8,67.3,2215.6,99.5,25.2,2235.7,NA,1319.7,83.4,2430.2,64,1947.1
1100102-122,DC,District of Columbia,02-122,2768,136,37,2486,1,17,0,20,71,2041,88,32,1846,1,17,0,14,43,915.4,13.1,576.2,597.5,1042.9,32.7,871.3,40.9,13.1,915.4,NA,586.9,36.8,957.1,28.9,800.7
1100102-123,DC,District of Columbia,02-123,6951,636,2028,3724,19,122,7,18,397,4995,420,1436,2756,19,96,7,4,257,1474.9,80.1,956.1,1008.5,1799.4,128.6,1540,135.5,80.1,1474.9,NA,982.3,132,1669.7,114.7,1355.8
1100102-124,DC,District of Columbia,02-124,4229,152,56,3746,31,29,0,33,182,3221,101,48,2852,26,23,0,33,138,1701.8,34.7,1100.3,1154.4,2009.1,47.5,1690.8,76.3,34.7,1701.8,NA,1127.4,61.9,1849.9,52.8,1531.3
1100102-125,DC,District of Columbia,02-125,7562,155,54,7094,6,7,4,25,217,5230,107,50,4866,4,4,4,20,175,2570,22.4,1382.4,1412.2,2702.3,96.9,2326,93.2,22.4,2570,NA,1397.3,95,2514.1,70.8,2078.6
1100102-126,DC,District of Columbia,02-126,7224,251,382,6287,10,29,1,23,241,5376,182,292,4687,8,25,1,16,165,2390.8,42.6,1420.3,1474.5,2800.1,112,2392.8,121.7,42.6,2390.8,NA,1447.4,116.9,2596.4,92.1,2095.7
1100102-127,DC,District of Columbia,02-127,6763,431,2783,2910,11,269,2,34,323,6036,389,2664,2440,11,258,2,24,248,3245,170,2098,2475,3710,239,2961,306,170,3245,NA,2286.5,272.5,3335.5,238.3,2897.8
1100102-128,DC,District of Columbia,02-128,4624,368,1918,1748,15,304,2,35,234,4169,322,1840,1471,12,295,2,32,195,2042.5,98.2,1287.2,1480.6,2189.1,140.4,1780.3,177.5,98.2,2042.5,NA,1383.9,159,1984.7,138.7,1756
1100102-129,DC,District of Columbia,02-129,6175,842,3377,776,4,811,4,46,315,5777,688,3265,734,3,769,4,40,274,2069.9,143.2,1323.8,1523.9,2426.8,238,1932.2,319.5,143.2,2069.9,NA,1423.8,278.7,2179.5,233.5,1855.3
1100102-130,DC,District of Columbia,02-130,2067,115,1550,197,1,89,6,15,94,1813,98,1362,188,1,74,6,13,71,765,114,460,565,769,150,555,204,114,765,NA,512.5,177,662,156,622.8
1100102-131,DC,District of Columbia,02-131,11036,807,7241,1850,22,572,9,22,513,10245,729,6932,1555,22,546,9,18,434,2183.9,201.3,2070.5,2322.7,4333.4,743.7,3460.9,1029.4,201.3,2183.9,NA,2196.6,886.5,3897.1,658.1,2874.3
1100102-132,DC,District of Columbia,02-132,3119,67,50,2887,23,17,1,10,64,2353,40,39,2186,19,15,0,8,46,1252,14.1,827.8,840,1483,39.2,1252.8,52.2,14.1,1252,NA,833.9,45.7,1367.9,35.2,1131.1
1100102-133,DC,District of Columbia,02-133,1855,88,110,1563,5,11,0,5,73,1500,64,100,1263,5,9,0,5,54,938,14,588,620,971,32,810,50,14,938,NA,604,41,890.5,32,785.4
1100102-134,DC,District of Columbia,02-134,3632,75,64,3378,11,9,0,10,85,2724,49,63,2530,11,3,0,4,64,1469,25,853,863,1534,48,1271,56,25,1469,NA,858,52,1402.5,43,1198
1100102-135,DC,District of Columbia,02-135,4624,324,2112,1687,0,200,5,35,261,4026,270,1895,1452,0,193,3,35,178,2302,71,1489,1777,2462,103,1983,147,71,2302,NA,1633,125,2222.5,107,2002.6
1100102-136,DC,District of Columbia,02-136,1660,195,1127,108,7,130,0,12,81,1479,151,1029,105,3,122,0,7,62,2209.1,100.6,1350.5,1715.2,2259.7,135.8,1766.2,160.7,100.6,2209.1,NA,1532.8,148.2,2012.9,132.3,1860.1
1100102-137,DC,District of Columbia,02-137,1929,202,1054,432,1,120,0,6,114,1722,183,974,361,1,109,0,2,92,950,35,599,715,949,51,771,77,35,950,NA,657,64,860,54.3,796.8
1100102-138,DC,District of Columbia,02-138,4499,413,2728,617,10,440,0,42,249,3725,319,2357,505,10,350,0,34,150,2059.3,137.8,1288.6,1600.2,2171.9,169.1,1637.7,211.2,137.8,2059.3,NA,1444.4,190.1,1904.8,172.7,1751.5
1100102-139,DC,District of Columbia,02-139,4676,277,256,3791,10,131,2,23,186,3764,199,212,3085,8,112,0,20,128,1798,56,1341,1411,2391,85,2036,97,56,1798,NA,1376,91,2213.5,79.3,1795.4
1100102-140,DC,District of Columbia,02-140,2613,68,124,2299,6,10,0,13,93,2023,53,106,1767,6,9,0,9,73,1184.6,19.8,701.2,728,1251,45.6,1043,56.5,19.8,1184.6,NA,714.6,51,1147,40.6,981.6
1100102-141,DC,District of Columbia,02-141,4515,405,3280,325,8,316,2,9,170,4305,382,3145,310,8,302,0,9,149,2361,108,1360,1641,2406,134,1850,229,108,2361,NA,1500.5,181.5,2128,157,1923.6
1100102-142,DC,District of Columbia,02-142,5060,467,2622,1250,15,375,0,36,295,4774,437,2532,1138,13,362,0,35,257,1372.6,89.5,1153,1343.5,2202,233.6,1767.6,271,89.5,1372.6,NA,1248.3,252.3,1984.8,198.1,1567.7
1100102-143,DC,District of Columbia,02-143,3958,347,2482,459,0,479,0,27,164,3810,331,2418,443,0,452,0,26,140,1427,144,916,1023,1558,211,1212,262,144,1427,NA,969.5,236.5,1385,205.7,1227.2
