GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_bro,atg_18_dem_rac,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_str,uss_20_rep_wei,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
1100102-023,DC,District of Columbia,02-023,5420,1097,2403,1321,14,278,0,28,279,4748,858,2304,1072,14,264,0,19,217,2523,66,1525,1813,2587,113,2092,151,66,2523,NA,1669,132,2339.5,110,2108
1100102-024,DC,District of Columbia,02-024,5131,830,3145,585,1,351,0,10,209,4733,702,2998,523,1,330,0,10,169,2494,89,1546,1890,2624,130,2039,199,89,2494,NA,1718,164.5,2331.5,139.3,2118.6
1100102-025,DC,District of Columbia,02-025,7232,744,5336,312,12,401,7,43,377,6691,646,5013,301,8,380,7,36,300,3860.5,158,2263.6,2933.2,4093.7,199.3,3138.8,316.8,158,3860.5,NA,2598.4,258,3616.2,224.7,3257.9
1100102-026,DC,District of Columbia,02-026,5559,617,3990,234,2,407,0,35,274,4978,497,3640,218,0,382,0,25,216,2746.5,156.9,1730.2,2187.6,2964.6,216.3,2299.6,308.1,156.9,2746.5,NA,1958.9,262.2,2632.1,227.1,2385.7
1100102-027,DC,District of Columbia,02-027,4263,348,3201,205,5,250,0,18,236,3524,266,2705,174,5,225,0,13,136,2249.9,123.2,1342.9,1786.5,2369.2,140,1720.5,218.9,123.2,2249.9,NA,1564.7,179.4,2044.9,160.7,1893.8
1100102-028,DC,District of Columbia,02-028,5672,674,3766,479,2,465,0,49,237,5095,592,3467,418,2,403,0,31,182,2356,264,1451,1822,2512,303,1940,332,264,2356,NA,1636.5,317.5,2226,299.7,2016.2
1100102-029,DC,District of Columbia,02-029,2806,253,1972,197,6,190,0,32,156,2409,195,1734,175,6,174,0,30,95,1295,102,751,965,1404,99,1076,131,102,1295,NA,858,115,1240,110.7,1098.2
1100102-030,DC,District of Columbia,02-030,2948,321,2132,117,1,168,1,9,199,2202,222,1638,101,1,151,1,7,81,1142.8,121.1,746,923.9,1224.7,114.6,933.2,150.9,121.1,1142.8,NA,834.9,132.7,1079,128.8,994.1
1100102-031,DC,District of Columbia,02-031,4784,370,3614,189,0,295,1,18,297,3691,253,2858,159,0,257,1,16,147,2206.9,206.3,1431.2,1740.1,2369.8,205.3,1778.6,284.3,206.3,2206.9,NA,1585.6,244.8,2074.2,231.9,1905.3
1100102-032,DC,District of Columbia,02-032,5120,448,3573,370,0,384,2,43,300,4155,333,2956,336,0,327,2,28,173,2479.9,181.7,1557.2,1960.5,2707.3,196.6,2051.8,261.2,181.7,2479.9,NA,1758.8,228.9,2379.6,213.2,2151.3
1100102-033,DC,District of Columbia,02-033,5551,538,3856,418,4,393,2,27,313,4503,416,3173,353,4,339,2,18,198,2751.3,178.9,1675.7,2162.5,2923.4,182.2,2255.1,248.7,178.9,2751.3,NA,1919.1,215.5,2589.3,203.3,2353.6
1100102-034,DC,District of Columbia,02-034,7646,721,5248,589,8,666,4,43,367,7171,664,4993,549,6,622,1,39,297,2374.4,129.1,1545,1896.7,2614.8,160.1,2039.7,195.5,129.1,2374.4,NA,1720.8,177.8,2327.2,161.5,2094.1
1100102-035,DC,District of Columbia,02-035,6094,935,3557,830,11,400,3,28,330,5575,803,3383,726,9,370,3,25,256,3168,73,1901,2474,3310,126,2543,182,73,3168,NA,2187.5,154,2926.5,127,2679.2
1100102-036,DC,District of Columbia,02-036,8233,1900,2875,2612,7,467,8,48,316,7032,1529,2730,2012,7,446,8,44,256,3387,108,1997,2358,3655,180,2965,207,108,3387,NA,2177.5,193.5,3310,165,2872.4
1100102-037,DC,District of Columbia,02-037,7363,1019,2928,2430,8,580,15,35,348,6748,856,2811,2155,4,562,15,28,317,2672.1,59.4,1639.5,1910.7,2801.7,92,2232.8,143.6,59.4,2672.1,NA,1775.1,117.8,2517.3,98.3,2251.4
1100102-038,DC,District of Columbia,02-038,5256,1439,1826,1482,10,229,1,38,231,4457,1135,1702,1176,5,223,1,27,188,2132,61,1393,1644,2450,103,1921,139,61,2132,NA,1518.5,121,2185.5,101,1908
1100102-039,DC,District of Columbia,02-039,7774,2023,3410,1575,8,379,8,40,331,6425,1566,2994,1246,8,332,5,31,243,3019.3,65.3,1732.5,2280.8,3090.1,114.7,2319.9,146.4,65.3,3019.3,NA,2006.6,130.5,2705,108.8,2488.5
1100102-040,DC,District of Columbia,02-040,7176,2108,3350,839,59,435,9,47,329,6086,1623,2965,782,48,391,8,25,244,2968.4,94,1676.5,2272.8,2820,132,2117.4,154.7,94,2968.4,NA,1974.7,143.4,2468.7,126.9,2371
1100102-041,DC,District of Columbia,02-041,7243,2459,2143,1947,10,407,5,22,250,6128,1942,2008,1561,10,374,5,22,206,2721,79,1659,1978,2869,140,2327,145,79,2721,NA,1818.5,142.5,2598,121.3,2310.8
1100102-042,DC,District of Columbia,02-042,3270,961,1407,635,1,140,0,13,113,2825,725,1309,553,1,135,0,13,89,1471,28,858,1078,1525,57,1258,63,28,1471,NA,968,60,1391.5,49.3,1238
1100102-043,DC,District of Columbia,02-043,2761,561,957,959,8,128,0,24,124,2319,429,851,804,0,119,0,19,97,1339.7,23.7,860.5,1062.1,1459.3,43.5,1197.5,49.4,23.7,1339.7,NA,961.3,46.4,1328.4,38.9,1183.8
1100102-044,DC,District of Columbia,02-044,6967,2069,995,3544,17,139,3,29,171,5328,1286,938,2855,10,113,3,16,107,1970,158,1278,1358,2166,161,1838,137,158,1970,NA,1318,149,2002,152,1722
1100102-045,DC,District of Columbia,02-045,3449,583,1275,1297,8,117,0,9,160,2895,450,1074,1142,6,108,0,7,108,1791,35,1189,1465,1937,55,1538,77,35,1791,NA,1327,66,1737.5,55.7,1584
1100102-046,DC,District of Columbia,02-046,4404,855,1247,1857,10,144,0,33,258,3513,618,1045,1552,6,129,0,21,142,2129,52,1405,1634,2381,75,1975,87,52,2129,NA,1519.5,81,2178,71.3,1904.8
1100102-047,DC,District of Columbia,02-047,6229,2085,1895,1697,2,275,1,46,228,5098,1521,1681,1444,2,249,1,37,163,2631.8,67.9,1636.7,2054.3,2819.5,110.2,2246.5,124.4,67.9,2631.8,NA,1845.5,117.3,2533,100.8,2277.8
1100102-048,DC,District of Columbia,02-048,4501,791,1523,1746,7,167,0,29,238,3625,591,1221,1508,7,143,0,14,141,2574.7,85.2,1649.2,2013.1,2825.2,136,2243.5,143.5,85.2,2574.7,NA,1831.2,139.8,2534.4,121.6,2261.2
1100102-049,DC,District of Columbia,02-049,1611,317,618,478,1,82,1,16,98,1372,249,554,420,0,73,1,6,69,735.3,12.3,437.4,540.9,802.7,30.5,628.5,31.6,12.3,735.3,NA,489.2,31.1,715.6,24.8,629
1100102-050,DC,District of Columbia,02-050,4370,344,2918,502,3,353,0,18,232,3528,277,2329,454,3,317,0,18,130,1936.9,182.1,1247.2,1593.5,2233,192.2,1660.6,266.2,182.1,1936.9,NA,1420.3,229.2,1946.8,213.5,1734.2
1100102-051,DC,District of Columbia,02-051,6084,493,4563,488,9,172,0,34,325,4462,302,3434,414,7,139,0,14,152,3076.3,309.7,1904.6,2426.2,3524.2,298.8,2602.7,426.9,309.7,3076.3,NA,2165.4,362.9,3063.5,345.2,2706.8
1100102-052,DC,District of Columbia,02-052,2270,144,1682,198,4,109,0,5,128,1737,94,1320,161,3,90,0,5,64,1190,81,710,902,1370,88,1019,114,81,1190,NA,806,101,1194.5,94.3,1038.2
1100102-053,DC,District of Columbia,02-053,2926,1106,587,1018,4,71,0,14,126,2250,771,471,853,4,64,0,7,80,1006.1,49.7,632.6,735.8,1111.8,72.2,901.4,74.9,49.7,1006.1,NA,684.2,73.5,1006.6,65.6,877.5
1100102-054,DC,District of Columbia,02-054,3766,962,965,1570,3,74,0,19,173,2961,659,753,1364,3,63,0,8,111,1773,69,1170,1370,1920,82,1502,78,69,1773,NA,1270,80,1711,76.3,1547
1100102-055,DC,District of Columbia,02-055,3695,830,815,1807,3,63,0,14,163,2943,592,648,1528,2,57,0,11,105,1791,43,1161,1286,1977,73,1608,90,43,1791,NA,1223.5,81.5,1792.5,68.7,1564.6
1100102-056,DC,District of Columbia,02-056,5963,1817,1023,2739,28,123,3,29,201,4564,1219,840,2224,23,109,3,14,132,2285,58,1520,1720,2693,103,2231,96,58,2285,NA,1620,99.5,2462,85.7,2089.8
1100102-057,DC,District of Columbia,02-057,4495,1122,651,2444,9,85,0,34,150,3498,769,551,1953,9,79,0,24,113,1832,57,1214,1374,2059,83,1688,82,57,1832,NA,1294,82.5,1873.5,74,1633.4
1100102-058,DC,District of Columbia,02-058,3690,832,550,2028,5,70,1,46,158,2937,598,449,1687,3,59,1,36,104,1640,33,1075,1222,1815,73,1484,73,33,1640,NA,1148.5,73,1649.5,59.7,1447.2
1100102-059,DC,District of Columbia,02-059,3568,716,757,1758,5,135,2,30,165,2792,489,574,1489,1,108,2,19,110,1878,58,1223,1419,2114,72,1725,59,58,1878,NA,1321,65.5,1919.5,63,1671.8
1100102-060,DC,District of Columbia,02-060,6297,2417,350,3294,2,59,0,53,122,4649,1631,269,2567,2,56,0,26,98,1565,57,919,986,1822,108,1497,101,57,1565,NA,952.5,104.5,1659.5,88.7,1357.8
1100102-061,DC,District of Columbia,02-061,3305,969,324,1845,3,49,0,17,98,2546,650,263,1514,3,39,0,9,68,1204.6,47.5,777.8,867,1342.3,72.7,1129.9,66,47.5,1204.6,NA,822.4,69.3,1236.1,62.1,1064.3
1100102-062,DC,District of Columbia,02-062,4615,345,1292,2552,9,73,0,37,307,3603,230,928,2175,8,61,0,25,176,2584.7,103.3,1783.4,2151.8,2854.8,117.2,2363.3,128.1,103.3,2584.7,NA,1967.6,122.6,2609,116.2,2347.6
1100102-063,DC,District of Columbia,02-063,6290,1206,1744,2780,14,170,6,68,302,5039,846,1461,2320,10,150,4,50,198,2828,83,1861,2302,3234,132,2560,124,83,2828,NA,2081.5,128,2897,113,2557
1100102-064,DC,District of Columbia,02-064,3528,410,494,2339,7,76,4,19,179,2812,269,405,1921,6,63,2,18,128,1793,37,1229,1392,2012,69,1664,65,37,1793,NA,1310.5,67,1838,57,1618
1100102-065,DC,District of Columbia,02-065,3974,646,382,2746,1,70,1,16,112,3277,442,309,2361,1,60,0,14,90,2046,40,1467,1573,2305,88,1942,90,40,2046,NA,1520,89,2123.5,72.7,1866.6
1100102-066,DC,District of Columbia,02-066,6909,796,896,4690,22,197,1,47,260,5747,593,786,3949,16,185,1,33,184,3319,64,2451,2739,4009,124,3394,146,64,3319,NA,2595,135,3701.5,111.3,3182.4
1100102-067,DC,District of Columbia,02-067,3919,247,727,2639,5,102,2,27,170,3217,167,590,2238,2,83,2,21,114,2150,71,1525,1696,2405,100,2046,99,71,2150,NA,1610.5,99.5,2225.5,90,1964.4
1100102-068,DC,District of Columbia,02-068,4774,924,1699,1657,13,195,19,61,206,4277,854,1505,1506,13,183,19,52,145,1467.3,81.1,944.3,1180.6,1688.8,109.8,1343.7,121.6,81.1,1467.3,NA,1062.4,115.7,1516.3,104.2,1324.9
1100102-069,DC,District of Columbia,02-069,2913,208,594,1893,8,53,0,6,151,2355,151,444,1613,8,51,0,6,82,1558,42,1104,1243,1873,67,1571,69,42,1558,NA,1173.5,68,1722,59.3,1469.8
1100102-070,DC,District of Columbia,02-070,2382,213,546,1396,4,50,1,19,153,1846,163,401,1107,4,47,1,15,108,1131,20,788,900,1282,45,1052,55,20,1131,NA,844,50,1167,40,1030.6
1100102-071,DC,District of Columbia,02-071,4250,348,492,3141,17,53,2,6,191,3022,252,373,2214,11,40,2,3,127,1671,48,1197,1316,2025,65,1722,80,48,1671,NA,1256.5,72.5,1873.5,64.3,1586.2
1100102-072,DC,District of Columbia,02-072,6585,514,730,4914,17,108,1,26,275,5286,375,644,3961,17,93,1,19,176,2745,60,1724,1921,3179,117,2689,147,60,2745,NA,1822.5,132,2934,108,2451.6
1100102-073,DC,District of Columbia,02-073,2937,300,1130,1196,11,84,3,23,190,2436,220,928,1063,10,72,3,22,118,1478.7,51.9,1026.7,1218.4,1674.2,87.2,1322.3,91.4,51.9,1478.7,NA,1122.6,89.3,1498.2,76.8,1344.1
1100102-074,DC,District of Columbia,02-074,8917,1512,2522,4133,20,307,9,34,380,7411,1132,2296,3373,14,277,8,31,280,3213,118,2087,2363,3954,180,3230,241,118,3213,NA,2225,210.5,3592,179.7,2969.4
1100102-075,DC,District of Columbia,02-075,6463,556,2256,2886,13,349,6,43,354,5648,445,2119,2433,12,317,6,37,279,2871,84,1976,2236,3353,132,2743,198,84,2871,NA,2106,165,3048,138,2635.8
1100102-076,DC,District of Columbia,02-076,4578,536,1312,2259,20,205,13,27,206,4035,471,1287,1860,17,204,13,19,164,970.1,42.9,612.8,672.7,1357.3,63.9,1139.8,79.8,42.9,970.1,NA,642.7,71.9,1248.6,62.2,950.5
1100102-077,DC,District of Columbia,02-077,4410,379,1264,2406,7,125,1,21,207,3788,286,1137,2065,7,125,1,17,150,2035,44,1401,1562,2390,88,1941,122,44,2035,NA,1481.5,105,2165.5,84.7,1865.8
1100102-078,DC,District of Columbia,02-078,4629,416,613,3343,8,59,2,34,154,3699,308,576,2607,6,54,0,26,122,1896.5,36.1,1193.8,1286,2135.4,66.2,1790.6,82.2,36.1,1896.5,NA,1239.9,74.2,1963,61.5,1660.5
1100102-079,DC,District of Columbia,02-079,3451,312,306,2668,11,44,0,19,91,2750,204,284,2126,11,33,0,11,81,1367.8,32.2,794.8,853.2,1523.2,71,1281.9,76.8,32.2,1367.8,NA,824,73.9,1402.5,60,1164.2
1100102-080,DC,District of Columbia,02-080,4251,287,809,2980,5,75,1,12,82,3890,261,707,2785,5,66,1,10,55,1013,28.9,702,789.7,1301.2,89.7,1005.1,102.7,28.9,1013,NA,745.8,96.2,1153.1,73.8,962.2
1100102-081,DC,District of Columbia,02-081,7251,405,2891,3382,32,169,0,31,341,5681,317,2379,2557,26,154,0,23,225,3585,139,2218,2634,3955,186,3153,304,139,3585,NA,2426,245,3554,209.7,3109
1100102-082,DC,District of Columbia,02-082,4060,275,2116,1246,7,186,1,26,203,3449,211,1824,1082,7,171,1,21,132,2114,83,1329,1552,2344,116,1873,189,83,2114,NA,1440.5,152.5,2108.5,129.3,1842.4
1100102-083,DC,District of Columbia,02-083,13804,1163,7945,2846,10,1007,7,91,735,12724,1032,7490,2535,7,982,7,84,587,4427,198,3362,3931,6442,393,5221,614,198,4427,NA,3646.5,503.5,5831.5,401.7,4676.6
1100102-084,DC,District of Columbia,02-084,3616,250,2599,341,5,170,2,18,231,3003,205,2194,289,5,146,2,12,150,1905.7,128.5,1130.4,1408.5,1939.7,173.5,1457.7,267.3,128.5,1905.7,NA,1269.5,220.4,1698.7,189.8,1568.4
1100102-085,DC,District of Columbia,02-085,4909,333,3655,452,0,204,3,26,236,4084,243,3095,408,0,181,1,21,135,2363.3,183.5,1550.6,1990.5,2583.3,250.5,1931.3,385.7,183.5,2363.3,NA,1770.5,318.1,2257.3,273.2,2083.8
1100102-086,DC,District of Columbia,02-086,3366,193,2175,686,5,107,5,22,173,2690,130,1725,601,5,97,5,22,105,1845,96,1227,1473,1976,109,1543,170,96,1845,NA,1350,139.5,1759.5,125,1612.8
1100102-087,DC,District of Columbia,02-087,3965,208,2182,1185,1,130,1,16,242,3254,166,1790,1021,0,118,1,12,146,2194,94.1,1370,1645.3,2227.8,166.3,1755.9,244.3,94.1,2194,NA,1507.7,205.3,1991.9,168.2,1838.6
1100102-088,DC,District of Columbia,02-088,3380,182,2570,280,4,127,3,9,205,2839,149,2180,252,4,118,3,5,128,1891,113,1095,1429,1962,154,1463,250,113,1891,NA,1262,202,1712.5,172.3,1568
1100102-089,DC,District of Columbia,02-089,5030,287,3966,213,10,256,5,38,255,4363,237,3511,195,10,222,5,31,152,2387,259,1386,1857,2548,306,1866,447,259,2387,NA,1621.5,376.5,2207,337.3,2008.8
1100102-090,DC,District of Columbia,02-090,2935,269,2061,334,12,108,3,13,135,2531,205,1840,266,11,97,3,12,97,1363,66,872,1092,1466,111,1101,189,66,1363,NA,982,150,1283.5,122,1178.8
1100102-091,DC,District of Columbia,02-091,6675,393,3466,2209,8,252,5,27,315,5425,287,2938,1735,1,242,5,16,201,3383.1,154.7,2266.5,2757.3,4258.6,316.3,3365.1,445.6,154.7,3383.1,NA,2511.9,381,3811.9,305.5,3206.1
1100102-092,DC,District of Columbia,02-092,2086,72,56,1873,2,0,0,11,72,1553,58,50,1366,0,0,0,10,69,1019,13.1,620.9,656,1067.1,34.8,912.3,36.5,13.1,1019,NA,638.4,35.6,989.7,28.1,855
