GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_whi,uss_18_rep_fla,gov_18_dem_rai,gov_18_rep_fun,atg_18_dem_ner,sos_18_dem_gor,sos_18_rep_cor,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_ree,uss_20_rep_wat,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
44003440606,RI,Kent County,440606,1190,44,1065,21,0,7,0,5,48,960,27,879,19,0,2,0,5,28,216.5,337.8,200.7,271.4,156.2,262.4,290.5,241.5,222.3,257.3,423.4,317,351,337.8,216.5,252.1,222.2,387.2,287.1,311.4,240
44003440607,RI,Kent County,440607,2665,78,2441,17,0,29,0,11,89,2137,57,1977,10,0,27,0,9,57,626.6,708.5,622.3,575.5,510.5,568.3,821.4,715.3,472.3,828.3,846.5,925.2,722.8,708.5,626.6,538.7,667.4,784.7,876.8,649,721.4
44003440608,RI,Kent County,440608,3013,115,2682,24,5,43,0,13,131,2377,69,2141,19,4,34,0,11,99,571.3,697.6,554.3,551.1,425.2,554,725.2,607.2,469.1,772.2,821.4,877,695,697.6,571.3,524.7,578,758.2,824.6,631.4,647.5
44003440609,RI,Kent County,440609,1941,38,1818,4,1,10,0,9,61,1615,29,1529,4,0,9,0,9,35,399.6,633.5,415,513.4,317.7,511,570.8,478.5,435.6,563.4,682.2,642.5,582.7,633.5,399.6,486.7,445.5,632.5,602.9,559.7,483.9
44003440610,RI,Kent County,440610,1690,88,1465,19,9,29,0,2,78,1393,56,1236,17,4,19,0,2,59,271,334,286,246,239,230,359,328,202,355,368,417,289,334,271,226,303,328.5,386,278.2,322.1
44003440611,RI,Kent County,440611,1574,40,1450,8,1,20,1,2,52,1370,23,1292,5,0,11,1,1,37,414.6,499.4,390.5,400.1,330.7,371.2,539.9,462.8,309.5,526.4,556.3,578.5,481.1,499.4,414.6,360.3,431,518.7,552.4,436.3,463.3
44003440612,RI,Kent County,440612,2288,87,2073,18,5,23,0,4,78,1904,54,1751,15,5,21,0,3,55,472.6,524.7,424.6,373.5,324.1,377.5,523,471.8,310.3,582,596.3,654.3,506,524.7,472.6,353.8,435.9,551.1,618.1,448,493.2
44003440613,RI,Kent County,440613,2081,65,1839,22,6,52,0,13,84,1750,42,1584,16,4,45,0,10,49,389.2,460,372.2,353.3,285.8,340.3,452.1,406.7,309.7,484.7,518.4,528.3,451.7,460,389.2,334.4,379.2,485.1,506.5,405.6,417
44003440614,RI,Kent County,440614,1097,22,1020,11,0,7,0,1,36,1022,11,966,10,0,5,0,0,30,229,216.4,199.1,151.3,171.1,125.4,245.3,211.2,129.2,279,249.4,320,200.3,216.4,229,135.3,206.7,224.9,299.5,178.7,236.4
44003440615,RI,Kent County,440615,2177,72,1963,7,4,27,0,10,94,1745,48,1610,0,4,22,0,7,54,468.9,649.6,465.3,539.5,375.1,523.8,655.5,537.9,455.5,610.3,713.8,698.3,586.2,649.6,468.9,506.2,508.5,650,654.3,578.1,544.5
44003440616,RI,Kent County,440616,2479,81,2200,29,3,60,4,2,100,1955,49,1796,23,2,37,3,2,43,551.2,749.6,550.5,575.2,457.1,563.3,751.9,660.8,439.7,672.6,837.2,791.8,692.4,749.6,551.2,526.1,605.1,764.8,732.2,642.9,633.7
44003440617,RI,Kent County,440617,1894,46,1758,9,0,23,1,1,56,1523,34,1417,9,0,21,1,1,40,340.7,525.2,360.6,419.4,249.9,426.4,455.2,398.5,365.2,460,626.7,528.9,533.4,525.2,340.7,403.7,366,580,494.4,482.7,399.1
44003440618,RI,Kent County,440618,937,19,872,5,3,4,0,0,34,770,11,720,3,2,2,0,0,32,186,280,198,214,179,206,273,227,181,254,312,279,278,280,186,200.3,219.2,295,266.5,245.2,228
44003440901,RI,Kent County,440901,811,25,680,5,0,46,0,5,50,592,15,502,5,0,37,0,5,28,239.6,160.5,194.5,155.9,178.9,155.7,249.6,219.8,121.5,293.9,184.2,313.3,164.6,160.5,239.6,144.4,210.7,174.4,303.6,157.1,241.4
44003440902,RI,Kent County,440902,3628,143,3103,36,0,211,0,13,122,2764,99,2386,30,0,156,0,13,80,966.1,799.4,883.3,746.5,822.4,671.7,1220.6,1001,588.8,1279.5,812.4,1326.4,763.5,799.4,966.1,669,981.8,787.9,1302.9,730.4,1071.3
44003440903,RI,Kent County,440903,3143,168,2698,54,6,76,2,1,138,2524,107,2219,37,5,58,2,1,95,932.6,569.2,912.6,520.7,819,477.4,1080,959.1,450,1160.1,615.4,1194.6,575,569.2,932.6,482.7,942.7,595.2,1177.3,534.6,1008.3
44003440904,RI,Kent County,440904,3362,118,2883,17,1,227,0,20,96,2541,66,2259,13,1,138,0,20,44,909.7,740.2,908.8,679.6,792.7,646.9,1155.8,1009.9,537.8,1250,797.7,1322.4,727.2,740.2,909.7,621.4,966.8,762.5,1286.2,688.2,1049.9
44003440905,RI,Kent County,440905,3368,141,2762,32,1,263,1,17,151,2426,80,2039,25,1,204,0,9,68,975.1,852.2,876.2,780.3,830.2,704.4,1192.9,960.1,663.4,1249.9,817.3,1305.8,764.3,852.2,975.1,716,964.9,790.8,1277.8,763.6,1055.8
44003443501,RI,Kent County,443501,3044,99,2782,32,1,21,0,8,101,2673,69,2483,31,1,18,0,8,63,1059,741,1044,737,875,720,1317,1148,593,1338,742,1431,656,741,1059,683.3,1096,699,1384.5,698.2,1173.1
44003443502,RI,Kent County,443502,3003,180,2591,51,2,57,0,4,118,2489,126,2185,40,1,44,0,4,89,938,722,910,640,717,638,1161,1010,511,1210,795,1343,650,722,938,596.3,949.5,722.5,1276.5,659.3,1041.3
44003443503,RI,Kent County,443503,2103,231,1620,57,6,67,0,11,111,1676,155,1340,43,3,57,0,6,72,487,379,448,313,371,298,559,505,240,616,436,687,352,379,487,283.7,470.8,394,651.5,336.3,524.7
44003443504,RI,Kent County,443504,2595,196,2182,46,5,72,1,4,89,2184,130,1921,34,0,44,1,4,50,886,502.6,902.7,408.8,761.3,404.9,1037.2,975,313.3,1129.3,467.3,1187.4,420,502.6,886,375.6,919,443.7,1158.3,419.5,982.7
44003443505,RI,Kent County,443505,1356,131,1070,34,1,44,0,2,74,1117,91,914,27,1,42,0,2,40,300.2,292.9,297,212.9,240.5,203.6,353.2,337.4,162.2,393.9,316.2,441,263.5,292.9,300.2,192.9,307,289.9,417.4,241.9,337.6
44003443506,RI,Kent County,443506,1531,124,1228,35,15,50,0,11,68,1227,82,1010,31,10,40,0,6,48,295.6,298.6,295.4,248.3,220.4,241.3,362.5,321.5,212.2,403.3,344.4,469.3,274.4,298.6,295.6,233.9,300,309.4,436.3,269.9,338.3
44003443507,RI,Kent County,443507,712,41,615,13,0,10,0,4,29,612,28,543,13,0,8,0,2,18,172.5,129.4,170.5,108.3,130.3,98.3,192.6,173.5,93.3,219.6,133.4,235.6,113.3,129.4,172.5,100,166.7,123.4,227.6,112.7,184.9
44003443508,RI,Kent County,443508,3294,331,2519,108,8,127,2,20,179,2647,248,2114,75,8,90,2,12,98,692.2,593.2,697.1,442,548.5,447.3,807.6,741.4,371.1,888.9,668.3,1004.8,537.3,593.2,692.2,420.1,698.6,602.8,946.8,509.9,768.6
44003443509,RI,Kent County,443509,832,50,664,34,0,38,0,1,45,703,33,594,27,0,28,0,1,20,181,148,171,117,142,111,223,199,85,217,165,254,121,148,181,104.3,183.8,143,235.5,124.5,198.1
44003443510,RI,Kent County,443510,1784,58,1602,12,1,36,0,12,63,1443,46,1320,8,1,29,0,6,33,536.5,436.5,530.6,376.6,379.6,399.2,653.2,574.8,310,638.5,489.4,713.1,405.1,436.5,536.5,361.9,534.6,447.3,675.8,402.8,575.2
44003443511,RI,Kent County,443511,3483,182,2988,45,6,107,0,24,131,3004,128,2636,29,5,90,0,20,96,829,725,789,577,638,551,952,838,476,1062,762,1157,617,725,829,534.7,804.2,689.5,1109.5,618,895
44003443512,RI,Kent County,443512,2507,204,2023,90,6,72,0,12,100,2070,131,1724,74,6,64,0,5,66,522,507,535,353,406,379,669,589,291,717,525,789,431,507,522,341,549.8,478,753,414.3,603.9
44003443513,RI,Kent County,443513,3222,215,2765,57,5,54,0,13,113,2649,150,2327,48,5,47,0,6,66,683.6,676.1,655.5,552.5,501,544.1,858.6,753.8,428,864.4,695,1003,543.3,676.1,683.6,508.2,692.2,619.2,933.7,573.2,760
44003443514,RI,Kent County,443514,4181,262,3520,89,7,117,0,10,176,3428,170,2968,70,4,100,0,6,110,921.1,905.1,929,719.6,698.7,747.5,1192.5,1024.2,578.3,1240.8,969.3,1361.2,816.8,905.1,921.1,681.8,961.1,893.1,1301,789.5,1052.5
44003443515,RI,Kent County,443515,4059,268,3427,75,12,92,0,18,167,3345,179,2898,59,6,72,0,17,114,863,887.8,858,685.2,703.1,638.6,1058.7,938.5,552.2,1154,957.4,1318.8,768.7,887.8,863,625.3,889.6,863,1236.4,748.3,984.9
44003443516,RI,Kent County,443516,1146,71,957,19,4,41,0,6,48,919,42,792,19,4,32,0,6,24,239,256,225,197,168,195,267,252,163,291,278,327,223,256,239,185,228,250.5,309,218.7,252.7
44003443517,RI,Kent County,443517,1302,82,1091,15,4,43,0,8,59,1054,56,906,14,4,37,0,6,31,260,314,264,221,200,225,327,294,181,333,315,391,252,314,260,209,271.2,283.5,362,251.3,295.6
44003443518,RI,Kent County,443518,3876,205,3320,71,2,104,3,14,157,3216,126,2827,60,1,82,3,12,105,877.3,933,840.7,781.8,681.6,748.1,1127.6,960.8,617,1103,1049.2,1271.8,864.4,933,877.3,715.6,902.7,956.8,1187.4,832.3,980.4
44003443519,RI,Kent County,443519,3896,212,3362,60,8,69,0,13,172,3223,133,2847,37,8,59,0,13,126,865.6,942.5,877.5,714.2,679.4,724,1067.9,942.7,611.9,1137.2,1014.6,1277.6,847.2,942.5,865.6,683.3,891.9,930.9,1207.4,809.1,978.3
44003443520,RI,Kent County,443520,3565,249,2924,59,14,110,0,11,198,2908,154,2464,39,14,87,0,8,142,687.4,668,692.1,482.7,533.8,510.4,818.6,765.1,389.3,922.3,784.9,1058.7,623.4,668,687.4,460.8,702.4,704.1,990.5,576.4,782.6
44003443521,RI,Kent County,443521,3118,210,2594,72,2,94,0,26,120,2514,130,2175,46,2,66,0,15,80,650.1,664.8,621.9,517.5,496.4,515.2,769.6,686.1,411.2,844.9,731.6,981.8,586.1,664.8,650.1,481.3,643.5,658.9,913.3,571.1,721.5
44003443522,RI,Kent County,443522,2297,156,1921,51,9,43,4,5,108,1841,88,1600,26,8,33,4,4,78,484.5,525.5,469.5,398.4,353.4,375.4,575.6,514.6,331.3,662.7,583.6,746.8,485.5,525.5,484.5,368.3,478.3,534.5,704.8,449.9,543.9
44003443523,RI,Kent County,443523,3097,131,2722,44,11,70,0,10,109,2539,69,2302,34,7,50,0,3,74,847,814,803,675,671,626,1080,965,481,1074,835,1214,684,814,847,594,879.8,759.5,1144,685.8,950.6
44003443524,RI,Kent County,443524,2259,122,1933,31,6,38,0,14,115,1815,71,1602,27,6,32,0,8,69,576.8,585.5,534.2,429.7,416.3,437.4,663.3,597.6,346.6,659.5,585.1,729.1,497.2,585.5,576.8,404.6,552.9,541.1,694.3,480.2,596.7
44003443525,RI,Kent County,443525,2683,109,2333,44,6,68,0,8,115,2262,78,2023,29,5,46,0,4,77,642,659,623,529,519,504,773,678,437,858,660,929,578,659,642,490,648.2,619,893.5,561.2,717.4
44003443526,RI,Kent County,443526,1061,23,990,11,1,12,0,6,18,967,13,919,8,1,11,0,4,11,248,182,243,169,211,153,306,256,144,347,231,379,198,182,248,155.3,254,214.5,363,179.5,284.3
44003443527,RI,Kent County,443527,2283,56,2114,19,4,19,0,9,62,2020,38,1889,18,4,13,0,6,52,619.7,572.6,627.6,497.7,535.4,460.7,805.3,696.9,403.3,828.9,589,888,541.8,572.6,619.7,453.9,666.3,565.4,858.5,510.8,714.5
44003443528,RI,Kent County,443528,1579,109,1266,52,1,101,0,7,43,1340,76,1100,45,1,80,0,7,31,376,272,348,218,278,223,424,381,179,489,292,524,260,272,376,206.7,357.8,276,506.5,240.7,402.9
44003443529,RI,Kent County,443529,2803,162,2286,54,0,195,2,13,91,2471,122,2087,42,0,144,2,9,65,631,593.1,631.9,478,503.1,450.4,790.2,682.7,392.8,786.9,600.1,896.3,483.6,593.1,631,440.4,652,541.8,841.6,499.7,703.2
44003443530,RI,Kent County,443530,3283,110,2778,86,0,197,0,19,93,2818,79,2445,72,0,148,0,15,59,1064.5,968.3,1033.5,822.7,861.8,785.1,1328.8,1160.7,647.1,1477.9,982.9,1601.2,818.4,968.3,1064.5,751.7,1096.2,900.6,1539.5,837.4,1218.3
44003443531,RI,Kent County,443531,3254,142,2887,18,3,96,0,19,89,2654,95,2397,16,3,70,0,11,62,1069.8,892.5,940.6,861.4,858.5,769.2,1314.2,1077.8,682.1,1291.3,980.5,1363.4,887.4,892.5,1069.8,770.9,1047.8,933.9,1327.4,845.5,1130.8
44003443532,RI,Kent County,443532,2070,208,1462,65,9,216,0,24,86,1683,138,1260,46,7,164,0,16,52,358.3,335.6,335.4,228.3,268.9,243.6,399.9,369.6,188,496.8,364.7,540.1,303.3,335.6,358.3,220,343.5,334,518.4,277.2,395.6
44003443533,RI,Kent County,443533,1545,90,1271,27,3,70,1,16,67,1278,57,1088,23,3,51,1,11,44,368,358,308,273,256,266,415,331,241,433,393,497,324,358,368,260,327.5,358.5,465,309.2,372.6
44003443701,RI,Kent County,443701,1896,27,1751,13,6,25,0,7,67,1543,18,1439,13,5,23,0,3,42,379.5,594.5,372.6,480.5,263.7,488.4,535.1,420.2,416.1,518.2,688.5,584.6,605.2,594.5,379.5,461.7,397.9,646.9,551.4,545.6,439.1
44003443702,RI,Kent County,443702,1900,45,1641,17,2,114,0,15,66,1559,27,1381,14,2,87,0,13,35,301.9,444,325.6,328.4,255.1,327.6,417.5,367.4,273.6,437.9,478.2,488.6,409.1,444,301.9,309.9,341.4,443.7,463.3,376.8,370.6
44003443703,RI,Kent County,443703,1345,39,1203,6,0,29,0,5,63,1041,30,955,4,0,17,0,2,33,227,444,241,357,200,334,355,280,312,304,508,349,444,444,227,334.3,269,476,326.5,399.8,279.4
44003443704,RI,Kent County,443704,1387,37,1233,15,4,13,0,12,73,1134,25,1044,8,4,13,0,5,35,219.2,419.6,264.7,392.7,215.5,370.5,427.2,316.5,330.1,389,511.5,434.1,451.7,419.6,219.2,364.4,306,481.6,411.6,412.7,323.8
44003443801,RI,Kent County,443801,3804,330,3042,126,17,53,0,36,200,3099,225,2561,101,15,44,0,29,124,551.1,556,510.3,421.8,404.3,409.8,636.4,566.5,349.8,762.3,696.9,878.5,551.4,556,551.1,393.8,529.4,624.1,820.4,497.6,615.6
44003443802,RI,Kent County,443802,3015,330,2312,83,30,55,1,5,199,2400,230,1914,65,21,46,1,2,121,374,352.5,345.9,242.6,256.7,240.1,386.9,360.4,211.8,510.8,412.4,580.5,321.9,352.5,374,231.5,337.5,367.2,545.7,296.9,402.2
44003443803,RI,Kent County,443803,1517,177,1149,48,4,45,0,23,71,1156,103,920,31,4,29,0,16,53,244.9,242,228.3,167.8,161,164.9,256.6,248.8,136.6,285.9,279.1,339.6,215.7,242,244.9,156.5,223.7,247.4,312.7,201,252.2
44003443804,RI,Kent County,443804,4813,419,3850,124,22,125,3,27,243,3960,288,3301,82,20,99,3,24,143,928,1033.5,906,772.7,696,792.9,1186.9,1004.7,641.4,1241.5,1098.7,1409.3,905,1033.5,928,735.6,948.4,1001.9,1325.4,874,1053.2
44003443805,RI,Kent County,443805,2456,257,1976,69,6,36,0,5,107,1954,178,1615,58,3,28,0,4,68,372.5,404.4,373,255,287.3,247.6,439.1,397.6,219.8,528.8,427.5,605.4,327.5,404.4,372.5,240.8,374.2,377.5,567.1,313.6,429.1
44003443806,RI,Kent County,443806,1725,140,1378,70,4,52,1,5,75,1400,83,1176,47,4,46,1,4,39,327.5,363.9,330.7,270.4,256.7,268.1,419.6,369,216.9,428.4,385.2,487.9,317.5,363.9,327.5,251.8,344,351.3,458.1,303.7,374.2
44003443807,RI,Kent County,443807,4440,317,3643,93,11,141,0,33,202,3733,219,3144,75,11,114,0,25,145,936.4,859.9,815.5,650.3,642.2,629.2,1026.6,886.1,559.6,1121.7,997.4,1254.6,836.5,859.9,936.4,613,842.6,917,1188.1,755.5,954.7
44003443808,RI,Kent County,443808,3480,305,2813,54,2,133,2,15,156,2752,195,2300,39,2,109,2,4,101,738.4,849.8,701.8,669,551.1,649.1,934.3,791.4,552.2,936,941.4,1094.6,736.5,849.8,738.4,623.4,744.7,839,1015.3,733,821.1
44003443809,RI,Kent County,443809,2811,127,2349,70,3,123,0,13,126,2406,82,2066,50,3,109,0,13,83,445.5,435.7,414.7,343.9,336.9,354.4,541.5,465.1,276,589.1,486.8,644.4,404.8,435.7,445.5,324.8,439.5,445.8,616.7,383.6,491
44003443810,RI,Kent County,443810,2951,272,2361,70,20,55,2,7,164,2365,174,1982,54,13,41,2,6,93,469.4,472.5,469,325.4,366.7,310.3,558.3,512.8,266.2,634,601.3,741.8,468.2,472.5,469.4,300.6,476.7,534.7,687.9,407.3,536
44005441501,RI,Newport County,441501,2736,64,2533,16,6,17,0,10,90,2281,41,2144,14,6,12,0,8,56,1103.9,548.8,1066.7,539,1000.5,448.8,1388.2,1112.4,446.4,1509.8,635.2,1582.1,550.1,548.8,1103.9,478.1,1141.9,592.6,1546,528,1251.9
44005441502,RI,Newport County,441502,2823,62,2641,23,1,26,0,11,59,2407,42,2276,19,1,23,0,10,36,1071,596.8,1101.8,543.1,964.3,520,1372.8,1132.7,466.4,1288.8,573.4,1372.9,474.1,596.8,1071,509.8,1142.9,523.7,1330.8,529,1186.3
44005441801,RI,Newport County,441801,3616,65,3402,8,0,14,1,20,106,3048,42,2898,6,0,11,1,11,79,1123.2,794.6,1114,765.8,1054.3,633,1392.9,1196.7,646.4,1471.2,919.9,1538.9,829.2,794.6,1123.2,681.7,1189.5,874.6,1505,764.8,1270.2
44005441901,RI,Newport County,441901,2206,78,1988,13,2,36,0,12,77,1775,43,1645,8,1,28,0,10,40,721.1,475.4,696,396.1,668.3,331.6,813.2,715.4,338.9,971.6,500,1000.1,417.4,475.4,721.1,355.5,723.2,458.7,985.9,409.9,798
44005441902,RI,Newport County,441902,2641,103,2339,59,4,43,0,10,83,2196,77,1970,43,3,33,0,7,63,878,552,794,433,738,392,893,813,382,1078,566,1119,470,552,878,402.3,809.5,518,1098.5,465.8,901.9
44005441903,RI,Newport County,441903,2867,168,2272,109,7,78,8,28,197,2383,112,1942,93,7,69,6,26,128,876.1,468.4,782.6,380.7,705.6,335,860.2,806.1,328.8,1098,504.6,1123.2,437.9,468.4,876.1,348.2,788.7,471.3,1110.6,409.2,893.1
44005441904,RI,Newport County,441904,5525,626,3659,441,20,293,9,100,377,4297,394,3004,335,19,232,9,76,228,1099.4,707.2,965.6,563,877.8,473.2,1123.3,1019.5,477.2,1441.9,733.8,1509.8,604,707.2,1099.4,504.5,996.6,668.9,1475.8,593,1148.2
44005441905,RI,Newport County,441905,3836,378,2853,184,10,119,3,32,257,2937,223,2300,136,7,94,1,18,158,730.8,557.6,712.9,442,635.8,394.5,815.8,741.6,395.5,1019.5,595.2,1070.9,489.4,557.6,730.8,410.7,726.5,542.3,1045.2,479,818.2
44005442101,RI,Newport County,442101,2047,233,1604,59,3,30,0,17,101,1748,162,1420,54,3,26,0,15,68,663.3,262.8,611.9,209.5,560.4,176.4,647.7,619.2,172.7,810.3,275.6,814,251.7,262.8,663.3,186.2,609.8,263.7,812.1,224.8,675.2
44005442102,RI,Newport County,442102,4468,808,2816,349,56,68,1,51,319,3468,481,2418,259,34,51,1,29,195,656.4,222.6,1063.7,346.3,942.9,294.4,1104.6,1062.7,316.4,1452.3,459.2,1465.2,375.4,222.6,656.4,319.1,1043.5,417.3,1458.7,335.7,1106.8
44005442103,RI,Newport County,442103,1667,314,1105,88,2,27,0,26,105,1366,210,980,77,2,22,0,24,51,466.9,143,413.9,126,366.9,117,418.9,415.9,108,546.9,159,548.9,134,143,466.9,117,403.9,146.5,547.9,131.2,454.1
44005442104,RI,Newport County,442104,983,67,824,20,2,10,1,3,56,872,51,764,16,2,8,0,2,29,347,114,332,100,318,83,337,335,86,447,107,449,95,114,347,89.7,330.5,101,448,97.5,366.4
