GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ndv,nrv,adv_16,arv_16,adv_18,arv_18
46103VTD2-2,SD,Pennington County,VTD2-2,517,54,307,14,60,15,1,8,58,382,37,237,12,41,14,1,6,34,23.5,39.9,22.8,53.2,24.2,26.5
46103VTD2-3,SD,Pennington County,VTD2-3,5973,391,4210,118,648,168,14,12,412,4679,260,3494,90,417,143,12,8,255,461.6,834.5,443.2,938.7,480,730.4
46103VTD2-4,SD,Pennington County,VTD2-4,6474,476,4252,100,1039,69,4,25,509,5004,304,3586,76,648,65,1,19,305,873.2,1094.8,847.5,1300.5,898.9,889
46103VTD2-5,SD,Pennington County,VTD2-5,1335,102,679,47,436,19,0,8,44,1241,90,638,43,416,16,0,7,31,92.6,84.8,94.2,95,91,74.5
46103VTD3-1,SD,Pennington County,VTD3-1,1238,49,1028,5,68,11,0,5,72,1009,19,874,4,57,10,0,4,41,234.1,394.4,229.7,442.1,238.4,346.7
46103VTD3-2,SD,Pennington County,VTD3-2,5348,145,4672,51,148,123,0,34,175,4066,83,3678,37,73,82,0,18,95,743.2,1972,695.5,2163.2,790.8,1780.7
46103VTD3-3,SD,Pennington County,VTD3-3,2241,97,1879,43,37,64,0,4,117,1828,62,1551,37,35,54,0,4,85,286.7,606.5,251.7,654.2,321.8,558.8
46103VTD3-4,SD,Pennington County,VTD3-4,5267,203,4513,38,178,64,0,26,245,4101,133,3599,28,112,53,0,21,155,1009,1715.8,956.5,1923.6,1061.6,1508.1
46103VTD3-5,SD,Pennington County,VTD3-5,648,23,576,0,4,17,0,1,27,462,13,425,0,3,8,0,0,13,68.1,154.4,64.2,173,71.9,135.8
46103VTD333,SD,Pennington County,VTD333,1668,145,1103,50,220,14,4,13,119,1140,88,827,31,96,14,3,9,72,121.7,280.5,101,321.2,142.4,239.8
46103VTD4-1,SD,Pennington County,VTD4-1,2019,113,935,50,764,41,0,2,114,1725,70,815,48,684,29,0,2,77,162,222.4,159.2,244.3,164.7,200.4
46103VTD4-2,SD,Pennington County,VTD4-2,4236,363,2268,63,1145,77,2,10,308,3240,246,1967,61,707,56,2,7,194,455.4,629.1,470,739.5,440.8,518.6
46103VTD4-3,SD,Pennington County,VTD4-3,2616,171,1374,39,763,37,3,5,224,1904,107,1167,34,423,34,3,5,131,331.8,534.9,318.6,618.4,344.9,451.5
46103VTD4-4,SD,Pennington County,VTD4-4,3879,290,1874,53,1297,53,5,8,299,2840,171,1632,30,774,43,5,8,177,433.9,429.3,436,491.4,431.7,367.2
46103VTD4-5,SD,Pennington County,VTD4-5,2230,132,1650,19,217,48,1,11,152,1622,61,1288,16,122,35,1,5,94,229.7,432.7,219,499.1,240.4,366.2
46103VTD5-1,SD,Pennington County,VTD5-1,1565,88,1035,49,250,28,0,7,108,1272,44,936,41,156,24,0,6,65,209.7,285,208.4,320.2,210.9,249.8
46103VTD5-2,SD,Pennington County,VTD5-2,4259,227,3287,62,328,41,1,9,304,3317,142,2708,47,213,36,1,5,165,644.4,929.3,636.6,1059.9,652.2,798.7
46103VTD5-3,SD,Pennington County,VTD5-3,4093,153,3456,44,151,11,3,10,265,3079,91,2707,30,92,10,3,7,139,701.2,1241.7,681.9,1393.2,720.4,1090.1
46103VTD5-4,SD,Pennington County,VTD5-4,2854,114,2366,29,158,32,0,16,139,2372,72,2054,20,108,30,0,14,74,728.5,696.6,702.3,794.1,754.8,599.2
46103VTD5-5,SD,Pennington County,VTD5-5,750,13,691,2,9,8,0,5,22,705,8,658,2,8,8,0,5,16,123,228.7,109,243.4,137,214
46103VTDDG7,SD,Pennington County,VTDDG7,5162,314,3839,101,401,69,9,16,413,3656,208,2842,82,230,58,9,16,211,318.7,843.3,308.6,1003.9,328.8,682.7
46103VTDHC1,SD,Pennington County,VTDHC1,2242,221,1812,10,68,15,0,18,98,1816,126,1554,10,42,7,0,14,63,323.1,806.4,308.6,885.1,337.6,727.7
46103VTDJS5,SD,Pennington County,VTDJS5,1979,68,1756,2,49,18,0,18,68,1747,58,1580,2,35,15,0,16,41,345.2,862.2,331.9,928.8,358.5,795.5
46103VTDN34,SD,Pennington County,VTDN34,2738,153,2156,17,146,26,1,16,223,2025,105,1665,15,99,20,0,10,111,266.8,622.5,263,715.5,270.5,529.5
46103VTDRK4,SD,Pennington County,VTDRK4,1727,19,1623,2,39,1,1,3,39,1420,12,1359,1,14,1,0,3,30,224.4,791.7,221.3,872.8,227.5,710.6
461050VTD-2,SD,Perkins County,0VTD-2,155,1,153,0,1,0,0,0,0,125,1,123,0,1,0,0,0,0,15.6,77.1,14.9,89.7,16.4,64.5
461050VTD-3,SD,Perkins County,0VTD-3,45,0,45,0,0,0,0,0,0,37,0,37,0,0,0,0,0,0,15.2,69.8,14,77.8,16.3,61.8
461050VTD-4,SD,Perkins County,0VTD-4,112,0,109,0,0,0,0,0,3,85,0,82,0,0,0,0,0,3,9.7,42.9,9.8,47.5,9.6,38.4
461050VTD-5,SD,Perkins County,0VTD-5,232,1,222,0,2,0,0,1,6,185,1,177,0,1,0,0,0,6,16.3,106.6,19.5,119.2,13.1,94
461050VTD-6,SD,Perkins County,0VTD-6,200,2,190,0,2,0,0,0,6,159,1,153,0,1,0,0,0,4,17.9,91.9,16,104,19.9,79.9
461050VTD-7,SD,Perkins County,0VTD-7,198,3,187,0,3,1,0,2,2,138,1,132,0,1,1,0,2,1,7.5,105.6,5.7,122.1,9.3,89.2
461050VTD-8,SD,Perkins County,0VTD-8,107,0,101,1,1,0,0,1,3,73,0,68,0,1,0,0,1,3,3.9,52.5,2.5,61.8,5.4,43.2
461050VTD-9,SD,Perkins County,0VTD-9,131,0,118,0,1,0,0,0,12,101,0,91,0,1,0,0,0,9,7.7,65.7,5.8,72,9.6,59.4
46105VTD-12,SD,Perkins County,VTD-12,497,3,478,0,6,1,1,1,7,394,2,384,0,2,0,1,1,4,54,244.3,46.5,273.2,61.5,215.4
46105VTD-L1,SD,Perkins County,VTD-L1,573,16,504,1,34,2,2,2,12,445,7,398,0,27,1,2,2,8,57.7,182.7,50.8,231.2,64.6,134.1
46105VTD-L3,SD,Perkins County,VTD-L3,585,12,544,0,14,1,0,1,13,502,10,470,0,8,1,0,1,12,31.9,146.7,29.5,163.7,34.3,129.8
46107VTD-01,SD,Potter County,VTD-01,392,6,379,1,3,1,0,0,2,321,3,315,1,1,0,0,0,1,63.8,276.5,61,301.6,66.7,251.4
46107VTD-02,SD,Potter County,VTD-02,420,4,406,0,2,0,0,0,8,322,1,314,0,1,0,0,0,6,41.3,156.5,38.2,172.1,44.4,140.8
46107VTD-03,SD,Potter County,VTD-03,746,10,705,0,22,3,0,0,6,614,2,594,0,12,2,0,0,4,47.8,218.3,46.1,239.9,49.4,196.6
46107VTD-04,SD,Potter County,VTD-04,446,11,404,0,16,3,0,0,12,361,7,330,0,12,3,0,0,9,44.3,198.2,41.7,219.8,46.8,176.7
46107VTD-05,SD,Potter County,VTD-05,468,8,420,5,12,7,0,3,13,371,1,345,5,7,5,0,0,8,29.8,152.3,31.6,166.6,28,138
46107VTD-36,SD,Potter County,VTD-36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461090VTD-1,SD,Roberts County,0VTD-1,299,1,254,0,31,0,0,1,12,214,0,191,0,14,0,0,1,8,48.3,101.5,43.2,124,53.4,79
461090VTD-2,SD,Roberts County,0VTD-2,857,15,811,0,3,1,0,0,27,712,13,684,0,0,1,0,0,14,118.1,297,108.8,323.2,127.5,270.8
461090VTD-3,SD,Roberts County,0VTD-3,462,7,315,1,107,2,0,3,27,350,3,261,1,72,1,0,3,9,71.9,99.3,61.5,116,82.2,82.6
461090VTD-4,SD,Roberts County,0VTD-4,211,2,153,2,48,1,0,0,5,156,0,115,2,34,1,0,0,4,33.3,40.6,30.2,50,36.4,31.2
461090VTD-5,SD,Roberts County,0VTD-5,1055,7,398,1,609,3,0,0,37,751,4,330,1,389,2,0,0,25,216,149.6,200.2,177.5,231.8,121.6
461090VTD-6,SD,Roberts County,0VTD-6,157,8,124,0,22,0,0,0,3,112,2,94,0,13,0,0,0,3,45.8,95.2,38.9,107.4,52.8,83.1
461090VTD-7,SD,Roberts County,0VTD-7,1016,14,794,0,175,0,0,0,33,779,6,644,0,104,0,0,0,25,117.2,243.7,99.4,274.9,135,212.6
461090VTD-8,SD,Roberts County,0VTD-8,316,12,209,2,74,0,0,0,19,219,9,160,2,41,0,0,0,7,47.7,53.6,45.8,64,49.6,43.1
461090VTD-9,SD,Roberts County,0VTD-9,866,19,795,0,20,1,0,0,31,703,15,653,0,18,1,0,0,16,143.2,270.4,131,308,155.5,232.9
461090VTD12,SD,Roberts County,0VTD12,557,33,208,3,240,3,0,2,68,393,23,174,3,160,2,0,2,29,127.8,113.7,125.2,133.8,130.5,93.6
461090VTD13,SD,Roberts County,0VTD13,889,19,368,4,426,8,0,3,61,620,12,317,4,249,6,0,3,29,145.2,125.1,137.2,146,153.1,104.2
461090VTD14,SD,Roberts County,0VTD14,410,32,143,2,215,0,0,0,18,278,17,124,2,130,0,0,0,5,28.2,25,27.6,29.5,28.8,20.6
46109VTD-10,SD,Roberts County,VTD-10,994,19,143,2,780,1,0,5,44,571,9,99,0,434,1,0,5,23,137.4,74,129,78.8,145.9,69.2
46109VTD-11,SD,Roberts County,VTD-11,2191,27,862,15,1182,7,0,4,94,1537,18,742,8,720,5,0,4,40,334.1,365.1,299.2,423.2,368.9,307
461110VTD-1,SD,Sanborn County,0VTD-1,449,9,423,0,4,0,0,0,13,338,6,318,0,3,0,0,0,11,54.8,180.2,55.2,206.8,54.2,153.6
461110VTD-2,SD,Sanborn County,0VTD-2,797,18,749,0,6,3,0,0,21,578,14,545,0,6,2,0,0,11,77.2,217.9,63.8,242,90.6,193.8
461110VTD-4,SD,Sanborn County,0VTD-4,559,17,526,0,1,4,0,0,11,439,11,420,0,0,0,0,0,8,69.6,194.8,69,217.5,70.1,172.1
461110VTD-5,SD,Sanborn County,0VTD-5,525,13,484,0,9,2,0,0,17,412,9,386,0,4,0,0,0,13,64.4,172.8,57.5,192.8,71.2,152.9
461150VTD-1,SD,Spink County,0VTD-1,915,23,870,0,2,0,0,0,20,690,17,661,0,2,0,0,0,10,99.7,287.2,88.5,307.5,110.9,266.9
461150VTD-3,SD,Spink County,0VTD-3,594,4,577,0,3,0,0,0,10,447,3,437,0,1,0,0,0,6,90.2,221.6,77,244.8,103.4,198.5
461150VTD-4,SD,Spink County,0VTD-4,747,9,691,2,27,0,0,0,18,579,4,534,2,27,0,0,0,12,74.7,201.5,63.5,232.2,85.9,170.9
461150VTD-5,SD,Spink County,0VTD-5,658,8,629,0,3,0,0,0,18,489,4,473,0,3,0,0,0,9,71.8,124.2,65.2,133,78.4,115.5
461150VTD-6,SD,Spink County,0VTD-6,229,3,223,0,1,0,0,0,2,178,2,174,0,0,0,0,0,2,36.5,69.7,32.2,83.2,40.8,56.1
461150VTD-7,SD,Spink County,0VTD-7,806,12,775,1,1,0,0,0,17,614,8,594,1,0,0,0,0,11,145.8,281.6,134.5,315,157,248.1
461150VTD-8,SD,Spink County,0VTD-8,284,2,280,0,0,0,0,0,2,220,1,218,0,0,0,0,0,1,50.9,88.5,45.8,96.2,56,80.8
461150VTD-9,SD,Spink County,0VTD-9,1049,51,944,12,10,2,0,1,29,824,42,748,8,7,1,0,0,18,192.8,297.9,169.8,353.5,215.8,242.4
46115VTD-10,SD,Spink County,VTD-10,1079,31,1006,8,14,0,0,0,20,840,20,803,2,6,0,0,0,9,181.8,277.7,173.7,301.4,189.8,254
461170VTD-1,SD,Stanley County,0VTD-1,2620,26,2237,11,176,5,9,5,151,1972,16,1735,10,95,5,9,5,97,366.4,949.9,304.1,1058,428.7,841.9
461170VTD-2,SD,Stanley County,0VTD-2,144,1,130,0,7,0,0,0,6,117,1,108,0,4,0,0,0,4,12.8,65.5,11.7,70.7,14,60.3
461170VTD-3,SD,Stanley County,0VTD-3,216,4,186,1,10,0,0,0,15,155,0,141,1,3,0,0,0,10,16.1,70.9,12.5,79.2,19.7,62.6
461190VTD-1,SD,Sully County,0VTD-1,263,9,253,0,0,0,0,0,1,221,8,212,0,0,0,0,0,1,28.7,124.8,24.4,131.2,33.1,118.3
461190VTD-2,SD,Sully County,0VTD-2,152,2,145,1,1,1,0,0,2,105,2,100,1,1,0,0,0,1,17.1,93.3,14.6,103,19.6,83.6
461190VTD-5,SD,Sully County,0VTD-5,148,7,130,0,0,0,0,0,11,134,6,118,0,0,0,0,0,10,20.4,91.5,17.9,99.3,22.9,83.8
461190VTD-6,SD,Sully County,0VTD-6,250,4,233,3,3,0,0,0,7,214,3,199,3,3,0,0,0,6,28.8,76.5,25.2,83.4,32.5,69.6
46119VTD2-1,SD,Sully County,VTD2-1,224,3,209,0,1,1,0,0,10,166,3,154,0,0,0,0,0,9,25.3,102.1,21.9,113.6,28.6,90.5
46119VTD2-2,SD,Sully County,VTD2-2,209,10,178,1,5,2,0,0,13,156,7,142,1,0,0,0,0,6,32.5,110.2,28,116.8,37,103.7
46119VTD3-2,SD,Sully County,VTD3-2,200,7,186,0,0,2,0,0,5,144,2,141,0,0,0,0,0,1,12.6,47.9,10.9,52.4,14.3,43.3
46121VTD-BO,SD,Todd County,VTD-BO,286,10,8,0,264,0,0,0,4,167,3,5,0,157,0,0,0,2,45.1,12.4,41.2,14.2,48.9,10.7
46121VTD-JE,SD,Todd County,VTD-JE,137,2,86,0,43,0,0,0,6,103,2,74,0,23,0,0,0,4,12.5,60.9,10.4,63.2,14.6,58.5
46121VTD-LA,SD,Todd County,VTD-LA,516,24,121,1,346,1,0,0,23,292,8,87,1,184,1,0,0,11,16.3,82.2,10.8,89.2,21.7,75.3
46121VTD-OK,SD,Todd County,VTD-OK,274,4,61,0,205,1,0,0,3,202,3,50,0,146,1,0,0,2,75.1,41.1,77.3,44.2,72.9,37.9
46121VTD-PA,SD,Todd County,VTD-PA,1527,16,40,0,1451,2,0,0,18,932,3,37,0,881,1,0,0,10,228.3,32.2,220,35.9,236.6,28.5
46121VTD-RO,SD,Todd County,VTD-RO,1888,47,60,1,1746,3,0,0,31,1181,23,53,1,1083,2,0,0,19,363.9,56,338.6,64.4,389.3,47.6
46121VTD-SA,SD,Todd County,VTD-SA,1038,36,94,3,847,10,0,0,48,635,15,87,1,503,8,0,0,21,186.2,59.9,171.8,66.3,200.7,53.6
46121VTD-SF,SD,Todd County,VTD-SF,1651,11,61,2,1522,19,0,0,36,996,8,57,2,902,9,0,0,18,266.1,61.5,262.8,72.3,269.3,50.6
46121VTDMNA,SD,Todd County,VTDMNA,2002,72,154,3,1698,9,0,0,66,1107,36,121,1,910,4,0,0,35,405.2,104.6,371.5,115.2,438.9,94
46123VTD-CF,SD,Tripp County,VTD-CF,250,0,234,2,6,0,0,0,8,189,0,181,1,2,0,0,0,5,33.8,100.9,30,108,37.6,93.8
46123VTD-CL,SD,Tripp County,VTD-CL,783,1,686,0,62,0,0,0,34,592,1,528,0,47,0,0,0,16,75.2,274.8,66,303,84.5,246.6
46123VTD-E2,SD,Tripp County,VTD-E2,404,10,349,0,20,0,0,0,25,303,6,270,0,15,0,0,0,12,53.2,177.1,46.3,193.9,60.2,160.3
46123VTD-E3,SD,Tripp County,VTD-E3,753,8,587,1,130,3,0,0,24,577,7,480,1,70,3,0,0,16,60.8,214.8,50.3,236.4,71.2,193.1
46123VTD-HM,SD,Tripp County,VTD-HM,167,1,147,0,11,0,0,0,8,139,1,120,0,10,0,0,0,8,11.9,77.2,9.6,87.2,14.2,67.2
46123VTD-ID,SD,Tripp County,VTD-ID,190,2,94,2,87,0,0,0,5,124,2,68,2,50,0,0,0,2,14.7,62.9,14.7,68.6,14.7,57.2
46123VTD-LK,SD,Tripp County,VTD-LK,232,0,220,0,10,0,0,1,1,189,0,185,0,2,0,0,1,1,22.9,123.4,14,138.5,31.9,108.2
46123VTD-LM,SD,Tripp County,VTD-LM,781,10,495,0,244,2,0,0,30,569,9,416,0,130,1,0,0,13,74.3,243.1,64.7,258.8,83.9,227.3
46123VTD-SU,SD,Tripp County,VTD-SU,172,0,141,0,14,0,0,0,17,136,0,116,0,7,0,0,0,13,27.9,69.7,25.2,71,30.6,68.4
46123VTD-W2,SD,Tripp County,VTD-W2,863,3,621,4,174,0,0,2,59,644,2,517,4,97,0,0,2,22,82.4,244.6,72.2,276.5,92.5,212.8
46123VTD-W3,SD,Tripp County,VTD-W3,531,14,304,0,180,0,0,0,33,416,8,254,0,129,0,0,0,25,57.5,135.4,54.2,153.1,60.8,117.8
46123VTD-WT,SD,Tripp County,VTD-WT,184,4,153,1,12,0,0,1,13,147,2,127,1,10,0,0,1,6,26.4,73.6,21.9,80.6,30.9,66.5
46123VTDSE1,SD,Tripp County,VTDSE1,314,1,281,0,22,0,0,0,10,259,1,233,0,19,0,0,0,6,30.2,111.5,24.5,126,36,97
461250VTD-1,SD,Turner County,0VTD-1,1688,47,1560,6,8,1,1,3,62,1292,25,1222,4,4,1,1,3,32,191.7,574.5,171.9,648,211.6,501
461250VTD-2,SD,Turner County,0VTD-2,2009,79,1823,5,11,4,0,3,84,1428,53,1320,1,10,4,0,0,40,226.5,636.5,200.8,719,252.1,554
461250VTD-3,SD,Turner County,0VTD-3,636,10,592,0,7,0,1,0,26,456,6,434,0,3,0,1,0,12,69.9,222.9,61.2,256.5,78.5,189.4
461250VTD-4,SD,Turner County,0VTD-4,560,5,544,1,2,0,0,1,7,427,2,417,0,2,0,0,1,5,70.8,205.6,58.5,214.2,83.1,196.9
461250VTD-5,SD,Turner County,0VTD-5,1006,34,929,5,5,3,0,3,27,759,11,719,4,3,3,0,2,17,143.4,369.5,130.8,407.5,156.1,331.5
461250VTD-6,SD,Turner County,0VTD-6,1078,36,986,7,20,2,0,2,25,825,21,774,3,9,1,0,2,15,135.4,324.9,133.4,356.5,137.4,293.2
461250VTD-7,SD,Turner County,0VTD-7,411,9,396,1,0,0,0,0,5,295,7,286,1,0,0,0,0,1,56.4,101.6,44.8,116.5,68,86.7
461250VTD-8,SD,Turner County,0VTD-8,1285,29,1213,12,1,2,0,1,27,931,13,897,2,1,2,0,1,15,139.8,387.1,130.8,423.2,148.9,351
461270VTD-1,SD,Union County,0VTD-1,525,6,503,0,2,1,0,0,13,383,2,375,0,0,1,0,0,5,83.2,226.3,77.8,257,88.6,195.6
461270VTD-3,SD,Union County,0VTD-3,437,8,410,0,1,1,0,0,17,319,2,310,0,0,1,0,0,6,229.1,435.1,221.8,512.8,236.4,357.5
461270VTD-4,SD,Union County,0VTD-4,346,5,315,6,3,1,0,0,16,262,2,242,2,0,1,0,0,15,114.8,218.7,117.5,255.8,112,181.6
461270VTD-5,SD,Union County,0VTD-5,262,5,249,0,1,1,0,0,6,208,5,203,0,0,0,0,0,0,150.4,294.2,137.2,331.3,163.7,257.1
461270VTD-7,SD,Union County,0VTD-7,701,19,655,0,5,4,0,0,18,517,8,490,0,1,2,0,0,16,113.2,390.9,107.8,443.2,118.5,338.5
461270VTD-8,SD,Union County,0VTD-8,2286,90,2080,10,13,14,1,4,74,1665,56,1537,4,10,13,1,4,40,111.8,300.9,102.2,354.5,121.2,247.4
461270VTD-9,SD,Union County,0VTD-9,1193,40,1088,3,4,9,0,2,47,864,19,808,1,1,7,0,2,26,132.2,255.2,126,307,138.5,203.5
46127VTD-10,SD,Union County,VTD-10,713,14,662,5,1,1,0,7,23,557,10,520,1,0,0,0,7,19,193.6,352.9,201,424,186.1,281.8
46127VTD-11,SD,Union County,VTD-11,2442,166,2038,54,47,17,2,6,112,1892,99,1636,33,30,12,2,6,74,188.3,416.9,199.5,499.8,177.1,334.1
46127VTD-12,SD,Union County,VTD-12,1279,51,1114,23,8,18,22,0,43,1030,39,898,22,6,14,22,0,29,157.2,653.3,135.5,731.5,178.8,575
46127VTD-13,SD,Union County,VTD-13,4004,155,3473,66,15,166,2,8,119,2987,88,2657,44,10,118,2,8,60,262.4,849.8,248.2,918,276.5,781.6
46127VTD-A1,SD,Union County,VTD-A1,254,2,237,0,0,1,0,1,13,206,2,196,0,0,1,0,1,6,58.5,104.2,53.3,119.6,63.6,88.9
46127VTD-A2,SD,Union County,VTD-A2,261,6,242,0,7,0,0,1,5,197,6,181,0,4,0,0,1,5,62.5,111.5,57,127.8,68,95.1
46127VTD-A3,SD,Union County,VTD-A3,296,10,272,0,4,8,0,0,2,258,4,240,0,4,8,0,0,2,7.9,14.1,7.2,16.1,8.6,12
46127VTD-B1,SD,Union County,VTD-B1,500,42,430,0,1,1,0,0,26,351,18,319,0,0,1,0,0,13,100.7,213.6,87.4,242.9,114,184.2
46127VTD-B2,SD,Union County,VTD-B2,671,18,634,0,4,2,0,0,13,487,8,465,0,4,2,0,0,8,48.6,103,42.1,117.2,55,88.9
46127VTD-B3,SD,Union County,VTD-B3,641,24,592,2,4,2,0,0,17,474,19,440,2,4,1,0,0,8,35.4,75.1,30.7,85.4,40.1,64.8
46129VTD-01,SD,Walworth County,VTD-01,198,1,187,0,3,0,0,0,7,152,0,149,0,1,0,0,0,2,22.3,115.4,21.2,121.5,23.4,109.4
46129VTD-02,SD,Walworth County,VTD-02,283,1,271,1,2,0,0,0,8,216,0,213,1,0,0,0,0,2,29.6,118.1,27,121.8,32.2,114.4
46129VTD-03,SD,Walworth County,VTD-03,767,10,704,2,30,3,0,3,15,631,9,583,2,24,2,0,3,8,59.8,331.1,49.5,356.2,70,306
46129VTD-04,SD,Walworth County,VTD-04,522,8,319,0,160,1,0,1,33,435,3,285,0,120,1,0,1,25,39.7,104.6,40,119.4,39.4,89.8
46129VTD-05,SD,Walworth County,VTD-05,895,26,599,1,203,1,0,2,63,613,18,467,1,98,0,0,2,27,95,209.4,84.4,233.6,105.5,185.3
46129VTD-06,SD,Walworth County,VTD-06,1067,19,737,4,222,3,0,2,80,830,12,622,2,151,0,0,2,41,115.6,335.8,101,374.1,130.3,297.5
46129VTD-07,SD,Walworth County,VTD-07,1033,18,805,0,154,3,0,0,53,779,8,643,0,98,2,0,0,28,107.3,310.6,104.2,346.3,110.4,274.9
46129VTD-08,SD,Walworth County,VTD-08,150,4,142,0,0,0,0,1,3,117,3,111,0,0,0,0,1,2,11.5,66.4,7.8,72.8,15.2,60.1
46129VTD-09,SD,Walworth County,VTD-09,133,4,112,0,5,0,0,0,12,109,3,94,0,5,0,0,0,7,13.8,60,13.3,70.4,14.2,49.5
46129VTD-10,SD,Walworth County,VTD-10,267,8,240,0,7,0,0,0,12,215,3,201,0,7,0,0,0,4,20.1,122.2,17,135.6,23.1,108.8
461350VTD-1,SD,Yankton County,0VTD-1,23310,1234,20195,312,638,129,9,41,752,18382,853,16274,268,446,107,4,29,401,3303.9,5552.1,3126.8,6230,3481,4874.2
46137VTD-BR,SD,Ziebach County,VTD-BR,188,3,20,0,163,0,0,0,2,118,1,20,0,97,0,0,0,0,25.4,6.9,23.8,6.5,27.1,7.2
46137VTD-CC,SD,Ziebach County,VTD-CC,352,3,37,0,297,0,1,2,12,239,3,35,0,194,0,0,2,5,43.4,9.3,43.9,9.7,42.9,8.9
46137VTD-DV,SD,Ziebach County,VTD-DV,714,8,51,0,632,1,1,0,21,406,5,34,0,354,0,0,0,13,132.1,77.1,106.9,83.3,157.4,70.9
46137VTD-GV,SD,Ziebach County,VTD-GV,86,0,54,0,27,0,0,0,5,60,0,44,0,11,0,0,0,5,15.6,48.5,12.5,56.2,18.8,40.8
46137VTD-ND,SD,Ziebach County,VTD-ND,98,3,39,0,51,0,0,0,5,51,1,28,0,18,0,0,0,4,19.1,25.4,16.9,28.2,21.3,22.5
46137VTD-RD,SD,Ziebach County,VTD-RD,260,3,73,0,170,2,1,0,11,198,1,73,0,120,0,0,0,4,74.6,99.3,65.9,110.4,83.2,88.1
46137VTD-RS,SD,Ziebach County,VTD-RS,164,2,19,0,143,0,0,0,0,110,0,19,0,91,0,0,0,0,55.1,19.4,51.5,21,58.6,17.7
46137VTD-SD,SD,Ziebach County,VTD-SD,551,12,111,0,416,0,0,0,12,388,11,108,0,263,0,0,0,6,53.2,70.5,47,78.4,59.3,62.5
