GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_18_rep_new,uss_18_dem_klo,gov_18_rep_joh,gov_18_dem_wal,atg_18_rep_war,atg_18_dem_ell,sos_18_rep_how,sos_18_dem_sim,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_smi,uss_20_rep_lew,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
27003000315,MN,Anoka County,000315,2127,116,1632,112,4,113,0,13,137,1694,71,1389,71,4,82,0,8,69,532.5,511.4,356.3,564.5,403.4,505.4,421.4,453.4,406.4,489.4,633.5,568.6,559.5,514.5,532.5,511.4,396.9,503.2,541.5,596.5,457.6,531
27003000320,MN,Anoka County,000320,1681,122,1309,81,7,65,0,6,91,1279,70,1071,49,4,40,0,4,41,420.4,333.8,265.8,413.5,318,363.3,328.9,315.1,310.1,352.5,444,454.9,381,424.4,420.4,333.8,305.7,361.1,439.6,412.5,360.4,371.9
27003000325,MN,Anoka County,000325,4230,469,2742,225,28,525,3,17,221,3034,309,2090,125,26,374,3,5,102,890.8,786.3,596.3,866.6,708.8,743.5,747.1,666,729.1,723.3,1101.6,1030.2,969.7,961,890.8,786.3,695.3,749.8,995.6,1035.7,809,836.7
27003000330,MN,Anoka County,000330,1951,53,1523,107,9,161,0,1,97,1482,31,1201,59,5,133,0,0,53,506.5,411.7,359.8,461.7,421.8,389.7,448.8,335.4,430.3,366.3,640.5,619.1,568.4,603.8,506.5,411.7,415.2,388.3,611.5,604.5,484.3,453.4
27003000335,MN,Anoka County,000335,2042,138,1504,75,12,220,0,6,87,1577,76,1238,49,12,153,0,2,47,494.9,468.1,329.3,568.1,414.8,490.2,439,425.7,427,460,584,569,524,497.7,494.9,468.1,402.5,486,533.3,554,453.1,502.9
27003000340,MN,Anoka County,000340,2160,60,1768,68,6,127,0,2,129,1640,30,1402,44,5,81,0,0,78,594.4,447.4,368.6,594.5,450.8,484.5,464.9,433.2,455.8,457.4,597.5,585.8,508.6,579.6,594.4,447.4,435,492.4,582.7,553.1,500,503.3
27003000405,MN,Anoka County,000405,2319,164,1749,142,20,118,0,8,118,1820,99,1456,97,14,83,0,4,67,527,523,351,589,406,520,433,452,409,516,702,578,603,528,527,523,399.8,519.2,553,652.5,461.7,557.9
27003000410,MN,Anoka County,000410,2159,129,1446,172,5,298,3,16,90,1620,75,1150,105,5,208,3,12,62,500,532.4,322.1,568.6,384.8,501.9,399,447.4,375.8,483.7,669.5,564.5,597.7,511.1,500,532.4,370.4,500.4,537.8,633.6,436.8,543
27003000415,MN,Anoka County,000415,2702,258,1866,239,5,191,1,26,116,2056,157,1541,150,4,125,1,12,66,596.9,650.3,378,666.5,454.9,588.5,475.9,531.5,454.9,561.6,784.4,655.4,686.1,611.3,596.9,650.3,440.9,587,633.4,735.2,518.2,638.4
27003000420,MN,Anoka County,000420,2509,130,1739,239,2,262,0,15,122,1904,83,1414,145,1,187,0,12,62,508.1,592.3,331.8,626.9,383.3,564.5,395.2,506.1,377.4,545.7,816.1,609.1,703.2,559.6,508.1,592.3,371.9,560.8,584.4,759.7,452.1,622.1
27003000425,MN,Anoka County,000425,2959,114,2027,254,9,399,0,6,150,2191,71,1572,170,5,282,0,6,85,670.2,698.2,487.7,775,576.5,675.2,603.4,619.4,581.5,637.3,928.6,738.1,816.9,722.1,670.2,698.2,562.3,676.7,730.1,872.7,625.6,735.8
27003000430,MN,Anoka County,000430,2214,64,1645,101,0,302,0,6,96,1714,33,1330,62,0,236,0,6,47,616.7,573.9,468.7,656.8,567.6,549.9,603.5,497.9,568.6,526.9,751.9,714.5,667.9,724.4,616.7,573.9,552.1,557.9,719.5,709.9,609.1,603.6
27003000435,MN,Anoka County,000435,1961,56,1574,114,6,125,0,0,86,1465,36,1214,67,6,90,0,0,52,556,447,425,536,502,451,530,401,513,423,596,628,522,621,556,447,492.5,452.8,624.5,559,539.3,482.3
27003000440,MN,Anoka County,000440,4617,143,3640,144,13,490,2,13,172,3081,81,2476,92,11,350,0,3,68,1163.3,892.2,954,1109,1108.7,946.5,1162.2,817.2,1110.7,905.7,1316.2,1354.9,1199.4,1353.9,1163.3,892.2,1083.9,944.6,1354.4,1257.8,1172.5,1026.6
27003000505,MN,Anoka County,000505,3417,512,2184,199,35,281,0,11,195,2500,289,1753,119,23,200,0,7,109,605,612,394,696,447,638,490,553,466,601,804,757,703,662,605,612,449.2,622,709.5,753.5,545.9,658.1
