GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_kai,uss_18_rep_ste,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
51015000101,VA,Augusta County,000101,2089,50,1820,75,1,52,0,7,84,1715,31,1518,62,1,38,0,4,61,293.1,627.9,307.2,526,627.9,293.1,526,307.2,NA,NA,577,300.2
51015000102,VA,Augusta County,000102,3019,185,2490,192,10,17,0,8,117,2348,101,2002,153,9,13,0,4,66,339.1,805.8,320.5,596.6,805.8,339.1,596.6,320.5,NA,NA,701.2,329.8
51015000103,VA,Augusta County,000103,5353,322,4536,273,9,20,2,13,178,4372,193,3803,250,7,19,2,5,93,486.2,1425.1,455.9,1102.6,1425.1,486.2,1102.6,455.9,NA,NA,1263.9,471.1
51015000201,VA,Augusta County,000201,5082,163,4539,162,8,13,0,14,183,4013,93,3648,131,7,11,0,9,114,388.4,1610.7,398.4,1141.4,1610.7,388.4,1141.4,398.4,NA,NA,1376.1,393.4
51015000202,VA,Augusta County,000202,2245,74,2028,40,6,3,4,10,80,1798,50,1648,30,6,3,2,9,50,210.1,779,217,654.5,779,210.1,654.5,217,NA,NA,716.7,213.5
51015000203,VA,Augusta County,000203,3901,370,3272,62,9,24,1,15,148,3019,253,2587,41,9,20,1,12,96,494.5,1480.7,512.5,1156.4,1480.7,494.5,1156.4,512.5,NA,NA,1318.5,503.5
51015000301,VA,Augusta County,000301,5512,202,4986,89,10,26,0,11,188,4334,128,3991,59,10,19,0,8,119,692.2,1986,719.2,1616.9,1986,692.2,1616.9,719.2,NA,NA,1801.4,705.7
51015000302,VA,Augusta County,000302,1462,128,1284,5,2,1,0,11,31,1134,78,1018,4,2,1,0,11,20,127.2,575.3,148.2,482.7,575.3,127.2,482.7,148.2,NA,NA,529,137.7
51015000303,VA,Augusta County,000303,2152,51,2037,21,0,3,0,6,34,1677,40,1597,16,0,2,0,6,16,132.3,824.1,134.3,637.3,824.1,132.3,637.3,134.3,NA,NA,730.7,133.3
51015000304,VA,Augusta County,000304,1679,34,1556,17,3,12,0,4,53,1344,14,1272,13,3,9,0,4,29,174.9,723.2,196.4,591.4,723.2,174.9,591.4,196.4,NA,NA,657.3,185.7
51015000401,VA,Augusta County,000401,2016,20,1913,20,0,3,0,3,57,1620,13,1555,18,0,3,0,3,28,199.8,753.6,187.1,573.4,753.6,199.8,573.4,187.1,NA,NA,663.5,193.4
51015000402,VA,Augusta County,000402,1836,19,1756,7,4,4,0,3,43,1513,10,1454,7,4,3,0,3,32,179.7,801.7,215.8,663.8,801.7,179.7,663.8,215.8,NA,NA,732.8,197.8
51015000403,VA,Augusta County,000403,3169,128,2252,678,8,3,0,1,99,2793,117,1930,678,8,1,0,1,58,126,560,111,442,560,126,442,111,NA,NA,501,118.5
51015000404,VA,Augusta County,000404,624,4,603,1,0,0,0,0,16,532,1,520,1,0,0,0,0,10,36.3,287.4,54.4,221.2,287.4,36.3,221.2,54.4,NA,NA,254.3,45.3
51015000405,VA,Augusta County,000405,2480,54,2266,77,5,6,1,6,65,2032,29,1881,66,3,6,1,6,40,389.3,942.7,403.6,724.7,942.7,389.3,724.7,403.6,NA,NA,833.7,396.4
51015000501,VA,Augusta County,000501,3474,57,3174,142,7,9,0,3,82,2827,40,2579,138,7,6,0,2,55,293.3,1289,350.2,1041.6,1289,293.3,1041.6,350.2,NA,NA,1165.3,321.8
51015000502,VA,Augusta County,000502,1477,29,1365,30,5,10,0,3,35,1183,22,1100,24,5,7,0,0,25,185,608,184,530,608,185,530,184,NA,NA,569,184.5
51015000503,VA,Augusta County,000503,1707,15,1634,4,0,3,0,2,49,1371,11,1320,3,0,2,0,0,35,180.7,685,159.8,568.4,685,180.7,568.4,159.8,NA,NA,626.7,170.2
51015000504,VA,Augusta County,000504,4577,84,4135,124,2,24,2,4,202,3539,53,3227,105,2,17,2,4,129,380,1412,360,1090,1412,380,1090,360,NA,NA,1251,370
51015000601,VA,Augusta County,000601,2493,57,2245,84,3,16,1,9,78,1976,34,1800,69,3,14,1,3,52,258,913,268,726,913,258,726,268,NA,NA,819.5,263
51015000602,VA,Augusta County,000602,5508,140,5009,99,10,47,7,15,181,4364,93,4036,73,6,36,5,11,104,587,1991,579,1585,1991,587,1585,579,NA,NA,1788,583
51015000603,VA,Augusta County,000603,3425,125,2996,132,7,41,0,16,108,2823,86,2512,116,5,31,0,9,64,480.9,1253.7,504.1,1044.6,1253.7,480.9,1044.6,504.1,NA,NA,1149.1,492.5
51015000801,VA,Augusta County,000801,2708,48,2555,40,4,2,0,0,59,2181,30,2071,35,3,2,0,0,40,302.1,1067.9,321.6,823.7,1067.9,302.1,823.7,321.6,NA,NA,945.8,311.8
51015000802,VA,Augusta County,000802,4287,112,3832,186,5,39,1,9,103,3430,72,3106,149,3,33,1,8,58,711.5,1629,733.7,1344.4,1629,711.5,1344.4,733.7,NA,NA,1486.7,722.6
51015000803,VA,Augusta County,000803,5212,257,4092,512,12,83,8,25,223,4079,160,3299,407,10,59,8,13,123,588.8,1161.1,645.1,931.2,1161.1,588.8,931.2,645.1,NA,NA,1046.2,616.9
51017000101,VA,Bath County,000101,767,21,691,30,1,0,0,1,23,644,15,581,27,0,0,0,0,21,121.3,268.2,129.1,180.8,268.2,121.3,180.8,129.1,NA,NA,224.5,125.2
51017000102,VA,Bath County,000102,143,4,128,3,2,1,0,0,5,127,4,115,3,2,1,0,0,2,17.3,77.2,18.1,53.2,77.2,17.3,53.2,18.1,NA,NA,65.2,17.7
51017000201,VA,Bath County,000201,726,22,606,47,0,9,0,0,42,591,16,499,41,0,9,0,0,26,145,194,113,151,194,145,151,113,NA,NA,172.5,129
51017000301,VA,Bath County,000301,671,8,638,6,0,0,0,1,18,546,7,525,6,0,0,0,1,7,42.9,282.6,60.4,209.5,282.6,42.9,209.5,60.4,NA,NA,246.1,51.7
51017000302,VA,Bath County,000302,231,1,228,1,0,0,0,0,1,193,1,191,1,0,0,0,0,0,22,87,18,49,87,22,49,18,NA,NA,68,20
51017000401,VA,Bath County,000401,873,10,811,10,0,2,0,1,39,743,9,703,8,0,2,0,1,20,128.4,324.9,110.3,256.6,324.9,128.4,256.6,110.3,NA,NA,290.8,119.4
51017000501,VA,Bath County,000501,798,7,739,17,0,5,1,1,28,668,3,621,15,0,4,1,0,24,123,311,124,238,311,123,238,124,NA,NA,274.5,123.5
51019000101,VA,Bedford County,000101,3728,146,3380,57,12,12,4,20,97,3086,82,2858,54,12,12,2,6,60,345,1441.6,332.2,1138.2,1441.6,345,1138.2,332.2,NA,NA,1289.9,338.6
51019000102,VA,Bedford County,000102,1428,46,1321,8,3,4,1,4,41,1164,24,1097,4,3,4,0,3,29,184.5,597.5,179.5,484.2,597.5,184.5,484.2,179.5,NA,NA,540.9,182
51019000103,VA,Bedford County,000103,2682,58,2357,115,8,9,2,4,129,2166,28,1947,100,8,5,1,3,74,286.7,976,277.4,788.7,976,286.7,788.7,277.4,NA,NA,882.4,282
51019000104,VA,Bedford County,000104,2460,51,2302,23,1,7,1,2,73,1987,27,1895,18,1,6,0,2,38,252,933,250,719,933,252,719,250,NA,NA,826,251
51019000201,VA,Bedford County,000201,1329,24,1109,134,1,5,0,9,47,1084,22,907,114,0,5,0,6,30,182.4,511.6,172.2,443.6,511.6,182.4,443.6,172.2,NA,NA,477.6,177.3
51019000202,VA,Bedford County,000202,1997,72,1713,117,14,4,0,8,69,1607,37,1400,94,14,4,0,7,51,198.5,677.5,193.6,552.4,677.5,198.5,552.4,193.6,NA,NA,614.9,196
51019000203,VA,Bedford County,000203,3506,80,3158,146,2,19,3,14,84,2968,51,2695,125,2,19,0,14,62,461.4,1407.1,457.4,1122.5,1407.1,461.4,1122.5,457.4,NA,NA,1264.8,459.4
51019000204,VA,Bedford County,000204,1306,35,1143,82,1,3,0,4,38,1019,19,913,68,1,2,0,2,14,146.9,426.3,149.8,367.9,426.3,146.9,367.9,149.8,NA,NA,397.1,148.4
51019000205,VA,Bedford County,000205,2409,50,2183,63,3,13,3,9,85,2115,40,1938,48,0,9,2,8,70,360.6,1022,369.4,937.2,1022,360.6,937.2,369.4,NA,NA,979.6,365
51019000301,VA,Bedford County,000301,3352,75,2873,178,5,82,1,1,137,2504,52,2174,141,4,58,1,0,74,112.1,495,349.1,1174.3,495,112.1,1174.3,349.1,NA,NA,834.6,230.6
51019000302,VA,Bedford County,000302,2431,36,2081,204,5,7,0,9,89,1992,29,1736,166,4,5,0,6,46,303.3,1007.7,281.1,790.8,1007.7,303.3,790.8,281.1,NA,NA,899.3,292.2
51019000303,VA,Bedford County,000303,1411,24,1242,67,1,7,1,5,64,1098,16,974,56,1,6,0,5,40,183,620,168,503,620,183,503,168,NA,NA,561.5,175.5
51019000304,VA,Bedford County,000304,1416,27,1209,110,0,5,0,4,61,1116,19,965,89,0,4,0,3,36,212,626,197,515,626,212,515,197,NA,NA,570.5,204.5
51019000305,VA,Bedford County,000305,1302,23,1105,116,2,3,0,5,48,1052,12,922,92,1,2,0,5,18,147.1,528.3,108.1,430.3,528.3,147.1,430.3,108.1,NA,NA,479.3,127.6
51019000306,VA,Bedford County,000306,2004,64,1658,96,12,73,2,14,85,1593,39,1347,87,10,54,2,10,44,375.9,1661.9,183.3,755.9,1661.9,375.9,755.9,183.3,NA,NA,1208.9,279.6
51019000401,VA,Bedford County,000401,3629,142,2933,227,5,173,1,13,135,2769,88,2302,174,4,118,0,12,71,475,1392,447,1275,1392,475,1275,447,NA,NA,1333.5,461
51019000402,VA,Bedford County,000402,2152,83,1744,188,1,62,0,1,73,1718,57,1406,165,0,49,0,1,40,325,895,303,661,895,325,661,303,NA,NA,778,314
51019000403,VA,Bedford County,000403,4787,231,3888,295,3,165,1,19,185,3885,165,3242,238,3,113,0,19,105,610.2,1777.7,629.1,1408.3,1777.7,610.2,1408.3,629.1,NA,NA,1593,619.7
51019000404,VA,Bedford County,000404,2829,91,2434,115,1,65,1,6,116,2178,49,1914,94,1,53,1,6,60,367,1311,380,1148,1311,367,1148,380,NA,NA,1229.5,373.5
51019000502,VA,Bedford County,000502,1072,12,919,90,5,3,0,2,41,831,7,708,81,3,3,0,1,28,133.3,416.3,127,331.2,416.3,133.3,331.2,127,NA,NA,373.7,130.2
51019000503,VA,Bedford County,000503,1125,22,977,85,5,2,0,5,29,939,11,820,79,5,1,0,5,18,140.9,488.1,141.9,399.8,488.1,140.9,399.8,141.9,NA,NA,443.9,141.4
51019000504,VA,Bedford County,000504,1580,27,1374,119,3,4,0,6,47,1309,14,1171,91,3,4,0,6,20,217.8,715.3,197.8,633.8,715.3,217.8,633.8,197.8,NA,NA,674.6,207.8
51019000505,VA,Bedford County,000505,2852,43,2515,184,8,21,0,3,78,2283,34,2024,146,6,14,0,3,56,529.9,1230.2,571.5,985.9,1230.2,529.9,985.9,571.5,NA,NA,1108,550.7
