GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_18_rep_bar,uss_18_dem_tra,gov_18_rep_gor,gov_18_dem_thr,sos_18_rep_buc,sos_18_dem_byr,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_lum,uss_20_dem_dav,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
560070011-2,WY,Carbon County,0011-2,542,19,511,1,1,0,0,1,9,408,15,388,1,1,0,0,1,2,261.7,45.5,222.3,51.2,223.2,36.8,220,40.8,292.5,64.6,300.5,66.2,261.7,45.5,221.8,42.9,296.5,65.4,253.4,50.8
560070012-1,WY,Carbon County,0012-1,36,4,28,0,0,0,0,2,2,33,3,26,0,0,0,0,2,2,133.1,30.7,128.4,34.1,127.3,29.3,124.6,33.9,160.7,36,163.4,39.8,133.1,30.7,126.8,32.5,162,37.9,139.6,34
560070013-1,WY,Carbon County,0013-1,309,14,284,0,0,0,0,1,10,267,10,251,0,0,0,0,1,5,168.3,42,130,50.8,139.7,39.2,134.4,41,184.5,47.4,189.9,45.6,168.3,42,134.7,43.7,187.2,46.5,157.8,44.3
560070014-1,WY,Carbon County,0014-1,231,34,184,0,1,1,0,0,11,170,26,133,0,1,0,0,0,10,89.9,10.1,87.2,6.3,76.9,11,82.6,9,116.4,12.9,123.8,10.2,89.9,10.1,82.2,8.8,120.1,11.6,96.1,9.9
560070015-1,WY,Carbon County,0015-1,671,126,503,2,4,1,1,0,34,482,67,385,2,0,0,1,0,27,303.3,15.6,222.4,20.3,223.2,19.4,227.1,16.5,334.4,15.6,333.5,18.5,303.3,15.6,224.2,18.7,333.9,17,274,17.6
5600701-2-0,WY,Carbon County,01-2-0,319,64,219,6,8,4,0,0,18,245,48,168,6,5,4,0,0,14,11.1,2.9,8.5,2.5,7.9,2.8,8.4,2.5,12.4,3.2,12.4,3.5,11.1,2.9,8.3,2.6,12.4,3.4,10.1,2.9
5600701-2-1,WY,Carbon County,01-2-1,272,28,236,1,0,0,1,1,5,177,10,159,1,0,0,1,1,5,156.7,39,120.4,34.1,112.6,38.3,119.3,33.4,176,43,176.4,47.7,156.7,39,117.5,35.3,176.2,45.4,143.6,39.3
5600701-2-2,WY,Carbon County,01-2-2,24,2,21,1,0,0,0,0,0,22,1,20,1,0,0,0,0,0,2.1,0.6,1.6,0.5,1.5,0.5,1.6,0.5,2.4,0.6,2.4,0.7,2.1,0.6,1.6,0.5,2.4,0.6,2,0.6
5600701-2-3,WY,Carbon County,01-2-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0.9,2.6,0.8,2.4,0.8,2.5,0.7,3.8,1,3.8,1.1,3.4,0.9,2.5,0.8,3.8,1,3.1,0.9
5600701-2-4,WY,Carbon County,01-2-4,13,8,5,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,25.1,4.9,19.2,4.4,18.2,4.9,19.1,4.3,28.2,5.4,28.2,6,25.1,4.9,18.8,4.6,28.2,5.7,23,5
5600705-1-2,WY,Carbon County,05-1-2,5,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1.4,0.2,1.2,0.3,1.1,0.3,1,0.3,1.4,0.2,1.4,0.3,1.4,0.2,1.1,0.3,1.4,0.2,1.3,0.3
5600706-1-1,WY,Carbon County,06-1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.2,0.1,0.2,0,0.2,0,0.4,0,0.4,0,0.4,0,0.2,0.1,0.4,0,0.3,0
5600707-1-2,WY,Carbon County,07-1-2,18,0,18,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,47.3,3.9,40.1,8.9,38.4,8.9,39.8,7.8,44.5,5,46.2,4.3,47.3,3.9,39.4,8.5,45.4,4.6,42.7,6.5
5600711-2-1,WY,Carbon County,11-2-1,132,6,116,0,3,0,0,0,7,114,4,102,0,3,0,0,0,5,65.2,11.3,55.4,12.7,55.6,9.1,54.8,10.1,72.8,16.1,74.9,16.5,65.2,11.3,55.2,10.6,73.9,16.3,63.1,12.6
5600712-1-0,WY,Carbon County,12-1-0,452,10,425,2,0,0,0,0,15,362,4,352,2,0,0,0,0,4,67.8,15.6,65.8,17.3,65.1,14.9,63.7,17.3,82,18.3,83.4,20.3,67.8,15.6,64.9,16.5,82.7,19.3,71.3,17.3
5600713-1-0,WY,Carbon County,13-1-0,66,4,54,1,0,1,0,3,3,62,4,51,0,0,1,0,3,3,14.6,3.6,11.2,4.4,12.1,3.4,11.6,3.6,16,4.1,16.4,4,14.6,3.6,11.7,3.8,16.2,4,13.7,3.9
560090001-1,WY,Converse County,0001-1,252,13,216,0,3,1,0,1,18,215,11,189,0,3,1,0,1,10,156,8,116,4,104,7,112,6,177,11,175,12,156,8,110.7,5.7,176,11.5,140,8
560090002-2,WY,Converse County,0002-2,767,53,698,0,2,2,0,2,10,596,34,550,0,2,2,0,1,7,335.8,41.6,248,47.5,249.8,39,255.6,30.3,368.4,44.8,361.6,49.8,335.8,41.6,251.1,38.9,365,47.3,303.2,42.2
560090003-1,WY,Converse County,0003-1,282,15,255,1,2,0,0,0,9,209,10,190,1,2,0,0,0,6,167.1,8,109.4,24.9,114.4,17.9,121.4,13.9,162.1,17.9,160.2,16.9,167.1,8,115.1,18.9,161.1,17.4,139.1,16.6
560090004-4,WY,Converse County,0004-4,865,32,803,1,4,1,0,2,22,659,22,613,0,4,1,0,2,17,380.1,23.1,291.6,34.1,275.1,36.9,287,31.3,422.4,39.6,409.5,39.7,380.1,23.1,284.6,34.1,415.9,39.7,344.3,34.1
560090006-6,WY,Converse County,0006-6,541,22,493,1,2,2,0,0,21,435,14,405,0,1,2,0,0,13,314,19.7,232.1,32.1,235.6,25.1,232.3,26.2,348.9,25.1,336.2,37.6,314,19.7,233.3,27.8,342.5,31.4,283.2,27.6
560090007-7,WY,Converse County,0007-7,286,9,268,0,2,1,0,0,6,217,5,205,0,1,1,0,0,5,158.2,14.8,120,22.2,118.4,15.7,123.3,18.1,155.2,19,155.2,18.2,158.2,14.8,120.6,18.7,155.2,18.6,138.4,18
560090008-8,WY,Converse County,0008-8,546,39,491,0,1,1,0,0,14,426,27,384,0,1,1,0,0,13,244,17,190,17,185,17,190,18,287,22,276,35,244,17,188.3,17.3,281.5,28.5,228.7,21
560090009-1,WY,Converse County,0009-1,1350,68,1216,3,10,1,0,0,52,999,36,927,2,7,1,0,0,26,495.5,81.4,357.1,107.8,358.1,87.2,378.7,70.6,521,88.2,497.5,118.6,495.5,81.4,364.7,88.6,509.3,103.4,434.7,92.3
560090009-2,WY,Converse County,0009-2,1080,72,954,3,6,7,0,1,37,863,54,776,1,2,7,0,1,22,395.6,66.8,283,85.7,270.1,87.7,284,73.7,393.6,89.7,371.7,112.6,395.6,66.8,279,82.4,382.7,101.2,333,86
560090023-1,WY,Converse County,0023-1,784,72,661,8,3,2,0,4,34,622,49,538,8,3,2,0,0,22,272.4,43.5,169.3,55.7,175.2,42.5,172.4,43.3,277,55.9,267.7,67.2,272.4,43.5,172.3,47.2,272.3,61.6,222.3,51.4
