GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_war,uss_18_rep_die,gov_18_rep_bak,gov_18_dem_gon,atg_18_dem_hea,atg_18_rep_mcm,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_mar,uss_20_rep_oco,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
25009001341,MA,Essex County,001341,3461,95,3202,14,0,38,0,14,98,2841,56,2676,13,0,27,0,13,56,1159.7,910.9,1063.9,870.5,1529.7,446.1,1277.1,730.3,1487.3,924.8,1447.8,991.9,910.9,1159.7,1043.5,929,958.3,1467.6,993,1147
25009001342,MA,Essex County,001342,2832,62,2587,23,3,36,0,9,112,2439,44,2260,23,3,24,0,6,79,1037.7,408.2,954.1,403.9,931.2,463.7,1090.4,317.5,1258.7,395.4,1215.8,462.5,408.2,1037.7,550.9,836,429,1237.2,486.5,1003.4
25009001343,MA,Essex County,001343,2907,73,2675,14,0,39,0,20,86,2518,55,2345,11,0,32,0,14,61,1289.3,365.2,1153.2,367.1,1007.1,547.9,1278.3,280.3,1521.2,360.7,1470,441,365.2,1289.3,551.5,993.1,400.8,1495.6,470.2,1210
25009001344,MA,Essex County,001344,3064,99,2777,38,0,44,0,23,83,2601,75,2382,36,0,34,0,17,57,1262.6,463.7,1125.3,465.8,1124,523.1,1302.6,355.6,1643.1,487.7,1580,552.9,463.7,1262.6,648.5,983.7,520.3,1611.5,575,1239.5
25009001345,MA,Essex County,001345,3295,69,3040,23,3,34,2,22,102,2551,51,2384,16,3,26,2,16,53,1265.7,457.5,1157,526.9,1217.3,510.5,1334.2,413.7,1605.4,511.4,1547.9,593.6,457.5,1265.7,719.3,1000.6,552.5,1576.7,620.1,1236.8
25009001346,MA,Essex County,001346,2998,48,2776,9,0,36,0,20,109,2346,32,2192,9,0,31,0,15,67,935,577,804,626,1118,339,1008,461,1246,630,1197,693,577,935,735,717,661.5,1221.5,684.2,921.5
25009001347,MA,Essex County,001347,3193,110,2811,23,1,63,1,18,166,2468,63,2222,23,1,49,1,11,98,1146.4,663.6,955.5,655,1254.3,398.9,1154.7,510.4,1410.2,691.7,1377.2,769.2,663.6,1146.4,806.6,836.3,730.5,1393.7,757.4,1073.8
25009001388,MA,Essex County,001388,4041,511,3116,75,2,212,0,20,105,3215,352,2576,61,1,158,0,19,48,1017,717,826,576,1062,380,998,460,1248,759,1254,764,717,1017,699.3,734.7,761.5,1251,723,953.8
25009001389,MA,Essex County,001389,3958,385,3111,108,3,177,0,18,156,2986,226,2463,72,3,118,0,9,95,1098,823,875,721,1281,405,1122,567,1373,838,1379,862,823,1098,856.3,800.7,850,1376,848.7,1042
25009001390,MA,Essex County,001390,3678,474,2694,76,5,257,0,30,142,2953,323,2257,55,4,205,0,19,90,1068.3,751.2,783.4,637.1,1111.2,347.3,981.4,487.8,1298.5,747.3,1311.2,731.7,751.2,1068.3,745.3,704,739.5,1304.8,744.4,965
