GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_men,uss_18_rep_hug,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_boo,uss_20_rep_meh,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
34001010603,NJ,Atlantic County,010603,1328,385,400,55,0,448,2,8,30,1111,297,381,49,0,356,1,1,26,359.9,150.9,221.6,133.5,208.9,65.2,203.5,55.4,150.9,359.9,133.5,221.6,60.3,206.2,101.3,248.5
34001010604,NJ,Atlantic County,010604,1341,282,716,65,1,213,0,18,46,1133,195,690,49,1,171,0,5,22,290.3,234.7,216.1,224.6,228,71.1,222.1,60.5,234.7,290.3,224.6,216.1,65.8,225,147.7,239.1
34001015101,NJ,Atlantic County,015101,2094,53,1917,18,3,47,0,14,42,1767,40,1639,7,3,39,0,6,33,459.5,816.9,385.9,794.6,524.9,918.8,499.7,925.3,816.9,459.5,794.6,385.9,922.1,512.3,863.9,467.5
34001015201,NJ,Atlantic County,015201,1647,83,1448,19,0,37,1,9,50,1504,60,1347,17,0,29,0,6,45,391.6,567.7,285.3,542.3,476,700.8,441.8,697.9,567.7,391.6,542.3,285.3,699.4,458.9,627.2,398.7
34001015301,NJ,Atlantic County,015301,2039,127,1759,43,0,48,1,13,48,1847,92,1647,33,0,37,0,5,33,475.2,677.8,336.4,593.2,566.6,712.2,538.1,703.4,677.8,475.2,593.2,336.4,707.8,552.4,671.7,479.1
34001015401,NJ,Atlantic County,015401,1936,225,1324,75,0,253,0,3,56,1696,164,1229,63,0,200,0,2,38,508,516,344,486,556.1,599.4,559,558,516,508,486,344,578.7,557.5,539.9,491.8
34001020001,NJ,Atlantic County,020001,2184,624,1256,187,5,54,2,3,53,1750,447,1064,152,3,46,2,3,33,362,453,288,360,261.3,309,257.5,286.5,453,362,360,288,297.8,259.4,352.1,292.2
34001020002,NJ,Atlantic County,020002,2317,825,1251,132,2,25,2,0,80,1761,555,1045,92,2,19,2,0,46,396,496,295,373,702.7,831,692.5,770.5,496,396,373,295,800.7,697.6,617.6,521.5
34001025001,NJ,Atlantic County,025001,1869,227,1401,146,0,25,0,13,57,1506,139,1176,119,0,18,0,10,44,374,622,272,473,391.6,535.8,388.7,504.9,622,374,473,272,520.4,390.1,533.9,356.6
34001025002,NJ,Atlantic County,025002,1782,145,1509,55,3,14,1,2,53,1506,114,1301,50,2,12,1,0,26,306.4,566.4,259,501.3,280.5,378,278.1,356,566.4,306.4,501.3,259,367,279.3,450.4,281
34001025003,NJ,Atlantic County,025003,1809,346,887,460,3,6,0,9,98,1454,243,751,379,3,5,0,9,64,524,279,369,221,679.6,929.9,674.5,876.3,279,524,221,369,903.1,677.1,576.5,561.8
34001025004,NJ,Atlantic County,025004,1573,191,1199,76,0,14,0,5,88,1264,126,1000,63,0,12,0,3,60,292,408,199,308,368.2,503.7,365.4,474.7,408,292,308,199,489.2,366.8,423.6,306.1
34001030101,NJ,Atlantic County,030101,471,17,437,2,0,0,0,3,12,387,12,365,1,0,0,0,2,7,104.5,193.9,93.5,172.9,131.6,249.6,124.9,247.2,193.9,104.5,172.9,93.5,248.4,128.2,215.9,113.6
34001040001,NJ,Atlantic County,040001,1339,58,1194,13,0,25,0,5,44,1138,27,1054,13,0,19,0,3,22,304.4,529.1,236.2,492.1,1096.1,1013.3,1062.2,975,529.1,304.4,492.1,236.2,994.2,1079.2,752.4,674.7
34001040002,NJ,Atlantic County,040002,1810,205,1360,94,13,35,2,5,96,1418,138,1125,66,10,23,2,2,52,385.3,525.5,292,404.2,335.2,309.7,324.9,297.7,525.5,385.3,404.2,292,303.7,330.1,384.3,334.4
34001040003,NJ,Atlantic County,040003,2358,358,1535,184,3,139,0,9,130,1804,223,1233,152,3,111,0,7,75,456.9,485.8,353.8,463.7,502,463.7,486.5,445.8,485.8,456.9,463.7,353.8,454.8,494.3,464.8,449.8
34001040004,NJ,Atlantic County,040004,1947,175,1576,56,0,31,0,16,93,1552,103,1320,41,0,25,0,11,52,341.3,615,291.6,557,463.6,429.7,449.3,413.1,615,341.3,557,291.6,421.4,456.5,503.7,386.5
34001040005,NJ,Atlantic County,040005,2351,178,1889,89,2,92,0,12,89,1876,129,1559,67,1,65,0,8,47,523.5,690.7,392.9,666,401.1,370.5,388.7,356.2,690.7,523.5,666,392.9,363.4,394.9,520.9,426.6
34001040006,NJ,Atlantic County,040006,1624,122,1261,64,2,86,0,9,80,1305,69,1054,47,2,66,0,8,59,355.7,516.9,281,438.3,268,247.5,259.7,238,516.9,355.7,438.3,281,242.7,263.8,360.2,291.1
34001040007,NJ,Atlantic County,040007,2077,258,1212,181,3,341,0,13,69,1479,152,901,128,3,259,0,2,34,427,499,332,402,213.7,197.4,207.1,189.8,499,427,402,332,193.6,210.4,322,295
34001040008,NJ,Atlantic County,040008,3330,1028,1270,539,9,336,1,28,119,2562,704,1105,398,9,265,1,14,66,579.4,289.7,472.6,244.3,471.4,425.8,456.2,409.1,289.7,579.4,244.3,472.6,417.5,463.8,342.2,494.9
34001040009,NJ,Atlantic County,040009,3399,692,1646,285,8,584,0,27,157,2504,450,1288,231,8,428,0,22,77,718.4,611.8,454.4,456.4,3028.1,2797,2934.6,2689.3,611.8,718.4,456.4,454.4,2743.2,2981.4,1638.6,1783.9
34001040010,NJ,Atlantic County,040010,2579,722,989,249,2,522,2,6,87,2047,514,859,193,2,420,2,3,54,649,353.7,453.8,274.4,1015.2,937.7,983.9,901.6,353.7,649,274.4,453.8,919.7,999.5,616.9,775.5
34001040011,NJ,Atlantic County,040011,2644,475,1086,268,0,731,0,5,79,2029,305,881,209,0,583,0,5,46,667,455,473,377,325.5,300.7,315.5,289.1,455,667,377,473,294.9,320.5,355.4,445.2
34001040012,NJ,Atlantic County,040012,1787,412,494,357,3,439,0,3,79,1260,290,361,246,2,321,0,3,37,482.4,266.1,410.5,231.5,579.6,531.7,562.3,511,266.1,482.4,231.5,410.5,521.3,571,385.1,508.7
34001040013,NJ,Atlantic County,040013,788,178,280,79,0,226,0,0,25,635,129,248,67,0,175,0,0,16,179,81.6,117.7,84.6,282,241.3,272.1,231.4,81.6,179,84.6,117.7,236.4,277.1,159.7,212.7
