GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PREIWES,G20PREIBLA,G20PREIKEN,G20PREILAR,G20PREIFUE,G20USSRHAG,G20USSDBRA,G20USSIHOO,G20USSISTA,G20USSIMCL,G20USSIJAM,G20USSIHIL,G20USSIGRU,G20USSIHEN,G20USSIFAP
47001000001,47,001,000001,1360.13,272.6,11.44,1.75,0.01,0.88,1.75,0,0,1338.58,238.04,0.89,3.51,6.14,1.75,1.76,2.64,4.38,1.8
47001000002,47,001,000002,331.94,63.8,0,0,0,0,0,0,0,315.99,57.82,0,1,1,1.99,0,1,1.99,1
47001000003,47,001,000003,1616.29,548.57,27.85,2.92,1.01,2.89,0.95,0.96,0,1602.62,508.56,7.63,2.87,11.52,4.75,1,1.99,3.86,4.86
47001000004,47,001,000004,1653.94,526.87,22.3,3.02,6.01,5.05,5.01,0.01,0.01,1638.94,490.35,0.06,3.02,12.13,3.06,4.02,3.02,2.04,6.06
47001000005,47,001,000005,1625.12,672.85,19.32,2.14,5.05,6.14,0.05,1.05,0,1589.44,618.98,3.36,3.14,14.55,0.23,3.05,2.09,4.18,9.23
47001000006,47,001,000006,957.36,367.54,7.1,1.03,0.03,3.98,0,0,0.99,938.85,329.37,2.99,2.98,6.01,0.99,1.02,1.03,2.01,2.03
47001000007,47,001,000007,553.24,129.69,4.31,0.02,2.98,1.08,0.02,0.02,0.02,549.98,108.38,1.02,3.95,1.16,1.1,1.04,2.01,1.06,0.08
47001000008,47,001,000008,353.43,72.59,4.07,0.01,1,0.04,0,0,0.01,338.25,73.22,0.03,0.03,2.06,0.01,1.01,0.01,0.02,0.02
47001000009,47,001,000009,1057.22,1129.86,36.32,7.85,6.87,3.93,0,0.98,0,1123.97,1012.07,3.93,1.96,14.72,0.98,5.89,9.82,6.87,11.78
47001000010,47,001,000010,680,134,4,1,1,0,1,0,0,661,129,0,3,1,0,2,1,1,0
47001000011,47,001,000011,1436.86,405.95,19.08,1.04,1.07,4.91,1.04,0.97,0.98,1422.44,372.6,2.07,0.16,8.95,5.88,3.05,2.06,4.01,4.19
47001000012,47,001,000012,852,835,26,6,6,0,1,0,0,869,771,2,4,13,0,2,2,6,6
47001000013,47,001,000013,1011.5,976.08,28.26,1.04,3.06,5.01,1.01,2,3.99,1066.75,901.45,1.02,1.02,12.09,4.01,3.04,1.07,2.04,7.06
47001000014,47,001,000014,403,361,17,2,1,0,0,1,2,396,346,2,1,6,1,0,3,0,6
47001000015,47,001,000015,367.03,101,3,0,1,0,1,1,1,347.03,98,2,1,3,1,0,1,1,0
47001000016,47,001,000016,1511.58,296.47,11.99,1.99,4.96,1.02,1.99,0.01,1,1459.93,269.54,1.99,4.96,7.98,2.01,2.99,1,2,2.99
47001000017,47,001,000017,588,131,9,0,2,0,0,0,1,573,122,0,2,2,1,2,0,5,0
47001000018,47,001,000018,623.88,480.41,10.97,1.19,0.93,1.06,1.19,0,0,643.95,426.1,1.99,2.37,3.69,1.19,2.12,2.24,2.5,4.91
47001000019,47,001,000019,1049.72,347.77,15.23,4.03,2.07,2.08,1.05,0,0,1011,306.7,3.07,3.08,7.1,2.04,2.05,2.08,1.12,3.09
47001000020,47,001,000020,1159.43,353.51,14.08,2.04,3.02,2.03,1.04,0.01,0.01,1106.35,347.34,4.02,3.02,6.1,1.02,2.02,4.02,3.03,4.02
47001000021,47,001,000021,457.42,656.29,24.86,0,4.97,0.99,1.99,0,0,465.37,617.51,0.99,1.99,7.96,1.99,2.98,3.98,0.99,2.98
47001000022,47,001,000022,795,890,30,2,4,3,1,0,0,812,833,2,0,13,5,3,5,6,7
47001000023,47,001,000023,587.6,601.49,10.92,5.96,1.99,3.97,5.96,1.99,0.99,577.68,577.67,2.98,2.98,13.9,2.98,2.98,2.98,3.97,2.98
47001000024,47,001,000024,74.03,19.2,1,0,1,0,0,0,0,69.98,19.18,0,0,0,2.01,0,0,0.01,0
47001000025,47,001,000025,848.65,226.34,3.91,0.98,0.98,1.95,1.95,0,0,823.3,199.03,1.95,0.98,1.95,0,0.98,1.95,3.9,2.93
47001000026,47,001,000026,779.44,691.8,23.31,2.8,3.73,0.93,3.73,2.8,0,801.82,633.07,2.8,1.86,12.12,2.8,3.73,0.93,2.8,3.73
47001000027,47,001,000027,393,399,10,1,3,5,0,0,0,386,368,2,5,8,5,1,0,3,8
47003000101,47,003,000101,1255.03,314.98,10.28,2.06,3.04,1.07,3.01,0.02,0,1223.68,267.34,6.08,0.04,4.12,1.05,2.05,1.04,6.09,5.05
47003000102,47,003,000102,946.12,262.92,11.95,1,5.98,0,1,0,0,933.17,231.05,2.99,2.99,1.99,1.99,1,0,5.98,1.99
47003000103,47,003,000103,2028.07,433.97,15.46,4.11,2.06,1.16,0.05,1.03,0.98,1953.62,383.46,8.08,3.04,9.16,3.08,3.08,3.04,6.12,7.01
47003000104,47,003,000104,1866.12,402.33,17.73,1.97,1.97,2.97,0.98,0,1.97,1786.29,351.99,2.97,4.93,6.9,0.99,4.93,2.96,8.88,2.96
47003000105,47,003,000105,2009.88,394.67,10.27,2.03,2.03,6.03,0.02,0,0.03,1951.71,320.01,8.03,5.07,4.1,3.01,4.07,2.04,10.12,5.04
47003000106,47,003,000106,1532.01,311.09,7.02,2.01,3.01,4,0,0,1,1493.1,261.91,5,1,6.03,1.01,3.01,2.01,4,3.03
47003000107,47,003,000107,822.4,192.84,6.14,0.04,4.08,0.02,0.06,1.02,0.02,798.2,167.93,1.08,1.99,1.04,1.04,0,1,3.01,1.99
47003000108,47,003,000108,658.04,505.61,9.73,3.88,3.89,2.92,0,0.97,0.97,645.28,424.1,4.86,0.98,10.66,2.92,5.81,4.85,2.92,8.72
47003000109,47,003,000109,1027.44,572.27,23.97,2,7.99,3.99,1,2,2,1005.44,485.39,6,6.99,6.99,7.99,1,4.99,4,5
47003000110,47,003,000110,861.33,492.44,15.28,3.82,1.91,3.77,0.94,0.96,0.02,843.08,401.56,4.83,1.93,6.73,2.87,2.87,1.93,4.8,2.94
47003000111,47,003,000111,1352.83,570.35,27.29,1.12,9.12,6.09,2,0.03,1.03,1291.45,513.88,5.15,3.03,11.32,3.09,8.18,2.15,7.09,6.27
47005000201,47,005,000201,973,254,9,0,0,1,0,0,0,921,228,7,2,8,0,3,5,8,2
47005000202,47,005,000202,989.84,255.7,2,4,2,2,1,0,0,962.87,218.74,9.99,3,4.99,2,3,2,0,3
47005000203,47,005,000203,845.16,257.3,2,1,1,1,0,0,0,818.13,213.26,8.01,0,3.01,1,3,2,7,0
47005000204,47,005,000204,957.39,222.52,6.01,0.03,0.01,0,0,1,0,922.29,198.43,6.02,1.01,3.02,2,4,3,2.02,4
47005000205,47,005,000205,862,278,8,0,3,2,1,1,1,825,252,6,0,8,1,2,2,5,3
47005000206,47,005,000206,1043,262,8,1,2,2,1,0,0,1015,228,9,2,5,1,2,3,2,1
47007000301,47,007,000301,580,89,5,1,1,1,0,0,0,557,80,2,0,2,2,1,2,5,0
47007000302,47,007,000302,424.22,47.04,1,0,2,0,0,0,0,402.22,41.04,4,0,2,1,0,0,1,0
47007000303,47,007,000303,477,102,4,2,1,2,0,0,0,448,93,1,1,2,3,0,1,5,0
47007000304,47,007,000304,215,47,0,0,0,1,0,0,0,191,40,1,1,0,1,1,2,1,0
47007000305,47,007,000305,122,40,5,0,0,0,0,0,0,113,39,1,0,1,0,0,0,0,1
47007000306,47,007,000306,162,68,2,0,0,2,0,0,1,161,60,0,0,0,0,0,0,0,0
47007000307,47,007,000307,336.83,39.49,2.01,0,0,1,0,0,0,313.65,38.47,2,1,2,0.01,1,0.01,2,0
47007000308,47,007,000308,651,187,2,0,0,3,0,0,1,623,172,0,1,3,2,2,0,2,0
47007000309,47,007,000309,386,64,1,0,0,0,0,1,0,362,65,0,2,2,2,1,0,1,0
47007000310,47,007,000310,264.17,33.51,0.99,0,0,0,0,0,0,251.35,32.53,0,0,0,0.99,0,0.99,0,0
47007000311,47,007,000311,497,190,5,0,3,3,1,0,0,446,176,1,5,4,4,0,0,1,1
47007000312,47,007,000312,610,64,5,1,0,0,1,0,0,592,61,0,2,4,1,0,1,1,0
47009000401,47,009,000401,1320.81,483.93,4,0,1,3,1,0,2,1300.81,430.94,4,0,2,0,2,1,4,5
47009000402,47,009,000402,1941.47,433.28,15.05,0.02,5,4,1,0,1,1894.42,393.17,6.01,2.01,6.04,1,3.02,3.01,9.99,2.02
47009000403,47,009,000403,1725.24,740.93,37.29,1.96,7.85,9.81,0,0,2.94,1737.01,662.42,3.93,1.96,3.93,0.98,8.83,3.93,11.78,17.66
47009000404,47,009,000404,1397,909,40,2,5,6,1,0,0,1474,775,6,1,7,0,2,3,6,11
47009000405,47,009,000405,1644,424,28,1,2,3,1,0,2,1641,374,6,1,2,2,4,5,3,10
47009000406,47,009,000406,1227.7,580.12,30.02,4.01,4.02,1.02,0.01,0,1,1218.87,525.99,11.99,1,2.02,5.98,4.01,3,7,6
47009000407,47,009,000407,268.8,132.14,6.12,1.13,0.48,0.97,0.16,0.16,0.64,270.89,121.67,1.29,0.32,0.64,0.32,1.77,1.13,1.29,0.97
47009000408,47,009,000408,1867.3,974.29,38.42,8.1,10.05,5.09,3.04,0,2.02,1909.96,873.51,12.17,1.07,9.1,2.02,6.08,3.02,9.07,7.28
47009000409,47,009,000409,404.52,169.13,11.87,0.99,0,1.98,0,0.99,0,399.57,163.19,3.96,0,2.97,0.99,0.99,0.99,2.97,0.99
47009000410,47,009,000410,1395.98,686.78,31.8,5.85,2.51,5.02,0.84,0.84,3.35,1406.97,632.32,6.69,1.67,3.36,1.68,9.2,5.85,6.69,5.02
47009000411,47,009,000411,403.17,647.4,9.34,1.05,2.04,0.06,0,1.01,0.02,400.08,589.98,5.06,3.01,2.06,1.01,7.12,4.05,8.1,5.07
47009000412,47,009,000412,1419.29,472.39,20.53,4.88,2.93,3.92,1.95,0,0.98,1411.53,430.3,7.82,2.92,4.89,0.98,3.91,0.98,3.91,11.71
47009000413,47,009,000413,829.57,504.09,33.74,4.96,3.97,6.95,0,0.99,1.98,823.62,465.39,5.95,0,5.95,0.99,12.9,4.96,10.92,6.95
47009000414,47,009,000414,1467.3,798.79,39.59,4.95,3.96,5.94,0,1.98,0,1441.7,734.38,6.93,3.96,9.89,1.98,12.86,4.94,9.9,9.9
47009000415,47,009,000415,813.58,172.22,14.35,0,1.79,0.9,0,0,0,796.53,148.9,5.38,0,2.69,1.79,3.59,0,4.48,0.9
47009000416,47,009,000416,1236.83,287.19,21.98,0.08,5.28,0.13,0.08,1,1,1240.45,244.64,3.91,0,2.39,0.28,2.56,2.09,3.88,3.43
47009000417,47,009,000417,1760.71,561.82,41.95,5.15,6.6,5.89,1.46,0.02,1.46,1748.06,498.49,13.19,3.68,8.85,1.48,8.87,2.96,5.93,8.12
47009000418,47,009,000418,1505.39,327.21,21.78,4.95,2.97,5.93,0,0.01,0.99,1492.23,294.42,3.99,0.99,2.97,1,6.94,1.01,4.98,3
47009000419,47,009,000419,3199.07,818.71,45.35,8.52,4.95,11.73,2.43,0,2.43,3173.38,737.08,11.9,2.08,8.6,1.43,8.6,7.87,7.73,25.38
47009000420,47,009,000420,2271.95,1213.3,52.63,4.45,9.52,8.53,1.13,0,2.13,2368.21,1041.87,10.16,2.32,8.74,5.13,12.68,3.21,14.55,16.84
47009000421,47,009,000421,480.68,176.21,5.94,0.37,0.75,2.02,0.18,0.18,0.19,484.94,156.13,2.02,0,1.49,0.74,1.48,0.74,1.29,2.22
47009000423,47,009,000423,2116.87,774.26,26.2,1.65,3.25,8.97,0.81,0.83,0.82,2134.7,686.36,8.99,0,6.54,3.26,6.53,3.27,5.73,9.77
47009000424,47,009,000424,1352,386,23,1,2,4,1,0,0,1355,345,4,0,0,1,3,4,6,3
47009000425,47,009,000425,1240,361,20,3,4,3,1,0,0,1211,325,9,3,4,2,4,2,7,8
47009000426,47,009,000426,730.72,192.79,6.95,1.98,1,1,0,0,0,718.77,175.89,1.99,0.99,4.96,0,2.98,0.99,0.01,1.98
47009000427,47,009,000427,3174.08,1053.32,50.17,4.07,10.02,5.03,2.01,0.01,2.01,3150.25,934.89,12.06,0,8.01,6.02,12.03,5.03,13.02,18.05
47009000429,47,009,000429,1475.02,399.18,13.69,3.09,3.12,7.18,1.04,0.04,1.05,1479.14,336.94,9.27,0.04,2.19,0.11,6.23,2.11,10.28,12.28
47009000430,47,009,000430,1617.05,797.53,38.98,2,9.99,3,1,0,1,1658.02,697.59,4,1,6,3,8,2,6,9.99
47009000431,47,009,000431,2646.16,966.57,39.05,4.95,7.03,10.01,1.97,1.96,3,2653.28,840.25,14.81,2,10.89,5.92,12.94,5.97,15.95,16.06
47009000432,47,009,000432,635.62,470.92,17.85,7.93,1.98,2.97,0.99,0.99,0.99,654.46,425.32,5.95,0,0.99,1.98,2.97,2.97,1.98,4.96
47009000433,47,009,000433,1332.07,466.38,23.38,2.92,1.95,3.9,0.97,0,0.97,1341.79,393.37,7.79,1.95,3.9,0.97,1.95,0,4.87,9.73
47009000434,47,009,000434,1284.28,290.42,5.78,0.73,1.44,0.01,0,0.72,0.72,1240.36,265.92,5.76,0.72,1.44,2.16,3.61,2.88,5.76,4.32
47009000435,47,009,000435,499.8,112.94,2.34,0.31,0.57,0.04,0,0.28,0.28,482.93,103.38,2.23,0.28,0.57,0.83,1.42,1.11,2.23,1.67
47009000436,47,009,000436,674.65,146.42,16.68,0.93,0.93,0,0.93,0,0,667.24,125.11,3.71,0,0.93,0.93,1.85,0.93,4.63,3.71
47011000501,47,011,000501,1309,270,7,1,2,0,1,2,2,1260,241,4,14,4,1,1,1,1,5
47011000502,47,011,000502,2794.3,1231.38,59.02,11.01,10.01,9,2,1,2,2754.22,1092.34,18.01,19.02,25.01,10,5,8,14,15.01
47011000503,47,011,000503,973.13,188.1,16.11,3.04,1.03,7.01,0,3,0,948.72,168.85,4.03,8.09,4.08,1.02,1.03,3.01,2.02,2.04
47011000504,47,011,000504,3755.55,1130.29,62.35,5.03,11.15,9.12,3.01,2,5.01,3722.28,993.14,7.03,24.18,23.23,6.07,7.06,7.09,9.12,11.07
47011000505,47,011,000505,2983.71,635.93,34.28,3.02,9.93,3.19,1.96,0,3.03,2917.33,548.4,4.28,22.74,15.83,2.99,8.09,3.15,6.1,8.06
47011000506,47,011,000506,2739.29,918.06,41,1,4,10,2,1,3,2694.28,829.06,6,25,17,7,3,2,6,17
47011000507,47,011,000507,1634.45,693.93,23.66,1.97,9.86,7.88,0.99,0,0.99,1616.71,617.04,1.97,11.83,15.77,4.93,3.94,5.91,7.88,4.93
47011000508,47,011,000508,2877.13,631.37,41.96,2,3,3,1,1,1,2787.22,573.43,5,19.98,13.99,4,3,5,9.99,11.99
47011000509,47,011,000509,1155,737,22,1,6,1,0,1,0,1127,649,2,15,14,4,2,2,5,10
47011000510,47,011,000510,694.97,477.14,13.99,2,4,2,0,0,0,646.99,422.23,5.99,9.99,14.98,3,5.99,0,4.99,3
47011000511,47,011,000511,1677,243,11,1,5,2,1,0,1,1583,228,4,13,9,0,2,5,3,3
47011000512,47,011,000512,2276.96,395.35,25.04,4.01,5.01,8.01,1,1,3,2193.82,358.19,6.02,16.03,9.04,4.01,3.02,3,11.01,13.01
47011000513,47,011,000513,1006,221,14,0,1,5,0,0,0,954,200,6,6,6,5,0,3,7,2
47011000514,47,011,000514,1946.65,575.03,28.85,9.95,7.96,2.98,0,0,0,1835.24,504.4,8.95,23.87,20.89,4.97,6.96,3.98,5.97,11.94
47011000515,47,011,000515,2033,376,40,3,4,3,0,2,1,1960,316,5,13,13,1,2,4,6,9
47011000516,47,011,000516,3138,719,42,3,15,6,1,1,1,3118,605,6,29,17,3,3,1,9,11
47011000517,47,011,000517,2226,410,18,1,3,6,0,2,1,2159,372,5,12,6,2,0,4,3,5
47013000601,47,013,000601,269,58,2,0,0,0,0,0,0,244,52,2,0,0,0,0,0,0,0
47013000602,47,013,000602,1111.92,215.57,8.09,1.01,5.99,1.01,1,0,0,1069.97,178.53,4.03,1,1.01,1,0.09,4.03,3,4
47013000603,47,013,000603,460.5,104.74,5.08,0,1.01,1.02,0,0,0,427.26,92.65,4.04,1,2.02,0.01,5,1,4.01,0
47013000604,47,013,000604,1277,213,3,1,0,0,0,0,0,1188,187,6,1,1,1,4,3,9,2
47013000605,47,013,000605,352.08,46.7,2.18,0,0,0,0.09,0,0,328.2,44.08,1.35,1,1,1,2.18,0.09,0.17,0
47013000607,47,013,000607,1059,208,9,0,0,3,0,0,0,1012,181,1,2,2,1,4,3,6,2
47013000608,47,013,000608,747,195,5,0,1,2,0,1,0,675,169,3,4,7,0,4,4,8,5
47013000609,47,013,000609,1059,195,21,2,1,2,1,0,0,1016,175,4,0,5,2,4,5,4,4
47013000610,47,013,000610,730.5,120.26,12.92,0,0.99,2.98,0,0,0,690.74,105.35,5.96,0,3.98,0.99,0,0,1.99,0
47013000611,47,013,000611,1295.03,242.75,20.59,1.96,1.98,2.95,0.98,0,0.98,1240.02,226.95,2.95,0.98,1.96,0,6.85,2.95,2.95,2.95
47013000612,47,013,000612,312.9,75.47,1.14,1.03,0,3.1,0.04,0,0,295.61,75.85,1.33,0,0,0,0.15,0.07,3.18,0.04
47013000613,47,013,000613,679.72,149.31,4.01,0.98,0.02,2.91,0.97,0,0.01,644.61,132.8,8.69,0.01,0.02,0,3.9,1.95,4.84,0.99
47013000614,47,013,000614,44.82,12.95,0,0,0,0,0,1,0,39.84,13.94,0,0,0,0,0,0,0,0
47013000615,47,013,000615,604.73,121.57,1.2,0.02,0.02,2.03,0.01,0,0.01,580.12,101.41,1.03,0.01,1.03,1.01,1.07,1.03,1.03,1.03
47013000616,47,013,000616,405.74,75.07,0.95,0.95,0.95,0.95,0,0,0,381.04,72.22,0.95,0,1.9,1.9,0.95,0,0,0
47013000617,47,013,000617,266,55,0,0,0,0,0,0,0,251,45,2,0,0,0,0,0,4,1
47013000618,47,013,000618,444.49,40.07,0.88,0,0,0,0,0,0,417.8,36.48,0.89,0,0,0,1.76,0.89,0.02,0
47013000619,47,013,000619,239.75,58.31,0.07,0,0.12,0,0,0,0.02,207.23,48.03,1.11,0.02,0.09,0.02,0.05,1.01,3.04,0.02
47013000620,47,013,000620,286.82,49.33,0.91,0,0,0,0.91,0,0,253.03,46.59,2.74,0,0,0,0,0,1.83,0
47013000621,47,013,000621,665.72,201.33,2.93,0,4.88,0,0,0,0.98,630.46,185.67,4.89,0.98,3.91,0.98,1.95,0.98,2.94,0.98
47015000701,47,015,000701,1216.15,268.27,15.63,1.87,1.21,3.73,3.69,0.02,0.94,1156.41,239.35,1.97,0.04,6.59,4.65,1.84,1.84,4.65,4.65
47015000702,47,015,000702,181.74,69.19,0.16,0,0.04,0.01,0,0.04,0,174.39,60.85,2,0.01,0.02,0.01,0.01,1.01,0.1,0.06
47015000703,47,015,000703,1079.01,157.86,11.99,0,3,1,0,0,0,1025.06,139.87,1,0,4,2,0,1,5.99,3
47015000704,47,015,000704,935.82,179.96,6.53,2.13,1.27,1.33,2.06,0.07,0.07,875.82,154.44,1.54,2.06,1.54,2.13,2,3.06,2.2,3.26
47015000705,47,015,000705,665.29,257.75,8.3,1.88,3.65,4.62,1.11,0.88,0.94,620.47,222.35,7.14,1,7.51,2.13,0.16,1.08,2.97,3.85
47015000706,47,015,000706,380.1,103.42,9.94,0,0,1,0,0,0,362.18,86.53,0,0.99,1.99,1,0.99,0.99,1.99,1.99
47015000707,47,015,000707,245.16,76.45,6.99,0.07,2.06,0.17,0.03,0.03,0.03,230.15,70.35,0.27,2.91,2.19,1.99,0.96,1.95,1.06,1.1
47015000708,47,015,000708,183.22,79.62,1.92,0,0.96,0,0,0.96,0,178.43,74.82,0,0,0,0,0,0,1.92,0.96
47015000709,47,015,000709,263,60,1,0,0,0,0,0,0,243,49,3,1,1,0,0,0,3,0
47017000801,47,017,000801,554,146,3,1,0,0,0,1,0,528,136,0,0,3,0,1,2,3,1
47017000802,47,017,000802,166,27,1,0,0,0,0,0,0,163,23,0,0,1,0,0,0,0,2
47017000803,47,017,000803,553.78,128.6,7.99,2.01,0,2.01,0,0,0,536.55,115.6,4.02,0.99,1.01,1.99,3.97,0.99,3.97,0.02
47017000804,47,017,000804,500.85,120.68,4.54,0,0.91,0,3.63,0,0,495.41,107.07,0,0.91,1.81,0.91,0.91,0.91,1.81,1.81
47017000805,47,017,000805,1336.69,470.02,17.85,0,0,1.98,1.98,0,0.99,1268.27,399.62,7.93,3.97,16.86,4.96,2.97,6.94,7.93,1.98
47017000806,47,017,000806,219,80,3,0,1,2,0,0,1,217,78,0,0,2,1,0,0,2,0
47017000807,47,017,000807,1062.31,249.98,15.15,2,0,3.02,0.02,0,0.01,1020.73,223.38,3.07,1.03,5.14,1.04,0.03,4.06,3.07,0.02
47017000808,47,017,000808,588.73,250.89,3,1,1,2,0,0,0,571.74,221.9,5,2,7,2,1,1,1,2
47017000809,47,017,000809,994,258,9,0,4,0,0,1,0,963,227,5,1,4,3,3,3,0,3
47017000810,47,017,000810,308,100,5,1,1,0,0,0,0,303,88,0,0,1,0,2,2,1,0
47017000811,47,017,000811,118,27,1,0,0,1,0,0,0,114,24,0,1,1,0,1,0,1,0
47017000812,47,017,000812,669,91,0,0,0,1,0,0,0,650,86,1,0,1,0,1,0,4,0
47017000813,47,017,000813,128,21,0,0,0,0,0,0,0,125,16,0,0,1,0,0,0,0,0
47017000814,47,017,000814,306,65,2,0,0,2,0,0,0,294,64,2,0,1,0,1,0,3,0
47017000815,47,017,000815,345.22,113.4,2.01,0.99,0,0.99,0,0,0,329.45,109.4,1.98,0.01,0.99,0.01,0.03,0.01,0.03,0.98
47017000816,47,017,000816,383.15,68.32,4.46,1,0.09,2,0.37,0,0,376.59,58.93,0,2.09,0.19,1.09,0.09,0.09,2.19,0.19
47017000817,47,017,000817,514,208,5,2,1,0,1,0,1,499,184,2,2,5,1,1,2,8,3
47017000818,47,017,000818,329.27,103.11,3,1,0,0,0,0,0,320.26,96.1,1,0,5,0,1,0,2,1
47017000819,47,017,000819,129,31,3,0,0,0,0,0,0,124,28,0,0,1,0,0,0,0,1
47019000901,47,019,000901,2033.25,796.2,49.52,5.83,4.85,4.85,2.91,0.97,0,1971.1,734.06,3.88,3.88,21.36,2.91,0.97,4.85,5.83,13.59
47019000902,47,019,000902,1136.56,321.15,20.38,3.16,0.14,2.14,0.08,1.03,1,1086.83,283.42,6.11,4.11,11.59,1.08,1.03,3.14,6.16,5.38
47019000903,47,019,000903,370.08,76.42,8.01,0.02,1,0.02,0,0,0,357.91,64.42,0,0,1.03,0,1.01,1.01,1.02,1.01
47019000904,47,019,000904,1057.8,337.33,10.04,0.84,1.67,1.66,0,1.67,0,1030.98,287.45,0.83,3.33,4.18,0.83,0.84,1.67,1.67,6.65
47019000905,47,019,000905,1144.59,412.67,16.55,3.89,2.92,0.97,1.95,4.87,1.95,1104.68,380.55,2.92,0.97,13.63,0.97,1.95,2.92,2.92,2.92
47019000906,47,019,000906,1062.44,220.59,9.06,0,2,2,0,1,0,990.41,203.5,0,3.03,4.03,5,0,0,2.03,2
47019000907,47,019,000907,830.1,155.83,11.99,1,3,2,0,0,0,795.14,134.85,0,1,8.99,2,0,0,2,2
47019000908,47,019,000908,1580.93,241.26,15.41,2,2.96,2.02,1.98,0.99,0,1485.68,225.49,0,3.21,7.18,1.98,6.94,0.02,3.23,4.94
47019000909,47,019,000909,518.3,95.87,5.08,1,0.04,1.98,0.02,0.01,0,508.31,85.9,0,0.04,1.06,0.02,1.06,0.98,1.02,0.06
47019000910,47,019,000910,806.9,174.25,8.91,1.98,3.96,1.98,1.98,0,1.98,765.32,156.43,2.97,1.98,7.92,1.98,1.98,0,2.97,5.94
47019000911,47,019,000911,1414.87,314.61,20.69,2.38,1.51,0.41,1.03,1.33,0.06,1346.94,292.94,1.31,1.83,9.31,1.38,3.49,2.46,2.54,3.55
47019000912,47,019,000912,687.71,266.34,11.04,3.96,2,0.99,0.05,0.13,1.02,630.81,238.51,1.04,1.95,9.03,3.88,6.79,2,2.97,2
47019000913,47,019,000913,293,67,1,0,0,0,0,0,0,288,60,0,1,2,0,1,0,0,0
47019000914,47,019,000914,184.8,34.24,2.02,0,0,0,0,0,0,171.67,29.23,0,0,0.02,0.02,1,0,0,0.01
47019000915,47,019,000915,1498,161,11,2,1,1,2,0,0,1415,158,2,1,3,4,9,1,4,4
47019000916,47,019,000916,705.2,99.76,7.98,0,0,0,0,1,0,655.33,93.77,1,1,6.98,4.98,1,1,1,2.99
47019000917,47,019,000917,1516.06,320.77,16.85,3.95,4.93,1,0.99,0,0,1429.26,297,5.92,4.93,5.95,2.96,3.94,3.95,4.94,4.95
47019000918,47,019,000918,1136.31,158.7,6.04,2.01,0.01,0,1,0,0,1062.12,154.65,0.01,2.01,3.01,1.01,2.01,2.01,2.01,3.01
47019000919,47,019,000919,786,140,4,3,0,1,0,0,0,737,124,3,2,5,2,1,2,2,1
47019000920,47,019,000920,225.82,47.75,1.01,1.98,0,1.98,0,0,0,206.95,47.73,0,0,2.98,0,0.99,0.99,1.99,0.99
47019000921,47,019,000921,532,72,5,0,1,1,0,0,0,491,62,1,1,4,3,2,2,6,1
47019000922,47,019,000922,63.33,15.29,1.46,0,0,0,0,0,0,62.61,13.1,0,0.73,0.73,0,0,0,0.73,0
47021001001,47,021,001001,2455.54,649.35,37.85,8.71,2.91,4.86,0.97,0,1.95,2371.23,576.49,14.53,3.88,17.49,2.92,3.88,6.78,6.77,8.75
47021001002,47,021,001002,1391.14,369.21,14.13,1.88,5.65,1.88,0,0,0.94,1362.89,334.36,7.53,0,8.48,6.59,2.83,2.83,3.77,3.77
47021001003,47,021,001003,2883.02,881.7,45.78,3.98,2.99,5.97,1,0,3.98,2840.21,794.12,7.96,3.98,20.9,2.99,3.98,5.97,1.99,10.95
47021001004,47,021,001004,1919.48,981.18,31.41,4.09,3.09,10.04,1.01,0,0.03,1841.81,883.8,14.29,3,34.28,6.2,10.03,3.02,11.13,17.15
47021001005,47,021,001005,639.41,171.92,5.84,1.93,0.99,0.02,0.01,0.01,0.01,615.23,153.51,4.87,0.02,2.92,2.91,0.03,0.01,1.96,1.95
47021001006,47,021,001006,2351,1331,37,3,6,4,0,0,1,2326,1213,11,2,25,7,2,5,5,6
47021001007,47,021,001007,1589,792,24,3,1,2,1,1,5,1570,702,11,5,11,3,4,1,9,12
47021001008,47,021,001008,1215.46,339.44,9.06,0.42,1.4,2.25,1.02,0,2.09,1172.53,303.37,4.87,0.14,8.98,3.42,1.28,0.4,2.42,4.46
47023001101,47,023,001101,797,136,7,0,9,3,0,2,0,801,126,4,3,1,1,0,0,1,1
47023001102,47,023,001102,1211,253,17,0,13,2,2,0,2,1210,240,5,2,5,2,1,3,5,2
47023001103,47,023,001103,642,97,16,1,6,5,0,0,0,644,84,3,1,3,1,0,0,1,1
47023001104,47,023,001104,408,90,8,0,4,1,0,0,1,401,84,3,2,3,3,0,0,1,1
47023001105,47,023,001105,849,336,22,1,12,5,5,2,1,865,322,1,2,4,8,1,0,1,1
47023001106,47,023,001106,430,192,3,0,4,3,0,1,1,426,175,2,0,2,5,0,0,2,1
47023001107,47,023,001107,406,75,3,4,12,0,3,0,0,406,69,0,1,3,5,0,2,0,1
47023001108,47,023,001108,454.15,84.84,2,0,2.99,2,2.99,1,0,448.16,72.86,1,2,3.99,2.99,1,0,2,0
47023001109,47,023,001109,246,72,4,1,2,2,0,0,2,242,69,2,2,0,2,2,0,1,0
47023001110,47,023,001110,280,27,4,0,5,0,1,0,0,281,22,0,0,2,5,0,0,0,0
47023001111,47,023,001111,228,49,1,0,1,0,1,0,1,226,41,0,0,0,2,2,0,0,0
