GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PREIWES,G20PREIBLA,G20PREIKEN,G20PREILAR,G20PREIFUE,G20USSRHAG,G20USSDBRA,G20USSIHOO,G20USSISTA,G20USSIMCL,G20USSIJAM,G20USSIHIL,G20USSIGRU,G20USSIHEN,G20USSIFAP
47165008613,47,165,008613,1877.61,606.18,43.86,2.99,5.98,5.98,1.99,1,1.99,1814.79,515.46,7.98,1.99,17.94,4.98,5.98,6.98,7.98,15.95
47165008614,47,165,008614,2352.57,697.17,37.58,5.93,4.94,1.98,0,0,1.98,2275.44,602.23,11.87,4.94,12.86,8.9,5.93,0,12.86,7.91
47165008618,47,165,008618,1573,776,22,4,5,6,2,1,2,1573,654,7,1,12,2,3,5,6,18
47165008619,47,165,008619,1989,1343,41,7,1,5,2,2,1,1943,1175,9,12,26,6,4,6,10,17
47165008620,47,165,008620,3111,1312,45,4,6,6,2,0,0,3203,1123,8,4,9,5,2,4,5,13
47165008621,47,165,008621,1456,1115,37,6,7,3,2,0,0,1445,1002,8,7,21,6,4,8,5,8
47165008622,47,165,008622,3282.07,1723.05,46.49,10.02,16.08,8.08,1.02,0.01,5.03,3254.76,1498.58,20.07,13.05,28.23,14.05,8.03,4.05,16.13,15.17
47165008623,47,165,008623,2326.42,1159,36.98,4.98,4.16,2.03,5.04,0.13,4,2327.16,987.01,13.06,3.02,19,6.1,7.01,4.01,8.02,10.08
47165008624,47,165,008624,1463.82,553.8,21.95,1,1,1,0,1,2,1460.83,482.95,2,1,4.99,4.99,1,1,3.99,2.99
47165008625,47,165,008625,1313.85,623.74,31.36,4.24,3.07,2.26,1.16,1,1.03,1263.09,568.31,10.58,1.14,12.7,5.09,2.21,0.15,8.42,8.56
47165008626,47,165,008626,3152,898,42,6,5,7,3,0,1,3099,792,9,5,17,7,2,6,7,12
47165008627,47,165,008627,1416.81,330.19,18.25,5.02,5.03,3.03,3.01,2.01,0.01,1393.35,285.4,5.07,3.03,5.12,1.04,0.04,0.04,4.06,7.09
47165008628,47,165,008628,4428.13,1865.11,60.68,3.45,10.07,9.09,2.29,0.97,4.06,4505.96,1566.36,9.27,6.09,28.87,6.37,4.86,6.36,15.37,20.75
47165008631,47,165,008631,1972,1048,29,5,9,2,1,2,1,1950,930,10,5,15,3,4,4,9,13
47165008632,47,165,008632,2236.36,446.87,21.99,2,8,7,1,2,1,2126.39,391.89,9,7,12,7,4,2,11,8
47165008633,47,165,008633,2523,1491,50,3,9,10,0,1,3,2506,1311,18,4,35,7,9,10,6,21
47165008635,47,165,008635,2784.62,884.56,31.9,2.99,2.17,4.08,1.03,1.03,2,2740.32,743.94,12.13,4.08,15.99,4.99,2.07,6.03,9.02,14.03
47165008636,47,165,008636,2217.22,513.57,28.97,1,3,3,1,0,2,2151.26,454.62,7.99,1,8.99,3,3,5,11.99,7.99
47167008701,47,167,008701,2095.94,763.16,28.93,2,4.99,2.99,1,2,0,2036.09,670.38,5.99,7.98,17.96,5.99,6.98,2,9.98,6.98
47167008702,47,167,008702,2203,593,22,5,6,5,1,1,1,2140,517,6,4,15,7,1,7,11,7
47167008703,47,167,008703,2065.72,910.79,30.04,2.01,6.01,4.04,3.02,0,0,2027.61,747.78,4.01,7.02,15.06,3.04,9.04,6.04,13.05,7.04
47167008704,47,167,008704,2571.45,293.51,16.06,0,2.01,0.01,1.01,0,1.01,2472.15,254.29,4.02,0.02,13.04,5.01,3.01,5.01,8.02,8.02
47167008705,47,167,008705,1814,902,21,5,7,8,6,2,1,1783,735,13,8,18,5,9,8,13,12
47167008706,47,167,008706,2206.08,528.7,20.76,1,3.02,2.97,2.05,1,2.97,2105.57,453.22,8.09,8,14.91,4,2.02,2.97,7.94,7
47167008707,47,167,008707,2701.31,642.71,32.34,2.02,7.05,8.05,2.03,1.02,1.04,2624.83,547.49,4.12,1.12,20.24,3.07,6.04,3.04,9.13,6.11
47167008708,47,167,008708,1055.56,1118.54,12.07,8.03,11.07,8.03,4.01,1,2.01,1034.51,924.6,11.01,11,23.01,8.01,10.07,8.04,14.04,16.07
47167008709,47,167,008709,3375,1109,41,3,9,7,1,1,4,3348,956,11,6,27,7,10,11,12,7
47169008801,47,169,008801,221,135,2,1,1,0,0,0,0,209,107,1,0,1,2,0,1,1,0
47169008802,47,169,008802,354,83,4,0,1,1,0,0,0,321,69,3,0,1,0,1,0,4,3
47169008803,47,169,008803,338,52,2,0,1,0,0,0,0,321,41,0,0,2,0,1,0,0,0
47169008804,47,169,008804,284,119,5,0,0,1,0,0,0,266,90,3,1,3,2,0,0,2,1
47169008805,47,169,008805,373,88,10,0,0,0,1,0,0,355,73,3,0,2,1,0,1,2,0
47169008806,47,169,008806,387.6,83.29,3.3,0.83,0.44,0.26,0.11,0.07,0.15,364.34,72.12,0.29,0.94,0.29,1.24,2.6,0.18,1.99,2.03
47169008807,47,169,008807,161,119,4,0,1,0,0,0,0,155,91,2,0,0,0,1,0,2,0
47169008808,47,169,008808,230,112,2,0,0,0,1,0,0,218,86,1,0,1,1,1,1,0,0
47169008809,47,169,008809,227,105,1,0,4,0,0,0,0,198,85,3,2,1,0,1,2,1,2
47169008810,47,169,008810,362,122,2,0,1,0,0,0,0,339,102,1,1,2,1,0,0,3,1
47171008901,47,171,008901,923.78,316.31,4.8,0.01,6.62,4.74,0.95,0.95,0,887.43,282.1,0.02,2.85,6.64,1.9,1.91,3.79,2.88,4.74
47171008902,47,171,008902,979.64,234.73,13.84,0.99,0.99,1.99,0,0,0.01,917.13,209.99,1.99,2.97,9.91,1.98,3.96,1.98,6.92,1.98
47171008903,47,171,008903,549.08,90.41,1.17,0.01,0.01,2.01,0,0,0.99,507.54,83.15,3.01,1.03,4.1,0.02,1.04,0.03,0.09,1.02
47171008904,47,171,008904,1487.87,365.34,9.02,1.01,3.97,1.99,2.02,0,0.03,1441.39,318.51,1.03,5,11.03,4.01,2.98,1.99,3.06,3.98
47171008905,47,171,008905,315.01,69.3,1.4,0,0,0,0.7,0,0.7,299.61,67.2,0.7,0.7,2.1,0.7,0,0,1.4,0
47171008906,47,171,008906,1253.11,287.04,12.33,0.99,1.38,2.26,0.12,0.05,0.06,1176.05,253.07,3.05,2.22,4.55,2.16,4.09,2.21,7.25,2.26
47171008907,47,171,008907,670.18,168.99,4.45,2.99,0.03,0.01,0.22,0,0.2,645.48,156.11,0.21,1.23,3.67,2.22,0.02,0.01,4.41,2.02
47171008908,47,171,008908,420.28,82.86,2.99,0,1,2,0,0,0,392.33,78.87,0,1,2,0,2,1,2,1
47173009001,47,173,009001,443,78,0,0,0,0,0,0,0,395,60,0,3,0,0,2,2,3,0
47173009002,47,173,009002,809,117,4,1,3,1,0,0,0,750,100,2,2,5,2,0,0,4,1
47173009003,47,173,009003,1189.27,206.46,7.61,2.85,0,0.95,0,0,0,1111.25,187.43,0.95,4.76,5.71,0.95,0.95,2.85,5.71,2.85
47173009004,47,173,009004,578.62,104.83,3.36,0.14,1,1.05,0,0,0,544.91,83.92,3.05,1.23,5.27,2.05,0.05,0.14,1.27,1.14
47173009005,47,173,009005,917.94,193.93,4.96,0.06,2,2.98,1.95,0,0,852.95,182,0.05,2.95,6.95,0.1,2.98,0.01,2.95,1.96
47173009006,47,173,009006,880.51,194.04,11.21,0.86,0.86,0,0,0,0.86,823.59,166.44,1.72,1.72,4.31,2.59,1.72,2.59,3.45,3.45
47173009007,47,173,009007,819.03,157.01,4,1,1,2,0,0,1,764.03,147.01,0,2,0,1,3,1,1,3
47173009008,47,173,009008,85.72,13.95,2.99,0,0,0,0,0,0,80.73,9.97,0,0,1,1,0,0,0,0
47173009009,47,173,009009,947.46,154.58,4.07,0,0.05,1.06,0.05,0,0,918.31,125.65,0,0.07,3.13,1.98,1.06,0,1.06,2.02
47175009101,47,175,009101,227.26,74.03,0.93,0.09,0.81,0.02,0,0,0.07,222.56,59.02,0.84,0.82,1.48,0,0.75,0.03,0.11,1.59
47175009102,47,175,009102,484,108,5,1,2,0,1,0,0,442,94,3,2,7,4,1,0,1,1
47175009103,47,175,009103,464.27,82.16,7.64,0,0.96,0,0.96,0,0,421.28,74.51,0,0.96,4.78,0.96,0.96,0,5.73,0.96
47175009104,47,175,009104,315.06,85.23,2.87,0,0.96,0.96,0,0,0,280.58,70.86,0.96,0.96,0,0,0.96,0.96,0.96,1.92
47175009105,47,175,009105,399.94,96.77,2.13,0,0.04,0.04,0,0,0,358.42,84.14,1.04,1.04,1,0,1.04,1.04,0.04,1.08
